county,fips,cases,deaths
Benton,41003,30,5
Clackamas,41005,214,7
Clatsop,41007,6,0
Columbia,41009,14,0
Coos,41011,20,0
Crook,41013,1,0
Curry,41015,4,0
Deschutes,41017,76,0
Douglas,41019,24,0
Grant,41023,1,0
Harney,41025,1,0
Hood River,41027,6,0
Jackson,41029,49,0
Jefferson,41031,10,0
Josephine,41033,20,1
Klamath,41035,38,0
Lane,41039,50,2
Lincoln,41041,5,0
Linn,41043,86,7
Malheur,41045,8,0
Marion,41047,491,18
Morrow,41049,6,0
Multnomah,41051,707,43
Polk,41053,39,1
Sherman,41055,1,0
Tillamook,41057,6,0
Umatilla,41059,50,0
Union,41061,4,0
Wallowa,41063,2,0
Wasco,41065,13,1
Washington,41067,491,11
Yamhill,41071,39,7
Belknap,33001,35,0
Carroll,33003,32,0
Cheshire,33005,40,2
Coos,33007,2,0
Grafton,33009,50,0
Hillsborough,33011,964,35
Merrimack,33013,177,3
Rockingham,33015,692,22
Strafford,33017,141,9
Sullivan,33019,12,1
Barnstable,25001,860,43
Berkshire,25003,442,35
Bristol,25005,3580,172
Dukes,25007,17,1
Essex,25009,8673,448
Franklin,25011,257,37
Hampden,25013,3777,373
Hampshire,25015,546,30
Middlesex,25017,14208,845
Nantucket,25019,11,0
Norfolk,25021,5896,499
Plymouth,25023,5083,285
Suffolk,25025,12890,524
Worcester,25027,5550,265
Adams,17001,40,0
Alexander,17003,3,0
Bond,17005,6,1
Boone,17007,98,9
Bureau,17011,11,0
Calhoun,17013,1,0
Carroll,17015,9,2
Cass,17017,33,0
Champaign,17019,130,6
Christian,17021,30,5
Clark,17023,5,0
Clay,17025,2,0
Clinton,17027,106,3
Coles,17029,22,1
Cook,17031,36513,1607
Crawford,17033,10,0
Cumberland,17035,3,0
DeKalb,17037,95,1
De Witt,17039,3,0
Douglas,17041,14,0
DuPage,17043,3081,163
Effingham,17049,6,1
Fayette,17051,16,2
Ford,17053,10,1
Franklin,17055,8,0
Fulton,17057,3,0
Gallatin,17059,2,0
Greene,17061,3,0
Grundy,17063,35,0
Hamilton,17065,2,0
Hancock,17067,6,0
Hardin,17069,1,0
Henderson,17071,4,0
Henry,17073,45,0
Iroquois,17075,27,0
Jackson,17077,107,7
Jasper,17079,44,5
Jefferson,17081,83,12
Jersey,17083,12,1
Jo Daviess,17085,13,0
Johnson,17087,4,0
Kane,17089,1526,48
Kankakee,17091,338,28
Kendall,17093,266,7
Knox,17095,46,0
Lake,17097,3509,138
LaSalle,17099,53,1
Lawrence,17101,3,0
Lee,17103,24,0
Livingston,17105,20,1
Logan,17107,7,0
McDonough,17109,18,0
McHenry,17111,621,34
McLean,17113,95,3
Macon,17115,106,12
Macoupin,17117,30,0
Madison,17119,333,21
Marion,17121,33,0
Marshall,17123,4,0
Mason,17125,12,0
Massac,17127,4,0
Menard,17129,8,0
Mercer,17131,8,0
Monroe,17133,70,10
Montgomery,17135,26,1
Morgan,17137,22,1
Moultrie,17139,5,0
Ogle,17141,119,1
Peoria,17143,86,3
Perry,17145,21,0
Piatt,17147,7,0
Pike,17149,1,0
Pulaski,17153,18,0
Randolph,17157,156,1
Richland,17159,3,0
Rock Island,17161,377,9
St. Clair,17163,475,30
Saline,17165,3,0
Sangamon,17167,178,9
Schuyler,17169,2,0
Shelby,17173,10,1
Stark,17175,1,0
Stephenson,17177,35,0
Tazewell,17179,45,3
Union,17181,17,0
Vermilion,17183,17,1
Wabash,17185,2,0
Warren,17187,62,0
Washington,17189,10,0
Wayne,17191,2,0
Fairfield,09001,11294,810
White,17193,2,0
Hartford,09003,5601,698
Whiteside,17195,84,6
Litchfield,09005,963,80
Will,17197,2492,151
Middlesex,09007,657,79
Williamson,17199,31,0
New Haven,09009,7536,512
Winnebago,17201,442,14
New London,09011,564,36
Woodford,17203,13,1
Tolland,09013,437,36
Franklin,05047,2,0
Windham,09015,186,4
Fulton,05049,1,0
Addison,50001,61,2
Bennington,50003,44,1
Caledonia,50005,13,0
Chittenden,50007,418,32
Essex,50009,3,0
Franklin,50011,93,5
Grand Isle,50013,3,0
Lamoille,50015,26,1
Orange,50017,7,0
Orleans,50019,9,0
Rutland,50021,45,1
Washington,50023,33,1
Windham,50025,71,3
Windsor,50027,40,2
Izard,05065,5,0
Jackson,05067,1,0
Lafayette,05073,7,1
Autauga,01001,43,4
Baldwin,01003,174,3
Barbour,01005,39,1
Bibb,01007,42,0
Blount,01009,37,0
Bullock,01011,13,0
Butler,01013,53,1
Calhoun,01015,93,3
Chambers,01017,293,21
Madison,05087,1,0
Cherokee,01019,15,0
Chilton,01021,53,1
Choctaw,01023,43,0
Clarke,01025,32,1
Clay,01027,21,1
Cleburne,01029,12,1
Marion,05089,1,0
Coffee,01031,111,1
Colbert,01033,29,2
Conecuh,01035,10,0
Coosa,01037,31,1
Covington,01039,36,1
Crenshaw,01041,19,0
Adams,42001,137,4
Cullman,01043,55,1
Allegheny,42003,1289,94
Dale,01045,27,0
Armstrong,42005,51,2
Dallas,01047,38,3
Beaver,42007,405,65
