,date,county,state,fips,cases,deaths
399,2020-03-01,Alameda,California,6001.0,1,0.0
426,2020-03-02,Alameda,California,6001.0,1,0.0
459,2020-03-03,Alameda,California,6001.0,2,0.0
494,2020-03-04,Alameda,California,6001.0,2,0.0
533,2020-03-05,Alameda,California,6001.0,2,0.0
583,2020-03-06,Alameda,California,6001.0,3,0.0
657,2020-03-07,Alameda,California,6001.0,3,0.0
752,2020-03-08,Alameda,California,6001.0,3,0.0
866,2020-03-09,Alameda,California,6001.0,24,0.0
998,2020-03-10,Alameda,California,6001.0,25,0.0
1164,2020-03-11,Alameda,California,6001.0,25,0.0
1370,2020-03-12,Alameda,California,6001.0,29,0.0
1630,2020-03-13,Alameda,California,6001.0,29,0.0
1947,2020-03-14,Alameda,California,6001.0,29,0.0
2326,2020-03-15,Alameda,California,6001.0,37,0.0
2760,2020-03-16,Alameda,California,6001.0,40,0.0
3240,2020-03-17,Alameda,California,6001.0,49,0.0
3793,2020-03-18,Alameda,California,6001.0,53,0.0
4453,2020-03-19,Alameda,California,6001.0,57,0.0
5226,2020-03-20,Alameda,California,6001.0,67,0.0
6145,2020-03-21,Alameda,California,6001.0,87,0.0
7179,2020-03-22,Alameda,California,6001.0,127,0.0
8322,2020-03-23,Alameda,California,6001.0,139,1.0
9562,2020-03-24,Alameda,California,6001.0,151,2.0
10933,2020-03-25,Alameda,California,6001.0,156,2.0
12478,2020-03-26,Alameda,California,6001.0,199,4.0
14142,2020-03-27,Alameda,California,6001.0,241,4.0
15923,2020-03-28,Alameda,California,6001.0,277,6.0
17812,2020-03-29,Alameda,California,6001.0,291,6.0
19788,2020-03-30,Alameda,California,6001.0,304,7.0
21862,2020-03-31,Alameda,California,6001.0,334,7.0
24020,2020-04-01,Alameda,California,6001.0,380,8.0
26248,2020-04-02,Alameda,California,6001.0,417,9.0
28547,2020-04-03,Alameda,California,6001.0,464,12.0
30905,2020-04-04,Alameda,California,6001.0,464,12.0
33311,2020-04-05,Alameda,California,6001.0,587,12.0
35755,2020-04-06,Alameda,California,6001.0,609,13.0
38244,2020-04-07,Alameda,California,6001.0,655,15.0
40788,2020-04-08,Alameda,California,6001.0,695,16.0
43360,2020-04-09,Alameda,California,6001.0,734,17.0
45960,2020-04-10,Alameda,California,6001.0,766,20.0
48590,2020-04-11,Alameda,California,6001.0,827,21.0
51252,2020-04-12,Alameda,California,6001.0,864,23.0
53931,2020-04-13,Alameda,California,6001.0,907,23.0
56623,2020-04-14,Alameda,California,6001.0,908,23.0
59331,2020-04-15,Alameda,California,6001.0,983,36.0
62050,2020-04-16,Alameda,California,6001.0,1069,40.0
64783,2020-04-17,Alameda,California,6001.0,1084,40.0
67531,2020-04-18,Alameda,California,6001.0,1135,41.0
70293,2020-04-19,Alameda,California,6001.0,1185,42.0
73062,2020-04-20,Alameda,California,6001.0,1212,42.0
75838,2020-04-21,Alameda,California,6001.0,1260,43.0
78622,2020-04-22,Alameda,California,6001.0,1260,43.0
81416,2020-04-23,Alameda,California,6001.0,1350,48.0
84216,2020-04-24,Alameda,California,6001.0,1422,48.0
87024,2020-04-25,Alameda,California,6001.0,1458,52.0
89841,2020-04-26,Alameda,California,6001.0,1489,52.0
92659,2020-04-27,Alameda,California,6001.0,1519,56.0
95490,2020-04-28,Alameda,California,6001.0,1554,59.0
98335,2020-04-29,Alameda,California,6001.0,1589,59.0
101185,2020-04-30,Alameda,California,6001.0,1624,63.0
104040,2020-05-01,Alameda,California,6001.0,1657,63.0
106905,2020-05-02,Alameda,California,6001.0,1726,63.0
109774,2020-05-03,Alameda,California,6001.0,1770,63.0
112649,2020-05-04,Alameda,California,6001.0,1797,65.0
115532,2020-05-05,Alameda,California,6001.0,1830,66.0
118491,2020-05-06,Alameda,California,6001.0,1884,69.0
121458,2020-05-07,Alameda,California,6001.0,1938,69.0
124438,2020-05-08,Alameda,California,6001.0,1982,70.0
127423,2020-05-09,Alameda,California,6001.0,2044,72.0
130413,2020-05-10,Alameda,California,6001.0,2085,75.0
133403,2020-05-11,Alameda,California,6001.0,2122,75.0
136393,2020-05-12,Alameda,California,6001.0,2154,75.0
139384,2020-05-13,Alameda,California,6001.0,2199,80.0
142380,2020-05-14,Alameda,California,6001.0,2202,80.0
145379,2020-05-15,Alameda,California,6001.0,2321,84.0
148383,2020-05-16,Alameda,California,6001.0,2372,85.0
151392,2020-05-17,Alameda,California,6001.0,2413,85.0
154404,2020-05-18,Alameda,California,6001.0,2478,85.0
157420,2020-05-19,Alameda,California,6001.0,2543,88.0
160446,2020-05-20,Alameda,California,6001.0,2581,88.0
163474,2020-05-21,Alameda,California,6001.0,2630,90.0
166506,2020-05-22,Alameda,California,6001.0,2729,90.0
169542,2020-05-23,Alameda,California,6001.0,2788,92.0
172583,2020-05-24,Alameda,California,6001.0,2868,93.0
175627,2020-05-25,Alameda,California,6001.0,2895,93.0
178671,2020-05-26,Alameda,California,6001.0,3007,93.0
181715,2020-05-27,Alameda,California,6001.0,3070,97.0
184769,2020-05-28,Alameda,California,6001.0,3118,97.0
187825,2020-05-29,Alameda,California,6001.0,3216,102.0
190890,2020-05-30,Alameda,California,6001.0,3310,103.0
193957,2020-05-31,Alameda,California,6001.0,3411,103.0
197027,2020-06-01,Alameda,California,6001.0,3491,104.0
200100,2020-06-02,Alameda,California,6001.0,3536,104.0
203176,2020-06-03,Alameda,California,6001.0,3569,104.0
206256,2020-06-04,Alameda,California,6001.0,3662,104.0
209337,2020-06-05,Alameda,California,6001.0,3746,104.0
212422,2020-06-06,Alameda,California,6001.0,3826,104.0
215509,2020-06-07,Alameda,California,6001.0,3895,104.0
218600,2020-06-08,Alameda,California,6001.0,3966,104.0
221695,2020-06-09,Alameda,California,6001.0,4006,110.0
224790,2020-06-10,Alameda,California,6001.0,4054,110.0
227892,2020-06-11,Alameda,California,6001.0,4140,110.0
230995,2020-06-12,Alameda,California,6001.0,4237,110.0
234101,2020-06-13,Alameda,California,6001.0,4237,110.0
237208,2020-06-14,Alameda,California,6001.0,4341,112.0
240316,2020-06-15,Alameda,California,6001.0,4394,112.0
243427,2020-06-16,Alameda,California,6001.0,4502,112.0
246540,2020-06-17,Alameda,California,6001.0,4554,116.0
249652,2020-06-18,Alameda,California,6001.0,4659,117.0
252767,2020-06-19,Alameda,California,6001.0,4723,118.0
255886,2020-06-20,Alameda,California,6001.0,4826,118.0
259013,2020-06-21,Alameda,California,6001.0,4826,119.0
262140,2020-06-22,Alameda,California,6001.0,5028,120.0
265268,2020-06-23,Alameda,California,6001.0,5161,121.0
268398,2020-06-24,Alameda,California,6001.0,5296,122.0
271533,2020-06-25,Alameda,California,6001.0,5403,128.0
274673,2020-06-26,Alameda,California,6001.0,5514,130.0
277821,2020-06-27,Alameda,California,6001.0,5523,130.0
280968,2020-06-28,Alameda,California,6001.0,5691,133.0
284114,2020-06-29,Alameda,California,6001.0,5783,133.0
