,date,county,state,fips,cases,deaths
1341,2020-03-11,Arlington,Virginia,51013.0,2,0.0
1589,2020-03-12,Arlington,Virginia,51013.0,2,0.0
1898,2020-03-13,Arlington,Virginia,51013.0,5,0.0
2269,2020-03-14,Arlington,Virginia,51013.0,7,0.0
2696,2020-03-15,Arlington,Virginia,51013.0,8,0.0
3168,2020-03-16,Arlington,Virginia,51013.0,9,0.0
3704,2020-03-17,Arlington,Virginia,51013.0,13,0.0
4336,2020-03-18,Arlington,Virginia,51013.0,14,0.0
5092,2020-03-19,Arlington,Virginia,51013.0,17,0.0
5989,2020-03-20,Arlington,Virginia,51013.0,17,0.0
7015,2020-03-21,Arlington,Virginia,51013.0,22,0.0
8146,2020-03-22,Arlington,Virginia,51013.0,26,0.0
9367,2020-03-23,Arlington,Virginia,51013.0,34,0.0
10713,2020-03-24,Arlington,Virginia,51013.0,36,0.0
12225,2020-03-25,Arlington,Virginia,51013.0,46,0.0
13862,2020-03-26,Arlington,Virginia,51013.0,63,0.0
15628,2020-03-27,Arlington,Virginia,51013.0,63,0.0
17502,2020-03-28,Arlington,Virginia,51013.0,75,0.0
19462,2020-03-29,Arlington,Virginia,51013.0,84,2.0
21525,2020-03-30,Arlington,Virginia,51013.0,86,2.0
23664,2020-03-31,Arlington,Virginia,51013.0,104,2.0
25879,2020-04-01,Arlington,Virginia,51013.0,119,2.0
28168,2020-04-02,Arlington,Virginia,51013.0,128,2.0
30511,2020-04-03,Arlington,Virginia,51013.0,135,2.0
32909,2020-04-04,Arlington,Virginia,51013.0,150,2.0
35347,2020-04-05,Arlington,Virginia,51013.0,181,2.0
37829,2020-04-06,Arlington,Virginia,51013.0,203,2.0
40359,2020-04-07,Arlington,Virginia,51013.0,237,2.0
42928,2020-04-08,Arlington,Virginia,51013.0,254,2.0
45522,2020-04-09,Arlington,Virginia,51013.0,280,2.0
48146,2020-04-10,Arlington,Virginia,51013.0,312,2.0
50804,2020-04-11,Arlington,Virginia,51013.0,349,2.0
53479,2020-04-12,Arlington,Virginia,51013.0,366,2.0
56168,2020-04-13,Arlington,Virginia,51013.0,390,3.0
58874,2020-04-14,Arlington,Virginia,51013.0,401,12.0
61593,2020-04-15,Arlington,Virginia,51013.0,420,12.0
64325,2020-04-16,Arlington,Virginia,51013.0,453,12.0
67073,2020-04-17,Arlington,Virginia,51013.0,485,12.0
69835,2020-04-18,Arlington,Virginia,51013.0,520,12.0
72605,2020-04-19,Arlington,Virginia,51013.0,575,20.0
75381,2020-04-20,Arlington,Virginia,51013.0,593,20.0
78163,2020-04-21,Arlington,Virginia,51013.0,625,23.0
80955,2020-04-22,Arlington,Virginia,51013.0,663,24.0
83756,2020-04-23,Arlington,Virginia,51013.0,686,24.0
86563,2020-04-24,Arlington,Virginia,51013.0,722,24.0
89378,2020-04-25,Arlington,Virginia,51013.0,764,29.0
92195,2020-04-26,Arlington,Virginia,51013.0,790,32.0
95024,2020-04-27,Arlington,Virginia,51013.0,836,32.0
97866,2020-04-28,Arlington,Virginia,51013.0,865,32.0
100716,2020-04-29,Arlington,Virginia,51013.0,912,32.0
103571,2020-04-30,Arlington,Virginia,51013.0,967,41.0
106435,2020-05-01,Arlington,Virginia,51013.0,1004,42.0
109304,2020-05-02,Arlington,Virginia,51013.0,1044,46.0
112178,2020-05-03,Arlington,Virginia,51013.0,1106,46.0
115061,2020-05-04,Arlington,Virginia,51013.0,1139,47.0
118020,2020-05-05,Arlington,Virginia,51013.0,1169,49.0
120984,2020-05-06,Arlington,Virginia,51013.0,1169,49.0
123965,2020-05-07,Arlington,Virginia,51013.0,1248,52.0
126950,2020-05-08,Arlington,Virginia,51013.0,1281,57.0
129939,2020-05-09,Arlington,Virginia,51013.0,1332,60.0
132929,2020-05-10,Arlington,Virginia,51013.0,1368,61.0
135919,2020-05-11,Arlington,Virginia,51013.0,1399,60.0
138910,2020-05-12,Arlington,Virginia,51013.0,1416,66.0
141906,2020-05-13,Arlington,Virginia,51013.0,1460,69.0
144903,2020-05-14,Arlington,Virginia,51013.0,1499,70.0
147906,2020-05-15,Arlington,Virginia,51013.0,1534,71.0
150915,2020-05-16,Arlington,Virginia,51013.0,1560,74.0
153926,2020-05-17,Arlington,Virginia,51013.0,1590,75.0
156943,2020-05-18,Arlington,Virginia,51013.0,1638,77.0
159967,2020-05-19,Arlington,Virginia,51013.0,1688,79.0
162995,2020-05-20,Arlington,Virginia,51013.0,1728,81.0
166024,2020-05-21,Arlington,Virginia,51013.0,1763,89.0
169060,2020-05-22,Arlington,Virginia,51013.0,1795,91.0
172101,2020-05-23,Arlington,Virginia,51013.0,1804,95.0
175144,2020-05-24,Arlington,Virginia,51013.0,1873,98.0
178189,2020-05-25,Arlington,Virginia,51013.0,1897,101.0
181233,2020-05-26,Arlington,Virginia,51013.0,1935,104.0
184284,2020-05-27,Arlington,Virginia,51013.0,1988,109.0
187341,2020-05-28,Arlington,Virginia,51013.0,2039,109.0
190405,2020-05-29,Arlington,Virginia,51013.0,2089,111.0
193471,2020-05-30,Arlington,Virginia,51013.0,2107,113.0
196541,2020-05-31,Arlington,Virginia,51013.0,2116,115.0
199614,2020-06-01,Arlington,Virginia,51013.0,2123,116.0
202690,2020-06-02,Arlington,Virginia,51013.0,2133,117.0
205769,2020-06-03,Arlington,Virginia,51013.0,2142,120.0
208851,2020-06-04,Arlington,Virginia,51013.0,2150,120.0
211936,2020-06-05,Arlington,Virginia,51013.0,2173,121.0
215023,2020-06-06,Arlington,Virginia,51013.0,2195,120.0
218113,2020-06-07,Arlington,Virginia,51013.0,2225,121.0
221205,2020-06-08,Arlington,Virginia,51013.0,2256,122.0
224301,2020-06-09,Arlington,Virginia,51013.0,2265,122.0
227401,2020-06-10,Arlington,Virginia,51013.0,2280,121.0
230505,2020-06-11,Arlington,Virginia,51013.0,2299,124.0
233610,2020-06-12,Arlington,Virginia,51013.0,2307,125.0
236717,2020-06-13,Arlington,Virginia,51013.0,2321,125.0
239825,2020-06-14,Arlington,Virginia,51013.0,2338,125.0
242936,2020-06-15,Arlington,Virginia,51013.0,2346,125.0
246048,2020-06-16,Arlington,Virginia,51013.0,2363,125.0
249160,2020-06-17,Arlington,Virginia,51013.0,2372,124.0
252275,2020-06-18,Arlington,Virginia,51013.0,2382,126.0
255393,2020-06-19,Arlington,Virginia,51013.0,2396,126.0
258520,2020-06-20,Arlington,Virginia,51013.0,2405,126.0
261647,2020-06-21,Arlington,Virginia,51013.0,2418,126.0
264776,2020-06-22,Arlington,Virginia,51013.0,2424,126.0
267905,2020-06-23,Arlington,Virginia,51013.0,2431,126.0
271039,2020-06-24,Arlington,Virginia,51013.0,2438,126.0
274179,2020-06-25,Arlington,Virginia,51013.0,2445,127.0
