,date,county,state,fips,cases,deaths
30614,2020-04-03,Asotin,Washington,53003.0,1,0.0
33014,2020-04-04,Asotin,Washington,53003.0,2,0.0
35452,2020-04-05,Asotin,Washington,53003.0,3,0.0
37936,2020-04-06,Asotin,Washington,53003.0,4,0.0
40471,2020-04-07,Asotin,Washington,53003.0,4,0.0
43040,2020-04-08,Asotin,Washington,53003.0,4,0.0
45636,2020-04-09,Asotin,Washington,53003.0,4,0.0
48263,2020-04-10,Asotin,Washington,53003.0,4,0.0
50921,2020-04-11,Asotin,Washington,53003.0,5,0.0
53596,2020-04-12,Asotin,Washington,53003.0,5,0.0
56286,2020-04-13,Asotin,Washington,53003.0,6,0.0
58992,2020-04-14,Asotin,Washington,53003.0,6,0.0
61711,2020-04-15,Asotin,Washington,53003.0,8,0.0
64444,2020-04-16,Asotin,Washington,53003.0,10,0.0
67192,2020-04-17,Asotin,Washington,53003.0,11,0.0
69954,2020-04-18,Asotin,Washington,53003.0,12,0.0
72724,2020-04-19,Asotin,Washington,53003.0,12,0.0
75500,2020-04-20,Asotin,Washington,53003.0,13,1.0
78283,2020-04-21,Asotin,Washington,53003.0,14,1.0
81076,2020-04-22,Asotin,Washington,53003.0,14,1.0
83877,2020-04-23,Asotin,Washington,53003.0,16,1.0
86684,2020-04-24,Asotin,Washington,53003.0,16,1.0
89499,2020-04-25,Asotin,Washington,53003.0,17,1.0
92316,2020-04-26,Asotin,Washington,53003.0,17,1.0
95145,2020-04-27,Asotin,Washington,53003.0,17,1.0
97990,2020-04-28,Asotin,Washington,53003.0,17,2.0
100840,2020-04-29,Asotin,Washington,53003.0,17,2.0
103695,2020-04-30,Asotin,Washington,53003.0,18,2.0
106559,2020-05-01,Asotin,Washington,53003.0,18,2.0
109428,2020-05-02,Asotin,Washington,53003.0,18,2.0
112302,2020-05-03,Asotin,Washington,53003.0,18,2.0
115185,2020-05-04,Asotin,Washington,53003.0,18,2.0
118144,2020-05-05,Asotin,Washington,53003.0,18,2.0
121108,2020-05-06,Asotin,Washington,53003.0,18,2.0
124088,2020-05-07,Asotin,Washington,53003.0,18,2.0
127073,2020-05-08,Asotin,Washington,53003.0,18,2.0
130063,2020-05-09,Asotin,Washington,53003.0,18,2.0
133053,2020-05-10,Asotin,Washington,53003.0,18,2.0
136043,2020-05-11,Asotin,Washington,53003.0,18,2.0
139034,2020-05-12,Asotin,Washington,53003.0,18,2.0
142030,2020-05-13,Asotin,Washington,53003.0,18,2.0
145027,2020-05-14,Asotin,Washington,53003.0,18,2.0
148030,2020-05-15,Asotin,Washington,53003.0,18,2.0
151039,2020-05-16,Asotin,Washington,53003.0,18,2.0
154050,2020-05-17,Asotin,Washington,53003.0,18,2.0
157067,2020-05-18,Asotin,Washington,53003.0,18,2.0
160091,2020-05-19,Asotin,Washington,53003.0,18,2.0
163119,2020-05-20,Asotin,Washington,53003.0,18,2.0
166148,2020-05-21,Asotin,Washington,53003.0,18,2.0
169184,2020-05-22,Asotin,Washington,53003.0,18,2.0
172225,2020-05-23,Asotin,Washington,53003.0,18,2.0
175268,2020-05-24,Asotin,Washington,53003.0,18,2.0
178313,2020-05-25,Asotin,Washington,53003.0,18,2.0
181357,2020-05-26,Asotin,Washington,53003.0,19,2.0
184408,2020-05-27,Asotin,Washington,53003.0,19,2.0
187465,2020-05-28,Asotin,Washington,53003.0,19,2.0
190529,2020-05-29,Asotin,Washington,53003.0,19,2.0
193595,2020-05-30,Asotin,Washington,53003.0,19,2.0
196665,2020-05-31,Asotin,Washington,53003.0,19,2.0
199738,2020-06-01,Asotin,Washington,53003.0,19,2.0
202814,2020-06-02,Asotin,Washington,53003.0,19,2.0
205893,2020-06-03,Asotin,Washington,53003.0,19,2.0
208975,2020-06-04,Asotin,Washington,53003.0,19,2.0
212060,2020-06-05,Asotin,Washington,53003.0,19,2.0
