date,county,state,fips,cases,deaths
2020-03-19,Assumption,Louisiana,22007.0,1,0.0
2020-03-20,Assumption,Louisiana,22007.0,1,0.0
2020-03-21,Assumption,Louisiana,22007.0,1,0.0
2020-03-22,Assumption,Louisiana,22007.0,1,0.0
2020-03-23,Assumption,Louisiana,22007.0,1,0.0
2020-03-24,Assumption,Louisiana,22007.0,2,0.0
2020-03-25,Assumption,Louisiana,22007.0,2,0.0
2020-03-26,Assumption,Louisiana,22007.0,5,0.0
2020-03-27,Assumption,Louisiana,22007.0,8,0.0
2020-03-28,Assumption,Louisiana,22007.0,8,0.0
2020-03-29,Assumption,Louisiana,22007.0,14,0.0
2020-03-30,Assumption,Louisiana,22007.0,17,0.0
2020-03-31,Assumption,Louisiana,22007.0,20,0.0
2020-04-01,Assumption,Louisiana,22007.0,25,0.0
2020-04-02,Assumption,Louisiana,22007.0,31,0.0
2020-04-03,Assumption,Louisiana,22007.0,33,0.0
2020-04-04,Assumption,Louisiana,22007.0,56,0.0
2020-04-05,Assumption,Louisiana,22007.0,59,0.0
2020-04-06,Assumption,Louisiana,22007.0,77,0.0
2020-04-07,Assumption,Louisiana,22007.0,84,1.0
2020-04-08,Assumption,Louisiana,22007.0,89,0.0
2020-04-09,Assumption,Louisiana,22007.0,94,0.0
2020-04-10,Assumption,Louisiana,22007.0,105,1.0
2020-04-11,Assumption,Louisiana,22007.0,109,1.0
2020-04-12,Assumption,Louisiana,22007.0,116,1.0
2020-04-13,Assumption,Louisiana,22007.0,120,1.0
2020-04-14,Assumption,Louisiana,22007.0,123,1.0
2020-04-15,Assumption,Louisiana,22007.0,129,1.0
2020-04-16,Assumption,Louisiana,22007.0,132,1.0
2020-04-17,Assumption,Louisiana,22007.0,137,1.0
2020-04-18,Assumption,Louisiana,22007.0,143,1.0
2020-04-19,Assumption,Louisiana,22007.0,146,1.0
2020-04-20,Assumption,Louisiana,22007.0,146,1.0
2020-04-21,Assumption,Louisiana,22007.0,151,1.0
