date,county,state,fips,cases,deaths
2020-03-18,Atlantic,New Jersey,34001.0,3,0.0
2020-03-19,Atlantic,New Jersey,34001.0,3,0.0
2020-03-20,Atlantic,New Jersey,34001.0,3,0.0
2020-03-21,Atlantic,New Jersey,34001.0,4,0.0
2020-03-22,Atlantic,New Jersey,34001.0,5,0.0
2020-03-23,Atlantic,New Jersey,34001.0,6,0.0
2020-03-24,Atlantic,New Jersey,34001.0,6,0.0
2020-03-25,Atlantic,New Jersey,34001.0,9,0.0
2020-03-26,Atlantic,New Jersey,34001.0,10,0.0
2020-03-27,Atlantic,New Jersey,34001.0,14,0.0
2020-03-28,Atlantic,New Jersey,34001.0,17,0.0
2020-03-29,Atlantic,New Jersey,34001.0,24,0.0
2020-03-30,Atlantic,New Jersey,34001.0,30,0.0
2020-03-31,Atlantic,New Jersey,34001.0,31,0.0
2020-04-01,Atlantic,New Jersey,34001.0,40,0.0
2020-04-02,Atlantic,New Jersey,34001.0,50,1.0
2020-04-03,Atlantic,New Jersey,34001.0,75,1.0
2020-04-04,Atlantic,New Jersey,34001.0,98,1.0
2020-04-05,Atlantic,New Jersey,34001.0,121,1.0
2020-04-06,Atlantic,New Jersey,34001.0,132,1.0
2020-04-07,Atlantic,New Jersey,34001.0,144,4.0
2020-04-08,Atlantic,New Jersey,34001.0,168,4.0
2020-04-09,Atlantic,New Jersey,34001.0,191,4.0
2020-04-10,Atlantic,New Jersey,34001.0,211,6.0
2020-04-11,Atlantic,New Jersey,34001.0,230,7.0
2020-04-12,Atlantic,New Jersey,34001.0,253,8.0
2020-04-13,Atlantic,New Jersey,34001.0,267,8.0
2020-04-14,Atlantic,New Jersey,34001.0,284,11.0
2020-04-15,Atlantic,New Jersey,34001.0,322,13.0
2020-04-16,Atlantic,New Jersey,34001.0,344,13.0
2020-04-17,Atlantic,New Jersey,34001.0,370,17.0
2020-04-18,Atlantic,New Jersey,34001.0,382,19.0
2020-04-19,Atlantic,New Jersey,34001.0,398,19.0
2020-04-20,Atlantic,New Jersey,34001.0,410,19.0
2020-04-21,Atlantic,New Jersey,34001.0,469,22.0
2020-04-22,Atlantic,New Jersey,34001.0,505,24.0
2020-04-23,Atlantic,New Jersey,34001.0,544,30.0
2020-04-24,Atlantic,New Jersey,34001.0,566,29.0
2020-04-25,Atlantic,New Jersey,34001.0,596,29.0
2020-04-26,Atlantic,New Jersey,34001.0,638,29.0
2020-04-27,Atlantic,New Jersey,34001.0,749,30.0
2020-04-28,Atlantic,New Jersey,34001.0,868,35.0
2020-04-29,Atlantic,New Jersey,34001.0,908,37.0
2020-04-30,Atlantic,New Jersey,34001.0,964,41.0
2020-05-01,Atlantic,New Jersey,34001.0,1012,45.0
2020-05-02,Atlantic,New Jersey,34001.0,1050,48.0
2020-05-03,Atlantic,New Jersey,34001.0,1075,49.0
2020-05-04,Atlantic,New Jersey,34001.0,1135,51.0
2020-05-05,Atlantic,New Jersey,34001.0,1190,51.0
2020-05-06,Atlantic,New Jersey,34001.0,1246,54.0
2020-05-07,Atlantic,New Jersey,34001.0,1302,62.0
2020-05-08,Atlantic,New Jersey,34001.0,1423,68.0
2020-05-09,Atlantic,New Jersey,34001.0,1494,72.0
2020-05-10,Atlantic,New Jersey,34001.0,1510,72.0
2020-05-11,Atlantic,New Jersey,34001.0,1533,77.0
2020-05-12,Atlantic,New Jersey,34001.0,1558,79.0
2020-05-13,Atlantic,New Jersey,34001.0,1584,88.0
2020-05-14,Atlantic,New Jersey,34001.0,1649,99.0
2020-05-15,Atlantic,New Jersey,34001.0,1678,107.0
2020-05-16,Atlantic,New Jersey,34001.0,1716,110.0
2020-05-17,Atlantic,New Jersey,34001.0,1758,112.0
2020-05-18,Atlantic,New Jersey,34001.0,1807,112.0
2020-05-19,Atlantic,New Jersey,34001.0,1838,121.0
2020-05-20,Atlantic,New Jersey,34001.0,1875,126.0
2020-05-21,Atlantic,New Jersey,34001.0,1895,128.0
2020-05-22,Atlantic,New Jersey,34001.0,1919,130.0
2020-05-23,Atlantic,New Jersey,34001.0,1936,143.0
2020-05-24,Atlantic,New Jersey,34001.0,1961,144.0
2020-05-25,Atlantic,New Jersey,34001.0,2028,144.0
2020-05-26,Atlantic,New Jersey,34001.0,2049,149.0
2020-05-27,Atlantic,New Jersey,34001.0,2087,155.0
2020-05-28,Atlantic,New Jersey,34001.0,2120,156.0
2020-05-29,Atlantic,New Jersey,34001.0,2154,158.0
2020-05-30,Atlantic,New Jersey,34001.0,2183,159.0
2020-05-31,Atlantic,New Jersey,34001.0,2214,159.0
2020-06-01,Atlantic,New Jersey,34001.0,2222,159.0
2020-06-02,Atlantic,New Jersey,34001.0,2251,162.0
2020-06-03,Atlantic,New Jersey,34001.0,2284,163.0
2020-06-04,Atlantic,New Jersey,34001.0,2286,164.0
2020-06-05,Atlantic,New Jersey,34001.0,2309,167.0
2020-06-06,Atlantic,New Jersey,34001.0,2330,167.0
2020-06-07,Atlantic,New Jersey,34001.0,2364,167.0
2020-06-08,Atlantic,New Jersey,34001.0,2383,167.0
