,date,county,state,fips,cases,deaths
27680,2020-04-02,Atoka,Oklahoma,40005.0,1,0.0
30009,2020-04-03,Atoka,Oklahoma,40005.0,1,0.0
32398,2020-04-04,Atoka,Oklahoma,40005.0,1,0.0
34832,2020-04-05,Atoka,Oklahoma,40005.0,1,0.0
37305,2020-04-06,Atoka,Oklahoma,40005.0,1,0.0
39823,2020-04-07,Atoka,Oklahoma,40005.0,1,0.0
42383,2020-04-08,Atoka,Oklahoma,40005.0,1,0.0
44969,2020-04-09,Atoka,Oklahoma,40005.0,1,0.0
47584,2020-04-10,Atoka,Oklahoma,40005.0,1,0.0
50240,2020-04-11,Atoka,Oklahoma,40005.0,1,0.0
52913,2020-04-12,Atoka,Oklahoma,40005.0,1,0.0
55598,2020-04-13,Atoka,Oklahoma,40005.0,1,0.0
58299,2020-04-14,Atoka,Oklahoma,40005.0,1,0.0
61014,2020-04-15,Atoka,Oklahoma,40005.0,1,0.0
63740,2020-04-16,Atoka,Oklahoma,40005.0,1,0.0
66483,2020-04-17,Atoka,Oklahoma,40005.0,1,0.0
69240,2020-04-18,Atoka,Oklahoma,40005.0,1,0.0
72007,2020-04-19,Atoka,Oklahoma,40005.0,1,0.0
74782,2020-04-20,Atoka,Oklahoma,40005.0,1,0.0
77563,2020-04-21,Atoka,Oklahoma,40005.0,1,0.0
80353,2020-04-22,Atoka,Oklahoma,40005.0,1,0.0
83152,2020-04-23,Atoka,Oklahoma,40005.0,1,0.0
85956,2020-04-24,Atoka,Oklahoma,40005.0,1,0.0
88770,2020-04-25,Atoka,Oklahoma,40005.0,1,0.0
91586,2020-04-26,Atoka,Oklahoma,40005.0,1,0.0
94412,2020-04-27,Atoka,Oklahoma,40005.0,1,0.0
97250,2020-04-28,Atoka,Oklahoma,40005.0,1,0.0
100099,2020-04-29,Atoka,Oklahoma,40005.0,1,0.0
102952,2020-04-30,Atoka,Oklahoma,40005.0,1,0.0
105815,2020-05-01,Atoka,Oklahoma,40005.0,1,0.0
108682,2020-05-02,Atoka,Oklahoma,40005.0,1,0.0
111556,2020-05-03,Atoka,Oklahoma,40005.0,1,0.0
114437,2020-05-04,Atoka,Oklahoma,40005.0,1,0.0
117318,2020-05-05,Atoka,Oklahoma,40005.0,1,0.0
120279,2020-05-06,Atoka,Oklahoma,40005.0,1,0.0
123256,2020-05-07,Atoka,Oklahoma,40005.0,1,0.0
126239,2020-05-08,Atoka,Oklahoma,40005.0,1,0.0
129228,2020-05-09,Atoka,Oklahoma,40005.0,1,0.0
132217,2020-05-10,Atoka,Oklahoma,40005.0,1,0.0
135208,2020-05-11,Atoka,Oklahoma,40005.0,1,0.0
138198,2020-05-12,Atoka,Oklahoma,40005.0,2,0.0
141194,2020-05-13,Atoka,Oklahoma,40005.0,1,0.0
144189,2020-05-14,Atoka,Oklahoma,40005.0,1,0.0
147190,2020-05-15,Atoka,Oklahoma,40005.0,1,0.0
150197,2020-05-16,Atoka,Oklahoma,40005.0,1,0.0
153208,2020-05-17,Atoka,Oklahoma,40005.0,1,0.0
156225,2020-05-18,Atoka,Oklahoma,40005.0,1,0.0
159245,2020-05-19,Atoka,Oklahoma,40005.0,1,0.0
162272,2020-05-20,Atoka,Oklahoma,40005.0,1,0.0
165301,2020-05-21,Atoka,Oklahoma,40005.0,1,0.0
168337,2020-05-22,Atoka,Oklahoma,40005.0,1,0.0
171376,2020-05-23,Atoka,Oklahoma,40005.0,1,0.0
174418,2020-05-24,Atoka,Oklahoma,40005.0,1,0.0
177462,2020-05-25,Atoka,Oklahoma,40005.0,1,0.0
180505,2020-05-26,Atoka,Oklahoma,40005.0,1,0.0
183554,2020-05-27,Atoka,Oklahoma,40005.0,2,0.0
186611,2020-05-28,Atoka,Oklahoma,40005.0,2,0.0
189671,2020-05-29,Atoka,Oklahoma,40005.0,3,0.0
192736,2020-05-30,Atoka,Oklahoma,40005.0,3,0.0
195805,2020-05-31,Atoka,Oklahoma,40005.0,3,0.0
198878,2020-06-01,Atoka,Oklahoma,40005.0,4,0.0
201953,2020-06-02,Atoka,Oklahoma,40005.0,4,0.0
205030,2020-06-03,Atoka,Oklahoma,40005.0,4,0.0
208111,2020-06-04,Atoka,Oklahoma,40005.0,4,0.0
211193,2020-06-05,Atoka,Oklahoma,40005.0,4,0.0
