date,county,state,fips,cases,deaths
2020-03-27,Aurora,South Dakota,46003.0,1,0.0
2020-03-28,Aurora,South Dakota,46003.0,1,0.0
2020-03-29,Aurora,South Dakota,46003.0,1,0.0
2020-03-30,Aurora,South Dakota,46003.0,1,0.0
2020-03-31,Aurora,South Dakota,46003.0,1,0.0
2020-04-01,Aurora,South Dakota,46003.0,1,0.0
2020-04-02,Aurora,South Dakota,46003.0,1,0.0
2020-04-03,Aurora,South Dakota,46003.0,1,0.0
2020-04-04,Aurora,South Dakota,46003.0,1,0.0
2020-04-05,Aurora,South Dakota,46003.0,1,0.0
2020-04-06,Aurora,South Dakota,46003.0,1,0.0
2020-04-07,Aurora,South Dakota,46003.0,1,0.0
2020-04-08,Aurora,South Dakota,46003.0,1,0.0
2020-04-09,Aurora,South Dakota,46003.0,1,0.0
2020-04-10,Aurora,South Dakota,46003.0,1,0.0
2020-04-11,Aurora,South Dakota,46003.0,1,0.0
2020-04-12,Aurora,South Dakota,46003.0,1,0.0
2020-04-13,Aurora,South Dakota,46003.0,1,0.0
2020-04-14,Aurora,South Dakota,46003.0,1,0.0
2020-04-15,Aurora,South Dakota,46003.0,1,0.0
2020-04-16,Aurora,South Dakota,46003.0,1,0.0
2020-04-17,Aurora,South Dakota,46003.0,1,0.0
2020-04-18,Aurora,South Dakota,46003.0,1,0.0
2020-04-19,Aurora,South Dakota,46003.0,1,0.0
2020-04-20,Aurora,South Dakota,46003.0,1,0.0
2020-04-21,Aurora,South Dakota,46003.0,1,0.0
2020-04-22,Aurora,South Dakota,46003.0,1,0.0
2020-04-23,Aurora,South Dakota,46003.0,1,0.0
2020-04-24,Aurora,South Dakota,46003.0,1,0.0
2020-04-25,Aurora,South Dakota,46003.0,1,0.0
2020-04-26,Aurora,South Dakota,46003.0,1,0.0
2020-04-27,Aurora,South Dakota,46003.0,1,0.0
2020-04-28,Aurora,South Dakota,46003.0,1,0.0
2020-04-29,Aurora,South Dakota,46003.0,1,0.0
2020-04-30,Aurora,South Dakota,46003.0,1,0.0
2020-05-01,Aurora,South Dakota,46003.0,1,0.0
2020-05-02,Aurora,South Dakota,46003.0,1,0.0
2020-05-03,Aurora,South Dakota,46003.0,1,0.0
2020-05-04,Aurora,South Dakota,46003.0,1,0.0
2020-05-05,Aurora,South Dakota,46003.0,1,0.0
2020-05-06,Aurora,South Dakota,46003.0,1,0.0
2020-05-07,Aurora,South Dakota,46003.0,1,0.0
2020-05-08,Aurora,South Dakota,46003.0,1,0.0
2020-05-09,Aurora,South Dakota,46003.0,1,0.0
2020-05-10,Aurora,South Dakota,46003.0,2,0.0
2020-05-11,Aurora,South Dakota,46003.0,2,0.0
2020-05-12,Aurora,South Dakota,46003.0,2,0.0
2020-05-13,Aurora,South Dakota,46003.0,2,0.0
2020-05-14,Aurora,South Dakota,46003.0,2,0.0
2020-05-15,Aurora,South Dakota,46003.0,2,0.0
2020-05-16,Aurora,South Dakota,46003.0,2,0.0
2020-05-17,Aurora,South Dakota,46003.0,3,0.0
2020-05-18,Aurora,South Dakota,46003.0,3,0.0
2020-05-19,Aurora,South Dakota,46003.0,3,0.0
2020-05-20,Aurora,South Dakota,46003.0,8,0.0
2020-05-21,Aurora,South Dakota,46003.0,8,0.0
2020-05-22,Aurora,South Dakota,46003.0,20,0.0
2020-05-23,Aurora,South Dakota,46003.0,22,0.0
2020-05-24,Aurora,South Dakota,46003.0,22,0.0
2020-05-25,Aurora,South Dakota,46003.0,22,0.0
2020-05-26,Aurora,South Dakota,46003.0,22,0.0
2020-05-27,Aurora,South Dakota,46003.0,22,0.0
2020-05-28,Aurora,South Dakota,46003.0,23,0.0
2020-05-29,Aurora,South Dakota,46003.0,23,0.0
2020-05-30,Aurora,South Dakota,46003.0,25,0.0
2020-05-31,Aurora,South Dakota,46003.0,26,0.0
2020-06-01,Aurora,South Dakota,46003.0,26,0.0
2020-06-02,Aurora,South Dakota,46003.0,26,0.0
2020-06-03,Aurora,South Dakota,46003.0,27,0.0
2020-06-04,Aurora,South Dakota,46003.0,27,0.0
2020-06-05,Aurora,South Dakota,46003.0,27,0.0
2020-06-06,Aurora,South Dakota,46003.0,29,0.0
2020-06-07,Aurora,South Dakota,46003.0,29,0.0
2020-06-08,Aurora,South Dakota,46003.0,29,0.0
2020-06-09,Aurora,South Dakota,46003.0,29,0.0
2020-06-10,Aurora,South Dakota,46003.0,29,0.0
2020-06-11,Aurora,South Dakota,46003.0,29,0.0
2020-06-12,Aurora,South Dakota,46003.0,30,0.0
2020-06-13,Aurora,South Dakota,46003.0,33,0.0
2020-06-14,Aurora,South Dakota,46003.0,33,0.0
2020-06-15,Aurora,South Dakota,46003.0,33,0.0
2020-06-16,Aurora,South Dakota,46003.0,33,0.0
2020-06-17,Aurora,South Dakota,46003.0,33,0.0
2020-06-18,Aurora,South Dakota,46003.0,33,0.0
2020-06-19,Aurora,South Dakota,46003.0,34,0.0
