,date,county,state,fips,cases,deaths
12111,2020-03-25,Austin,Texas,48015.0,1,0.0
13739,2020-03-26,Austin,Texas,48015.0,1,0.0
15492,2020-03-27,Austin,Texas,48015.0,1,0.0
17359,2020-03-28,Austin,Texas,48015.0,1,0.0
19309,2020-03-29,Austin,Texas,48015.0,2,0.0
21368,2020-03-30,Austin,Texas,48015.0,2,0.0
23507,2020-03-31,Austin,Texas,48015.0,2,0.0
25711,2020-04-01,Austin,Texas,48015.0,2,0.0
27991,2020-04-02,Austin,Texas,48015.0,4,0.0
30326,2020-04-03,Austin,Texas,48015.0,4,0.0
32719,2020-04-04,Austin,Texas,48015.0,4,0.0
35157,2020-04-05,Austin,Texas,48015.0,5,0.0
37633,2020-04-06,Austin,Texas,48015.0,5,0.0
40155,2020-04-07,Austin,Texas,48015.0,6,0.0
42717,2020-04-08,Austin,Texas,48015.0,6,0.0
45305,2020-04-09,Austin,Texas,48015.0,7,0.0
47923,2020-04-10,Austin,Texas,48015.0,8,0.0
50580,2020-04-11,Austin,Texas,48015.0,8,0.0
53255,2020-04-12,Austin,Texas,48015.0,10,0.0
55943,2020-04-13,Austin,Texas,48015.0,11,0.0
58647,2020-04-14,Austin,Texas,48015.0,12,0.0
61363,2020-04-15,Austin,Texas,48015.0,12,0.0
64090,2020-04-16,Austin,Texas,48015.0,12,0.0
66837,2020-04-17,Austin,Texas,48015.0,12,0.0
69596,2020-04-18,Austin,Texas,48015.0,12,0.0
72363,2020-04-19,Austin,Texas,48015.0,12,0.0
75138,2020-04-20,Austin,Texas,48015.0,12,0.0
77920,2020-04-21,Austin,Texas,48015.0,12,0.0
80710,2020-04-22,Austin,Texas,48015.0,12,0.0
83509,2020-04-23,Austin,Texas,48015.0,12,0.0
86314,2020-04-24,Austin,Texas,48015.0,12,0.0
89129,2020-04-25,Austin,Texas,48015.0,12,0.0
91946,2020-04-26,Austin,Texas,48015.0,12,0.0
94774,2020-04-27,Austin,Texas,48015.0,12,0.0
97614,2020-04-28,Austin,Texas,48015.0,12,0.0
100464,2020-04-29,Austin,Texas,48015.0,13,0.0
103317,2020-04-30,Austin,Texas,48015.0,13,0.0
106180,2020-05-01,Austin,Texas,48015.0,13,0.0
109047,2020-05-02,Austin,Texas,48015.0,13,0.0
