,date,county,state,fips,cases,deaths
9480,2020-03-24,Autauga,Alabama,1001.0,1,0.0
10835,2020-03-25,Autauga,Alabama,1001.0,4,0.0
12367,2020-03-26,Autauga,Alabama,1001.0,6,0.0
14025,2020-03-27,Autauga,Alabama,1001.0,6,0.0
15803,2020-03-28,Autauga,Alabama,1001.0,6,0.0
17686,2020-03-29,Autauga,Alabama,1001.0,6,0.0
19655,2020-03-30,Autauga,Alabama,1001.0,7,0.0
21727,2020-03-31,Autauga,Alabama,1001.0,7,0.0
23880,2020-04-01,Autauga,Alabama,1001.0,10,0.0
26101,2020-04-02,Autauga,Alabama,1001.0,10,0.0
28396,2020-04-03,Autauga,Alabama,1001.0,12,0.0
30753,2020-04-04,Autauga,Alabama,1001.0,12,0.0
33157,2020-04-05,Autauga,Alabama,1001.0,12,0.0
35596,2020-04-06,Autauga,Alabama,1001.0,12,1.0
38084,2020-04-07,Autauga,Alabama,1001.0,12,1.0
40626,2020-04-08,Autauga,Alabama,1001.0,12,1.0
43199,2020-04-09,Autauga,Alabama,1001.0,17,1.0
45797,2020-04-10,Autauga,Alabama,1001.0,17,1.0
48426,2020-04-11,Autauga,Alabama,1001.0,19,1.0
51087,2020-04-12,Autauga,Alabama,1001.0,19,1.0
53765,2020-04-13,Autauga,Alabama,1001.0,19,1.0
56457,2020-04-14,Autauga,Alabama,1001.0,23,1.0
59165,2020-04-15,Autauga,Alabama,1001.0,25,1.0
61883,2020-04-16,Autauga,Alabama,1001.0,25,2.0
64616,2020-04-17,Autauga,Alabama,1001.0,26,2.0
67364,2020-04-18,Autauga,Alabama,1001.0,25,2.0
70126,2020-04-19,Autauga,Alabama,1001.0,27,2.0
72895,2020-04-20,Autauga,Alabama,1001.0,28,1.0
75671,2020-04-21,Autauga,Alabama,1001.0,30,1.0
78454,2020-04-22,Autauga,Alabama,1001.0,32,2.0
81247,2020-04-23,Autauga,Alabama,1001.0,33,2.0
84048,2020-04-24,Autauga,Alabama,1001.0,36,2.0
86856,2020-04-25,Autauga,Alabama,1001.0,37,2.0
89672,2020-04-26,Autauga,Alabama,1001.0,37,2.0
92490,2020-04-27,Autauga,Alabama,1001.0,39,3.0
95320,2020-04-28,Autauga,Alabama,1001.0,40,4.0
98165,2020-04-29,Autauga,Alabama,1001.0,43,4.0
