,date,county,state,fips,cases,deaths
2885,2020-03-16,Bartholomew,Indiana,18005.0,1,0.0
3374,2020-03-17,Bartholomew,Indiana,18005.0,1,0.0
3944,2020-03-18,Bartholomew,Indiana,18005.0,1,0.0
4620,2020-03-19,Bartholomew,Indiana,18005.0,1,0.0
5427,2020-03-20,Bartholomew,Indiana,18005.0,1,0.0
6362,2020-03-21,Bartholomew,Indiana,18005.0,2,0.0
7416,2020-03-22,Bartholomew,Indiana,18005.0,5,0.0
8573,2020-03-23,Bartholomew,Indiana,18005.0,5,0.0
9837,2020-03-24,Bartholomew,Indiana,18005.0,5,0.0
11230,2020-03-25,Bartholomew,Indiana,18005.0,5,0.0
12786,2020-03-26,Bartholomew,Indiana,18005.0,6,0.0
14464,2020-03-27,Bartholomew,Indiana,18005.0,6,0.0
16261,2020-03-28,Bartholomew,Indiana,18005.0,7,0.0
18162,2020-03-29,Bartholomew,Indiana,18005.0,10,0.0
20168,2020-03-30,Bartholomew,Indiana,18005.0,10,0.0
22261,2020-03-31,Bartholomew,Indiana,18005.0,13,0.0
24431,2020-04-01,Bartholomew,Indiana,18005.0,13,0.0
26669,2020-04-02,Bartholomew,Indiana,18005.0,15,0.0
28979,2020-04-03,Bartholomew,Indiana,18005.0,23,0.0
31345,2020-04-04,Bartholomew,Indiana,18005.0,45,0.0
33755,2020-04-05,Bartholomew,Indiana,18005.0,54,0.0
36208,2020-04-06,Bartholomew,Indiana,18005.0,55,2.0
38706,2020-04-07,Bartholomew,Indiana,18005.0,56,5.0
41252,2020-04-08,Bartholomew,Indiana,18005.0,68,6.0
43828,2020-04-09,Bartholomew,Indiana,18005.0,85,6.0
46432,2020-04-10,Bartholomew,Indiana,18005.0,85,6.0
49066,2020-04-11,Bartholomew,Indiana,18005.0,110,6.0
51728,2020-04-12,Bartholomew,Indiana,18005.0,112,6.0
54409,2020-04-13,Bartholomew,Indiana,18005.0,112,6.0
57102,2020-04-14,Bartholomew,Indiana,18005.0,112,6.0
59810,2020-04-15,Bartholomew,Indiana,18005.0,115,6.0
62531,2020-04-16,Bartholomew,Indiana,18005.0,119,8.0
65265,2020-04-17,Bartholomew,Indiana,18005.0,133,9.0
68014,2020-04-18,Bartholomew,Indiana,18005.0,134,9.0
70776,2020-04-19,Bartholomew,Indiana,18005.0,139,9.0
73547,2020-04-20,Bartholomew,Indiana,18005.0,143,9.0
76324,2020-04-21,Bartholomew,Indiana,18005.0,143,10.0
79108,2020-04-22,Bartholomew,Indiana,18005.0,149,10.0
81901,2020-04-23,Bartholomew,Indiana,18005.0,166,11.0
84701,2020-04-24,Bartholomew,Indiana,18005.0,178,11.0
87511,2020-04-25,Bartholomew,Indiana,18005.0,201,13.0
90327,2020-04-26,Bartholomew,Indiana,18005.0,209,13.0
93146,2020-04-27,Bartholomew,Indiana,18005.0,235,13.0
95978,2020-04-28,Bartholomew,Indiana,18005.0,241,14.0
98822,2020-04-29,Bartholomew,Indiana,18005.0,244,15.0
