,date,county,state,fips,cases,deaths
6948,2020-03-21,Bastrop,Texas,48021.0,1,0.0
8078,2020-03-22,Bastrop,Texas,48021.0,1,0.0
9296,2020-03-23,Bastrop,Texas,48021.0,1,0.0
10630,2020-03-24,Bastrop,Texas,48021.0,1,0.0
12112,2020-03-25,Bastrop,Texas,48021.0,1,0.0
13740,2020-03-26,Bastrop,Texas,48021.0,2,0.0
15493,2020-03-27,Bastrop,Texas,48021.0,2,0.0
17360,2020-03-28,Bastrop,Texas,48021.0,4,0.0
19310,2020-03-29,Bastrop,Texas,48021.0,5,0.0
21369,2020-03-30,Bastrop,Texas,48021.0,6,0.0
23508,2020-03-31,Bastrop,Texas,48021.0,6,0.0
25712,2020-04-01,Bastrop,Texas,48021.0,8,0.0
27992,2020-04-02,Bastrop,Texas,48021.0,10,0.0
30327,2020-04-03,Bastrop,Texas,48021.0,10,0.0
32720,2020-04-04,Bastrop,Texas,48021.0,10,0.0
35158,2020-04-05,Bastrop,Texas,48021.0,9,0.0
37634,2020-04-06,Bastrop,Texas,48021.0,11,1.0
40156,2020-04-07,Bastrop,Texas,48021.0,15,1.0
42718,2020-04-08,Bastrop,Texas,48021.0,18,1.0
45307,2020-04-09,Bastrop,Texas,48021.0,18,1.0
47925,2020-04-10,Bastrop,Texas,48021.0,26,1.0
50582,2020-04-11,Bastrop,Texas,48021.0,27,1.0
53257,2020-04-12,Bastrop,Texas,48021.0,27,1.0
55945,2020-04-13,Bastrop,Texas,48021.0,27,1.0
58649,2020-04-14,Bastrop,Texas,48021.0,34,1.0
61365,2020-04-15,Bastrop,Texas,48021.0,38,1.0
64092,2020-04-16,Bastrop,Texas,48021.0,43,1.0
66839,2020-04-17,Bastrop,Texas,48021.0,44,2.0
69598,2020-04-18,Bastrop,Texas,48021.0,44,2.0
72365,2020-04-19,Bastrop,Texas,48021.0,44,2.0
75140,2020-04-20,Bastrop,Texas,48021.0,48,2.0
77922,2020-04-21,Bastrop,Texas,48021.0,50,2.0
80712,2020-04-22,Bastrop,Texas,48021.0,52,2.0
83511,2020-04-23,Bastrop,Texas,48021.0,53,2.0
86316,2020-04-24,Bastrop,Texas,48021.0,57,2.0
89131,2020-04-25,Bastrop,Texas,48021.0,57,2.0
91948,2020-04-26,Bastrop,Texas,48021.0,58,2.0
94776,2020-04-27,Bastrop,Texas,48021.0,59,2.0
97616,2020-04-28,Bastrop,Texas,48021.0,59,2.0
100466,2020-04-29,Bastrop,Texas,48021.0,67,2.0
103319,2020-04-30,Bastrop,Texas,48021.0,73,2.0
106182,2020-05-01,Bastrop,Texas,48021.0,82,2.0
109049,2020-05-02,Bastrop,Texas,48021.0,83,2.0
111923,2020-05-03,Bastrop,Texas,48021.0,86,2.0
114805,2020-05-04,Bastrop,Texas,48021.0,89,2.0
117762,2020-05-05,Bastrop,Texas,48021.0,98,2.0
120726,2020-05-06,Bastrop,Texas,48021.0,100,2.0
123705,2020-05-07,Bastrop,Texas,48021.0,107,2.0
126688,2020-05-08,Bastrop,Texas,48021.0,106,2.0
129677,2020-05-09,Bastrop,Texas,48021.0,108,2.0
132667,2020-05-10,Bastrop,Texas,48021.0,109,2.0
135658,2020-05-11,Bastrop,Texas,48021.0,110,2.0
138648,2020-05-12,Bastrop,Texas,48021.0,117,2.0
141644,2020-05-13,Bastrop,Texas,48021.0,120,2.0
144641,2020-05-14,Bastrop,Texas,48021.0,125,2.0
147643,2020-05-15,Bastrop,Texas,48021.0,128,2.0
150651,2020-05-16,Bastrop,Texas,48021.0,132,2.0
153662,2020-05-17,Bastrop,Texas,48021.0,132,2.0
156679,2020-05-18,Bastrop,Texas,48021.0,132,2.0
159701,2020-05-19,Bastrop,Texas,48021.0,148,2.0
162728,2020-05-20,Bastrop,Texas,48021.0,152,2.0
165757,2020-05-21,Bastrop,Texas,48021.0,161,2.0
168793,2020-05-22,Bastrop,Texas,48021.0,161,2.0
171832,2020-05-23,Bastrop,Texas,48021.0,173,2.0
174875,2020-05-24,Bastrop,Texas,48021.0,177,2.0
177919,2020-05-25,Bastrop,Texas,48021.0,182,2.0
180962,2020-05-26,Bastrop,Texas,48021.0,184,2.0
184012,2020-05-27,Bastrop,Texas,48021.0,190,2.0
187069,2020-05-28,Bastrop,Texas,48021.0,196,3.0
190133,2020-05-29,Bastrop,Texas,48021.0,200,3.0
193198,2020-05-30,Bastrop,Texas,48021.0,204,3.0
196268,2020-05-31,Bastrop,Texas,48021.0,211,3.0
199341,2020-06-01,Bastrop,Texas,48021.0,212,3.0
202416,2020-06-02,Bastrop,Texas,48021.0,220,3.0
205495,2020-06-03,Bastrop,Texas,48021.0,231,3.0
208577,2020-06-04,Bastrop,Texas,48021.0,240,3.0
211659,2020-06-05,Bastrop,Texas,48021.0,245,3.0
214746,2020-06-06,Bastrop,Texas,48021.0,250,3.0
217836,2020-06-07,Bastrop,Texas,48021.0,255,3.0
220928,2020-06-08,Bastrop,Texas,48021.0,255,3.0
224023,2020-06-09,Bastrop,Texas,48021.0,270,4.0
227123,2020-06-10,Bastrop,Texas,48021.0,279,4.0
230227,2020-06-11,Bastrop,Texas,48021.0,285,4.0
233331,2020-06-12,Bastrop,Texas,48021.0,288,4.0
236437,2020-06-13,Bastrop,Texas,48021.0,293,4.0
239545,2020-06-14,Bastrop,Texas,48021.0,295,4.0
242655,2020-06-15,Bastrop,Texas,48021.0,295,4.0
245767,2020-06-16,Bastrop,Texas,48021.0,313,4.0
248880,2020-06-17,Bastrop,Texas,48021.0,338,4.0
251995,2020-06-18,Bastrop,Texas,48021.0,346,4.0
255110,2020-06-19,Bastrop,Texas,48021.0,338,4.0
258236,2020-06-20,Bastrop,Texas,48021.0,340,4.0
261363,2020-06-21,Bastrop,Texas,48021.0,340,4.0
264491,2020-06-22,Bastrop,Texas,48021.0,363,4.0
267619,2020-06-23,Bastrop,Texas,48021.0,369,4.0
270753,2020-06-24,Bastrop,Texas,48021.0,373,5.0
273892,2020-06-25,Bastrop,Texas,48021.0,386,6.0
277039,2020-06-26,Bastrop,Texas,48021.0,407,6.0
280187,2020-06-27,Bastrop,Texas,48021.0,415,6.0
283333,2020-06-28,Bastrop,Texas,48021.0,417,6.0
286479,2020-06-29,Bastrop,Texas,48021.0,439,6.0
289629,2020-06-30,Bastrop,Texas,48021.0,442,6.0
292782,2020-07-01,Bastrop,Texas,48021.0,446,6.0
295937,2020-07-02,Bastrop,Texas,48021.0,458,6.0
299097,2020-07-03,Bastrop,Texas,48021.0,457,6.0
302261,2020-07-04,Bastrop,Texas,48021.0,468,6.0
305425,2020-07-05,Bastrop,Texas,48021.0,468,6.0
308593,2020-07-06,Bastrop,Texas,48021.0,522,6.0
311762,2020-07-07,Bastrop,Texas,48021.0,522,6.0
314936,2020-07-08,Bastrop,Texas,48021.0,619,7.0
318109,2020-07-09,Bastrop,Texas,48021.0,659,8.0
321287,2020-07-10,Bastrop,Texas,48021.0,689,8.0
324468,2020-07-11,Bastrop,Texas,48021.0,727,11.0
327653,2020-07-12,Bastrop,Texas,48021.0,734,11.0
330839,2020-07-13,Bastrop,Texas,48021.0,735,11.0
334030,2020-07-14,Bastrop,Texas,48021.0,800,11.0
337225,2020-07-15,Bastrop,Texas,48021.0,862,12.0
340421,2020-07-16,Bastrop,Texas,48021.0,878,12.0
343620,2020-07-17,Bastrop,Texas,48021.0,952,12.0
346820,2020-07-18,Bastrop,Texas,48021.0,952,12.0
350020,2020-07-19,Bastrop,Texas,48021.0,1001,12.0
353222,2020-07-20,Bastrop,Texas,48021.0,1034,12.0
356425,2020-07-21,Bastrop,Texas,48021.0,1046,12.0
359630,2020-07-22,Bastrop,Texas,48021.0,1056,12.0
362837,2020-07-23,Bastrop,Texas,48021.0,1110,12.0
366043,2020-07-24,Bastrop,Texas,48021.0,1142,12.0
369252,2020-07-25,Bastrop,Texas,48021.0,1190,12.0
372464,2020-07-26,Bastrop,Texas,48021.0,1190,12.0
375677,2020-07-27,Bastrop,Texas,48021.0,1195,17.0
378893,2020-07-28,Bastrop,Texas,48021.0,1269,17.0
382110,2020-07-29,Bastrop,Texas,48021.0,1273,17.0
385328,2020-07-30,Bastrop,Texas,48021.0,1277,18.0
388545,2020-07-31,Bastrop,Texas,48021.0,1289,18.0
391762,2020-08-01,Bastrop,Texas,48021.0,1296,18.0
394978,2020-08-02,Bastrop,Texas,48021.0,1296,18.0
398194,2020-08-03,Bastrop,Texas,48021.0,1296,18.0
401410,2020-08-04,Bastrop,Texas,48021.0,1302,18.0
404628,2020-08-05,Bastrop,Texas,48021.0,1313,20.0
407848,2020-08-06,Bastrop,Texas,48021.0,1344,20.0
411067,2020-08-07,Bastrop,Texas,48021.0,1350,21.0
414287,2020-08-08,Bastrop,Texas,48021.0,1358,21.0
417508,2020-08-09,Bastrop,Texas,48021.0,1363,21.0
420729,2020-08-10,Bastrop,Texas,48021.0,1365,21.0
423950,2020-08-11,Bastrop,Texas,48021.0,1375,21.0
427174,2020-08-12,Bastrop,Texas,48021.0,1390,22.0
430401,2020-08-13,Bastrop,Texas,48021.0,1409,23.0
433626,2020-08-14,Bastrop,Texas,48021.0,1421,23.0
436852,2020-08-15,Bastrop,Texas,48021.0,1435,23.0
440078,2020-08-16,Bastrop,Texas,48021.0,1448,23.0
443304,2020-08-17,Bastrop,Texas,48021.0,1452,23.0
446531,2020-08-18,Bastrop,Texas,48021.0,1469,23.0
449759,2020-08-19,Bastrop,Texas,48021.0,1477,24.0
452987,2020-08-20,Bastrop,Texas,48021.0,1501,25.0
456215,2020-08-21,Bastrop,Texas,48021.0,1513,25.0
459442,2020-08-22,Bastrop,Texas,48021.0,1522,25.0
462671,2020-08-23,Bastrop,Texas,48021.0,1531,25.0
465900,2020-08-24,Bastrop,Texas,48021.0,1536,25.0
469129,2020-08-25,Bastrop,Texas,48021.0,1542,25.0
472361,2020-08-26,Bastrop,Texas,48021.0,1561,25.0
475594,2020-08-27,Bastrop,Texas,48021.0,1571,25.0
478827,2020-08-28,Bastrop,Texas,48021.0,1573,25.0
482061,2020-08-29,Bastrop,Texas,48021.0,1579,27.0
485296,2020-08-30,Bastrop,Texas,48021.0,1580,27.0
488529,2020-08-31,Bastrop,Texas,48021.0,1582,27.0
491762,2020-09-01,Bastrop,Texas,48021.0,1596,27.0
494996,2020-09-02,Bastrop,Texas,48021.0,1608,27.0
498229,2020-09-03,Bastrop,Texas,48021.0,1616,27.0
501463,2020-09-04,Bastrop,Texas,48021.0,1633,27.0
504697,2020-09-05,Bastrop,Texas,48021.0,1638,27.0
507929,2020-09-06,Bastrop,Texas,48021.0,1638,27.0
511162,2020-09-07,Bastrop,Texas,48021.0,1638,27.0
514395,2020-09-08,Bastrop,Texas,48021.0,1638,27.0
517630,2020-09-09,Bastrop,Texas,48021.0,1649,27.0
520866,2020-09-10,Bastrop,Texas,48021.0,1649,27.0
524102,2020-09-11,Bastrop,Texas,48021.0,1672,27.0
527338,2020-09-12,Bastrop,Texas,48021.0,1685,28.0
530575,2020-09-13,Bastrop,Texas,48021.0,1691,28.0
533810,2020-09-14,Bastrop,Texas,48021.0,1691,28.0
537046,2020-09-15,Bastrop,Texas,48021.0,1696,28.0
540283,2020-09-16,Bastrop,Texas,48021.0,1704,28.0
543519,2020-09-17,Bastrop,Texas,48021.0,1730,28.0
546756,2020-09-18,Bastrop,Texas,48021.0,1762,28.0
549995,2020-09-19,Bastrop,Texas,48021.0,1788,28.0
553234,2020-09-20,Bastrop,Texas,48021.0,1789,28.0
556471,2020-09-21,Bastrop,Texas,48021.0,1789,28.0
559707,2020-09-22,Bastrop,Texas,48021.0,1802,28.0
562945,2020-09-23,Bastrop,Texas,48021.0,1811,29.0
566186,2020-09-24,Bastrop,Texas,48021.0,1814,29.0
569427,2020-09-25,Bastrop,Texas,48021.0,1814,29.0
572669,2020-09-26,Bastrop,Texas,48021.0,1818,29.0
575913,2020-09-27,Bastrop,Texas,48021.0,1818,29.0
579154,2020-09-28,Bastrop,Texas,48021.0,1818,29.0
582393,2020-09-29,Bastrop,Texas,48021.0,1832,29.0
585633,2020-09-30,Bastrop,Texas,48021.0,1850,30.0
588874,2020-10-01,Bastrop,Texas,48021.0,1853,30.0
592114,2020-10-02,Bastrop,Texas,48021.0,1856,30.0
595356,2020-10-03,Bastrop,Texas,48021.0,1864,30.0
598599,2020-10-04,Bastrop,Texas,48021.0,1865,30.0
601842,2020-10-05,Bastrop,Texas,48021.0,1865,30.0
605084,2020-10-06,Bastrop,Texas,48021.0,1874,30.0
608327,2020-10-07,Bastrop,Texas,48021.0,1882,30.0
611569,2020-10-08,Bastrop,Texas,48021.0,1887,30.0
614810,2020-10-09,Bastrop,Texas,48021.0,1893,30.0
618052,2020-10-10,Bastrop,Texas,48021.0,1900,30.0
621295,2020-10-11,Bastrop,Texas,48021.0,1900,30.0
624538,2020-10-12,Bastrop,Texas,48021.0,1900,30.0
627780,2020-10-13,Bastrop,Texas,48021.0,1906,31.0
631024,2020-10-14,Bastrop,Texas,48021.0,1919,31.0
634269,2020-10-15,Bastrop,Texas,48021.0,1930,31.0
637514,2020-10-16,Bastrop,Texas,48021.0,1939,31.0
640761,2020-10-17,Bastrop,Texas,48021.0,1945,31.0
644009,2020-10-18,Bastrop,Texas,48021.0,1945,31.0
647255,2020-10-19,Bastrop,Texas,48021.0,1945,31.0
650499,2020-10-20,Bastrop,Texas,48021.0,1946,31.0
653744,2020-10-21,Bastrop,Texas,48021.0,1949,31.0
656989,2020-10-22,Bastrop,Texas,48021.0,1949,31.0
660233,2020-10-23,Bastrop,Texas,48021.0,1976,31.0
663477,2020-10-24,Bastrop,Texas,48021.0,1991,31.0
666722,2020-10-25,Bastrop,Texas,48021.0,1993,31.0
669965,2020-10-26,Bastrop,Texas,48021.0,1993,31.0
673207,2020-10-27,Bastrop,Texas,48021.0,1998,31.0
676450,2020-10-28,Bastrop,Texas,48021.0,2006,31.0
679693,2020-10-29,Bastrop,Texas,48021.0,2011,31.0
682936,2020-10-30,Bastrop,Texas,48021.0,2014,32.0
686179,2020-10-31,Bastrop,Texas,48021.0,2023,32.0
689424,2020-11-01,Bastrop,Texas,48021.0,2023,32.0
692668,2020-11-02,Bastrop,Texas,48021.0,2023,32.0
