date,county,state,fips,cases,deaths
2020-03-27,Baxter,Arkansas,5005.0,1,0.0
2020-03-28,Baxter,Arkansas,5005.0,1,0.0
2020-03-29,Baxter,Arkansas,5005.0,1,0.0
2020-03-30,Baxter,Arkansas,5005.0,2,0.0
2020-03-31,Baxter,Arkansas,5005.0,3,0.0
2020-04-01,Baxter,Arkansas,5005.0,3,0.0
2020-04-02,Baxter,Arkansas,5005.0,3,0.0
2020-04-03,Baxter,Arkansas,5005.0,3,0.0
2020-04-04,Baxter,Arkansas,5005.0,3,0.0
2020-04-05,Baxter,Arkansas,5005.0,3,0.0
2020-04-06,Baxter,Arkansas,5005.0,3,0.0
2020-04-07,Baxter,Arkansas,5005.0,5,0.0
2020-04-08,Baxter,Arkansas,5005.0,4,0.0
2020-04-09,Baxter,Arkansas,5005.0,4,0.0
2020-04-10,Baxter,Arkansas,5005.0,4,0.0
2020-04-11,Baxter,Arkansas,5005.0,4,0.0
2020-04-12,Baxter,Arkansas,5005.0,4,0.0
2020-04-13,Baxter,Arkansas,5005.0,4,0.0
2020-04-14,Baxter,Arkansas,5005.0,4,0.0
2020-04-15,Baxter,Arkansas,5005.0,4,0.0
2020-04-16,Baxter,Arkansas,5005.0,4,0.0
2020-04-17,Baxter,Arkansas,5005.0,4,0.0
2020-04-18,Baxter,Arkansas,5005.0,5,0.0
2020-04-19,Baxter,Arkansas,5005.0,5,0.0
2020-04-20,Baxter,Arkansas,5005.0,5,0.0
2020-04-21,Baxter,Arkansas,5005.0,5,0.0
2020-04-22,Baxter,Arkansas,5005.0,5,0.0
2020-04-23,Baxter,Arkansas,5005.0,5,0.0
2020-04-24,Baxter,Arkansas,5005.0,5,0.0
2020-04-25,Baxter,Arkansas,5005.0,5,0.0
2020-04-26,Baxter,Arkansas,5005.0,5,0.0
2020-04-27,Baxter,Arkansas,5005.0,5,0.0
2020-04-28,Baxter,Arkansas,5005.0,5,0.0
2020-04-29,Baxter,Arkansas,5005.0,5,0.0
2020-04-30,Baxter,Arkansas,5005.0,5,0.0
2020-05-01,Baxter,Arkansas,5005.0,5,0.0
2020-05-02,Baxter,Arkansas,5005.0,5,0.0
2020-05-03,Baxter,Arkansas,5005.0,5,0.0
2020-05-04,Baxter,Arkansas,5005.0,5,0.0
2020-05-05,Baxter,Arkansas,5005.0,5,0.0
2020-05-06,Baxter,Arkansas,5005.0,5,0.0
2020-05-07,Baxter,Arkansas,5005.0,5,0.0
2020-05-08,Baxter,Arkansas,5005.0,5,0.0
2020-05-09,Baxter,Arkansas,5005.0,5,0.0
2020-05-10,Baxter,Arkansas,5005.0,5,0.0
2020-05-11,Baxter,Arkansas,5005.0,5,0.0
2020-05-12,Baxter,Arkansas,5005.0,5,0.0
2020-05-13,Baxter,Arkansas,5005.0,5,0.0
2020-05-14,Baxter,Arkansas,5005.0,6,0.0
2020-05-15,Baxter,Arkansas,5005.0,6,0.0
2020-05-16,Baxter,Arkansas,5005.0,6,0.0
2020-05-17,Baxter,Arkansas,5005.0,6,0.0
2020-05-18,Baxter,Arkansas,5005.0,6,0.0
2020-05-19,Baxter,Arkansas,5005.0,6,0.0
2020-05-20,Baxter,Arkansas,5005.0,6,0.0
2020-05-21,Baxter,Arkansas,5005.0,6,0.0
2020-05-22,Baxter,Arkansas,5005.0,6,0.0
2020-05-23,Baxter,Arkansas,5005.0,6,0.0
2020-05-24,Baxter,Arkansas,5005.0,6,0.0
2020-05-25,Baxter,Arkansas,5005.0,7,0.0
2020-05-26,Baxter,Arkansas,5005.0,8,0.0
2020-05-27,Baxter,Arkansas,5005.0,8,0.0
2020-05-28,Baxter,Arkansas,5005.0,9,0.0
2020-05-29,Baxter,Arkansas,5005.0,9,0.0
2020-05-30,Baxter,Arkansas,5005.0,11,0.0
2020-05-31,Baxter,Arkansas,5005.0,12,0.0
2020-06-01,Baxter,Arkansas,5005.0,12,0.0
2020-06-02,Baxter,Arkansas,5005.0,12,0.0
2020-06-03,Baxter,Arkansas,5005.0,12,0.0
2020-06-04,Baxter,Arkansas,5005.0,12,0.0
2020-06-05,Baxter,Arkansas,5005.0,12,0.0
2020-06-06,Baxter,Arkansas,5005.0,13,0.0
2020-06-07,Baxter,Arkansas,5005.0,13,0.0
2020-06-08,Baxter,Arkansas,5005.0,13,0.0
2020-06-09,Baxter,Arkansas,5005.0,13,0.0
2020-06-10,Baxter,Arkansas,5005.0,14,0.0
2020-06-11,Baxter,Arkansas,5005.0,14,0.0
2020-06-12,Baxter,Arkansas,5005.0,14,0.0
2020-06-13,Baxter,Arkansas,5005.0,14,0.0
2020-06-14,Baxter,Arkansas,5005.0,14,0.0
2020-06-15,Baxter,Arkansas,5005.0,14,0.0
2020-06-16,Baxter,Arkansas,5005.0,14,0.0
2020-06-17,Baxter,Arkansas,5005.0,14,0.0
2020-06-18,Baxter,Arkansas,5005.0,14,0.0
2020-06-19,Baxter,Arkansas,5005.0,14,0.0
2020-06-20,Baxter,Arkansas,5005.0,14,0.0
2020-06-21,Baxter,Arkansas,5005.0,14,0.0
2020-06-22,Baxter,Arkansas,5005.0,15,0.0
2020-06-23,Baxter,Arkansas,5005.0,15,0.0
2020-06-24,Baxter,Arkansas,5005.0,15,0.0
2020-06-25,Baxter,Arkansas,5005.0,16,0.0
2020-06-26,Baxter,Arkansas,5005.0,18,0.0
2020-06-27,Baxter,Arkansas,5005.0,18,0.0
2020-06-28,Baxter,Arkansas,5005.0,20,0.0
2020-06-29,Baxter,Arkansas,5005.0,20,0.0
2020-06-30,Baxter,Arkansas,5005.0,20,0.0
2020-07-01,Baxter,Arkansas,5005.0,20,0.0
2020-07-02,Baxter,Arkansas,5005.0,24,0.0
2020-07-03,Baxter,Arkansas,5005.0,24,0.0
2020-07-04,Baxter,Arkansas,5005.0,24,0.0
2020-07-05,Baxter,Arkansas,5005.0,24,0.0
2020-07-06,Baxter,Arkansas,5005.0,25,0.0
2020-07-07,Baxter,Arkansas,5005.0,25,0.0
2020-07-08,Baxter,Arkansas,5005.0,25,0.0
2020-07-09,Baxter,Arkansas,5005.0,26,0.0
2020-07-10,Baxter,Arkansas,5005.0,28,0.0
2020-07-11,Baxter,Arkansas,5005.0,29,0.0
2020-07-12,Baxter,Arkansas,5005.0,30,0.0
2020-07-13,Baxter,Arkansas,5005.0,31,0.0
2020-07-14,Baxter,Arkansas,5005.0,31,0.0
2020-07-15,Baxter,Arkansas,5005.0,34,0.0
2020-07-16,Baxter,Arkansas,5005.0,34,0.0
2020-07-17,Baxter,Arkansas,5005.0,35,0.0
2020-07-18,Baxter,Arkansas,5005.0,40,0.0
2020-07-19,Baxter,Arkansas,5005.0,44,0.0
2020-07-20,Baxter,Arkansas,5005.0,44,0.0
2020-07-21,Baxter,Arkansas,5005.0,46,0.0
2020-07-22,Baxter,Arkansas,5005.0,48,0.0
