date,county,state,fips,cases,deaths
2020-03-17,Beaver,Pennsylvania,42007.0,1,0.0
2020-03-18,Beaver,Pennsylvania,42007.0,2,0.0
2020-03-19,Beaver,Pennsylvania,42007.0,2,0.0
2020-03-20,Beaver,Pennsylvania,42007.0,3,0.0
2020-03-21,Beaver,Pennsylvania,42007.0,3,0.0
2020-03-22,Beaver,Pennsylvania,42007.0,3,0.0
2020-03-23,Beaver,Pennsylvania,42007.0,3,0.0
2020-03-24,Beaver,Pennsylvania,42007.0,3,0.0
2020-03-25,Beaver,Pennsylvania,42007.0,7,0.0
2020-03-26,Beaver,Pennsylvania,42007.0,13,0.0
2020-03-27,Beaver,Pennsylvania,42007.0,14,0.0
2020-03-28,Beaver,Pennsylvania,42007.0,22,0.0
2020-03-29,Beaver,Pennsylvania,42007.0,28,0.0
2020-03-30,Beaver,Pennsylvania,42007.0,44,0.0
2020-03-31,Beaver,Pennsylvania,42007.0,52,1.0
2020-04-01,Beaver,Pennsylvania,42007.0,54,2.0
2020-04-02,Beaver,Pennsylvania,42007.0,55,2.0
2020-04-03,Beaver,Pennsylvania,42007.0,65,2.0
2020-04-04,Beaver,Pennsylvania,42007.0,69,6.0
2020-04-05,Beaver,Pennsylvania,42007.0,84,6.0
2020-04-06,Beaver,Pennsylvania,42007.0,96,6.0
2020-04-07,Beaver,Oklahoma,40007.0,1,0.0
2020-04-07,Beaver,Pennsylvania,42007.0,116,9.0
2020-04-08,Beaver,Oklahoma,40007.0,1,0.0
2020-04-08,Beaver,Pennsylvania,42007.0,128,13.0
2020-04-09,Beaver,Oklahoma,40007.0,1,0.0
2020-04-09,Beaver,Pennsylvania,42007.0,129,13.0
2020-04-10,Beaver,Oklahoma,40007.0,1,0.0
2020-04-10,Beaver,Pennsylvania,42007.0,139,13.0
2020-04-11,Beaver,Oklahoma,40007.0,1,0.0
2020-04-11,Beaver,Pennsylvania,42007.0,143,13.0
2020-04-12,Beaver,Oklahoma,40007.0,1,0.0
2020-04-12,Beaver,Pennsylvania,42007.0,145,13.0
2020-04-13,Beaver,Oklahoma,40007.0,1,0.0
2020-04-13,Beaver,Pennsylvania,42007.0,153,13.0
2020-04-14,Beaver,Oklahoma,40007.0,1,0.0
2020-04-14,Beaver,Pennsylvania,42007.0,156,14.0
2020-04-15,Beaver,Oklahoma,40007.0,1,0.0
2020-04-15,Beaver,Pennsylvania,42007.0,158,14.0
2020-04-16,Beaver,Oklahoma,40007.0,1,0.0
2020-04-16,Beaver,Pennsylvania,42007.0,168,14.0
2020-04-17,Beaver,Oklahoma,40007.0,1,0.0
2020-04-17,Beaver,Pennsylvania,42007.0,178,15.0
2020-04-18,Beaver,Oklahoma,40007.0,2,0.0
2020-04-18,Beaver,Pennsylvania,42007.0,278,31.0
2020-04-19,Beaver,Oklahoma,40007.0,1,0.0
2020-04-19,Beaver,Pennsylvania,42007.0,288,32.0
2020-04-20,Beaver,Oklahoma,40007.0,1,0.0
2020-04-20,Beaver,Pennsylvania,42007.0,298,36.0
2020-04-21,Beaver,Oklahoma,40007.0,1,0.0
2020-04-21,Beaver,Pennsylvania,42007.0,303,43.0
2020-04-22,Beaver,Oklahoma,40007.0,1,0.0
2020-04-22,Beaver,Pennsylvania,42007.0,317,47.0
2020-04-23,Beaver,Oklahoma,40007.0,1,0.0
2020-04-23,Beaver,Pennsylvania,42007.0,319,46.0
2020-04-24,Beaver,Oklahoma,40007.0,2,0.0
2020-04-24,Beaver,Pennsylvania,42007.0,337,46.0
2020-04-25,Beaver,Oklahoma,40007.0,2,0.0
2020-04-25,Beaver,Pennsylvania,42007.0,359,46.0
2020-04-26,Beaver,Oklahoma,40007.0,3,0.0
2020-04-26,Beaver,Pennsylvania,42007.0,366,46.0
2020-04-27,Beaver,Oklahoma,40007.0,3,0.0
2020-04-27,Beaver,Pennsylvania,42007.0,387,46.0
2020-04-28,Beaver,Oklahoma,40007.0,5,0.0
2020-04-28,Beaver,Pennsylvania,42007.0,388,59.0
2020-04-29,Beaver,Oklahoma,40007.0,5,0.0
2020-04-29,Beaver,Pennsylvania,42007.0,392,65.0
2020-04-30,Beaver,Oklahoma,40007.0,8,0.0
2020-04-30,Beaver,Pennsylvania,42007.0,405,65.0
2020-05-01,Beaver,Oklahoma,40007.0,9,0.0
2020-05-01,Beaver,Pennsylvania,42007.0,426,67.0
2020-05-02,Beaver,Oklahoma,40007.0,13,0.0
2020-05-02,Beaver,Pennsylvania,42007.0,435,68.0
2020-05-03,Beaver,Oklahoma,40007.0,14,0.0
2020-05-03,Beaver,Pennsylvania,42007.0,435,68.0
2020-05-04,Beaver,Oklahoma,40007.0,14,0.0
2020-05-04,Beaver,Pennsylvania,42007.0,458,68.0
2020-05-05,Beaver,Oklahoma,40007.0,15,0.0
2020-05-05,Beaver,Pennsylvania,42007.0,466,73.0
2020-05-06,Beaver,Oklahoma,40007.0,15,0.0
2020-05-06,Beaver,Pennsylvania,42007.0,471,76.0
2020-05-07,Beaver,Oklahoma,40007.0,17,0.0
2020-05-07,Beaver,Pennsylvania,42007.0,472,78.0
2020-05-08,Beaver,Oklahoma,40007.0,19,0.0
2020-05-08,Beaver,Pennsylvania,42007.0,479,78.0
2020-05-09,Beaver,Oklahoma,40007.0,20,0.0
2020-05-09,Beaver,Pennsylvania,42007.0,482,78.0
2020-05-10,Beaver,Oklahoma,40007.0,20,0.0
2020-05-10,Beaver,Pennsylvania,42007.0,491,78.0
2020-05-11,Beaver,Oklahoma,40007.0,20,0.0
2020-05-11,Beaver,Pennsylvania,42007.0,491,78.0
2020-05-12,Beaver,Oklahoma,40007.0,19,0.0
2020-05-12,Beaver,Pennsylvania,42007.0,493,78.0
2020-05-13,Beaver,Oklahoma,40007.0,20,0.0
2020-05-13,Beaver,Pennsylvania,42007.0,509,78.0
2020-05-14,Beaver,Oklahoma,40007.0,20,0.0
2020-05-14,Beaver,Pennsylvania,42007.0,512,82.0
2020-05-15,Beaver,Oklahoma,40007.0,22,0.0
2020-05-15,Beaver,Pennsylvania,42007.0,516,83.0
2020-05-16,Beaver,Oklahoma,40007.0,23,0.0
2020-05-16,Beaver,Pennsylvania,42007.0,518,83.0
2020-05-17,Beaver,Oklahoma,40007.0,23,0.0
2020-05-17,Beaver,Pennsylvania,42007.0,517,83.0
2020-05-18,Beaver,Oklahoma,40007.0,23,0.0
2020-05-18,Beaver,Pennsylvania,42007.0,533,70.0
2020-05-19,Beaver,Oklahoma,40007.0,23,0.0
2020-05-19,Beaver,Pennsylvania,42007.0,534,70.0
2020-05-20,Beaver,Oklahoma,40007.0,23,0.0
2020-05-20,Beaver,Pennsylvania,42007.0,539,70.0
2020-05-21,Beaver,Oklahoma,40007.0,24,0.0
2020-05-21,Beaver,Pennsylvania,42007.0,539,71.0
2020-05-22,Beaver,Oklahoma,40007.0,24,0.0
2020-05-22,Beaver,Pennsylvania,42007.0,550,71.0
2020-05-23,Beaver,Oklahoma,40007.0,24,0.0
2020-05-23,Beaver,Pennsylvania,42007.0,552,72.0
2020-05-24,Beaver,Oklahoma,40007.0,24,0.0
2020-05-24,Beaver,Pennsylvania,42007.0,554,72.0
2020-05-25,Beaver,Oklahoma,40007.0,24,0.0
2020-05-25,Beaver,Pennsylvania,42007.0,568,72.0
2020-05-26,Beaver,Oklahoma,40007.0,24,0.0
2020-05-26,Beaver,Pennsylvania,42007.0,570,72.0
2020-05-27,Beaver,Oklahoma,40007.0,24,0.0
2020-05-27,Beaver,Pennsylvania,42007.0,570,72.0
2020-05-28,Beaver,Oklahoma,40007.0,24,0.0
2020-05-28,Beaver,Pennsylvania,42007.0,579,72.0
2020-05-29,Beaver,Oklahoma,40007.0,24,0.0
2020-05-29,Beaver,Pennsylvania,42007.0,582,73.0
2020-05-30,Beaver,Oklahoma,40007.0,24,0.0
2020-05-30,Beaver,Pennsylvania,42007.0,589,73.0
2020-05-31,Beaver,Oklahoma,40007.0,24,0.0
2020-05-31,Beaver,Pennsylvania,42007.0,590,73.0
2020-06-01,Beaver,Oklahoma,40007.0,24,0.0
2020-06-01,Beaver,Pennsylvania,42007.0,590,73.0
2020-06-02,Beaver,Oklahoma,40007.0,24,0.0
2020-06-02,Beaver,Pennsylvania,42007.0,591,74.0
2020-06-03,Beaver,Oklahoma,40007.0,24,0.0
2020-06-03,Beaver,Pennsylvania,42007.0,594,74.0
2020-06-04,Beaver,Oklahoma,40007.0,24,0.0
2020-06-04,Beaver,Pennsylvania,42007.0,599,74.0
2020-06-05,Beaver,Oklahoma,40007.0,24,0.0
2020-06-05,Beaver,Pennsylvania,42007.0,598,74.0
2020-06-06,Beaver,Oklahoma,40007.0,24,0.0
2020-06-06,Beaver,Pennsylvania,42007.0,598,74.0
2020-06-07,Beaver,Oklahoma,40007.0,27,0.0
2020-06-07,Beaver,Pennsylvania,42007.0,603,74.0
2020-06-08,Beaver,Oklahoma,40007.0,27,0.0
2020-06-08,Beaver,Pennsylvania,42007.0,603,74.0
2020-06-09,Beaver,Oklahoma,40007.0,27,0.0
2020-06-09,Beaver,Pennsylvania,42007.0,608,74.0
2020-06-10,Beaver,Oklahoma,40007.0,27,0.0
2020-06-10,Beaver,Pennsylvania,42007.0,610,74.0
2020-06-11,Beaver,Oklahoma,40007.0,29,0.0
2020-06-11,Beaver,Pennsylvania,42007.0,610,75.0
2020-06-12,Beaver,Oklahoma,40007.0,30,0.0
2020-06-12,Beaver,Pennsylvania,42007.0,611,75.0
2020-06-13,Beaver,Oklahoma,40007.0,30,0.0
2020-06-13,Beaver,Pennsylvania,42007.0,611,75.0
2020-06-14,Beaver,Oklahoma,40007.0,30,0.0
2020-06-14,Beaver,Pennsylvania,42007.0,611,75.0
2020-06-15,Beaver,Oklahoma,40007.0,30,0.0
2020-06-15,Beaver,Pennsylvania,42007.0,613,77.0
2020-06-15,Beaver,Utah,49001.0,1,0.0
2020-06-16,Beaver,Oklahoma,40007.0,30,0.0
2020-06-16,Beaver,Pennsylvania,42007.0,613,77.0
2020-06-16,Beaver,Utah,49001.0,1,0.0
2020-06-17,Beaver,Oklahoma,40007.0,30,0.0
2020-06-17,Beaver,Pennsylvania,42007.0,615,77.0
2020-06-17,Beaver,Utah,49001.0,1,0.0
2020-06-18,Beaver,Oklahoma,40007.0,30,0.0
2020-06-18,Beaver,Pennsylvania,42007.0,616,77.0
2020-06-18,Beaver,Utah,49001.0,1,0.0
2020-06-19,Beaver,Oklahoma,40007.0,30,0.0
2020-06-19,Beaver,Pennsylvania,42007.0,619,77.0
2020-06-19,Beaver,Utah,49001.0,1,0.0
2020-06-20,Beaver,Oklahoma,40007.0,30,0.0
2020-06-20,Beaver,Pennsylvania,42007.0,621,77.0
2020-06-20,Beaver,Utah,49001.0,1,0.0
2020-06-21,Beaver,Oklahoma,40007.0,30,0.0
2020-06-21,Beaver,Pennsylvania,42007.0,624,77.0
2020-06-21,Beaver,Utah,49001.0,1,0.0
2020-06-22,Beaver,Oklahoma,40007.0,30,0.0
2020-06-22,Beaver,Pennsylvania,42007.0,625,77.0
2020-06-22,Beaver,Utah,49001.0,2,0.0
2020-06-23,Beaver,Oklahoma,40007.0,30,0.0
2020-06-23,Beaver,Pennsylvania,42007.0,630,78.0
2020-06-23,Beaver,Utah,49001.0,2,0.0
2020-06-24,Beaver,Oklahoma,40007.0,30,0.0
2020-06-24,Beaver,Pennsylvania,42007.0,634,78.0
2020-06-24,Beaver,Utah,49001.0,4,0.0
2020-06-25,Beaver,Oklahoma,40007.0,30,0.0
2020-06-25,Beaver,Pennsylvania,42007.0,637,78.0
2020-06-25,Beaver,Utah,49001.0,7,0.0
2020-06-26,Beaver,Oklahoma,40007.0,30,0.0
2020-06-26,Beaver,Pennsylvania,42007.0,638,78.0
2020-06-26,Beaver,Utah,49001.0,8,0.0
2020-06-27,Beaver,Oklahoma,40007.0,30,0.0
2020-06-27,Beaver,Pennsylvania,42007.0,642,78.0
2020-06-27,Beaver,Utah,49001.0,8,0.0
2020-06-28,Beaver,Oklahoma,40007.0,30,0.0
2020-06-28,Beaver,Pennsylvania,42007.0,648,78.0
2020-06-28,Beaver,Utah,49001.0,8,0.0
2020-06-29,Beaver,Oklahoma,40007.0,30,0.0
2020-06-29,Beaver,Pennsylvania,42007.0,651,78.0
2020-06-29,Beaver,Utah,49001.0,8,0.0
2020-06-30,Beaver,Oklahoma,40007.0,30,0.0
2020-06-30,Beaver,Pennsylvania,42007.0,669,78.0
2020-06-30,Beaver,Utah,49001.0,9,0.0
2020-07-01,Beaver,Oklahoma,40007.0,30,0.0
2020-07-01,Beaver,Pennsylvania,42007.0,678,78.0
2020-07-01,Beaver,Utah,49001.0,9,0.0
2020-07-02,Beaver,Oklahoma,40007.0,30,0.0
2020-07-02,Beaver,Pennsylvania,42007.0,688,79.0
2020-07-02,Beaver,Utah,49001.0,9,0.0
2020-07-03,Beaver,Oklahoma,40007.0,30,0.0
2020-07-03,Beaver,Pennsylvania,42007.0,706,79.0
2020-07-03,Beaver,Utah,49001.0,9,0.0
2020-07-04,Beaver,Oklahoma,40007.0,32,0.0
2020-07-04,Beaver,Pennsylvania,42007.0,720,79.0
2020-07-04,Beaver,Utah,49001.0,11,0.0
2020-07-05,Beaver,Oklahoma,40007.0,32,0.0
2020-07-05,Beaver,Pennsylvania,42007.0,737,79.0
2020-07-05,Beaver,Utah,49001.0,11,0.0
2020-07-06,Beaver,Oklahoma,40007.0,32,0.0
2020-07-06,Beaver,Pennsylvania,42007.0,742,79.0
2020-07-06,Beaver,Utah,49001.0,12,0.0
2020-07-07,Beaver,Oklahoma,40007.0,32,0.0
2020-07-07,Beaver,Pennsylvania,42007.0,770,79.0
2020-07-07,Beaver,Utah,49001.0,12,0.0
2020-07-08,Beaver,Oklahoma,40007.0,32,0.0
2020-07-08,Beaver,Pennsylvania,42007.0,785,79.0
2020-07-08,Beaver,Utah,49001.0,12,0.0
2020-07-09,Beaver,Oklahoma,40007.0,32,0.0
2020-07-09,Beaver,Pennsylvania,42007.0,796,79.0
2020-07-09,Beaver,Utah,49001.0,12,0.0
2020-07-10,Beaver,Oklahoma,40007.0,32,0.0
2020-07-10,Beaver,Pennsylvania,42007.0,809,79.0
2020-07-10,Beaver,Utah,49001.0,12,0.0
2020-07-11,Beaver,Oklahoma,40007.0,32,0.0
2020-07-11,Beaver,Pennsylvania,42007.0,823,79.0
