,date,county,state,fips,cases,deaths
21082,2020-03-30,Beckham,Oklahoma,40009.0,1,0.0
23215,2020-03-31,Beckham,Oklahoma,40009.0,1,0.0
25411,2020-04-01,Beckham,Oklahoma,40009.0,1,0.0
27681,2020-04-02,Beckham,Oklahoma,40009.0,1,0.0
30010,2020-04-03,Beckham,Oklahoma,40009.0,1,0.0
32399,2020-04-04,Beckham,Oklahoma,40009.0,1,0.0
34833,2020-04-05,Beckham,Oklahoma,40009.0,1,0.0
37306,2020-04-06,Beckham,Oklahoma,40009.0,1,0.0
39825,2020-04-07,Beckham,Oklahoma,40009.0,1,0.0
42385,2020-04-08,Beckham,Oklahoma,40009.0,1,0.0
44971,2020-04-09,Beckham,Oklahoma,40009.0,1,0.0
47586,2020-04-10,Beckham,Oklahoma,40009.0,1,0.0
50242,2020-04-11,Beckham,Oklahoma,40009.0,1,0.0
52915,2020-04-12,Beckham,Oklahoma,40009.0,1,0.0
55600,2020-04-13,Beckham,Oklahoma,40009.0,1,0.0
58301,2020-04-14,Beckham,Oklahoma,40009.0,1,0.0
61016,2020-04-15,Beckham,Oklahoma,40009.0,2,0.0
63742,2020-04-16,Beckham,Oklahoma,40009.0,2,0.0
66485,2020-04-17,Beckham,Oklahoma,40009.0,2,0.0
69242,2020-04-18,Beckham,Oklahoma,40009.0,2,0.0
72009,2020-04-19,Beckham,Oklahoma,40009.0,2,0.0
74784,2020-04-20,Beckham,Oklahoma,40009.0,2,0.0
77565,2020-04-21,Beckham,Oklahoma,40009.0,2,0.0
80355,2020-04-22,Beckham,Oklahoma,40009.0,2,0.0
83154,2020-04-23,Beckham,Oklahoma,40009.0,2,0.0
85958,2020-04-24,Beckham,Oklahoma,40009.0,2,0.0
88772,2020-04-25,Beckham,Oklahoma,40009.0,3,0.0
91588,2020-04-26,Beckham,Oklahoma,40009.0,5,0.0
94414,2020-04-27,Beckham,Oklahoma,40009.0,5,0.0
97252,2020-04-28,Beckham,Oklahoma,40009.0,5,0.0
100101,2020-04-29,Beckham,Oklahoma,40009.0,5,0.0
102954,2020-04-30,Beckham,Oklahoma,40009.0,5,0.0
105817,2020-05-01,Beckham,Oklahoma,40009.0,5,0.0
108684,2020-05-02,Beckham,Oklahoma,40009.0,5,0.0
111558,2020-05-03,Beckham,Oklahoma,40009.0,5,0.0
114439,2020-05-04,Beckham,Oklahoma,40009.0,6,0.0
117320,2020-05-05,Beckham,Oklahoma,40009.0,6,0.0
120281,2020-05-06,Beckham,Oklahoma,40009.0,6,0.0
123258,2020-05-07,Beckham,Oklahoma,40009.0,6,0.0
126241,2020-05-08,Beckham,Oklahoma,40009.0,6,0.0
129230,2020-05-09,Beckham,Oklahoma,40009.0,6,0.0
132219,2020-05-10,Beckham,Oklahoma,40009.0,6,0.0
135210,2020-05-11,Beckham,Oklahoma,40009.0,6,0.0
138200,2020-05-12,Beckham,Oklahoma,40009.0,6,0.0
141196,2020-05-13,Beckham,Oklahoma,40009.0,6,0.0
144191,2020-05-14,Beckham,Oklahoma,40009.0,6,0.0
147192,2020-05-15,Beckham,Oklahoma,40009.0,6,0.0
150199,2020-05-16,Beckham,Oklahoma,40009.0,6,0.0
153210,2020-05-17,Beckham,Oklahoma,40009.0,6,0.0
156227,2020-05-18,Beckham,Oklahoma,40009.0,6,0.0
159247,2020-05-19,Beckham,Oklahoma,40009.0,6,0.0
162274,2020-05-20,Beckham,Oklahoma,40009.0,6,0.0
165303,2020-05-21,Beckham,Oklahoma,40009.0,6,0.0
168339,2020-05-22,Beckham,Oklahoma,40009.0,6,0.0
171378,2020-05-23,Beckham,Oklahoma,40009.0,6,0.0
174420,2020-05-24,Beckham,Oklahoma,40009.0,6,0.0
177464,2020-05-25,Beckham,Oklahoma,40009.0,6,0.0
180507,2020-05-26,Beckham,Oklahoma,40009.0,6,0.0
183556,2020-05-27,Beckham,Oklahoma,40009.0,6,0.0
186613,2020-05-28,Beckham,Oklahoma,40009.0,6,0.0
189673,2020-05-29,Beckham,Oklahoma,40009.0,6,0.0
192738,2020-05-30,Beckham,Oklahoma,40009.0,6,0.0
195807,2020-05-31,Beckham,Oklahoma,40009.0,9,0.0
198880,2020-06-01,Beckham,Oklahoma,40009.0,10,0.0
201955,2020-06-02,Beckham,Oklahoma,40009.0,10,0.0
205032,2020-06-03,Beckham,Oklahoma,40009.0,7,0.0
208113,2020-06-04,Beckham,Oklahoma,40009.0,7,0.0
211195,2020-06-05,Beckham,Oklahoma,40009.0,7,0.0
214281,2020-06-06,Beckham,Oklahoma,40009.0,7,0.0
217371,2020-06-07,Beckham,Oklahoma,40009.0,7,0.0
220463,2020-06-08,Beckham,Oklahoma,40009.0,7,0.0
223558,2020-06-09,Beckham,Oklahoma,40009.0,7,0.0
226658,2020-06-10,Beckham,Oklahoma,40009.0,7,0.0
229762,2020-06-11,Beckham,Oklahoma,40009.0,7,0.0
232867,2020-06-12,Beckham,Oklahoma,40009.0,7,0.0
235972,2020-06-13,Beckham,Oklahoma,40009.0,7,0.0
239080,2020-06-14,Beckham,Oklahoma,40009.0,8,0.0
242189,2020-06-15,Beckham,Oklahoma,40009.0,8,0.0
245301,2020-06-16,Beckham,Oklahoma,40009.0,8,0.0
248414,2020-06-17,Beckham,Oklahoma,40009.0,8,0.0
251529,2020-06-18,Beckham,Oklahoma,40009.0,8,0.0
254644,2020-06-19,Beckham,Oklahoma,40009.0,8,0.0
257770,2020-06-20,Beckham,Oklahoma,40009.0,8,0.0
260896,2020-06-21,Beckham,Oklahoma,40009.0,8,0.0
264024,2020-06-22,Beckham,Oklahoma,40009.0,9,0.0
267152,2020-06-23,Beckham,Oklahoma,40009.0,9,0.0
270286,2020-06-24,Beckham,Oklahoma,40009.0,11,0.0
273425,2020-06-25,Beckham,Oklahoma,40009.0,12,0.0
276572,2020-06-26,Beckham,Oklahoma,40009.0,11,0.0
279720,2020-06-27,Beckham,Oklahoma,40009.0,11,0.0
282866,2020-06-28,Beckham,Oklahoma,40009.0,11,0.0
286011,2020-06-29,Beckham,Oklahoma,40009.0,11,0.0
289161,2020-06-30,Beckham,Oklahoma,40009.0,11,0.0
292313,2020-07-01,Beckham,Oklahoma,40009.0,11,0.0
295469,2020-07-02,Beckham,Oklahoma,40009.0,11,0.0
298628,2020-07-03,Beckham,Oklahoma,40009.0,11,0.0
301791,2020-07-04,Beckham,Oklahoma,40009.0,11,0.0
304954,2020-07-05,Beckham,Oklahoma,40009.0,11,0.0
308121,2020-07-06,Beckham,Oklahoma,40009.0,11,0.0
311290,2020-07-07,Beckham,Oklahoma,40009.0,13,0.0
314462,2020-07-08,Beckham,Oklahoma,40009.0,13,0.0
317635,2020-07-09,Beckham,Oklahoma,40009.0,13,0.0
320812,2020-07-10,Beckham,Oklahoma,40009.0,14,0.0
323992,2020-07-11,Beckham,Oklahoma,40009.0,14,0.0
327177,2020-07-12,Beckham,Oklahoma,40009.0,19,0.0
330364,2020-07-13,Beckham,Oklahoma,40009.0,22,0.0
333556,2020-07-14,Beckham,Oklahoma,40009.0,22,0.0
336750,2020-07-15,Beckham,Oklahoma,40009.0,25,0.0
339946,2020-07-16,Beckham,Oklahoma,40009.0,25,0.0
343144,2020-07-17,Beckham,Oklahoma,40009.0,25,0.0
346344,2020-07-18,Beckham,Oklahoma,40009.0,27,0.0
349544,2020-07-19,Beckham,Oklahoma,40009.0,27,0.0
352747,2020-07-20,Beckham,Oklahoma,40009.0,27,0.0
355950,2020-07-21,Beckham,Oklahoma,40009.0,27,0.0
359154,2020-07-22,Beckham,Oklahoma,40009.0,27,0.0
362360,2020-07-23,Beckham,Oklahoma,40009.0,27,0.0
365566,2020-07-24,Beckham,Oklahoma,40009.0,27,0.0
368775,2020-07-25,Beckham,Oklahoma,40009.0,30,0.0
371987,2020-07-26,Beckham,Oklahoma,40009.0,34,0.0
375199,2020-07-27,Beckham,Oklahoma,40009.0,37,0.0
378416,2020-07-28,Beckham,Oklahoma,40009.0,38,0.0
381633,2020-07-29,Beckham,Oklahoma,40009.0,40,0.0
384851,2020-07-30,Beckham,Oklahoma,40009.0,41,0.0
388068,2020-07-31,Beckham,Oklahoma,40009.0,42,0.0
391285,2020-08-01,Beckham,Oklahoma,40009.0,43,1.0
394501,2020-08-02,Beckham,Oklahoma,40009.0,45,1.0
397718,2020-08-03,Beckham,Oklahoma,40009.0,45,1.0
400933,2020-08-04,Beckham,Oklahoma,40009.0,45,1.0
