date,county,state,fips,cases,deaths
2020-04-08,Bee,Texas,48025.0,1,0.0
2020-04-09,Bee,Texas,48025.0,1,0.0
2020-04-10,Bee,Texas,48025.0,1,0.0
2020-04-11,Bee,Texas,48025.0,2,0.0
2020-04-12,Bee,Texas,48025.0,2,0.0
2020-04-13,Bee,Texas,48025.0,2,0.0
2020-04-14,Bee,Texas,48025.0,3,0.0
2020-04-15,Bee,Texas,48025.0,3,0.0
2020-04-16,Bee,Texas,48025.0,3,0.0
2020-04-17,Bee,Texas,48025.0,5,0.0
2020-04-18,Bee,Texas,48025.0,5,0.0
2020-04-19,Bee,Texas,48025.0,5,0.0
2020-04-20,Bee,Texas,48025.0,5,0.0
2020-04-21,Bee,Texas,48025.0,5,0.0
2020-04-22,Bee,Texas,48025.0,5,0.0
2020-04-23,Bee,Texas,48025.0,6,0.0
2020-04-24,Bee,Texas,48025.0,6,0.0
2020-04-25,Bee,Texas,48025.0,6,0.0
2020-04-26,Bee,Texas,48025.0,6,0.0
2020-04-27,Bee,Texas,48025.0,6,0.0
2020-04-28,Bee,Texas,48025.0,6,0.0
2020-04-29,Bee,Texas,48025.0,6,0.0
2020-04-30,Bee,Texas,48025.0,6,0.0
2020-05-01,Bee,Texas,48025.0,6,0.0
2020-05-02,Bee,Texas,48025.0,6,0.0
2020-05-03,Bee,Texas,48025.0,6,0.0
2020-05-04,Bee,Texas,48025.0,6,0.0
2020-05-05,Bee,Texas,48025.0,6,0.0
2020-05-06,Bee,Texas,48025.0,6,0.0
2020-05-07,Bee,Texas,48025.0,6,0.0
2020-05-08,Bee,Texas,48025.0,6,0.0
2020-05-09,Bee,Texas,48025.0,6,0.0
2020-05-10,Bee,Texas,48025.0,6,0.0
2020-05-11,Bee,Texas,48025.0,6,0.0
2020-05-12,Bee,Texas,48025.0,6,0.0
2020-05-13,Bee,Texas,48025.0,6,0.0
2020-05-14,Bee,Texas,48025.0,6,0.0
2020-05-15,Bee,Texas,48025.0,6,0.0
2020-05-16,Bee,Texas,48025.0,6,0.0
2020-05-17,Bee,Texas,48025.0,6,0.0
2020-05-18,Bee,Texas,48025.0,6,0.0
2020-05-19,Bee,Texas,48025.0,6,0.0
2020-05-20,Bee,Texas,48025.0,7,0.0
2020-05-21,Bee,Texas,48025.0,8,0.0
2020-05-22,Bee,Texas,48025.0,8,0.0
2020-05-23,Bee,Texas,48025.0,8,0.0
2020-05-24,Bee,Texas,48025.0,9,0.0
2020-05-25,Bee,Texas,48025.0,9,0.0
2020-05-26,Bee,Texas,48025.0,9,0.0
2020-05-27,Bee,Texas,48025.0,9,0.0
2020-05-28,Bee,Texas,48025.0,9,0.0
2020-05-29,Bee,Texas,48025.0,9,0.0
2020-05-30,Bee,Texas,48025.0,9,0.0
2020-05-31,Bee,Texas,48025.0,9,0.0
2020-06-01,Bee,Texas,48025.0,9,0.0
2020-06-02,Bee,Texas,48025.0,10,0.0
2020-06-03,Bee,Texas,48025.0,11,0.0
2020-06-04,Bee,Texas,48025.0,11,0.0
2020-06-05,Bee,Texas,48025.0,18,0.0
2020-06-06,Bee,Texas,48025.0,22,0.0
2020-06-07,Bee,Texas,48025.0,22,0.0
2020-06-08,Bee,Texas,48025.0,22,0.0
2020-06-09,Bee,Texas,48025.0,24,0.0
2020-06-10,Bee,Texas,48025.0,26,0.0
2020-06-11,Bee,Texas,48025.0,27,0.0
2020-06-12,Bee,Texas,48025.0,31,0.0
2020-06-13,Bee,Texas,48025.0,31,0.0
2020-06-14,Bee,Texas,48025.0,31,0.0
2020-06-15,Bee,Texas,48025.0,31,0.0
2020-06-16,Bee,Texas,48025.0,32,0.0
2020-06-17,Bee,Texas,48025.0,32,0.0
2020-06-18,Bee,Texas,48025.0,32,0.0
2020-06-19,Bee,Texas,48025.0,33,0.0
2020-06-20,Bee,Texas,48025.0,34,0.0
2020-06-21,Bee,Texas,48025.0,36,0.0
2020-06-22,Bee,Texas,48025.0,36,0.0
2020-06-23,Bee,Texas,48025.0,36,0.0
2020-06-24,Bee,Texas,48025.0,36,0.0
2020-06-25,Bee,Texas,48025.0,38,0.0
2020-06-26,Bee,Texas,48025.0,39,0.0
2020-06-27,Bee,Texas,48025.0,43,0.0
2020-06-28,Bee,Texas,48025.0,43,0.0
2020-06-29,Bee,Texas,48025.0,46,0.0
2020-06-30,Bee,Texas,48025.0,46,0.0
2020-07-01,Bee,Texas,48025.0,47,0.0
2020-07-02,Bee,Texas,48025.0,51,0.0
2020-07-03,Bee,Texas,48025.0,55,0.0
2020-07-04,Bee,Texas,48025.0,59,0.0
2020-07-05,Bee,Texas,48025.0,69,0.0
2020-07-06,Bee,Texas,48025.0,85,0.0
2020-07-07,Bee,Texas,48025.0,91,0.0
2020-07-08,Bee,Texas,48025.0,98,0.0
2020-07-09,Bee,Texas,48025.0,135,0.0
2020-07-10,Bee,Texas,48025.0,133,0.0
2020-07-11,Bee,Texas,48025.0,135,0.0
2020-07-12,Bee,Texas,48025.0,146,0.0
2020-07-13,Bee,Texas,48025.0,146,0.0
2020-07-14,Bee,Texas,48025.0,152,0.0
2020-07-15,Bee,Texas,48025.0,173,0.0
2020-07-16,Bee,Texas,48025.0,176,0.0
2020-07-17,Bee,Texas,48025.0,188,1.0
2020-07-18,Bee,Texas,48025.0,218,1.0
2020-07-19,Bee,Texas,48025.0,220,1.0
2020-07-20,Bee,Texas,48025.0,232,1.0
2020-07-21,Bee,Texas,48025.0,268,1.0
2020-07-22,Bee,Texas,48025.0,268,1.0
2020-07-23,Bee,Texas,48025.0,285,1.0
2020-07-24,Bee,Texas,48025.0,369,1.0
2020-07-25,Bee,Texas,48025.0,369,1.0
2020-07-26,Bee,Texas,48025.0,400,1.0
2020-07-27,Bee,Texas,48025.0,399,6.0
2020-07-28,Bee,Texas,48025.0,417,7.0
2020-07-29,Bee,Texas,48025.0,461,7.0
2020-07-30,Bee,Texas,48025.0,482,7.0
2020-07-31,Bee,Texas,48025.0,498,9.0
2020-08-01,Bee,Texas,48025.0,511,9.0
2020-08-02,Bee,Texas,48025.0,526,9.0
2020-08-03,Bee,Texas,48025.0,626,9.0
2020-08-04,Bee,Texas,48025.0,669,9.0
2020-08-05,Bee,Texas,48025.0,696,9.0
2020-08-06,Bee,Texas,48025.0,704,9.0
2020-08-07,Bee,Texas,48025.0,885,9.0
2020-08-08,Bee,Texas,48025.0,1073,9.0
2020-08-09,Bee,Texas,48025.0,1089,11.0
2020-08-10,Bee,Texas,48025.0,1207,11.0
2020-08-11,Bee,Texas,48025.0,1246,11.0
2020-08-12,Bee,Texas,48025.0,1277,12.0
2020-08-13,Bee,Texas,48025.0,1303,13.0
2020-08-14,Bee,Texas,48025.0,1344,15.0
2020-08-15,Bee,Texas,48025.0,1374,16.0
2020-08-16,Bee,Texas,48025.0,1382,17.0
2020-08-17,Bee,Texas,48025.0,1387,17.0
2020-08-18,Bee,Texas,48025.0,1412,17.0
2020-08-19,Bee,Texas,48025.0,1429,17.0
2020-08-20,Bee,Texas,48025.0,1438,18.0
2020-08-21,Bee,Texas,48025.0,1450,18.0
2020-08-22,Bee,Texas,48025.0,1456,18.0
2020-08-23,Bee,Texas,48025.0,1469,18.0
2020-08-24,Bee,Texas,48025.0,1473,18.0
2020-08-25,Bee,Texas,48025.0,1489,20.0
2020-08-26,Bee,Texas,48025.0,1490,22.0
