,date,county,state,fips,cases,deaths
2185,2020-03-14,Belmont,Ohio,39013.0,2,0.0
2599,2020-03-15,Belmont,Ohio,39013.0,2,0.0
3061,2020-03-16,Belmont,Ohio,39013.0,2,0.0
3584,2020-03-17,Belmont,Ohio,39013.0,2,0.0
4195,2020-03-18,Belmont,Ohio,39013.0,2,0.0
4926,2020-03-19,Belmont,Ohio,39013.0,2,0.0
5788,2020-03-20,Belmont,Ohio,39013.0,2,0.0
6785,2020-03-21,Belmont,Ohio,39013.0,2,0.0
7891,2020-03-22,Belmont,Ohio,39013.0,2,0.0
9094,2020-03-23,Belmont,Ohio,39013.0,2,0.0
10406,2020-03-24,Belmont,Ohio,39013.0,2,0.0
11853,2020-03-25,Belmont,Ohio,39013.0,3,0.0
13460,2020-03-26,Belmont,Ohio,39013.0,3,0.0
15197,2020-03-27,Belmont,Ohio,39013.0,6,0.0
17039,2020-03-28,Belmont,Ohio,39013.0,8,0.0
18973,2020-03-29,Belmont,Ohio,39013.0,8,0.0
21016,2020-03-30,Belmont,Ohio,39013.0,8,0.0
23148,2020-03-31,Belmont,Ohio,39013.0,9,0.0
25343,2020-04-01,Belmont,Ohio,39013.0,11,0.0
27609,2020-04-02,Belmont,Ohio,39013.0,12,0.0
29938,2020-04-03,Belmont,Ohio,39013.0,13,0.0
32327,2020-04-04,Belmont,Ohio,39013.0,17,0.0
34760,2020-04-05,Belmont,Ohio,39013.0,20,0.0
37229,2020-04-06,Belmont,Ohio,39013.0,22,1.0
39746,2020-04-07,Belmont,Ohio,39013.0,25,1.0
42304,2020-04-08,Belmont,Ohio,39013.0,30,1.0
44889,2020-04-09,Belmont,Ohio,39013.0,36,1.0
47504,2020-04-10,Belmont,Ohio,39013.0,42,1.0
50159,2020-04-11,Belmont,Ohio,39013.0,49,2.0
52832,2020-04-12,Belmont,Ohio,39013.0,50,2.0
55516,2020-04-13,Belmont,Ohio,39013.0,53,2.0
58217,2020-04-14,Belmont,Ohio,39013.0,57,3.0
60931,2020-04-15,Belmont,Ohio,39013.0,58,3.0
63657,2020-04-16,Belmont,Ohio,39013.0,59,3.0
66400,2020-04-17,Belmont,Ohio,39013.0,63,3.0
69157,2020-04-18,Belmont,Ohio,39013.0,68,3.0
71924,2020-04-19,Belmont,Ohio,39013.0,68,3.0
74699,2020-04-20,Belmont,Ohio,39013.0,73,5.0
77480,2020-04-21,Belmont,Ohio,39013.0,84,6.0
80270,2020-04-22,Belmont,Ohio,39013.0,93,6.0
83069,2020-04-23,Belmont,Ohio,39013.0,95,6.0
85873,2020-04-24,Belmont,Ohio,39013.0,98,6.0
88687,2020-04-25,Belmont,Ohio,39013.0,101,6.0
91503,2020-04-26,Belmont,Ohio,39013.0,106,6.0
94329,2020-04-27,Belmont,Ohio,39013.0,114,7.0
97166,2020-04-28,Belmont,Ohio,39013.0,118,7.0
100015,2020-04-29,Belmont,Ohio,39013.0,128,7.0
102868,2020-04-30,Belmont,Ohio,39013.0,144,7.0
105731,2020-05-01,Belmont,Ohio,39013.0,153,7.0
108598,2020-05-02,Belmont,Ohio,39013.0,156,7.0
111472,2020-05-03,Belmont,Ohio,39013.0,163,7.0
114353,2020-05-04,Belmont,Ohio,39013.0,174,7.0
117234,2020-05-05,Belmont,Ohio,39013.0,181,7.0
120195,2020-05-06,Belmont,Ohio,39013.0,201,7.0
123172,2020-05-07,Belmont,Ohio,39013.0,205,7.0
126155,2020-05-08,Belmont,Ohio,39013.0,216,7.0
129144,2020-05-09,Belmont,Ohio,39013.0,229,7.0
132133,2020-05-10,Belmont,Ohio,39013.0,234,7.0
135124,2020-05-11,Belmont,Ohio,39013.0,258,7.0
138114,2020-05-12,Belmont,Ohio,39013.0,266,7.0
141110,2020-05-13,Belmont,Ohio,39013.0,276,7.0
144105,2020-05-14,Belmont,Ohio,39013.0,296,8.0
147106,2020-05-15,Belmont,Ohio,39013.0,300,8.0
150113,2020-05-16,Belmont,Ohio,39013.0,318,8.0
153124,2020-05-17,Belmont,Ohio,39013.0,328,8.0
156141,2020-05-18,Belmont,Ohio,39013.0,341,8.0
159161,2020-05-19,Belmont,Ohio,39013.0,343,9.0
162188,2020-05-20,Belmont,Ohio,39013.0,352,11.0
165217,2020-05-21,Belmont,Ohio,39013.0,362,11.0
168253,2020-05-22,Belmont,Ohio,39013.0,374,11.0
171292,2020-05-23,Belmont,Ohio,39013.0,381,12.0
174334,2020-05-24,Belmont,Ohio,39013.0,384,12.0
177378,2020-05-25,Belmont,Ohio,39013.0,390,12.0
180421,2020-05-26,Belmont,Ohio,39013.0,402,12.0
183470,2020-05-27,Belmont,Ohio,39013.0,403,12.0
186527,2020-05-28,Belmont,Ohio,39013.0,412,12.0
189587,2020-05-29,Belmont,Ohio,39013.0,419,12.0
192651,2020-05-30,Belmont,Ohio,39013.0,428,12.0
195721,2020-05-31,Belmont,Ohio,39013.0,429,12.0
198794,2020-06-01,Belmont,Ohio,39013.0,435,13.0
201869,2020-06-02,Belmont,Ohio,39013.0,438,13.0
204946,2020-06-03,Belmont,Ohio,39013.0,439,14.0
208027,2020-06-04,Belmont,Ohio,39013.0,447,15.0
211109,2020-06-05,Belmont,Ohio,39013.0,449,15.0
214195,2020-06-06,Belmont,Ohio,39013.0,450,15.0
217285,2020-06-07,Belmont,Ohio,39013.0,451,15.0
220377,2020-06-08,Belmont,Ohio,39013.0,453,15.0
223472,2020-06-09,Belmont,Ohio,39013.0,455,15.0
226572,2020-06-10,Belmont,Ohio,39013.0,460,16.0
229676,2020-06-11,Belmont,Ohio,39013.0,462,16.0
232781,2020-06-12,Belmont,Ohio,39013.0,463,18.0
235886,2020-06-13,Belmont,Ohio,39013.0,466,20.0
238994,2020-06-14,Belmont,Ohio,39013.0,467,20.0
242103,2020-06-15,Belmont,Ohio,39013.0,469,20.0
245215,2020-06-16,Belmont,Ohio,39013.0,469,21.0
248328,2020-06-17,Belmont,Ohio,39013.0,472,21.0
251443,2020-06-18,Belmont,Ohio,39013.0,472,21.0
254558,2020-06-19,Belmont,Ohio,39013.0,476,21.0
257683,2020-06-20,Belmont,Ohio,39013.0,477,21.0
260810,2020-06-21,Belmont,Ohio,39013.0,484,21.0
263938,2020-06-22,Belmont,Ohio,39013.0,493,21.0
267066,2020-06-23,Belmont,Ohio,39013.0,500,21.0
270200,2020-06-24,Belmont,Ohio,39013.0,506,21.0
273339,2020-06-25,Belmont,Ohio,39013.0,516,21.0
276486,2020-06-26,Belmont,Ohio,39013.0,519,21.0
279634,2020-06-27,Belmont,Ohio,39013.0,521,21.0
282780,2020-06-28,Belmont,Ohio,39013.0,523,21.0
285925,2020-06-29,Belmont,Ohio,39013.0,524,21.0
289075,2020-06-30,Belmont,Ohio,39013.0,528,21.0
292227,2020-07-01,Belmont,Ohio,39013.0,534,21.0
295382,2020-07-02,Belmont,Ohio,39013.0,534,21.0
298542,2020-07-03,Belmont,Ohio,39013.0,543,22.0
301705,2020-07-04,Belmont,Ohio,39013.0,544,22.0
304868,2020-07-05,Belmont,Ohio,39013.0,546,22.0
308035,2020-07-06,Belmont,Ohio,39013.0,549,22.0
311204,2020-07-07,Belmont,Ohio,39013.0,554,22.0
314376,2020-07-08,Belmont,Ohio,39013.0,555,22.0
317549,2020-07-09,Belmont,Ohio,39013.0,558,22.0
320726,2020-07-10,Belmont,Ohio,39013.0,567,22.0
323906,2020-07-11,Belmont,Ohio,39013.0,569,22.0
327091,2020-07-12,Belmont,Ohio,39013.0,570,24.0
330278,2020-07-13,Belmont,Ohio,39013.0,573,24.0
333470,2020-07-14,Belmont,Ohio,39013.0,572,24.0
336664,2020-07-15,Belmont,Ohio,39013.0,572,24.0
339860,2020-07-16,Belmont,Ohio,39013.0,575,24.0
343058,2020-07-17,Belmont,Ohio,39013.0,575,24.0
