,date,county,state,fips,cases,deaths
8807,2020-03-23,Big Stone,Minnesota,27011.0,1,0.0
10102,2020-03-24,Big Stone,Minnesota,27011.0,1,0.0
11519,2020-03-25,Big Stone,Minnesota,27011.0,1,0.0
13107,2020-03-26,Big Stone,Minnesota,27011.0,1,0.0
14820,2020-03-27,Big Stone,Minnesota,27011.0,1,0.0
16641,2020-03-28,Big Stone,Minnesota,27011.0,1,0.0
18557,2020-03-29,Big Stone,Minnesota,27011.0,1,0.0
20577,2020-03-30,Big Stone,Minnesota,27011.0,1,0.0
22689,2020-03-31,Big Stone,Minnesota,27011.0,1,0.0
24869,2020-04-01,Big Stone,Minnesota,27011.0,1,0.0
27122,2020-04-02,Big Stone,Minnesota,27011.0,1,0.0
29441,2020-04-03,Big Stone,Minnesota,27011.0,1,0.0
31819,2020-04-04,Big Stone,Minnesota,27011.0,1,0.0
34244,2020-04-05,Big Stone,Minnesota,27011.0,1,0.0
36704,2020-04-06,Big Stone,Minnesota,27011.0,1,0.0
39213,2020-04-07,Big Stone,Minnesota,27011.0,1,0.0
41766,2020-04-08,Big Stone,Minnesota,27011.0,1,0.0
44342,2020-04-09,Big Stone,Minnesota,27011.0,1,0.0
46951,2020-04-10,Big Stone,Minnesota,27011.0,1,0.0
49596,2020-04-11,Big Stone,Minnesota,27011.0,1,0.0
52266,2020-04-12,Big Stone,Minnesota,27011.0,1,0.0
54948,2020-04-13,Big Stone,Minnesota,27011.0,1,0.0
57646,2020-04-14,Big Stone,Minnesota,27011.0,1,0.0
60356,2020-04-15,Big Stone,Minnesota,27011.0,1,0.0
63078,2020-04-16,Big Stone,Minnesota,27011.0,1,0.0
65817,2020-04-17,Big Stone,Minnesota,27011.0,1,0.0
68568,2020-04-18,Big Stone,Minnesota,27011.0,1,0.0
71332,2020-04-19,Big Stone,Minnesota,27011.0,1,0.0
74104,2020-04-20,Big Stone,Minnesota,27011.0,1,0.0
76884,2020-04-21,Big Stone,Minnesota,27011.0,1,0.0
