,date,county,state,fips,cases,deaths
13209,2020-03-26,Bollinger,Missouri,29017.0,1,0.0
14932,2020-03-27,Bollinger,Missouri,29017.0,1,0.0
16756,2020-03-28,Bollinger,Missouri,29017.0,1,0.0
18678,2020-03-29,Bollinger,Missouri,29017.0,1,0.0
20702,2020-03-30,Bollinger,Missouri,29017.0,1,0.0
22820,2020-03-31,Bollinger,Missouri,29017.0,1,0.0
25004,2020-04-01,Bollinger,Missouri,29017.0,1,0.0
27259,2020-04-02,Bollinger,Missouri,29017.0,1,0.0
29578,2020-04-03,Bollinger,Missouri,29017.0,1,0.0
31958,2020-04-04,Bollinger,Missouri,29017.0,1,0.0
34386,2020-04-05,Bollinger,Missouri,29017.0,1,0.0
36849,2020-04-06,Bollinger,Missouri,29017.0,1,0.0
39360,2020-04-07,Bollinger,Missouri,29017.0,2,0.0
41914,2020-04-08,Bollinger,Missouri,29017.0,2,0.0
44491,2020-04-09,Bollinger,Missouri,29017.0,3,0.0
47100,2020-04-10,Bollinger,Missouri,29017.0,3,0.0
49747,2020-04-11,Bollinger,Missouri,29017.0,3,0.0
52420,2020-04-12,Bollinger,Missouri,29017.0,3,0.0
55102,2020-04-13,Bollinger,Missouri,29017.0,3,0.0
57800,2020-04-14,Bollinger,Missouri,29017.0,3,0.0
60511,2020-04-15,Bollinger,Missouri,29017.0,3,0.0
63233,2020-04-16,Bollinger,Missouri,29017.0,3,0.0
65973,2020-04-17,Bollinger,Missouri,29017.0,3,0.0
68725,2020-04-18,Bollinger,Missouri,29017.0,3,0.0
71492,2020-04-19,Bollinger,Missouri,29017.0,3,0.0
74265,2020-04-20,Bollinger,Missouri,29017.0,3,0.0
77046,2020-04-21,Bollinger,Missouri,29017.0,3,0.0
79831,2020-04-22,Bollinger,Missouri,29017.0,3,0.0
82627,2020-04-23,Bollinger,Missouri,29017.0,3,0.0
85431,2020-04-24,Bollinger,Missouri,29017.0,4,0.0
88241,2020-04-25,Bollinger,Missouri,29017.0,4,0.0
91057,2020-04-26,Bollinger,Missouri,29017.0,4,0.0
93878,2020-04-27,Bollinger,Missouri,29017.0,4,0.0
96714,2020-04-28,Bollinger,Missouri,29017.0,4,0.0
99560,2020-04-29,Bollinger,Missouri,29017.0,4,0.0
102412,2020-04-30,Bollinger,Missouri,29017.0,4,0.0
105273,2020-05-01,Bollinger,Missouri,29017.0,4,0.0
108138,2020-05-02,Bollinger,Missouri,29017.0,4,0.0
111009,2020-05-03,Bollinger,Missouri,29017.0,4,0.0
113888,2020-05-04,Bollinger,Missouri,29017.0,4,0.0
116770,2020-05-05,Bollinger,Missouri,29017.0,4,0.0
119730,2020-05-06,Bollinger,Missouri,29017.0,4,0.0
122704,2020-05-07,Bollinger,Missouri,29017.0,4,0.0
125686,2020-05-08,Bollinger,Missouri,29017.0,4,0.0
128673,2020-05-09,Bollinger,Missouri,29017.0,4,0.0
131663,2020-05-10,Bollinger,Missouri,29017.0,4,0.0
134654,2020-05-11,Bollinger,Missouri,29017.0,4,0.0
137644,2020-05-12,Bollinger,Missouri,29017.0,4,0.0
140638,2020-05-13,Bollinger,Missouri,29017.0,4,0.0
143633,2020-05-14,Bollinger,Missouri,29017.0,4,0.0
146633,2020-05-15,Bollinger,Missouri,29017.0,4,0.0
149638,2020-05-16,Bollinger,Missouri,29017.0,4,0.0
152649,2020-05-17,Bollinger,Missouri,29017.0,4,0.0
155663,2020-05-18,Bollinger,Missouri,29017.0,4,0.0
158681,2020-05-19,Bollinger,Missouri,29017.0,4,0.0
161707,2020-05-20,Bollinger,Missouri,29017.0,4,0.0
164736,2020-05-21,Bollinger,Missouri,29017.0,5,0.0
167772,2020-05-22,Bollinger,Missouri,29017.0,6,0.0
170810,2020-05-23,Bollinger,Missouri,29017.0,6,0.0
173852,2020-05-24,Bollinger,Missouri,29017.0,6,0.0
176895,2020-05-25,Bollinger,Missouri,29017.0,6,0.0
179939,2020-05-26,Bollinger,Missouri,29017.0,6,0.0
182985,2020-05-27,Bollinger,Missouri,29017.0,6,0.0
186041,2020-05-28,Bollinger,Missouri,29017.0,6,0.0
189099,2020-05-29,Bollinger,Missouri,29017.0,6,0.0
192163,2020-05-30,Bollinger,Missouri,29017.0,6,0.0
195231,2020-05-31,Bollinger,Missouri,29017.0,6,0.0
198302,2020-06-01,Bollinger,Missouri,29017.0,6,0.0
201375,2020-06-02,Bollinger,Missouri,29017.0,6,0.0
204452,2020-06-03,Bollinger,Missouri,29017.0,7,0.0
207533,2020-06-04,Bollinger,Missouri,29017.0,7,0.0
210614,2020-06-05,Bollinger,Missouri,29017.0,7,0.0
213698,2020-06-06,Bollinger,Missouri,29017.0,7,0.0
216786,2020-06-07,Bollinger,Missouri,29017.0,7,0.0
219878,2020-06-08,Bollinger,Missouri,29017.0,7,0.0
222973,2020-06-09,Bollinger,Missouri,29017.0,7,0.0
226071,2020-06-10,Bollinger,Missouri,29017.0,7,0.0
229174,2020-06-11,Bollinger,Missouri,29017.0,8,0.0
232278,2020-06-12,Bollinger,Missouri,29017.0,8,0.0
235384,2020-06-13,Bollinger,Missouri,29017.0,9,0.0
238491,2020-06-14,Bollinger,Missouri,29017.0,9,0.0
241600,2020-06-15,Bollinger,Missouri,29017.0,10,0.0
244711,2020-06-16,Bollinger,Missouri,29017.0,10,0.0
247824,2020-06-17,Bollinger,Missouri,29017.0,10,0.0
250937,2020-06-18,Bollinger,Missouri,29017.0,11,0.0
254052,2020-06-19,Bollinger,Missouri,29017.0,11,0.0
257172,2020-06-20,Bollinger,Missouri,29017.0,12,0.0
260298,2020-06-21,Bollinger,Missouri,29017.0,13,0.0
263426,2020-06-22,Bollinger,Missouri,29017.0,12,0.0
266552,2020-06-23,Bollinger,Missouri,29017.0,12,0.0
269685,2020-06-24,Bollinger,Missouri,29017.0,12,0.0
272823,2020-06-25,Bollinger,Missouri,29017.0,12,0.0
275966,2020-06-26,Bollinger,Missouri,29017.0,13,0.0
279114,2020-06-27,Bollinger,Missouri,29017.0,12,0.0
282262,2020-06-28,Bollinger,Missouri,29017.0,12,0.0
285407,2020-06-29,Bollinger,Missouri,29017.0,12,0.0
288557,2020-06-30,Bollinger,Missouri,29017.0,12,0.0
291708,2020-07-01,Bollinger,Missouri,29017.0,12,0.0
294862,2020-07-02,Bollinger,Missouri,29017.0,12,0.0
298020,2020-07-03,Bollinger,Missouri,29017.0,14,0.0
301183,2020-07-04,Bollinger,Missouri,29017.0,14,0.0
304347,2020-07-05,Bollinger,Missouri,29017.0,14,0.0
307514,2020-07-06,Bollinger,Missouri,29017.0,14,0.0
310682,2020-07-07,Bollinger,Missouri,29017.0,16,0.0
313852,2020-07-08,Bollinger,Missouri,29017.0,18,0.0
317026,2020-07-09,Bollinger,Missouri,29017.0,20,0.0
320201,2020-07-10,Bollinger,Missouri,29017.0,21,0.0
323380,2020-07-11,Bollinger,Missouri,29017.0,21,0.0
326563,2020-07-12,Bollinger,Missouri,29017.0,22,0.0
329749,2020-07-13,Bollinger,Missouri,29017.0,23,0.0
332936,2020-07-14,Bollinger,Missouri,29017.0,27,1.0
336129,2020-07-15,Bollinger,Missouri,29017.0,30,0.0
339325,2020-07-16,Bollinger,Missouri,29017.0,32,1.0
342521,2020-07-17,Bollinger,Missouri,29017.0,33,1.0
345721,2020-07-18,Bollinger,Missouri,29017.0,39,1.0
348922,2020-07-19,Bollinger,Missouri,29017.0,40,1.0
352122,2020-07-20,Bollinger,Missouri,29017.0,43,0.0
355324,2020-07-21,Bollinger,Missouri,29017.0,46,0.0
358527,2020-07-22,Bollinger,Missouri,29017.0,47,0.0
