,date,county,state,fips,cases,deaths
1058,2020-03-10,Boone,Indiana,18011.0,1,0.0
1233,2020-03-11,Boone,Indiana,18011.0,1,0.0
1447,2020-03-12,Boone,Indiana,18011.0,1,0.0
1718,2020-03-13,Boone,Indiana,18011.0,1,0.0
2049,2020-03-14,Boone,Indiana,18011.0,1,0.0
2442,2020-03-15,Boone,Indiana,18011.0,1,0.0
2886,2020-03-16,Boone,Indiana,18011.0,1,0.0
3375,2020-03-17,Boone,Indiana,18011.0,1,0.0
3492,2020-03-17,Boone,Missouri,29019.0,1,0.0
3945,2020-03-18,Boone,Indiana,18011.0,1,0.0
4081,2020-03-18,Boone,Missouri,29019.0,1,1.0
4428,2020-03-19,Boone,Arkansas,5009.0,1,0.0
4621,2020-03-19,Boone,Indiana,18011.0,1,0.0
4800,2020-03-19,Boone,Missouri,29019.0,3,1.0
5200,2020-03-20,Boone,Arkansas,5009.0,1,0.0
5428,2020-03-20,Boone,Indiana,18011.0,2,0.0
5633,2020-03-20,Boone,Missouri,29019.0,10,1.0
6119,2020-03-21,Boone,Arkansas,5009.0,1,0.0
6363,2020-03-21,Boone,Indiana,18011.0,2,0.0
6621,2020-03-21,Boone,Missouri,29019.0,11,1.0
7153,2020-03-22,Boone,Arkansas,5009.0,1,0.0
7417,2020-03-22,Boone,Indiana,18011.0,3,0.0
7710,2020-03-22,Boone,Missouri,29019.0,11,1.0
8296,2020-03-23,Boone,Arkansas,5009.0,1,0.0
8574,2020-03-23,Boone,Indiana,18011.0,3,0.0
8894,2020-03-23,Boone,Missouri,29019.0,17,1.0
9525,2020-03-24,Boone,Arkansas,5009.0,1,0.0
9838,2020-03-24,Boone,Indiana,18011.0,3,0.0
10192,2020-03-24,Boone,Missouri,29019.0,20,1.0
10895,2020-03-25,Boone,Arkansas,5009.0,1,0.0
11231,2020-03-25,Boone,Indiana,18011.0,4,0.0
11613,2020-03-25,Boone,Missouri,29019.0,20,1.0
12436,2020-03-26,Boone,Arkansas,5009.0,1,0.0
12787,2020-03-26,Boone,Indiana,18011.0,7,0.0
12908,2020-03-26,Boone,Kentucky,21015.0,2,0.0
13210,2020-03-26,Boone,Missouri,29019.0,25,1.0
14100,2020-03-27,Boone,Arkansas,5009.0,1,0.0
14465,2020-03-27,Boone,Indiana,18011.0,7,0.0
14611,2020-03-27,Boone,Kentucky,21015.0,3,0.0
14933,2020-03-27,Boone,Missouri,29019.0,37,1.0
15880,2020-03-28,Boone,Arkansas,5009.0,1,0.0
16262,2020-03-28,Boone,Indiana,18011.0,8,0.0
16339,2020-03-28,Boone,Iowa,19015.0,1,0.0
16419,2020-03-28,Boone,Kentucky,21015.0,4,0.0
16757,2020-03-28,Boone,Missouri,29019.0,49,1.0
17766,2020-03-29,Boone,Arkansas,5009.0,1,0.0
18163,2020-03-29,Boone,Indiana,18011.0,13,0.0
18244,2020-03-29,Boone,Iowa,19015.0,1,0.0
18328,2020-03-29,Boone,Kentucky,21015.0,4,0.0
18679,2020-03-29,Boone,Missouri,29019.0,50,1.0
19740,2020-03-30,Boone,Arkansas,5009.0,1,0.0
20169,2020-03-30,Boone,Indiana,18011.0,20,0.0
20251,2020-03-30,Boone,Iowa,19015.0,1,0.0
20342,2020-03-30,Boone,Kentucky,21015.0,5,0.0
20703,2020-03-30,Boone,Missouri,29019.0,59,1.0
21812,2020-03-31,Boone,Arkansas,5009.0,2,0.0
22262,2020-03-31,Boone,Indiana,18011.0,22,0.0
22346,2020-03-31,Boone,Iowa,19015.0,1,0.0
22442,2020-03-31,Boone,Kentucky,21015.0,5,0.0
22821,2020-03-31,Boone,Missouri,29019.0,64,1.0
23968,2020-04-01,Boone,Arkansas,5009.0,3,0.0
24432,2020-04-01,Boone,Indiana,18011.0,29,0.0
24518,2020-04-01,Boone,Iowa,19015.0,1,0.0
24618,2020-04-01,Boone,Kentucky,21015.0,5,0.0
25005,2020-04-01,Boone,Missouri,29019.0,65,1.0
26192,2020-04-02,Boone,Arkansas,5009.0,3,0.0
26671,2020-04-02,Boone,Indiana,18011.0,32,0.0
26758,2020-04-02,Boone,Iowa,19015.0,2,0.0
26863,2020-04-02,Boone,Kentucky,21015.0,5,0.0
27260,2020-04-02,Boone,Missouri,29019.0,69,1.0
28489,2020-04-03,Boone,Arkansas,5009.0,3,0.0
28981,2020-04-03,Boone,Indiana,18011.0,38,0.0
29069,2020-04-03,Boone,Iowa,19015.0,2,0.0
29179,2020-04-03,Boone,Kentucky,21015.0,5,0.0
29579,2020-04-03,Boone,Missouri,29019.0,74,1.0
30846,2020-04-04,Boone,Arkansas,5009.0,3,0.0
31347,2020-04-04,Boone,Indiana,18011.0,50,0.0
31437,2020-04-04,Boone,Iowa,19015.0,2,0.0
31553,2020-04-04,Boone,Kentucky,21015.0,6,1.0
31959,2020-04-04,Boone,Missouri,29019.0,75,1.0
33250,2020-04-05,Boone,Arkansas,5009.0,3,0.0
33683,2020-04-05,Boone,Illinois,17007.0,3,0.0
33757,2020-04-05,Boone,Indiana,18011.0,58,2.0
33848,2020-04-05,Boone,Iowa,19015.0,3,0.0
33970,2020-04-05,Boone,Kentucky,21015.0,27,1.0
34387,2020-04-05,Boone,Missouri,29019.0,76,1.0
35690,2020-04-06,Boone,Arkansas,5009.0,3,0.0
36134,2020-04-06,Boone,Illinois,17007.0,4,0.0
36210,2020-04-06,Boone,Indiana,18011.0,65,2.0
36301,2020-04-06,Boone,Iowa,19015.0,3,0.0
36428,2020-04-06,Boone,Kentucky,21015.0,27,1.0
36850,2020-04-06,Boone,Missouri,29019.0,76,1.0
38179,2020-04-07,Boone,Arkansas,5009.0,4,0.0
38628,2020-04-07,Boone,Illinois,17007.0,6,0.0
38708,2020-04-07,Boone,Indiana,18011.0,75,2.0
38799,2020-04-07,Boone,Iowa,19015.0,3,0.0
38933,2020-04-07,Boone,Kentucky,21015.0,34,1.0
39361,2020-04-07,Boone,Missouri,29019.0,77,1.0
40722,2020-04-08,Boone,Arkansas,5009.0,3,0.0
41172,2020-04-08,Boone,Illinois,17007.0,7,1.0
41254,2020-04-08,Boone,Indiana,18011.0,77,3.0
41345,2020-04-08,Boone,Iowa,19015.0,3,0.0
41482,2020-04-08,Boone,Kentucky,21015.0,34,1.0
41915,2020-04-08,Boone,Missouri,29019.0,78,1.0
43079,2020-04-08,Boone,West Virginia,54005.0,1,0.0
43294,2020-04-09,Boone,Arkansas,5009.0,3,0.0
43746,2020-04-09,Boone,Illinois,17007.0,7,1.0
43830,2020-04-09,Boone,Indiana,18011.0,85,3.0
43921,2020-04-09,Boone,Iowa,19015.0,4,0.0
44057,2020-04-09,Boone,Kentucky,21015.0,46,1.0
44492,2020-04-09,Boone,Missouri,29019.0,78,1.0
45675,2020-04-09,Boone,West Virginia,54005.0,1,0.0
45893,2020-04-10,Boone,Arkansas,5009.0,3,0.0
46348,2020-04-10,Boone,Illinois,17007.0,7,1.0
46434,2020-04-10,Boone,Indiana,18011.0,91,3.0
46526,2020-04-10,Boone,Iowa,19015.0,4,0.0
46665,2020-04-10,Boone,Kentucky,21015.0,48,1.0
47101,2020-04-10,Boone,Missouri,29019.0,77,1.0
48303,2020-04-10,Boone,West Virginia,54005.0,1,0.0
48523,2020-04-11,Boone,Arkansas,5009.0,3,0.0
48979,2020-04-11,Boone,Illinois,17007.0,7,1.0
49068,2020-04-11,Boone,Indiana,18011.0,104,3.0
49160,2020-04-11,Boone,Iowa,19015.0,4,0.0
49302,2020-04-11,Boone,Kentucky,21015.0,48,2.0
49748,2020-04-11,Boone,Missouri,29019.0,79,1.0
50961,2020-04-11,Boone,West Virginia,54005.0,1,0.0
51185,2020-04-12,Boone,Arkansas,5009.0,3,0.0
51641,2020-04-12,Boone,Illinois,17007.0,11,1.0
51731,2020-04-12,Boone,Indiana,18011.0,110,3.0
51824,2020-04-12,Boone,Iowa,19015.0,4,0.0
51968,2020-04-12,Boone,Kentucky,21015.0,54,2.0
52421,2020-04-12,Boone,Missouri,29019.0,80,1.0
53636,2020-04-12,Boone,West Virginia,54005.0,1,0.0
53863,2020-04-13,Boone,Arkansas,5009.0,3,0.0
54321,2020-04-13,Boone,Illinois,17007.0,13,1.0
54412,2020-04-13,Boone,Indiana,18011.0,110,3.0
54505,2020-04-13,Boone,Iowa,19015.0,4,0.0
54649,2020-04-13,Boone,Kentucky,21015.0,58,2.0
55103,2020-04-13,Boone,Missouri,29019.0,82,1.0
56326,2020-04-13,Boone,West Virginia,54005.0,1,0.0
56555,2020-04-14,Boone,Arkansas,5009.0,3,0.0
57013,2020-04-14,Boone,Illinois,17007.0,13,1.0
57105,2020-04-14,Boone,Indiana,18011.0,126,4.0
57198,2020-04-14,Boone,Iowa,19015.0,4,0.0
57344,2020-04-14,Boone,Kentucky,21015.0,61,2.0
57801,2020-04-14,Boone,Missouri,29019.0,87,1.0
59032,2020-04-14,Boone,West Virginia,54005.0,1,0.0
59263,2020-04-15,Boone,Arkansas,5009.0,3,0.0
59720,2020-04-15,Boone,Illinois,17007.0,16,1.0
59813,2020-04-15,Boone,Indiana,18011.0,130,5.0
59906,2020-04-15,Boone,Iowa,19015.0,4,0.0
60053,2020-04-15,Boone,Kentucky,21015.0,65,2.0
60512,2020-04-15,Boone,Missouri,29019.0,90,1.0
61751,2020-04-15,Boone,West Virginia,54005.0,1,0.0
61982,2020-04-16,Boone,Arkansas,5009.0,3,0.0
62441,2020-04-16,Boone,Illinois,17007.0,18,1.0
62534,2020-04-16,Boone,Indiana,18011.0,137,6.0
62627,2020-04-16,Boone,Iowa,19015.0,4,0.0
62773,2020-04-16,Boone,Kentucky,21015.0,67,2.0
63234,2020-04-16,Boone,Missouri,29019.0,92,1.0
64484,2020-04-16,Boone,West Virginia,54005.0,2,0.0
64715,2020-04-17,Boone,Arkansas,5009.0,3,0.0
65173,2020-04-17,Boone,Illinois,17007.0,21,2.0
65268,2020-04-17,Boone,Indiana,18011.0,147,9.0
65361,2020-04-17,Boone,Iowa,19015.0,4,0.0
65512,2020-04-17,Boone,Kentucky,21015.0,73,2.0
65974,2020-04-17,Boone,Missouri,29019.0,93,1.0
67232,2020-04-17,Boone,West Virginia,54005.0,2,0.0
67463,2020-04-18,Boone,Arkansas,5009.0,3,0.0
67921,2020-04-18,Boone,Illinois,17007.0,29,2.0
68017,2020-04-18,Boone,Indiana,18011.0,154,11.0
68110,2020-04-18,Boone,Iowa,19015.0,4,0.0
68261,2020-04-18,Boone,Kentucky,21015.0,74,2.0
68726,2020-04-18,Boone,Missouri,29019.0,93,1.0
69994,2020-04-18,Boone,West Virginia,54005.0,2,0.0
70225,2020-04-19,Boone,Arkansas,5009.0,3,0.0
70683,2020-04-19,Boone,Illinois,17007.0,30,2.0
70779,2020-04-19,Boone,Indiana,18011.0,156,11.0
70872,2020-04-19,Boone,Iowa,19015.0,6,0.0
71022,2020-04-19,Boone,Kentucky,21015.0,81,2.0
71493,2020-04-19,Boone,Missouri,29019.0,93,1.0
72763,2020-04-19,Boone,West Virginia,54005.0,2,0.0
72994,2020-04-20,Boone,Arkansas,5009.0,3,0.0
73452,2020-04-20,Boone,Illinois,17007.0,33,3.0
73550,2020-04-20,Boone,Indiana,18011.0,157,11.0
73643,2020-04-20,Boone,Iowa,19015.0,6,0.0
73794,2020-04-20,Boone,Kentucky,21015.0,81,2.0
74266,2020-04-20,Boone,Missouri,29019.0,94,1.0
75539,2020-04-20,Boone,West Virginia,54005.0,2,0.0
75770,2020-04-21,Boone,Arkansas,5009.0,4,0.0
76228,2020-04-21,Boone,Illinois,17007.0,35,6.0
76327,2020-04-21,Boone,Indiana,18011.0,164,20.0
76420,2020-04-21,Boone,Iowa,19015.0,6,0.0
76574,2020-04-21,Boone,Kentucky,21015.0,86,2.0
77047,2020-04-21,Boone,Missouri,29019.0,96,1.0
78322,2020-04-21,Boone,West Virginia,54005.0,2,0.0
78554,2020-04-22,Boone,Arkansas,5009.0,4,0.0
79012,2020-04-22,Boone,Illinois,17007.0,41,6.0
79111,2020-04-22,Boone,Indiana,18011.0,169,21.0
79204,2020-04-22,Boone,Iowa,19015.0,6,0.0
79359,2020-04-22,Boone,Kentucky,21015.0,93,2.0
