date,county,state,fips,cases,deaths
2020-03-21,Botetourt,Virginia,51023.0,1,0.0
2020-03-22,Botetourt,Virginia,51023.0,1,0.0
2020-03-23,Botetourt,Virginia,51023.0,1,0.0
2020-03-24,Botetourt,Virginia,51023.0,1,0.0
2020-03-25,Botetourt,Virginia,51023.0,1,0.0
2020-03-26,Botetourt,Virginia,51023.0,1,0.0
2020-03-27,Botetourt,Virginia,51023.0,1,0.0
2020-03-28,Botetourt,Virginia,51023.0,1,0.0
2020-03-29,Botetourt,Virginia,51023.0,2,0.0
2020-03-30,Botetourt,Virginia,51023.0,5,0.0
2020-03-31,Botetourt,Virginia,51023.0,5,0.0
2020-04-01,Botetourt,Virginia,51023.0,6,0.0
2020-04-02,Botetourt,Virginia,51023.0,8,0.0
2020-04-03,Botetourt,Virginia,51023.0,8,0.0
2020-04-04,Botetourt,Virginia,51023.0,14,0.0
2020-04-05,Botetourt,Virginia,51023.0,15,0.0
2020-04-06,Botetourt,Virginia,51023.0,15,0.0
2020-04-07,Botetourt,Virginia,51023.0,18,0.0
2020-04-08,Botetourt,Virginia,51023.0,18,0.0
2020-04-09,Botetourt,Virginia,51023.0,18,0.0
2020-04-10,Botetourt,Virginia,51023.0,21,0.0
2020-04-11,Botetourt,Virginia,51023.0,22,0.0
2020-04-12,Botetourt,Virginia,51023.0,23,0.0
2020-04-13,Botetourt,Virginia,51023.0,24,0.0
2020-04-14,Botetourt,Virginia,51023.0,23,0.0
2020-04-15,Botetourt,Virginia,51023.0,23,0.0
2020-04-16,Botetourt,Virginia,51023.0,23,0.0
2020-04-17,Botetourt,Virginia,51023.0,23,0.0
2020-04-18,Botetourt,Virginia,51023.0,23,0.0
2020-04-19,Botetourt,Virginia,51023.0,24,0.0
2020-04-20,Botetourt,Virginia,51023.0,24,0.0
2020-04-21,Botetourt,Virginia,51023.0,25,3.0
2020-04-22,Botetourt,Virginia,51023.0,26,3.0
2020-04-23,Botetourt,Virginia,51023.0,26,3.0
2020-04-24,Botetourt,Virginia,51023.0,27,3.0
2020-04-25,Botetourt,Virginia,51023.0,27,3.0
2020-04-26,Botetourt,Virginia,51023.0,27,3.0
2020-04-27,Botetourt,Virginia,51023.0,27,3.0
2020-04-28,Botetourt,Virginia,51023.0,27,3.0
2020-04-29,Botetourt,Virginia,51023.0,28,3.0
2020-04-30,Botetourt,Virginia,51023.0,28,3.0
2020-05-01,Botetourt,Virginia,51023.0,28,3.0
2020-05-02,Botetourt,Virginia,51023.0,28,3.0
2020-05-03,Botetourt,Virginia,51023.0,28,3.0
2020-05-04,Botetourt,Virginia,51023.0,28,3.0
2020-05-05,Botetourt,Virginia,51023.0,29,3.0
2020-05-06,Botetourt,Virginia,51023.0,29,3.0
2020-05-07,Botetourt,Virginia,51023.0,29,3.0
2020-05-08,Botetourt,Virginia,51023.0,30,3.0
2020-05-09,Botetourt,Virginia,51023.0,29,3.0
2020-05-10,Botetourt,Virginia,51023.0,29,3.0
2020-05-11,Botetourt,Virginia,51023.0,30,3.0
2020-05-12,Botetourt,Virginia,51023.0,30,3.0
2020-05-13,Botetourt,Virginia,51023.0,30,3.0
2020-05-14,Botetourt,Virginia,51023.0,30,3.0
2020-05-15,Botetourt,Virginia,51023.0,30,3.0
2020-05-16,Botetourt,Virginia,51023.0,30,3.0
2020-05-17,Botetourt,Virginia,51023.0,31,3.0
2020-05-18,Botetourt,Virginia,51023.0,31,3.0
2020-05-19,Botetourt,Virginia,51023.0,31,3.0
2020-05-20,Botetourt,Virginia,51023.0,31,3.0
2020-05-21,Botetourt,Virginia,51023.0,31,3.0
2020-05-22,Botetourt,Virginia,51023.0,31,4.0
2020-05-23,Botetourt,Virginia,51023.0,31,4.0
2020-05-24,Botetourt,Virginia,51023.0,31,4.0
2020-05-25,Botetourt,Virginia,51023.0,32,4.0
2020-05-26,Botetourt,Virginia,51023.0,32,4.0
2020-05-27,Botetourt,Virginia,51023.0,32,4.0
2020-05-28,Botetourt,Virginia,51023.0,32,4.0
2020-05-29,Botetourt,Virginia,51023.0,32,4.0
2020-05-30,Botetourt,Virginia,51023.0,32,4.0
2020-05-31,Botetourt,Virginia,51023.0,32,4.0
2020-06-01,Botetourt,Virginia,51023.0,32,4.0
2020-06-02,Botetourt,Virginia,51023.0,34,4.0
2020-06-03,Botetourt,Virginia,51023.0,34,4.0
2020-06-04,Botetourt,Virginia,51023.0,34,4.0
2020-06-05,Botetourt,Virginia,51023.0,35,4.0
2020-06-06,Botetourt,Virginia,51023.0,39,4.0
2020-06-07,Botetourt,Virginia,51023.0,40,4.0
2020-06-08,Botetourt,Virginia,51023.0,40,4.0
2020-06-09,Botetourt,Virginia,51023.0,40,4.0
2020-06-10,Botetourt,Virginia,51023.0,40,4.0
2020-06-11,Botetourt,Virginia,51023.0,44,4.0
2020-06-12,Botetourt,Virginia,51023.0,44,4.0
2020-06-13,Botetourt,Virginia,51023.0,47,4.0
2020-06-14,Botetourt,Virginia,51023.0,47,4.0
2020-06-15,Botetourt,Virginia,51023.0,47,4.0
2020-06-16,Botetourt,Virginia,51023.0,50,4.0
2020-06-17,Botetourt,Virginia,51023.0,51,4.0
2020-06-18,Botetourt,Virginia,51023.0,51,4.0
2020-06-19,Botetourt,Virginia,51023.0,55,4.0
2020-06-20,Botetourt,Virginia,51023.0,58,4.0
2020-06-21,Botetourt,Virginia,51023.0,58,4.0
2020-06-22,Botetourt,Virginia,51023.0,59,4.0
2020-06-23,Botetourt,Virginia,51023.0,67,4.0
2020-06-24,Botetourt,Virginia,51023.0,69,4.0
2020-06-25,Botetourt,Virginia,51023.0,69,4.0
2020-06-26,Botetourt,Virginia,51023.0,69,4.0
2020-06-27,Botetourt,Virginia,51023.0,69,4.0
2020-06-28,Botetourt,Virginia,51023.0,73,4.0
2020-06-29,Botetourt,Virginia,51023.0,86,4.0
2020-06-30,Botetourt,Virginia,51023.0,121,4.0
2020-07-01,Botetourt,Virginia,51023.0,123,4.0
2020-07-02,Botetourt,Virginia,51023.0,125,4.0
2020-07-03,Botetourt,Virginia,51023.0,133,4.0
