,date,county,state,fips,cases,deaths
159115,2020-05-19,Bottineau,North Dakota,38009.0,1,0.0
162142,2020-05-20,Bottineau,North Dakota,38009.0,1,0.0
165171,2020-05-21,Bottineau,North Dakota,38009.0,2,0.0
168206,2020-05-22,Bottineau,North Dakota,38009.0,2,0.0
171245,2020-05-23,Bottineau,North Dakota,38009.0,2,0.0
174287,2020-05-24,Bottineau,North Dakota,38009.0,2,0.0
177331,2020-05-25,Bottineau,North Dakota,38009.0,2,0.0
180374,2020-05-26,Bottineau,North Dakota,38009.0,2,0.0
183422,2020-05-27,Bottineau,North Dakota,38009.0,2,0.0
186479,2020-05-28,Bottineau,North Dakota,38009.0,2,0.0
189539,2020-05-29,Bottineau,North Dakota,38009.0,2,0.0
192603,2020-05-30,Bottineau,North Dakota,38009.0,2,0.0
195673,2020-05-31,Bottineau,North Dakota,38009.0,2,0.0
198746,2020-06-01,Bottineau,North Dakota,38009.0,2,0.0
201820,2020-06-02,Bottineau,North Dakota,38009.0,2,0.0
204897,2020-06-03,Bottineau,North Dakota,38009.0,2,0.0
207978,2020-06-04,Bottineau,North Dakota,38009.0,3,0.0
211060,2020-06-05,Bottineau,North Dakota,38009.0,3,0.0
214144,2020-06-06,Bottineau,North Dakota,38009.0,3,0.0
217234,2020-06-07,Bottineau,North Dakota,38009.0,3,0.0
220326,2020-06-08,Bottineau,North Dakota,38009.0,3,0.0
223420,2020-06-09,Bottineau,North Dakota,38009.0,4,0.0
226520,2020-06-10,Bottineau,North Dakota,38009.0,4,0.0
229624,2020-06-11,Bottineau,North Dakota,38009.0,4,0.0
232729,2020-06-12,Bottineau,North Dakota,38009.0,4,0.0
235834,2020-06-13,Bottineau,North Dakota,38009.0,4,0.0
238942,2020-06-14,Bottineau,North Dakota,38009.0,4,0.0
242051,2020-06-15,Bottineau,North Dakota,38009.0,4,0.0
245163,2020-06-16,Bottineau,North Dakota,38009.0,4,0.0
248276,2020-06-17,Bottineau,North Dakota,38009.0,4,0.0
251391,2020-06-18,Bottineau,North Dakota,38009.0,4,0.0
254506,2020-06-19,Bottineau,North Dakota,38009.0,4,0.0
257630,2020-06-20,Bottineau,North Dakota,38009.0,5,0.0
260757,2020-06-21,Bottineau,North Dakota,38009.0,5,0.0
