,date,county,state,fips,cases,deaths
3137,2020-03-16,Bowie,Texas,48037.0,1,0.0
3670,2020-03-17,Bowie,Texas,48037.0,1,0.0
4293,2020-03-18,Bowie,Texas,48037.0,1,0.0
5044,2020-03-19,Bowie,Texas,48037.0,1,0.0
5933,2020-03-20,Bowie,Texas,48037.0,1,0.0
6951,2020-03-21,Bowie,Texas,48037.0,1,0.0
8081,2020-03-22,Bowie,Texas,48037.0,1,0.0
9299,2020-03-23,Bowie,Texas,48037.0,1,0.0
10633,2020-03-24,Bowie,Texas,48037.0,1,0.0
12116,2020-03-25,Bowie,Texas,48037.0,1,0.0
13744,2020-03-26,Bowie,Texas,48037.0,1,0.0
15497,2020-03-27,Bowie,Texas,48037.0,2,0.0
17364,2020-03-28,Bowie,Texas,48037.0,3,0.0
19314,2020-03-29,Bowie,Texas,48037.0,3,0.0
21373,2020-03-30,Bowie,Texas,48037.0,4,0.0
23512,2020-03-31,Bowie,Texas,48037.0,9,0.0
25716,2020-04-01,Bowie,Texas,48037.0,9,0.0
27996,2020-04-02,Bowie,Texas,48037.0,9,0.0
30331,2020-04-03,Bowie,Texas,48037.0,10,0.0
32724,2020-04-04,Bowie,Texas,48037.0,17,1.0
35162,2020-04-05,Bowie,Texas,48037.0,17,1.0
37638,2020-04-06,Bowie,Texas,48037.0,27,5.0
40160,2020-04-07,Bowie,Texas,48037.0,27,5.0
42723,2020-04-08,Bowie,Texas,48037.0,35,5.0
45312,2020-04-09,Bowie,Texas,48037.0,35,5.0
47930,2020-04-10,Bowie,Texas,48037.0,35,5.0
50587,2020-04-11,Bowie,Texas,48037.0,35,5.0
53262,2020-04-12,Bowie,Texas,48037.0,35,5.0
55950,2020-04-13,Bowie,Texas,48037.0,51,5.0
58654,2020-04-14,Bowie,Texas,48037.0,54,5.0
61371,2020-04-15,Bowie,Texas,48037.0,63,5.0
64098,2020-04-16,Bowie,Texas,48037.0,71,5.0
66845,2020-04-17,Bowie,Texas,48037.0,76,5.0
69604,2020-04-18,Bowie,Texas,48037.0,76,5.0
72371,2020-04-19,Bowie,Texas,48037.0,76,5.0
75146,2020-04-20,Bowie,Texas,48037.0,83,6.0
77928,2020-04-21,Bowie,Texas,48037.0,88,6.0
80718,2020-04-22,Bowie,Texas,48037.0,88,6.0
83517,2020-04-23,Bowie,Texas,48037.0,89,6.0
86322,2020-04-24,Bowie,Texas,48037.0,93,6.0
89137,2020-04-25,Bowie,Texas,48037.0,93,7.0
91954,2020-04-26,Bowie,Texas,48037.0,93,7.0
94782,2020-04-27,Bowie,Texas,48037.0,94,8.0
97622,2020-04-28,Bowie,Texas,48037.0,94,8.0
100472,2020-04-29,Bowie,Texas,48037.0,95,8.0
103325,2020-04-30,Bowie,Texas,48037.0,99,9.0
106188,2020-05-01,Bowie,Texas,48037.0,101,9.0
109055,2020-05-02,Bowie,Texas,48037.0,101,9.0
111929,2020-05-03,Bowie,Texas,48037.0,101,9.0
114811,2020-05-04,Bowie,Texas,48037.0,103,10.0
117768,2020-05-05,Bowie,Texas,48037.0,104,10.0
120732,2020-05-06,Bowie,Texas,48037.0,105,10.0
123711,2020-05-07,Bowie,Texas,48037.0,105,10.0
126694,2020-05-08,Bowie,Texas,48037.0,105,10.0
129683,2020-05-09,Bowie,Texas,48037.0,105,10.0
132673,2020-05-10,Bowie,Texas,48037.0,105,10.0
135664,2020-05-11,Bowie,Texas,48037.0,107,11.0
138654,2020-05-12,Bowie,Texas,48037.0,110,11.0
141650,2020-05-13,Bowie,Texas,48037.0,111,11.0
144647,2020-05-14,Bowie,Texas,48037.0,120,11.0
147649,2020-05-15,Bowie,Texas,48037.0,122,11.0
150657,2020-05-16,Bowie,Texas,48037.0,130,11.0
153668,2020-05-17,Bowie,Texas,48037.0,133,11.0
156685,2020-05-18,Bowie,Texas,48037.0,133,11.0
159707,2020-05-19,Bowie,Texas,48037.0,137,11.0
162734,2020-05-20,Bowie,Texas,48037.0,174,11.0
165763,2020-05-21,Bowie,Texas,48037.0,176,11.0
168799,2020-05-22,Bowie,Texas,48037.0,176,11.0
171838,2020-05-23,Bowie,Texas,48037.0,176,11.0
174881,2020-05-24,Bowie,Texas,48037.0,153,11.0
177925,2020-05-25,Bowie,Texas,48037.0,153,11.0
180968,2020-05-26,Bowie,Texas,48037.0,147,12.0
184018,2020-05-27,Bowie,Texas,48037.0,156,12.0
187075,2020-05-28,Bowie,Texas,48037.0,189,12.0
190139,2020-05-29,Bowie,Texas,48037.0,191,12.0
193204,2020-05-30,Bowie,Texas,48037.0,197,12.0
196274,2020-05-31,Bowie,Texas,48037.0,265,12.0
199347,2020-06-01,Bowie,Texas,48037.0,267,12.0
202422,2020-06-02,Bowie,Texas,48037.0,270,13.0
205501,2020-06-03,Bowie,Texas,48037.0,287,13.0
208583,2020-06-04,Bowie,Texas,48037.0,296,13.0
211666,2020-06-05,Bowie,Texas,48037.0,301,13.0
214753,2020-06-06,Bowie,Texas,48037.0,312,13.0
217843,2020-06-07,Bowie,Texas,48037.0,336,13.0
220935,2020-06-08,Bowie,Texas,48037.0,336,13.0
224030,2020-06-09,Bowie,Texas,48037.0,351,13.0
227130,2020-06-10,Bowie,Texas,48037.0,358,13.0
230234,2020-06-11,Bowie,Texas,48037.0,363,13.0
233338,2020-06-12,Bowie,Texas,48037.0,367,13.0
236444,2020-06-13,Bowie,Texas,48037.0,370,13.0
239552,2020-06-14,Bowie,Texas,48037.0,373,13.0
242662,2020-06-15,Bowie,Texas,48037.0,372,13.0
245774,2020-06-16,Bowie,Texas,48037.0,377,13.0
248887,2020-06-17,Bowie,Texas,48037.0,381,13.0
252002,2020-06-18,Bowie,Texas,48037.0,384,13.0
255117,2020-06-19,Bowie,Texas,48037.0,394,15.0
258243,2020-06-20,Bowie,Texas,48037.0,398,15.0
261370,2020-06-21,Bowie,Texas,48037.0,400,15.0
264498,2020-06-22,Bowie,Texas,48037.0,400,15.0
267626,2020-06-23,Bowie,Texas,48037.0,404,16.0
270760,2020-06-24,Bowie,Texas,48037.0,406,16.0
273899,2020-06-25,Bowie,Texas,48037.0,413,16.0
277046,2020-06-26,Bowie,Texas,48037.0,415,16.0
280194,2020-06-27,Bowie,Texas,48037.0,418,16.0
283340,2020-06-28,Bowie,Texas,48037.0,418,16.0
286486,2020-06-29,Bowie,Texas,48037.0,430,16.0
289636,2020-06-30,Bowie,Texas,48037.0,427,16.0
292789,2020-07-01,Bowie,Texas,48037.0,438,17.0
295944,2020-07-02,Bowie,Texas,48037.0,439,17.0
299104,2020-07-03,Bowie,Texas,48037.0,444,17.0
302268,2020-07-04,Bowie,Texas,48037.0,449,22.0
305432,2020-07-05,Bowie,Texas,48037.0,458,22.0
308600,2020-07-06,Bowie,Texas,48037.0,461,22.0
311769,2020-07-07,Bowie,Texas,48037.0,462,22.0
314943,2020-07-08,Bowie,Texas,48037.0,467,26.0
318116,2020-07-09,Bowie,Texas,48037.0,471,26.0
321294,2020-07-10,Bowie,Texas,48037.0,484,26.0
324475,2020-07-11,Bowie,Texas,48037.0,496,26.0
327660,2020-07-12,Bowie,Texas,48037.0,504,26.0
330846,2020-07-13,Bowie,Texas,48037.0,517,28.0
334037,2020-07-14,Bowie,Texas,48037.0,533,28.0
337232,2020-07-15,Bowie,Texas,48037.0,536,28.0
340428,2020-07-16,Bowie,Texas,48037.0,558,29.0
343627,2020-07-17,Bowie,Texas,48037.0,567,29.0
346827,2020-07-18,Bowie,Texas,48037.0,596,29.0
350027,2020-07-19,Bowie,Texas,48037.0,610,29.0
353229,2020-07-20,Bowie,Texas,48037.0,626,30.0
356432,2020-07-21,Bowie,Texas,48037.0,630,31.0
359637,2020-07-22,Bowie,Texas,48037.0,649,31.0
362844,2020-07-23,Bowie,Texas,48037.0,661,34.0
366050,2020-07-24,Bowie,Texas,48037.0,677,35.0
369259,2020-07-25,Bowie,Texas,48037.0,689,35.0
372471,2020-07-26,Bowie,Texas,48037.0,679,35.0
375684,2020-07-27,Bowie,Texas,48037.0,681,35.0
378900,2020-07-28,Bowie,Texas,48037.0,690,36.0
382117,2020-07-29,Bowie,Texas,48037.0,693,37.0
385335,2020-07-30,Bowie,Texas,48037.0,693,37.0
388552,2020-07-31,Bowie,Texas,48037.0,693,38.0
391769,2020-08-01,Bowie,Texas,48037.0,708,38.0
394985,2020-08-02,Bowie,Texas,48037.0,708,38.0
398201,2020-08-03,Bowie,Texas,48037.0,708,38.0
401417,2020-08-04,Bowie,Texas,48037.0,706,38.0
404635,2020-08-05,Bowie,Texas,48037.0,708,38.0
407855,2020-08-06,Bowie,Texas,48037.0,707,38.0
411074,2020-08-07,Bowie,Texas,48037.0,764,39.0
414294,2020-08-08,Bowie,Texas,48037.0,764,39.0
417515,2020-08-09,Bowie,Texas,48037.0,764,39.0
420736,2020-08-10,Bowie,Texas,48037.0,764,39.0
423957,2020-08-11,Bowie,Texas,48037.0,769,40.0
427181,2020-08-12,Bowie,Texas,48037.0,783,51.0
430408,2020-08-13,Bowie,Texas,48037.0,783,51.0
433633,2020-08-14,Bowie,Texas,48037.0,805,53.0
436859,2020-08-15,Bowie,Texas,48037.0,805,53.0
440085,2020-08-16,Bowie,Texas,48037.0,805,53.0
443311,2020-08-17,Bowie,Texas,48037.0,825,56.0
446538,2020-08-18,Bowie,Texas,48037.0,842,56.0
449766,2020-08-19,Bowie,Texas,48037.0,848,56.0
452994,2020-08-20,Bowie,Texas,48037.0,861,56.0
456222,2020-08-21,Bowie,Texas,48037.0,861,56.0
459449,2020-08-22,Bowie,Texas,48037.0,861,56.0
462678,2020-08-23,Bowie,Texas,48037.0,861,56.0
465907,2020-08-24,Bowie,Texas,48037.0,904,58.0
469136,2020-08-25,Bowie,Texas,48037.0,923,62.0
472368,2020-08-26,Bowie,Texas,48037.0,936,64.0
475601,2020-08-27,Bowie,Texas,48037.0,957,68.0
478834,2020-08-28,Bowie,Texas,48037.0,957,68.0
482068,2020-08-29,Bowie,Texas,48037.0,970,68.0
485303,2020-08-30,Bowie,Texas,48037.0,970,68.0
488536,2020-08-31,Bowie,Texas,48037.0,970,69.0
491769,2020-09-01,Bowie,Texas,48037.0,994,71.0
495003,2020-09-02,Bowie,Texas,48037.0,1000,71.0
498236,2020-09-03,Bowie,Texas,48037.0,1004,71.0
501470,2020-09-04,Bowie,Texas,48037.0,1013,71.0
504704,2020-09-05,Bowie,Texas,48037.0,1097,71.0
507936,2020-09-06,Bowie,Texas,48037.0,1121,71.0
511169,2020-09-07,Bowie,Texas,48037.0,1121,71.0
514402,2020-09-08,Bowie,Texas,48037.0,1127,71.0
517637,2020-09-09,Bowie,Texas,48037.0,1129,71.0
520873,2020-09-10,Bowie,Texas,48037.0,1129,71.0
524109,2020-09-11,Bowie,Texas,48037.0,1159,71.0
527345,2020-09-12,Bowie,Texas,48037.0,1167,71.0
530582,2020-09-13,Bowie,Texas,48037.0,1178,71.0
533817,2020-09-14,Bowie,Texas,48037.0,1177,71.0
537053,2020-09-15,Bowie,Texas,48037.0,1190,71.0
540290,2020-09-16,Bowie,Texas,48037.0,1213,71.0
543526,2020-09-17,Bowie,Texas,48037.0,1218,71.0
546763,2020-09-18,Bowie,Texas,48037.0,1230,71.0
550002,2020-09-19,Bowie,Texas,48037.0,1244,71.0
553241,2020-09-20,Bowie,Texas,48037.0,1253,71.0
556478,2020-09-21,Bowie,Texas,48037.0,1255,71.0
559714,2020-09-22,Bowie,Texas,48037.0,1269,71.0
562953,2020-09-23,Bowie,Texas,48037.0,1331,71.0
566194,2020-09-24,Bowie,Texas,48037.0,1330,71.0
569435,2020-09-25,Bowie,Texas,48037.0,1330,71.0
572677,2020-09-26,Bowie,Texas,48037.0,1370,71.0
575921,2020-09-27,Bowie,Texas,48037.0,1370,71.0
579162,2020-09-28,Bowie,Texas,48037.0,1377,71.0
582401,2020-09-29,Bowie,Texas,48037.0,1382,71.0
585641,2020-09-30,Bowie,Texas,48037.0,1407,71.0
588882,2020-10-01,Bowie,Texas,48037.0,1430,71.0
592122,2020-10-02,Bowie,Texas,48037.0,1439,71.0
595364,2020-10-03,Bowie,Texas,48037.0,1439,71.0
598607,2020-10-04,Bowie,Texas,48037.0,1439,71.0
601850,2020-10-05,Bowie,Texas,48037.0,1457,71.0
605092,2020-10-06,Bowie,Texas,48037.0,1476,71.0
608335,2020-10-07,Bowie,Texas,48037.0,1488,71.0
611577,2020-10-08,Bowie,Texas,48037.0,1506,74.0
614818,2020-10-09,Bowie,Texas,48037.0,1514,74.0
618060,2020-10-10,Bowie,Texas,48037.0,1514,74.0
621303,2020-10-11,Bowie,Texas,48037.0,1514,74.0
624546,2020-10-12,Bowie,Texas,48037.0,1545,74.0
627788,2020-10-13,Bowie,Texas,48037.0,1579,74.0
631032,2020-10-14,Bowie,Texas,48037.0,1612,74.0
634277,2020-10-15,Bowie,Texas,48037.0,1625,74.0
637522,2020-10-16,Bowie,Texas,48037.0,1654,74.0
640769,2020-10-17,Bowie,Texas,48037.0,1668,74.0
644017,2020-10-18,Bowie,Texas,48037.0,1668,74.0
647263,2020-10-19,Bowie,Texas,48037.0,1681,75.0
650507,2020-10-20,Bowie,Texas,48037.0,1703,75.0
653752,2020-10-21,Bowie,Texas,48037.0,1730,76.0
656997,2020-10-22,Bowie,Texas,48037.0,1746,76.0
660241,2020-10-23,Bowie,Texas,48037.0,1759,76.0
663485,2020-10-24,Bowie,Texas,48037.0,1765,76.0
666730,2020-10-25,Bowie,Texas,48037.0,1765,76.0
669973,2020-10-26,Bowie,Texas,48037.0,1788,78.0
673215,2020-10-27,Bowie,Texas,48037.0,1907,78.0
676458,2020-10-28,Bowie,Texas,48037.0,1944,78.0
679701,2020-10-29,Bowie,Texas,48037.0,1963,78.0
682944,2020-10-30,Bowie,Texas,48037.0,1997,78.0
686187,2020-10-31,Bowie,Texas,48037.0,2032,78.0
689432,2020-11-01,Bowie,Texas,48037.0,2040,78.0
692676,2020-11-02,Bowie,Texas,48037.0,2044,81.0
695918,2020-11-03,Bowie,Texas,48037.0,2068,82.0
699162,2020-11-04,Bowie,Texas,48037.0,2099,82.0
702405,2020-11-05,Bowie,Texas,48037.0,2153,87.0
705648,2020-11-06,Bowie,Texas,48037.0,2225,87.0
708892,2020-11-07,Bowie,Texas,48037.0,2225,87.0
712136,2020-11-08,Bowie,Texas,48037.0,2225,87.0
715380,2020-11-09,Bowie,Texas,48037.0,2268,87.0
718623,2020-11-10,Bowie,Texas,48037.0,2268,87.0
721866,2020-11-11,Bowie,Texas,48037.0,2269,87.0
725109,2020-11-12,Bowie,Texas,48037.0,2343,88.0
728352,2020-11-13,Bowie,Texas,48037.0,2343,88.0
731597,2020-11-14,Bowie,Texas,48037.0,2343,90.0
734843,2020-11-15,Bowie,Texas,48037.0,2345,90.0
738087,2020-11-16,Bowie,Texas,48037.0,2424,90.0
741333,2020-11-17,Bowie,Texas,48037.0,2424,91.0
744580,2020-11-18,Bowie,Texas,48037.0,2424,92.0
747826,2020-11-19,Bowie,Texas,48037.0,2479,93.0
751072,2020-11-20,Bowie,Texas,48037.0,2479,95.0
754318,2020-11-21,Bowie,Texas,48037.0,2479,97.0
757565,2020-11-22,Bowie,Texas,48037.0,2479,97.0
760810,2020-11-23,Bowie,Texas,48037.0,2491,97.0
764055,2020-11-24,Bowie,Texas,48037.0,2491,98.0
767300,2020-11-25,Bowie,Texas,48037.0,2491,99.0
770546,2020-11-26,Bowie,Texas,48037.0,2494,100.0
773791,2020-11-27,Bowie,Texas,48037.0,2497,100.0
777036,2020-11-28,Bowie,Texas,48037.0,2497,100.0
780282,2020-11-29,Bowie,Texas,48037.0,2503,100.0
783527,2020-11-30,Bowie,Texas,48037.0,2540,100.0
786771,2020-12-01,Bowie,Texas,48037.0,2540,101.0
790016,2020-12-02,Bowie,Texas,48037.0,2575,104.0
793261,2020-12-03,Bowie,Texas,48037.0,2575,106.0
796506,2020-12-04,Bowie,Texas,48037.0,2575,106.0
799751,2020-12-05,Bowie,Texas,48037.0,2603,107.0
802996,2020-12-06,Bowie,Texas,48037.0,2605,107.0
806241,2020-12-07,Bowie,Texas,48037.0,2606,107.0
809486,2020-12-08,Bowie,Texas,48037.0,2611,108.0
812730,2020-12-09,Bowie,Texas,48037.0,2620,108.0
815976,2020-12-10,Bowie,Texas,48037.0,2628,108.0
819222,2020-12-11,Bowie,Texas,48037.0,3453,109.0
822468,2020-12-12,Bowie,Texas,48037.0,3474,109.0
825715,2020-12-13,Bowie,Texas,48037.0,3477,111.0
828961,2020-12-14,Bowie,Texas,48037.0,3486,111.0
832208,2020-12-15,Bowie,Texas,48037.0,3513,111.0
835454,2020-12-16,Bowie,Texas,48037.0,3526,112.0
838700,2020-12-17,Bowie,Texas,48037.0,3560,114.0
841945,2020-12-18,Bowie,Texas,48037.0,3607,116.0
845191,2020-12-19,Bowie,Texas,48037.0,3639,118.0
848436,2020-12-20,Bowie,Texas,48037.0,3660,118.0
851681,2020-12-21,Bowie,Texas,48037.0,3662,118.0
854926,2020-12-22,Bowie,Texas,48037.0,3669,118.0
858171,2020-12-23,Bowie,Texas,48037.0,3687,118.0
861416,2020-12-24,Bowie,Texas,48037.0,3755,119.0
864661,2020-12-25,Bowie,Texas,48037.0,3781,119.0
867906,2020-12-26,Bowie,Texas,48037.0,3816,119.0
871151,2020-12-27,Bowie,Texas,48037.0,3844,119.0
874396,2020-12-28,Bowie,Texas,48037.0,3844,119.0
877641,2020-12-29,Bowie,Texas,48037.0,3874,119.0
880886,2020-12-30,Bowie,Texas,48037.0,3887,120.0
884131,2020-12-31,Bowie,Texas,48037.0,4001,120.0
887376,2021-01-01,Bowie,Texas,48037.0,4059,123.0
890623,2021-01-02,Bowie,Texas,48037.0,4073,123.0
893869,2021-01-03,Bowie,Texas,48037.0,4172,124.0
897115,2021-01-04,Bowie,Texas,48037.0,4197,124.0
900360,2021-01-05,Bowie,Texas,48037.0,4207,125.0
903605,2021-01-06,Bowie,Texas,48037.0,4237,125.0
906851,2021-01-07,Bowie,Texas,48037.0,4274,128.0
910096,2021-01-08,Bowie,Texas,48037.0,4333,129.0
913341,2021-01-09,Bowie,Texas,48037.0,4384,131.0
916586,2021-01-10,Bowie,Texas,48037.0,4413,131.0
919831,2021-01-11,Bowie,Texas,48037.0,4379,131.0
923076,2021-01-12,Bowie,Texas,48037.0,4489,131.0
926322,2021-01-13,Bowie,Texas,48037.0,4563,133.0
929567,2021-01-14,Bowie,Texas,48037.0,4610,137.0
932812,2021-01-15,Bowie,Texas,48037.0,4720,137.0
936057,2021-01-16,Bowie,Texas,48037.0,4779,138.0
939302,2021-01-17,Bowie,Texas,48037.0,4779,138.0
942547,2021-01-18,Bowie,Texas,48037.0,4829,138.0
945794,2021-01-19,Bowie,Texas,48037.0,4876,139.0
949040,2021-01-20,Bowie,Texas,48037.0,4936,141.0
952285,2021-01-21,Bowie,Texas,48037.0,4966,144.0
955530,2021-01-22,Bowie,Texas,48037.0,5007,145.0
958776,2021-01-23,Bowie,Texas,48037.0,5067,150.0
962021,2021-01-24,Bowie,Texas,48037.0,5069,150.0
965266,2021-01-25,Bowie,Texas,48037.0,5069,150.0
968510,2021-01-26,Bowie,Texas,48037.0,5131,150.0
971755,2021-01-27,Bowie,Texas,48037.0,5677,154.0
975000,2021-01-28,Bowie,Texas,48037.0,5723,154.0
978245,2021-01-29,Bowie,Texas,48037.0,5754,155.0
981491,2021-01-30,Bowie,Texas,48037.0,5866,156.0
984738,2021-01-31,Bowie,Texas,48037.0,5872,156.0
987985,2021-02-01,Bowie,Texas,48037.0,5915,156.0
991231,2021-02-02,Bowie,Texas,48037.0,5956,157.0
994477,2021-02-03,Bowie,Texas,48037.0,6006,158.0
997723,2021-02-04,Bowie,Texas,48037.0,6023,159.0
