date,county,state,fips,cases,deaths
2020-03-28,Boyle,Kentucky,21021.0,1,0.0
2020-03-29,Boyle,Kentucky,21021.0,1,0.0
2020-03-30,Boyle,Kentucky,21021.0,1,0.0
2020-03-31,Boyle,Kentucky,21021.0,1,0.0
2020-04-01,Boyle,Kentucky,21021.0,1,0.0
2020-04-02,Boyle,Kentucky,21021.0,2,0.0
2020-04-03,Boyle,Kentucky,21021.0,2,0.0
2020-04-04,Boyle,Kentucky,21021.0,2,0.0
2020-04-05,Boyle,Kentucky,21021.0,8,0.0
2020-04-06,Boyle,Kentucky,21021.0,8,0.0
2020-04-07,Boyle,Kentucky,21021.0,8,0.0
2020-04-08,Boyle,Kentucky,21021.0,8,0.0
2020-04-09,Boyle,Kentucky,21021.0,13,0.0
2020-04-10,Boyle,Kentucky,21021.0,13,0.0
2020-04-11,Boyle,Kentucky,21021.0,13,0.0
2020-04-12,Boyle,Kentucky,21021.0,13,0.0
2020-04-13,Boyle,Kentucky,21021.0,14,0.0
2020-04-14,Boyle,Kentucky,21021.0,13,0.0
2020-04-15,Boyle,Kentucky,21021.0,13,0.0
2020-04-16,Boyle,Kentucky,21021.0,13,0.0
2020-04-17,Boyle,Kentucky,21021.0,14,0.0
2020-04-18,Boyle,Kentucky,21021.0,14,0.0
2020-04-19,Boyle,Kentucky,21021.0,14,0.0
2020-04-20,Boyle,Kentucky,21021.0,14,0.0
2020-04-21,Boyle,Kentucky,21021.0,14,0.0
2020-04-22,Boyle,Kentucky,21021.0,14,0.0
2020-04-23,Boyle,Kentucky,21021.0,18,0.0
2020-04-24,Boyle,Kentucky,21021.0,18,0.0
2020-04-25,Boyle,Kentucky,21021.0,18,0.0
2020-04-26,Boyle,Kentucky,21021.0,18,0.0
2020-04-27,Boyle,Kentucky,21021.0,18,0.0
2020-04-28,Boyle,Kentucky,21021.0,18,0.0
2020-04-29,Boyle,Kentucky,21021.0,18,0.0
2020-04-30,Boyle,Kentucky,21021.0,18,0.0
2020-05-01,Boyle,Kentucky,21021.0,18,0.0
2020-05-02,Boyle,Kentucky,21021.0,18,0.0
2020-05-03,Boyle,Kentucky,21021.0,18,0.0
2020-05-04,Boyle,Kentucky,21021.0,19,0.0
2020-05-05,Boyle,Kentucky,21021.0,19,0.0
2020-05-06,Boyle,Kentucky,21021.0,19,0.0
2020-05-07,Boyle,Kentucky,21021.0,19,0.0
2020-05-08,Boyle,Kentucky,21021.0,16,0.0
2020-05-09,Boyle,Kentucky,21021.0,17,0.0
2020-05-10,Boyle,Kentucky,21021.0,17,0.0
2020-05-11,Boyle,Kentucky,21021.0,17,0.0
2020-05-12,Boyle,Kentucky,21021.0,17,0.0
2020-05-13,Boyle,Kentucky,21021.0,17,0.0
2020-05-14,Boyle,Kentucky,21021.0,18,0.0
2020-05-15,Boyle,Kentucky,21021.0,18,0.0
2020-05-16,Boyle,Kentucky,21021.0,19,0.0
2020-05-17,Boyle,Kentucky,21021.0,19,0.0
2020-05-18,Boyle,Kentucky,21021.0,19,0.0
2020-05-19,Boyle,Kentucky,21021.0,19,0.0
2020-05-20,Boyle,Kentucky,21021.0,20,0.0
2020-05-21,Boyle,Kentucky,21021.0,20,0.0
2020-05-22,Boyle,Kentucky,21021.0,20,0.0
2020-05-23,Boyle,Kentucky,21021.0,20,0.0
2020-05-24,Boyle,Kentucky,21021.0,20,0.0
2020-05-25,Boyle,Kentucky,21021.0,20,0.0
