date,county,state,fips,cases,deaths
2020-05-02,Briscoe,Texas,48045.0,1,0.0
2020-05-03,Briscoe,Texas,48045.0,1,0.0
2020-05-04,Briscoe,Texas,48045.0,1,0.0
2020-05-05,Briscoe,Texas,48045.0,1,0.0
2020-05-06,Briscoe,Texas,48045.0,1,0.0
2020-05-07,Briscoe,Texas,48045.0,1,0.0
2020-05-08,Briscoe,Texas,48045.0,1,0.0
2020-05-09,Briscoe,Texas,48045.0,1,0.0
2020-05-10,Briscoe,Texas,48045.0,1,0.0
2020-05-11,Briscoe,Texas,48045.0,1,0.0
2020-05-12,Briscoe,Texas,48045.0,1,0.0
2020-05-13,Briscoe,Texas,48045.0,1,0.0
2020-05-14,Briscoe,Texas,48045.0,1,0.0
2020-05-15,Briscoe,Texas,48045.0,1,0.0
2020-05-16,Briscoe,Texas,48045.0,1,0.0
2020-05-17,Briscoe,Texas,48045.0,1,0.0
2020-05-18,Briscoe,Texas,48045.0,1,0.0
2020-05-19,Briscoe,Texas,48045.0,1,0.0
2020-05-20,Briscoe,Texas,48045.0,1,0.0
2020-05-21,Briscoe,Texas,48045.0,1,0.0
2020-05-22,Briscoe,Texas,48045.0,1,0.0
2020-05-23,Briscoe,Texas,48045.0,1,0.0
2020-05-24,Briscoe,Texas,48045.0,1,0.0
2020-05-25,Briscoe,Texas,48045.0,1,0.0
2020-05-26,Briscoe,Texas,48045.0,1,0.0
2020-05-27,Briscoe,Texas,48045.0,1,0.0
2020-05-28,Briscoe,Texas,48045.0,1,0.0
2020-05-29,Briscoe,Texas,48045.0,1,0.0
2020-05-30,Briscoe,Texas,48045.0,1,0.0
2020-05-31,Briscoe,Texas,48045.0,1,0.0
2020-06-01,Briscoe,Texas,48045.0,1,0.0
2020-06-02,Briscoe,Texas,48045.0,1,0.0
2020-06-03,Briscoe,Texas,48045.0,1,0.0
2020-06-04,Briscoe,Texas,48045.0,1,0.0
2020-06-05,Briscoe,Texas,48045.0,1,0.0
2020-06-06,Briscoe,Texas,48045.0,1,0.0
2020-06-07,Briscoe,Texas,48045.0,1,0.0
2020-06-08,Briscoe,Texas,48045.0,1,0.0
2020-06-09,Briscoe,Texas,48045.0,1,0.0
2020-06-10,Briscoe,Texas,48045.0,1,0.0
2020-06-11,Briscoe,Texas,48045.0,1,0.0
2020-06-12,Briscoe,Texas,48045.0,1,0.0
2020-06-13,Briscoe,Texas,48045.0,1,0.0
2020-06-14,Briscoe,Texas,48045.0,1,0.0
2020-06-15,Briscoe,Texas,48045.0,1,0.0
2020-06-16,Briscoe,Texas,48045.0,1,0.0
2020-06-17,Briscoe,Texas,48045.0,1,0.0
2020-06-18,Briscoe,Texas,48045.0,1,0.0
2020-06-19,Briscoe,Texas,48045.0,1,0.0
2020-06-20,Briscoe,Texas,48045.0,1,0.0
2020-06-21,Briscoe,Texas,48045.0,1,0.0
2020-06-22,Briscoe,Texas,48045.0,1,0.0
2020-06-23,Briscoe,Texas,48045.0,1,0.0
2020-06-24,Briscoe,Texas,48045.0,1,0.0
2020-06-25,Briscoe,Texas,48045.0,2,0.0
2020-06-26,Briscoe,Texas,48045.0,2,0.0
2020-06-27,Briscoe,Texas,48045.0,2,0.0
2020-06-28,Briscoe,Texas,48045.0,2,0.0
2020-06-29,Briscoe,Texas,48045.0,2,0.0
2020-06-30,Briscoe,Texas,48045.0,2,0.0
2020-07-01,Briscoe,Texas,48045.0,3,0.0
2020-07-02,Briscoe,Texas,48045.0,3,0.0
2020-07-03,Briscoe,Texas,48045.0,3,0.0
2020-07-04,Briscoe,Texas,48045.0,7,0.0
2020-07-05,Briscoe,Texas,48045.0,7,0.0
2020-07-06,Briscoe,Texas,48045.0,7,0.0
2020-07-07,Briscoe,Texas,48045.0,8,0.0
2020-07-08,Briscoe,Texas,48045.0,8,0.0
2020-07-09,Briscoe,Texas,48045.0,9,0.0
2020-07-10,Briscoe,Texas,48045.0,9,1.0
2020-07-11,Briscoe,Texas,48045.0,9,1.0
2020-07-12,Briscoe,Texas,48045.0,9,1.0
2020-07-13,Briscoe,Texas,48045.0,9,1.0
2020-07-14,Briscoe,Texas,48045.0,9,1.0
2020-07-15,Briscoe,Texas,48045.0,9,1.0
2020-07-16,Briscoe,Texas,48045.0,9,1.0
2020-07-17,Briscoe,Texas,48045.0,9,1.0
2020-07-18,Briscoe,Texas,48045.0,9,1.0
2020-07-19,Briscoe,Texas,48045.0,9,1.0
2020-07-20,Briscoe,Texas,48045.0,9,1.0
2020-07-21,Briscoe,Texas,48045.0,9,1.0
2020-07-22,Briscoe,Texas,48045.0,9,1.0
2020-07-23,Briscoe,Texas,48045.0,9,1.0
2020-07-24,Briscoe,Texas,48045.0,10,1.0
2020-07-25,Briscoe,Texas,48045.0,10,1.0
2020-07-26,Briscoe,Texas,48045.0,10,1.0
2020-07-27,Briscoe,Texas,48045.0,10,1.0
2020-07-28,Briscoe,Texas,48045.0,11,1.0
2020-07-29,Briscoe,Texas,48045.0,11,1.0
2020-07-30,Briscoe,Texas,48045.0,11,1.0
2020-07-31,Briscoe,Texas,48045.0,11,1.0
2020-08-01,Briscoe,Texas,48045.0,11,1.0
2020-08-02,Briscoe,Texas,48045.0,11,1.0
2020-08-03,Briscoe,Texas,48045.0,11,1.0
2020-08-04,Briscoe,Texas,48045.0,11,1.0
2020-08-05,Briscoe,Texas,48045.0,11,1.0
2020-08-06,Briscoe,Texas,48045.0,11,1.0
2020-08-07,Briscoe,Texas,48045.0,11,1.0
2020-08-08,Briscoe,Texas,48045.0,12,1.0
2020-08-09,Briscoe,Texas,48045.0,12,1.0
2020-08-10,Briscoe,Texas,48045.0,12,1.0
2020-08-11,Briscoe,Texas,48045.0,12,1.0
2020-08-12,Briscoe,Texas,48045.0,12,1.0
2020-08-13,Briscoe,Texas,48045.0,12,1.0
2020-08-14,Briscoe,Texas,48045.0,12,1.0
2020-08-15,Briscoe,Texas,48045.0,12,1.0
2020-08-16,Briscoe,Texas,48045.0,12,1.0
2020-08-17,Briscoe,Texas,48045.0,12,1.0
2020-08-18,Briscoe,Texas,48045.0,12,1.0
2020-08-19,Briscoe,Texas,48045.0,12,1.0
2020-08-20,Briscoe,Texas,48045.0,12,1.0
2020-08-21,Briscoe,Texas,48045.0,12,1.0
2020-08-22,Briscoe,Texas,48045.0,12,1.0
2020-08-23,Briscoe,Texas,48045.0,12,1.0
2020-08-24,Briscoe,Texas,48045.0,12,1.0
2020-08-25,Briscoe,Texas,48045.0,12,1.0
2020-08-26,Briscoe,Texas,48045.0,12,1.0
2020-08-27,Briscoe,Texas,48045.0,12,1.0
2020-08-28,Briscoe,Texas,48045.0,12,1.0
2020-08-29,Briscoe,Texas,48045.0,12,1.0
2020-08-30,Briscoe,Texas,48045.0,12,1.0
2020-08-31,Briscoe,Texas,48045.0,12,1.0
2020-09-01,Briscoe,Texas,48045.0,12,1.0
2020-09-02,Briscoe,Texas,48045.0,12,1.0
2020-09-03,Briscoe,Texas,48045.0,12,1.0
2020-09-04,Briscoe,Texas,48045.0,12,1.0
2020-09-05,Briscoe,Texas,48045.0,12,1.0
2020-09-06,Briscoe,Texas,48045.0,12,1.0
2020-09-07,Briscoe,Texas,48045.0,12,1.0
2020-09-08,Briscoe,Texas,48045.0,12,1.0
2020-09-09,Briscoe,Texas,48045.0,12,1.0
2020-09-10,Briscoe,Texas,48045.0,12,1.0
2020-09-11,Briscoe,Texas,48045.0,12,1.0
2020-09-12,Briscoe,Texas,48045.0,12,1.0
2020-09-13,Briscoe,Texas,48045.0,12,1.0
2020-09-14,Briscoe,Texas,48045.0,12,1.0
2020-09-15,Briscoe,Texas,48045.0,12,1.0
2020-09-16,Briscoe,Texas,48045.0,12,1.0
2020-09-17,Briscoe,Texas,48045.0,12,1.0
2020-09-18,Briscoe,Texas,48045.0,12,1.0
2020-09-19,Briscoe,Texas,48045.0,12,1.0
2020-09-20,Briscoe,Texas,48045.0,12,1.0
2020-09-21,Briscoe,Texas,48045.0,12,1.0
2020-09-22,Briscoe,Texas,48045.0,12,1.0
2020-09-23,Briscoe,Texas,48045.0,12,1.0
2020-09-24,Briscoe,Texas,48045.0,12,1.0
