,date,county,state,fips,cases,deaths
4809,2020-03-19,Broadwater,Montana,30007.0,1,0.0
5648,2020-03-20,Broadwater,Montana,30007.0,1,0.0
6638,2020-03-21,Broadwater,Montana,30007.0,1,0.0
7727,2020-03-22,Broadwater,Montana,30007.0,1,0.0
8920,2020-03-23,Broadwater,Montana,30007.0,1,0.0
10222,2020-03-24,Broadwater,Montana,30007.0,1,0.0
11651,2020-03-25,Broadwater,Montana,30007.0,2,0.0
13249,2020-03-26,Broadwater,Montana,30007.0,2,0.0
14979,2020-03-27,Broadwater,Montana,30007.0,2,0.0
16805,2020-03-28,Broadwater,Montana,30007.0,3,0.0
18727,2020-03-29,Broadwater,Montana,30007.0,3,0.0
20762,2020-03-30,Broadwater,Montana,30007.0,3,0.0
22882,2020-03-31,Broadwater,Montana,30007.0,3,0.0
25070,2020-04-01,Broadwater,Montana,30007.0,3,0.0
27327,2020-04-02,Broadwater,Montana,30007.0,3,0.0
29649,2020-04-03,Broadwater,Montana,30007.0,4,0.0
32031,2020-04-04,Broadwater,Montana,30007.0,4,0.0
34459,2020-04-05,Broadwater,Montana,30007.0,4,0.0
36926,2020-04-06,Broadwater,Montana,30007.0,4,0.0
39442,2020-04-07,Broadwater,Montana,30007.0,4,0.0
41997,2020-04-08,Broadwater,Montana,30007.0,4,0.0
44576,2020-04-09,Broadwater,Montana,30007.0,4,0.0
47186,2020-04-10,Broadwater,Montana,30007.0,4,0.0
49834,2020-04-11,Broadwater,Montana,30007.0,4,0.0
52507,2020-04-12,Broadwater,Montana,30007.0,4,0.0
55188,2020-04-13,Broadwater,Montana,30007.0,4,0.0
57887,2020-04-14,Broadwater,Montana,30007.0,4,0.0
60600,2020-04-15,Broadwater,Montana,30007.0,4,0.0
63323,2020-04-16,Broadwater,Montana,30007.0,4,0.0
66063,2020-04-17,Broadwater,Montana,30007.0,4,0.0
68817,2020-04-18,Broadwater,Montana,30007.0,4,0.0
71584,2020-04-19,Broadwater,Montana,30007.0,4,0.0
74357,2020-04-20,Broadwater,Montana,30007.0,4,0.0
77137,2020-04-21,Broadwater,Montana,30007.0,4,0.0
79925,2020-04-22,Broadwater,Montana,30007.0,4,0.0
82721,2020-04-23,Broadwater,Montana,30007.0,4,0.0
85525,2020-04-24,Broadwater,Montana,30007.0,4,0.0
88335,2020-04-25,Broadwater,Montana,30007.0,4,0.0
91150,2020-04-26,Broadwater,Montana,30007.0,4,0.0
93971,2020-04-27,Broadwater,Montana,30007.0,4,0.0
96807,2020-04-28,Broadwater,Montana,30007.0,4,0.0
99653,2020-04-29,Broadwater,Montana,30007.0,4,0.0
102505,2020-04-30,Broadwater,Montana,30007.0,4,0.0
105366,2020-05-01,Broadwater,Montana,30007.0,4,0.0
108232,2020-05-02,Broadwater,Montana,30007.0,4,0.0
111104,2020-05-03,Broadwater,Montana,30007.0,4,0.0
113983,2020-05-04,Broadwater,Montana,30007.0,4,0.0
116865,2020-05-05,Broadwater,Montana,30007.0,4,0.0
119825,2020-05-06,Broadwater,Montana,30007.0,4,0.0
122799,2020-05-07,Broadwater,Montana,30007.0,4,0.0
125781,2020-05-08,Broadwater,Montana,30007.0,4,0.0
128769,2020-05-09,Broadwater,Montana,30007.0,4,0.0
131759,2020-05-10,Broadwater,Montana,30007.0,4,0.0
134750,2020-05-11,Broadwater,Montana,30007.0,4,0.0
137740,2020-05-12,Broadwater,Montana,30007.0,4,0.0
140734,2020-05-13,Broadwater,Montana,30007.0,4,0.0
143729,2020-05-14,Broadwater,Montana,30007.0,4,0.0
146730,2020-05-15,Broadwater,Montana,30007.0,4,0.0
149736,2020-05-16,Broadwater,Montana,30007.0,4,0.0
152747,2020-05-17,Broadwater,Montana,30007.0,4,0.0
155761,2020-05-18,Broadwater,Montana,30007.0,4,0.0
158779,2020-05-19,Broadwater,Montana,30007.0,4,0.0
161805,2020-05-20,Broadwater,Montana,30007.0,4,0.0
164834,2020-05-21,Broadwater,Montana,30007.0,4,0.0
167870,2020-05-22,Broadwater,Montana,30007.0,4,0.0
170909,2020-05-23,Broadwater,Montana,30007.0,4,0.0
173951,2020-05-24,Broadwater,Montana,30007.0,4,0.0
176994,2020-05-25,Broadwater,Montana,30007.0,4,0.0
180038,2020-05-26,Broadwater,Montana,30007.0,4,0.0
183086,2020-05-27,Broadwater,Montana,30007.0,4,0.0
186142,2020-05-28,Broadwater,Montana,30007.0,4,0.0
189201,2020-05-29,Broadwater,Montana,30007.0,4,0.0
192265,2020-05-30,Broadwater,Montana,30007.0,4,0.0
195335,2020-05-31,Broadwater,Montana,30007.0,4,0.0
198406,2020-06-01,Broadwater,Montana,30007.0,4,0.0
201479,2020-06-02,Broadwater,Montana,30007.0,4,0.0
204556,2020-06-03,Broadwater,Montana,30007.0,4,0.0
207637,2020-06-04,Broadwater,Montana,30007.0,4,0.0
210718,2020-06-05,Broadwater,Montana,30007.0,4,0.0
213802,2020-06-06,Broadwater,Montana,30007.0,4,0.0
216891,2020-06-07,Broadwater,Montana,30007.0,4,0.0
219983,2020-06-08,Broadwater,Montana,30007.0,4,0.0
223078,2020-06-09,Broadwater,Montana,30007.0,4,0.0
226177,2020-06-10,Broadwater,Montana,30007.0,4,0.0
229280,2020-06-11,Broadwater,Montana,30007.0,4,0.0
232384,2020-06-12,Broadwater,Montana,30007.0,4,0.0
235490,2020-06-13,Broadwater,Montana,30007.0,4,0.0
238597,2020-06-14,Broadwater,Montana,30007.0,4,0.0
241707,2020-06-15,Broadwater,Montana,30007.0,4,0.0
244818,2020-06-16,Broadwater,Montana,30007.0,4,0.0
247931,2020-06-17,Broadwater,Montana,30007.0,4,0.0
251044,2020-06-18,Broadwater,Montana,30007.0,4,0.0
254159,2020-06-19,Broadwater,Montana,30007.0,4,0.0
257281,2020-06-20,Broadwater,Montana,30007.0,4,0.0
260407,2020-06-21,Broadwater,Montana,30007.0,5,0.0
263536,2020-06-22,Broadwater,Montana,30007.0,5,0.0
266662,2020-06-23,Broadwater,Montana,30007.0,5,0.0
269795,2020-06-24,Broadwater,Montana,30007.0,5,0.0
272933,2020-06-25,Broadwater,Montana,30007.0,5,0.0
276076,2020-06-26,Broadwater,Montana,30007.0,5,0.0
279224,2020-06-27,Broadwater,Montana,30007.0,5,0.0
282372,2020-06-28,Broadwater,Montana,30007.0,5,0.0
285517,2020-06-29,Broadwater,Montana,30007.0,5,0.0
288667,2020-06-30,Broadwater,Montana,30007.0,5,0.0
291818,2020-07-01,Broadwater,Montana,30007.0,5,0.0
294972,2020-07-02,Broadwater,Montana,30007.0,5,0.0
298130,2020-07-03,Broadwater,Montana,30007.0,5,0.0
301293,2020-07-04,Broadwater,Montana,30007.0,5,0.0
304457,2020-07-05,Broadwater,Montana,30007.0,5,0.0
307624,2020-07-06,Broadwater,Montana,30007.0,5,0.0
310792,2020-07-07,Broadwater,Montana,30007.0,5,0.0
313963,2020-07-08,Broadwater,Montana,30007.0,5,0.0
317137,2020-07-09,Broadwater,Montana,30007.0,5,0.0
320312,2020-07-10,Broadwater,Montana,30007.0,6,0.0
323491,2020-07-11,Broadwater,Montana,30007.0,7,0.0
326674,2020-07-12,Broadwater,Montana,30007.0,9,0.0
329860,2020-07-13,Broadwater,Montana,30007.0,9,0.0
333047,2020-07-14,Broadwater,Montana,30007.0,9,0.0
336240,2020-07-15,Broadwater,Montana,30007.0,9,0.0
339437,2020-07-16,Broadwater,Montana,30007.0,9,0.0
342633,2020-07-17,Broadwater,Montana,30007.0,9,0.0
345833,2020-07-18,Broadwater,Montana,30007.0,9,0.0
349034,2020-07-19,Broadwater,Montana,30007.0,9,0.0
352234,2020-07-20,Broadwater,Montana,30007.0,9,0.0
355436,2020-07-21,Broadwater,Montana,30007.0,9,0.0
358639,2020-07-22,Broadwater,Montana,30007.0,9,0.0
361844,2020-07-23,Broadwater,Montana,30007.0,9,0.0
365051,2020-07-24,Broadwater,Montana,30007.0,9,0.0
368259,2020-07-25,Broadwater,Montana,30007.0,9,0.0
371470,2020-07-26,Broadwater,Montana,30007.0,10,0.0
374682,2020-07-27,Broadwater,Montana,30007.0,10,0.0
377897,2020-07-28,Broadwater,Montana,30007.0,10,0.0
381114,2020-07-29,Broadwater,Montana,30007.0,10,0.0
384330,2020-07-30,Broadwater,Montana,30007.0,10,0.0
387548,2020-07-31,Broadwater,Montana,30007.0,10,0.0
390765,2020-08-01,Broadwater,Montana,30007.0,10,0.0
393982,2020-08-02,Broadwater,Montana,30007.0,10,0.0
397198,2020-08-03,Broadwater,Montana,30007.0,11,0.0
400412,2020-08-04,Broadwater,Montana,30007.0,11,0.0
403629,2020-08-05,Broadwater,Montana,30007.0,11,0.0
406847,2020-08-06,Broadwater,Montana,30007.0,11,0.0
410067,2020-08-07,Broadwater,Montana,30007.0,11,0.0
413287,2020-08-08,Broadwater,Montana,30007.0,11,0.0
416507,2020-08-09,Broadwater,Montana,30007.0,12,0.0
419728,2020-08-10,Broadwater,Montana,30007.0,12,0.0
422950,2020-08-11,Broadwater,Montana,30007.0,12,0.0
426172,2020-08-12,Broadwater,Montana,30007.0,14,0.0
429396,2020-08-13,Broadwater,Montana,30007.0,14,0.0
432623,2020-08-14,Broadwater,Montana,30007.0,14,0.0
435849,2020-08-15,Broadwater,Montana,30007.0,14,0.0
439074,2020-08-16,Broadwater,Montana,30007.0,14,0.0
442301,2020-08-17,Broadwater,Montana,30007.0,14,0.0
445527,2020-08-18,Broadwater,Montana,30007.0,14,0.0
448753,2020-08-19,Broadwater,Montana,30007.0,14,0.0
451981,2020-08-20,Broadwater,Montana,30007.0,14,0.0
455209,2020-08-21,Broadwater,Montana,30007.0,14,0.0
458437,2020-08-22,Broadwater,Montana,30007.0,14,0.0
461664,2020-08-23,Broadwater,Montana,30007.0,14,0.0
464895,2020-08-24,Broadwater,Montana,30007.0,15,0.0
468124,2020-08-25,Broadwater,Montana,30007.0,16,0.0
471354,2020-08-26,Broadwater,Montana,30007.0,16,0.0
474586,2020-08-27,Broadwater,Montana,30007.0,16,0.0
477819,2020-08-28,Broadwater,Montana,30007.0,16,0.0
481051,2020-08-29,Broadwater,Montana,30007.0,16,0.0
484286,2020-08-30,Broadwater,Montana,30007.0,16,0.0
