,date,county,state,fips,cases,deaths
17978,2020-03-29,Brooks,Georgia,13027.0,1,0.0
19963,2020-03-30,Brooks,Georgia,13027.0,1,0.0
22042,2020-03-31,Brooks,Georgia,13027.0,2,0.0
24205,2020-04-01,Brooks,Georgia,13027.0,2,0.0
26436,2020-04-02,Brooks,Georgia,13027.0,4,0.0
28739,2020-04-03,Brooks,Georgia,13027.0,5,0.0
31099,2020-04-04,Brooks,Georgia,13027.0,5,0.0
33505,2020-04-05,Brooks,Georgia,13027.0,6,0.0
35953,2020-04-06,Brooks,Georgia,13027.0,6,0.0
38445,2020-04-07,Brooks,Georgia,13027.0,6,0.0
40989,2020-04-08,Brooks,Georgia,13027.0,16,1.0
43563,2020-04-09,Brooks,Georgia,13027.0,17,1.0
46165,2020-04-10,Brooks,Georgia,13027.0,17,1.0
48795,2020-04-11,Brooks,Georgia,13027.0,18,1.0
51456,2020-04-12,Brooks,Georgia,13027.0,19,1.0
54136,2020-04-13,Brooks,Georgia,13027.0,19,1.0
56828,2020-04-14,Brooks,Georgia,13027.0,20,1.0
59535,2020-04-15,Brooks,Georgia,13027.0,21,2.0
62255,2020-04-16,Brooks,Georgia,13027.0,22,2.0
64988,2020-04-17,Brooks,Georgia,13027.0,23,5.0
67736,2020-04-18,Brooks,Georgia,13027.0,23,5.0
70498,2020-04-19,Brooks,Georgia,13027.0,23,5.0
73267,2020-04-20,Brooks,Georgia,13027.0,23,6.0
76043,2020-04-21,Brooks,Georgia,13027.0,33,6.0
78827,2020-04-22,Brooks,Georgia,13027.0,36,6.0
80721,2020-04-22,Brooks,Texas,48047.0,1,0.0
81620,2020-04-23,Brooks,Georgia,13027.0,37,6.0
83520,2020-04-23,Brooks,Texas,48047.0,1,0.0
84420,2020-04-24,Brooks,Georgia,13027.0,39,6.0
86325,2020-04-24,Brooks,Texas,48047.0,1,0.0
87229,2020-04-25,Brooks,Georgia,13027.0,39,6.0
89140,2020-04-25,Brooks,Texas,48047.0,1,0.0
90045,2020-04-26,Brooks,Georgia,13027.0,39,6.0
91957,2020-04-26,Brooks,Texas,48047.0,1,0.0
92864,2020-04-27,Brooks,Georgia,13027.0,52,6.0
94785,2020-04-27,Brooks,Texas,48047.0,1,0.0
95696,2020-04-28,Brooks,Georgia,13027.0,52,6.0
97625,2020-04-28,Brooks,Texas,48047.0,1,0.0
98541,2020-04-29,Brooks,Georgia,13027.0,55,6.0
100475,2020-04-29,Brooks,Texas,48047.0,1,0.0
101391,2020-04-30,Brooks,Georgia,13027.0,59,6.0
103328,2020-04-30,Brooks,Texas,48047.0,1,0.0
104246,2020-05-01,Brooks,Georgia,13027.0,59,6.0
106192,2020-05-01,Brooks,Texas,48047.0,1,0.0
107111,2020-05-02,Brooks,Georgia,13027.0,59,6.0
109060,2020-05-02,Brooks,Texas,48047.0,1,0.0
109980,2020-05-03,Brooks,Georgia,13027.0,60,6.0
111934,2020-05-03,Brooks,Texas,48047.0,1,0.0
112855,2020-05-04,Brooks,Georgia,13027.0,61,7.0
114816,2020-05-04,Brooks,Texas,48047.0,1,0.0
115738,2020-05-05,Brooks,Georgia,13027.0,63,7.0
117773,2020-05-05,Brooks,Texas,48047.0,1,0.0
118698,2020-05-06,Brooks,Georgia,13027.0,64,7.0
120737,2020-05-06,Brooks,Texas,48047.0,1,0.0
121667,2020-05-07,Brooks,Georgia,13027.0,64,7.0
123716,2020-05-07,Brooks,Texas,48047.0,1,0.0
124646,2020-05-08,Brooks,Georgia,13027.0,64,7.0
126699,2020-05-08,Brooks,Texas,48047.0,1,0.0
127633,2020-05-09,Brooks,Georgia,13027.0,64,7.0
129688,2020-05-09,Brooks,Texas,48047.0,1,0.0
130624,2020-05-10,Brooks,Georgia,13027.0,64,7.0
132678,2020-05-10,Brooks,Texas,48047.0,1,0.0
133615,2020-05-11,Brooks,Georgia,13027.0,64,7.0
135669,2020-05-11,Brooks,Texas,48047.0,1,0.0
136604,2020-05-12,Brooks,Georgia,13027.0,64,7.0
138659,2020-05-12,Brooks,Texas,48047.0,1,0.0
139595,2020-05-13,Brooks,Georgia,13027.0,64,7.0
141655,2020-05-13,Brooks,Texas,48047.0,1,0.0
142591,2020-05-14,Brooks,Georgia,13027.0,64,8.0
144652,2020-05-14,Brooks,Texas,48047.0,1,0.0
145591,2020-05-15,Brooks,Georgia,13027.0,64,8.0
147654,2020-05-15,Brooks,Texas,48047.0,1,0.0
148594,2020-05-16,Brooks,Georgia,13027.0,63,9.0
150662,2020-05-16,Brooks,Texas,48047.0,1,0.0
151603,2020-05-17,Brooks,Georgia,13027.0,63,9.0
153673,2020-05-17,Brooks,Texas,48047.0,1,0.0
154615,2020-05-18,Brooks,Georgia,13027.0,64,9.0
156690,2020-05-18,Brooks,Texas,48047.0,1,0.0
157631,2020-05-19,Brooks,Georgia,13027.0,66,9.0
159712,2020-05-19,Brooks,Texas,48047.0,1,0.0
160657,2020-05-20,Brooks,Georgia,13027.0,66,9.0
162739,2020-05-20,Brooks,Texas,48047.0,1,0.0
163685,2020-05-21,Brooks,Georgia,13027.0,66,9.0
165768,2020-05-21,Brooks,Texas,48047.0,1,0.0
166718,2020-05-22,Brooks,Georgia,13027.0,66,9.0
168804,2020-05-22,Brooks,Texas,48047.0,1,0.0
169755,2020-05-23,Brooks,Georgia,13027.0,66,9.0
171843,2020-05-23,Brooks,Texas,48047.0,1,0.0
172796,2020-05-24,Brooks,Georgia,13027.0,66,9.0
174886,2020-05-24,Brooks,Texas,48047.0,1,0.0
175839,2020-05-25,Brooks,Georgia,13027.0,67,9.0
177930,2020-05-25,Brooks,Texas,48047.0,1,0.0
178883,2020-05-26,Brooks,Georgia,13027.0,68,9.0
180973,2020-05-26,Brooks,Texas,48047.0,1,0.0
181927,2020-05-27,Brooks,Georgia,13027.0,68,9.0
