date,county,state,fips,cases,deaths
2020-03-25,Caldwell,North Carolina,37027.0,1,0.0
2020-03-26,Caldwell,North Carolina,37027.0,3,0.0
2020-03-27,Caldwell,North Carolina,37027.0,3,0.0
2020-03-28,Caldwell,North Carolina,37027.0,3,0.0
2020-03-28,Caldwell,Texas,48055.0,1,0.0
2020-03-29,Caldwell,North Carolina,37027.0,3,0.0
2020-03-29,Caldwell,Texas,48055.0,1,0.0
2020-03-30,Caldwell,North Carolina,37027.0,3,0.0
2020-03-30,Caldwell,Texas,48055.0,1,0.0
2020-03-31,Caldwell,North Carolina,37027.0,3,0.0
2020-03-31,Caldwell,Texas,48055.0,1,0.0
2020-04-01,Caldwell,Missouri,29025.0,1,0.0
2020-04-01,Caldwell,North Carolina,37027.0,3,0.0
2020-04-01,Caldwell,Texas,48055.0,1,0.0
2020-04-02,Caldwell,Louisiana,22021.0,1,0.0
2020-04-02,Caldwell,Missouri,29025.0,1,0.0
2020-04-02,Caldwell,North Carolina,37027.0,3,0.0
2020-04-02,Caldwell,Texas,48055.0,1,0.0
2020-04-03,Caldwell,Louisiana,22021.0,1,0.0
2020-04-03,Caldwell,Missouri,29025.0,1,0.0
2020-04-03,Caldwell,North Carolina,37027.0,3,0.0
2020-04-03,Caldwell,Texas,48055.0,2,0.0
2020-04-04,Caldwell,Kentucky,21033.0,1,0.0
2020-04-04,Caldwell,Louisiana,22021.0,3,0.0
2020-04-04,Caldwell,Missouri,29025.0,1,0.0
2020-04-04,Caldwell,North Carolina,37027.0,5,0.0
2020-04-04,Caldwell,Texas,48055.0,3,0.0
2020-04-05,Caldwell,Kentucky,21033.0,3,0.0
2020-04-05,Caldwell,Louisiana,22021.0,10,0.0
2020-04-05,Caldwell,Missouri,29025.0,1,0.0
2020-04-05,Caldwell,North Carolina,37027.0,6,0.0
2020-04-05,Caldwell,Texas,48055.0,3,0.0
2020-04-06,Caldwell,Kentucky,21033.0,3,0.0
2020-04-06,Caldwell,Louisiana,22021.0,11,0.0
2020-04-06,Caldwell,Missouri,29025.0,1,0.0
2020-04-06,Caldwell,North Carolina,37027.0,9,0.0
2020-04-06,Caldwell,Texas,48055.0,3,0.0
2020-04-07,Caldwell,Kentucky,21033.0,4,0.0
2020-04-07,Caldwell,Louisiana,22021.0,13,0.0
2020-04-07,Caldwell,Missouri,29025.0,1,0.0
2020-04-07,Caldwell,North Carolina,37027.0,10,0.0
2020-04-07,Caldwell,Texas,48055.0,5,0.0
2020-04-08,Caldwell,Kentucky,21033.0,5,0.0
2020-04-08,Caldwell,Louisiana,22021.0,14,0.0
2020-04-08,Caldwell,Missouri,29025.0,1,0.0
2020-04-08,Caldwell,North Carolina,37027.0,10,0.0
2020-04-08,Caldwell,Texas,48055.0,5,0.0
2020-04-09,Caldwell,Kentucky,21033.0,6,0.0
2020-04-09,Caldwell,Louisiana,22021.0,18,0.0
2020-04-09,Caldwell,Missouri,29025.0,1,0.0
2020-04-09,Caldwell,North Carolina,37027.0,11,0.0
2020-04-09,Caldwell,Texas,48055.0,5,0.0
2020-04-10,Caldwell,Kentucky,21033.0,6,0.0
2020-04-10,Caldwell,Louisiana,22021.0,18,0.0
2020-04-10,Caldwell,Missouri,29025.0,1,0.0
2020-04-10,Caldwell,North Carolina,37027.0,14,0.0
2020-04-10,Caldwell,Texas,48055.0,6,0.0
2020-04-11,Caldwell,Kentucky,21033.0,10,0.0
2020-04-11,Caldwell,Louisiana,22021.0,18,0.0
2020-04-11,Caldwell,Missouri,29025.0,1,0.0
2020-04-11,Caldwell,North Carolina,37027.0,15,0.0
2020-04-11,Caldwell,Texas,48055.0,6,0.0
2020-04-12,Caldwell,Kentucky,21033.0,9,0.0
2020-04-12,Caldwell,Louisiana,22021.0,18,0.0
2020-04-12,Caldwell,Missouri,29025.0,1,0.0
2020-04-12,Caldwell,North Carolina,37027.0,17,0.0
2020-04-12,Caldwell,Texas,48055.0,6,0.0
2020-04-13,Caldwell,Kentucky,21033.0,9,0.0
2020-04-13,Caldwell,Louisiana,22021.0,18,0.0
2020-04-13,Caldwell,Missouri,29025.0,1,0.0
2020-04-13,Caldwell,North Carolina,37027.0,19,0.0
2020-04-13,Caldwell,Texas,48055.0,6,0.0
2020-04-14,Caldwell,Kentucky,21033.0,10,0.0
2020-04-14,Caldwell,Louisiana,22021.0,18,0.0
2020-04-14,Caldwell,Missouri,29025.0,1,0.0
2020-04-14,Caldwell,North Carolina,37027.0,19,0.0
2020-04-14,Caldwell,Texas,48055.0,6,0.0
2020-04-15,Caldwell,Kentucky,21033.0,10,0.0
2020-04-15,Caldwell,Louisiana,22021.0,18,0.0
2020-04-15,Caldwell,Missouri,29025.0,2,0.0
2020-04-15,Caldwell,North Carolina,37027.0,19,0.0
2020-04-15,Caldwell,Texas,48055.0,6,0.0
2020-04-16,Caldwell,Kentucky,21033.0,10,0.0
2020-04-16,Caldwell,Louisiana,22021.0,19,0.0
2020-04-16,Caldwell,Missouri,29025.0,2,0.0
2020-04-16,Caldwell,North Carolina,37027.0,19,0.0
2020-04-16,Caldwell,Texas,48055.0,7,0.0
2020-04-17,Caldwell,Kentucky,21033.0,11,0.0
2020-04-17,Caldwell,Louisiana,22021.0,19,0.0
2020-04-17,Caldwell,Missouri,29025.0,2,0.0
2020-04-17,Caldwell,North Carolina,37027.0,22,0.0
2020-04-17,Caldwell,Texas,48055.0,7,0.0
2020-04-18,Caldwell,Kentucky,21033.0,11,0.0
2020-04-18,Caldwell,Louisiana,22021.0,15,0.0
2020-04-18,Caldwell,Missouri,29025.0,2,0.0
2020-04-18,Caldwell,North Carolina,37027.0,21,0.0
2020-04-18,Caldwell,Texas,48055.0,7,0.0
2020-04-19,Caldwell,Kentucky,21033.0,11,0.0
2020-04-19,Caldwell,Louisiana,22021.0,15,0.0
2020-04-19,Caldwell,Missouri,29025.0,2,0.0
2020-04-19,Caldwell,North Carolina,37027.0,22,0.0
2020-04-19,Caldwell,Texas,48055.0,7,0.0
2020-04-20,Caldwell,Kentucky,21033.0,11,0.0
2020-04-20,Caldwell,Louisiana,22021.0,15,0.0
2020-04-20,Caldwell,Missouri,29025.0,2,0.0
2020-04-20,Caldwell,North Carolina,37027.0,23,0.0
2020-04-20,Caldwell,Texas,48055.0,8,0.0
2020-04-21,Caldwell,Kentucky,21033.0,12,0.0
2020-04-21,Caldwell,Louisiana,22021.0,15,0.0
2020-04-21,Caldwell,Missouri,29025.0,2,0.0
2020-04-21,Caldwell,North Carolina,37027.0,23,0.0
2020-04-21,Caldwell,Texas,48055.0,9,0.0
2020-04-22,Caldwell,Kentucky,21033.0,12,0.0
2020-04-22,Caldwell,Louisiana,22021.0,15,0.0
2020-04-22,Caldwell,Missouri,29025.0,2,0.0
2020-04-22,Caldwell,North Carolina,37027.0,23,0.0
2020-04-22,Caldwell,Texas,48055.0,8,0.0
2020-04-23,Caldwell,Kentucky,21033.0,12,0.0
2020-04-23,Caldwell,Louisiana,22021.0,17,0.0
2020-04-23,Caldwell,Missouri,29025.0,2,0.0
2020-04-23,Caldwell,North Carolina,37027.0,26,0.0
2020-04-23,Caldwell,Texas,48055.0,10,0.0
2020-04-24,Caldwell,Kentucky,21033.0,13,0.0
2020-04-24,Caldwell,Louisiana,22021.0,17,0.0
2020-04-24,Caldwell,Missouri,29025.0,2,0.0
2020-04-24,Caldwell,North Carolina,37027.0,27,0.0
2020-04-24,Caldwell,Texas,48055.0,10,0.0
2020-04-25,Caldwell,Kentucky,21033.0,13,0.0
2020-04-25,Caldwell,Louisiana,22021.0,17,0.0
2020-04-25,Caldwell,Missouri,29025.0,2,0.0
2020-04-25,Caldwell,North Carolina,37027.0,30,0.0
2020-04-25,Caldwell,Texas,48055.0,10,0.0
2020-04-26,Caldwell,Kentucky,21033.0,13,0.0
2020-04-26,Caldwell,Louisiana,22021.0,17,0.0
2020-04-26,Caldwell,Missouri,29025.0,2,0.0
2020-04-26,Caldwell,North Carolina,37027.0,30,0.0
2020-04-26,Caldwell,Texas,48055.0,11,0.0
2020-04-27,Caldwell,Kentucky,21033.0,13,0.0
2020-04-27,Caldwell,Louisiana,22021.0,17,0.0
2020-04-27,Caldwell,Missouri,29025.0,3,0.0
2020-04-27,Caldwell,North Carolina,37027.0,31,0.0
2020-04-27,Caldwell,Texas,48055.0,11,0.0
2020-04-28,Caldwell,Kentucky,21033.0,13,0.0
2020-04-28,Caldwell,Louisiana,22021.0,17,0.0
2020-04-28,Caldwell,Missouri,29025.0,3,0.0
2020-04-28,Caldwell,North Carolina,37027.0,33,0.0
2020-04-28,Caldwell,Texas,48055.0,11,0.0
2020-04-29,Caldwell,Kentucky,21033.0,13,0.0
2020-04-29,Caldwell,Louisiana,22021.0,18,0.0
2020-04-29,Caldwell,Missouri,29025.0,3,0.0
2020-04-29,Caldwell,North Carolina,37027.0,32,0.0
2020-04-29,Caldwell,Texas,48055.0,11,0.0
2020-04-30,Caldwell,Kentucky,21033.0,13,0.0
2020-04-30,Caldwell,Louisiana,22021.0,18,0.0
2020-04-30,Caldwell,Missouri,29025.0,3,0.0
2020-04-30,Caldwell,North Carolina,37027.0,32,0.0
2020-04-30,Caldwell,Texas,48055.0,14,0.0
2020-05-01,Caldwell,Kentucky,21033.0,13,0.0
2020-05-01,Caldwell,Louisiana,22021.0,20,0.0
2020-05-01,Caldwell,Missouri,29025.0,3,0.0
2020-05-01,Caldwell,North Carolina,37027.0,34,0.0
2020-05-01,Caldwell,Texas,48055.0,14,0.0
2020-05-02,Caldwell,Kentucky,21033.0,13,0.0
2020-05-02,Caldwell,Louisiana,22021.0,20,0.0
2020-05-02,Caldwell,Missouri,29025.0,3,0.0
2020-05-02,Caldwell,North Carolina,37027.0,34,0.0
2020-05-02,Caldwell,Texas,48055.0,20,0.0
2020-05-03,Caldwell,Kentucky,21033.0,13,0.0
2020-05-03,Caldwell,Louisiana,22021.0,31,0.0
2020-05-03,Caldwell,Missouri,29025.0,3,0.0
2020-05-03,Caldwell,North Carolina,37027.0,36,0.0
2020-05-03,Caldwell,Texas,48055.0,20,0.0
2020-05-04,Caldwell,Kentucky,21033.0,12,0.0
2020-05-04,Caldwell,Louisiana,22021.0,39,0.0
2020-05-04,Caldwell,Missouri,29025.0,3,0.0
2020-05-04,Caldwell,North Carolina,37027.0,36,0.0
2020-05-04,Caldwell,Texas,48055.0,21,0.0
2020-05-05,Caldwell,Kentucky,21033.0,12,0.0
2020-05-05,Caldwell,Louisiana,22021.0,40,0.0
2020-05-05,Caldwell,Missouri,29025.0,3,0.0
2020-05-05,Caldwell,North Carolina,37027.0,44,0.0
2020-05-05,Caldwell,Texas,48055.0,23,0.0
2020-05-06,Caldwell,Kentucky,21033.0,12,0.0
2020-05-06,Caldwell,Louisiana,22021.0,41,0.0
2020-05-06,Caldwell,Missouri,29025.0,3,0.0
2020-05-06,Caldwell,North Carolina,37027.0,43,0.0
2020-05-06,Caldwell,Texas,48055.0,24,0.0
2020-05-07,Caldwell,Kentucky,21033.0,12,0.0
2020-05-07,Caldwell,Louisiana,22021.0,41,0.0
2020-05-07,Caldwell,Missouri,29025.0,3,0.0
