,date,county,state,fips,cases,deaths
10698,2020-03-24,Caledonia,Vermont,50005.0,1,0.0
12209,2020-03-25,Caledonia,Vermont,50005.0,1,0.0
13845,2020-03-26,Caledonia,Vermont,50005.0,1,0.0
15611,2020-03-27,Caledonia,Vermont,50005.0,2,0.0
17485,2020-03-28,Caledonia,Vermont,50005.0,2,0.0
19444,2020-03-29,Caledonia,Vermont,50005.0,2,0.0
21507,2020-03-30,Caledonia,Vermont,50005.0,2,0.0
23646,2020-03-31,Caledonia,Vermont,50005.0,2,0.0
25861,2020-04-01,Caledonia,Vermont,50005.0,3,0.0
28150,2020-04-02,Caledonia,Vermont,50005.0,4,0.0
30493,2020-04-03,Caledonia,Vermont,50005.0,4,0.0
32891,2020-04-04,Caledonia,Vermont,50005.0,5,0.0
35329,2020-04-05,Caledonia,Vermont,50005.0,6,0.0
37807,2020-04-06,Caledonia,Vermont,50005.0,6,0.0
40336,2020-04-07,Caledonia,Vermont,50005.0,8,0.0
42904,2020-04-08,Caledonia,Vermont,50005.0,8,0.0
45498,2020-04-09,Caledonia,Vermont,50005.0,8,0.0
48122,2020-04-10,Caledonia,Vermont,50005.0,8,0.0
50780,2020-04-11,Caledonia,Vermont,50005.0,8,0.0
53455,2020-04-12,Caledonia,Vermont,50005.0,8,0.0
56144,2020-04-13,Caledonia,Vermont,50005.0,9,0.0
58850,2020-04-14,Caledonia,Vermont,50005.0,9,0.0
61569,2020-04-15,Caledonia,Vermont,50005.0,9,0.0
64301,2020-04-16,Caledonia,Vermont,50005.0,9,0.0
67049,2020-04-17,Caledonia,Vermont,50005.0,10,0.0
69811,2020-04-18,Caledonia,Vermont,50005.0,10,0.0
72581,2020-04-19,Caledonia,Vermont,50005.0,12,0.0
75357,2020-04-20,Caledonia,Vermont,50005.0,12,0.0
78139,2020-04-21,Caledonia,Vermont,50005.0,12,0.0
80931,2020-04-22,Caledonia,Vermont,50005.0,12,0.0
83732,2020-04-23,Caledonia,Vermont,50005.0,12,0.0
86539,2020-04-24,Caledonia,Vermont,50005.0,12,0.0
89354,2020-04-25,Caledonia,Vermont,50005.0,13,0.0
92171,2020-04-26,Caledonia,Vermont,50005.0,13,0.0
95000,2020-04-27,Caledonia,Vermont,50005.0,13,0.0
97842,2020-04-28,Caledonia,Vermont,50005.0,13,0.0
100692,2020-04-29,Caledonia,Vermont,50005.0,13,0.0
103547,2020-04-30,Caledonia,Vermont,50005.0,13,0.0
106411,2020-05-01,Caledonia,Vermont,50005.0,14,0.0
109280,2020-05-02,Caledonia,Vermont,50005.0,14,0.0
112154,2020-05-03,Caledonia,Vermont,50005.0,14,0.0
115037,2020-05-04,Caledonia,Vermont,50005.0,14,0.0
117996,2020-05-05,Caledonia,Vermont,50005.0,14,0.0
120960,2020-05-06,Caledonia,Vermont,50005.0,14,0.0
123941,2020-05-07,Caledonia,Vermont,50005.0,14,0.0
126926,2020-05-08,Caledonia,Vermont,50005.0,14,0.0
129915,2020-05-09,Caledonia,Vermont,50005.0,14,0.0
132905,2020-05-10,Caledonia,Vermont,50005.0,14,0.0
135895,2020-05-11,Caledonia,Vermont,50005.0,14,0.0
138886,2020-05-12,Caledonia,Vermont,50005.0,14,0.0
141882,2020-05-13,Caledonia,Vermont,50005.0,14,0.0
144879,2020-05-14,Caledonia,Vermont,50005.0,14,0.0
147882,2020-05-15,Caledonia,Vermont,50005.0,14,0.0
150891,2020-05-16,Caledonia,Vermont,50005.0,14,0.0
153902,2020-05-17,Caledonia,Vermont,50005.0,14,0.0
156919,2020-05-18,Caledonia,Vermont,50005.0,14,0.0
159943,2020-05-19,Caledonia,Vermont,50005.0,14,0.0
162971,2020-05-20,Caledonia,Vermont,50005.0,14,0.0
166000,2020-05-21,Caledonia,Vermont,50005.0,14,0.0
169036,2020-05-22,Caledonia,Vermont,50005.0,14,0.0
172077,2020-05-23,Caledonia,Vermont,50005.0,14,0.0
175120,2020-05-24,Caledonia,Vermont,50005.0,15,0.0
178165,2020-05-25,Caledonia,Vermont,50005.0,15,0.0
181209,2020-05-26,Caledonia,Vermont,50005.0,15,0.0
184260,2020-05-27,Caledonia,Vermont,50005.0,15,0.0
187317,2020-05-28,Caledonia,Vermont,50005.0,15,0.0
190381,2020-05-29,Caledonia,Vermont,50005.0,15,0.0
193447,2020-05-30,Caledonia,Vermont,50005.0,15,0.0
196517,2020-05-31,Caledonia,Vermont,50005.0,15,0.0
199590,2020-06-01,Caledonia,Vermont,50005.0,15,0.0
202666,2020-06-02,Caledonia,Vermont,50005.0,15,0.0
205745,2020-06-03,Caledonia,Vermont,50005.0,16,0.0
208827,2020-06-04,Caledonia,Vermont,50005.0,16,0.0
211912,2020-06-05,Caledonia,Vermont,50005.0,16,0.0
214999,2020-06-06,Caledonia,Vermont,50005.0,16,0.0
218089,2020-06-07,Caledonia,Vermont,50005.0,16,0.0
221181,2020-06-08,Caledonia,Vermont,50005.0,16,0.0
