,date,county,state,fips,cases,deaths
5479,2020-03-20,Calloway,Kentucky,21035.0,1,0.0
6425,2020-03-21,Calloway,Kentucky,21035.0,1,0.0
7496,2020-03-22,Calloway,Kentucky,21035.0,1,0.0
8658,2020-03-23,Calloway,Kentucky,21035.0,1,0.0
9941,2020-03-24,Calloway,Kentucky,21035.0,1,0.0
11341,2020-03-25,Calloway,Kentucky,21035.0,1,0.0
12911,2020-03-26,Calloway,Kentucky,21035.0,2,0.0
14615,2020-03-27,Calloway,Kentucky,21035.0,2,0.0
16427,2020-03-28,Calloway,Kentucky,21035.0,2,0.0
18337,2020-03-29,Calloway,Kentucky,21035.0,3,0.0
20351,2020-03-30,Calloway,Kentucky,21035.0,3,0.0
22451,2020-03-31,Calloway,Kentucky,21035.0,3,0.0
24627,2020-04-01,Calloway,Kentucky,21035.0,4,0.0
26872,2020-04-02,Calloway,Kentucky,21035.0,5,0.0
29188,2020-04-03,Calloway,Kentucky,21035.0,5,0.0
31563,2020-04-04,Calloway,Kentucky,21035.0,5,0.0
33980,2020-04-05,Calloway,Kentucky,21035.0,5,0.0
36438,2020-04-06,Calloway,Kentucky,21035.0,5,0.0
38943,2020-04-07,Calloway,Kentucky,21035.0,8,1.0
41492,2020-04-08,Calloway,Kentucky,21035.0,8,1.0
44067,2020-04-09,Calloway,Kentucky,21035.0,8,1.0
46675,2020-04-10,Calloway,Kentucky,21035.0,11,1.0
49312,2020-04-11,Calloway,Kentucky,21035.0,14,1.0
51978,2020-04-12,Calloway,Kentucky,21035.0,15,1.0
54659,2020-04-13,Calloway,Kentucky,21035.0,16,1.0
57354,2020-04-14,Calloway,Kentucky,21035.0,15,1.0
60063,2020-04-15,Calloway,Kentucky,21035.0,19,1.0
62783,2020-04-16,Calloway,Kentucky,21035.0,22,1.0
65522,2020-04-17,Calloway,Kentucky,21035.0,22,1.0
68271,2020-04-18,Calloway,Kentucky,21035.0,21,1.0
71032,2020-04-19,Calloway,Kentucky,21035.0,21,1.0
73804,2020-04-20,Calloway,Kentucky,21035.0,21,1.0
76584,2020-04-21,Calloway,Kentucky,21035.0,22,1.0
79369,2020-04-22,Calloway,Kentucky,21035.0,22,1.0
82165,2020-04-23,Calloway,Kentucky,21035.0,24,1.0
84968,2020-04-24,Calloway,Kentucky,21035.0,26,1.0
87777,2020-04-25,Calloway,Kentucky,21035.0,29,1.0
90593,2020-04-26,Calloway,Kentucky,21035.0,31,1.0
93414,2020-04-27,Calloway,Kentucky,21035.0,31,1.0
96247,2020-04-28,Calloway,Kentucky,21035.0,31,1.0
99093,2020-04-29,Calloway,Kentucky,21035.0,31,1.0
101945,2020-04-30,Calloway,Kentucky,21035.0,34,1.0
104806,2020-05-01,Calloway,Kentucky,21035.0,34,1.0
107671,2020-05-02,Calloway,Kentucky,21035.0,34,1.0
110542,2020-05-03,Calloway,Kentucky,21035.0,35,1.0
113419,2020-05-04,Calloway,Kentucky,21035.0,35,1.0
116301,2020-05-05,Calloway,Kentucky,21035.0,35,1.0
119262,2020-05-06,Calloway,Kentucky,21035.0,35,1.0
122232,2020-05-07,Calloway,Kentucky,21035.0,35,1.0
125214,2020-05-08,Calloway,Kentucky,21035.0,36,1.0
128202,2020-05-09,Calloway,Kentucky,21035.0,37,1.0
131192,2020-05-10,Calloway,Kentucky,21035.0,37,1.0
134183,2020-05-11,Calloway,Kentucky,21035.0,40,1.0
137173,2020-05-12,Calloway,Kentucky,21035.0,43,1.0
140166,2020-05-13,Calloway,Kentucky,21035.0,43,1.0
143162,2020-05-14,Calloway,Kentucky,21035.0,44,1.0
146162,2020-05-15,Calloway,Kentucky,21035.0,44,1.0
149166,2020-05-16,Calloway,Kentucky,21035.0,46,1.0
152177,2020-05-17,Calloway,Kentucky,21035.0,46,1.0
155191,2020-05-18,Calloway,Kentucky,21035.0,46,1.0
158208,2020-05-19,Calloway,Kentucky,21035.0,47,1.0
161233,2020-05-20,Calloway,Kentucky,21035.0,48,1.0
164262,2020-05-21,Calloway,Kentucky,21035.0,49,1.0
167298,2020-05-22,Calloway,Kentucky,21035.0,49,1.0
170336,2020-05-23,Calloway,Kentucky,21035.0,49,1.0
173377,2020-05-24,Calloway,Kentucky,21035.0,49,1.0
176421,2020-05-25,Calloway,Kentucky,21035.0,49,1.0
179465,2020-05-26,Calloway,Kentucky,21035.0,48,1.0
182510,2020-05-27,Calloway,Kentucky,21035.0,48,1.0
185564,2020-05-28,Calloway,Kentucky,21035.0,48,1.0
188622,2020-05-29,Calloway,Kentucky,21035.0,50,1.0
191686,2020-05-30,Calloway,Kentucky,21035.0,50,1.0
194754,2020-05-31,Calloway,Kentucky,21035.0,50,1.0
197825,2020-06-01,Calloway,Kentucky,21035.0,52,1.0
200896,2020-06-02,Calloway,Kentucky,21035.0,52,1.0
203973,2020-06-03,Calloway,Kentucky,21035.0,53,1.0
207054,2020-06-04,Calloway,Kentucky,21035.0,53,1.0
210135,2020-06-05,Calloway,Kentucky,21035.0,54,1.0
213220,2020-06-06,Calloway,Kentucky,21035.0,55,1.0
216307,2020-06-07,Calloway,Kentucky,21035.0,55,1.0
219399,2020-06-08,Calloway,Kentucky,21035.0,55,1.0
222494,2020-06-09,Calloway,Kentucky,21035.0,56,1.0
225590,2020-06-10,Calloway,Kentucky,21035.0,56,1.0
228692,2020-06-11,Calloway,Kentucky,21035.0,57,1.0
231796,2020-06-12,Calloway,Kentucky,21035.0,57,1.0
234901,2020-06-13,Calloway,Kentucky,21035.0,57,1.0
238008,2020-06-14,Calloway,Kentucky,21035.0,57,1.0
241117,2020-06-15,Calloway,Kentucky,21035.0,60,1.0
244228,2020-06-16,Calloway,Kentucky,21035.0,60,1.0
247341,2020-06-17,Calloway,Kentucky,21035.0,61,1.0
250453,2020-06-18,Calloway,Kentucky,21035.0,63,1.0
253568,2020-06-19,Calloway,Kentucky,21035.0,63,1.0
256688,2020-06-20,Calloway,Kentucky,21035.0,65,1.0
259814,2020-06-21,Calloway,Kentucky,21035.0,66,1.0
262943,2020-06-22,Calloway,Kentucky,21035.0,68,1.0
266070,2020-06-23,Calloway,Kentucky,21035.0,71,1.0
269203,2020-06-24,Calloway,Kentucky,21035.0,71,1.0
272339,2020-06-25,Calloway,Kentucky,21035.0,75,1.0
275482,2020-06-26,Calloway,Kentucky,21035.0,78,1.0
278630,2020-06-27,Calloway,Kentucky,21035.0,79,1.0
281778,2020-06-28,Calloway,Kentucky,21035.0,79,1.0
284924,2020-06-29,Calloway,Kentucky,21035.0,79,1.0
288073,2020-06-30,Calloway,Kentucky,21035.0,81,1.0
291223,2020-07-01,Calloway,Kentucky,21035.0,82,1.0
294377,2020-07-02,Calloway,Kentucky,21035.0,85,1.0
297535,2020-07-03,Calloway,Kentucky,21035.0,86,1.0
300697,2020-07-04,Calloway,Kentucky,21035.0,86,1.0
303861,2020-07-05,Calloway,Kentucky,21035.0,86,1.0
307028,2020-07-06,Calloway,Kentucky,21035.0,93,1.0
310196,2020-07-07,Calloway,Kentucky,21035.0,94,1.0
313366,2020-07-08,Calloway,Kentucky,21035.0,98,1.0
316540,2020-07-09,Calloway,Kentucky,21035.0,102,1.0
319715,2020-07-10,Calloway,Kentucky,21035.0,108,1.0
322894,2020-07-11,Calloway,Kentucky,21035.0,107,1.0
326077,2020-07-12,Calloway,Kentucky,21035.0,111,1.0
329263,2020-07-13,Calloway,Kentucky,21035.0,111,1.0
332450,2020-07-14,Calloway,Kentucky,21035.0,117,1.0
335643,2020-07-15,Calloway,Kentucky,21035.0,119,1.0
338839,2020-07-16,Calloway,Kentucky,21035.0,121,1.0
342035,2020-07-17,Calloway,Kentucky,21035.0,125,1.0
345235,2020-07-18,Calloway,Kentucky,21035.0,129,1.0
348436,2020-07-19,Calloway,Kentucky,21035.0,133,1.0
351636,2020-07-20,Calloway,Kentucky,21035.0,133,1.0
354838,2020-07-21,Calloway,Kentucky,21035.0,135,2.0
358041,2020-07-22,Calloway,Kentucky,21035.0,139,2.0
361246,2020-07-23,Calloway,Kentucky,21035.0,142,2.0
364453,2020-07-24,Calloway,Kentucky,21035.0,144,2.0
367660,2020-07-25,Calloway,Kentucky,21035.0,150,2.0
370870,2020-07-26,Calloway,Kentucky,21035.0,153,2.0
374082,2020-07-27,Calloway,Kentucky,21035.0,155,2.0
