,date,county,state,fips,cases,deaths
5047,2020-03-19,Cameron,Texas,48061.0,1,0.0
5937,2020-03-20,Cameron,Texas,48061.0,1,0.0
6955,2020-03-21,Cameron,Texas,48061.0,6,0.0
8085,2020-03-22,Cameron,Texas,48061.0,6,0.0
9303,2020-03-23,Cameron,Texas,48061.0,6,0.0
10637,2020-03-24,Cameron,Texas,48061.0,6,0.0
12121,2020-03-25,Cameron,Texas,48061.0,6,0.0
13750,2020-03-26,Cameron,Texas,48061.0,13,0.0
15503,2020-03-27,Cameron,Texas,48061.0,13,0.0
17174,2020-03-28,Cameron,Pennsylvania,42023.0,1,0.0
17372,2020-03-28,Cameron,Texas,48061.0,13,0.0
19112,2020-03-29,Cameron,Pennsylvania,42023.0,1,0.0
19322,2020-03-29,Cameron,Texas,48061.0,20,0.0
21162,2020-03-30,Cameron,Pennsylvania,42023.0,1,0.0
21381,2020-03-30,Cameron,Texas,48061.0,20,0.0
23298,2020-03-31,Cameron,Pennsylvania,42023.0,1,0.0
23520,2020-03-31,Cameron,Texas,48061.0,26,0.0
25496,2020-04-01,Cameron,Pennsylvania,42023.0,1,0.0
25724,2020-04-01,Cameron,Texas,48061.0,26,0.0
27768,2020-04-02,Cameron,Pennsylvania,42023.0,1,0.0
28004,2020-04-02,Cameron,Texas,48061.0,37,0.0
30101,2020-04-03,Cameron,Pennsylvania,42023.0,1,0.0
30339,2020-04-03,Cameron,Texas,48061.0,55,0.0
32491,2020-04-04,Cameron,Pennsylvania,42023.0,1,0.0
32732,2020-04-04,Cameron,Texas,48061.0,62,0.0
34926,2020-04-05,Cameron,Pennsylvania,42023.0,1,0.0
35170,2020-04-05,Cameron,Texas,48061.0,77,0.0
37401,2020-04-06,Cameron,Pennsylvania,42023.0,1,0.0
37646,2020-04-06,Cameron,Texas,48061.0,87,0.0
39030,2020-04-07,Cameron,Louisiana,22023.0,1,0.0
39922,2020-04-07,Cameron,Pennsylvania,42023.0,1,0.0
40169,2020-04-07,Cameron,Texas,48061.0,101,0.0
41582,2020-04-08,Cameron,Louisiana,22023.0,1,0.0
42482,2020-04-08,Cameron,Pennsylvania,42023.0,1,0.0
42732,2020-04-08,Cameron,Texas,48061.0,108,0.0
44158,2020-04-09,Cameron,Louisiana,22023.0,1,0.0
45068,2020-04-09,Cameron,Pennsylvania,42023.0,1,0.0
45321,2020-04-09,Cameron,Texas,48061.0,126,3.0
46766,2020-04-10,Cameron,Louisiana,22023.0,1,0.0
47685,2020-04-10,Cameron,Pennsylvania,42023.0,1,0.0
47939,2020-04-10,Cameron,Texas,48061.0,147,3.0
49407,2020-04-11,Cameron,Louisiana,22023.0,2,0.0
50342,2020-04-11,Cameron,Pennsylvania,42023.0,1,0.0
50596,2020-04-11,Cameron,Texas,48061.0,159,3.0
52077,2020-04-12,Cameron,Louisiana,22023.0,2,0.0
53015,2020-04-12,Cameron,Pennsylvania,42023.0,1,0.0
53271,2020-04-12,Cameron,Texas,48061.0,195,3.0
54758,2020-04-13,Cameron,Louisiana,22023.0,2,0.0
55700,2020-04-13,Cameron,Pennsylvania,42023.0,1,0.0
55959,2020-04-13,Cameron,Texas,48061.0,195,3.0
57456,2020-04-14,Cameron,Louisiana,22023.0,2,0.0
58403,2020-04-14,Cameron,Pennsylvania,42023.0,1,0.0
58663,2020-04-14,Cameron,Texas,48061.0,216,3.0
60164,2020-04-15,Cameron,Louisiana,22023.0,2,0.0
61118,2020-04-15,Cameron,Pennsylvania,42023.0,1,0.0
61380,2020-04-15,Cameron,Texas,48061.0,239,3.0
62885,2020-04-16,Cameron,Louisiana,22023.0,2,0.0
63844,2020-04-16,Cameron,Pennsylvania,42023.0,1,0.0
64107,2020-04-16,Cameron,Texas,48061.0,254,3.0
