,date,county,state,fips,cases,deaths
5752,2020-03-20,Carteret,North Carolina,37031.0,1,0.0
6748,2020-03-21,Carteret,North Carolina,37031.0,1,0.0
7844,2020-03-22,Carteret,North Carolina,37031.0,2,0.0
9045,2020-03-23,Carteret,North Carolina,37031.0,4,0.0
10353,2020-03-24,Carteret,North Carolina,37031.0,4,0.0
11792,2020-03-25,Carteret,North Carolina,37031.0,5,0.0
13396,2020-03-26,Carteret,North Carolina,37031.0,5,0.0
15130,2020-03-27,Carteret,North Carolina,37031.0,5,0.0
16961,2020-03-28,Carteret,North Carolina,37031.0,6,0.0
18888,2020-03-29,Carteret,North Carolina,37031.0,8,0.0
20928,2020-03-30,Carteret,North Carolina,37031.0,10,0.0
23053,2020-03-31,Carteret,North Carolina,37031.0,12,0.0
25247,2020-04-01,Carteret,North Carolina,37031.0,12,0.0
27508,2020-04-02,Carteret,North Carolina,37031.0,13,0.0
29833,2020-04-03,Carteret,North Carolina,37031.0,14,0.0
32220,2020-04-04,Carteret,North Carolina,37031.0,15,0.0
34651,2020-04-05,Carteret,North Carolina,37031.0,15,0.0
37120,2020-04-06,Carteret,North Carolina,37031.0,17,0.0
39635,2020-04-07,Carteret,North Carolina,37031.0,17,1.0
42192,2020-04-08,Carteret,North Carolina,37031.0,18,1.0
44775,2020-04-09,Carteret,North Carolina,37031.0,19,1.0
47388,2020-04-10,Carteret,North Carolina,37031.0,20,1.0
50043,2020-04-11,Carteret,North Carolina,37031.0,21,1.0
52716,2020-04-12,Carteret,North Carolina,37031.0,21,1.0
55399,2020-04-13,Carteret,North Carolina,37031.0,22,1.0
58099,2020-04-14,Carteret,North Carolina,37031.0,22,1.0
60813,2020-04-15,Carteret,North Carolina,37031.0,22,1.0
63539,2020-04-16,Carteret,North Carolina,37031.0,22,1.0
66282,2020-04-17,Carteret,North Carolina,37031.0,22,1.0
69039,2020-04-18,Carteret,North Carolina,37031.0,22,2.0
71805,2020-04-19,Carteret,North Carolina,37031.0,22,2.0
74580,2020-04-20,Carteret,North Carolina,37031.0,22,2.0
77361,2020-04-21,Carteret,North Carolina,37031.0,21,2.0
80150,2020-04-22,Carteret,North Carolina,37031.0,21,2.0
82949,2020-04-23,Carteret,North Carolina,37031.0,22,2.0
85753,2020-04-24,Carteret,North Carolina,37031.0,22,2.0
88565,2020-04-25,Carteret,North Carolina,37031.0,26,3.0
91380,2020-04-26,Carteret,North Carolina,37031.0,26,3.0
94206,2020-04-27,Carteret,North Carolina,37031.0,28,3.0
97042,2020-04-28,Carteret,North Carolina,37031.0,28,3.0
99889,2020-04-29,Carteret,North Carolina,37031.0,27,3.0
102742,2020-04-30,Carteret,North Carolina,37031.0,27,3.0
105604,2020-05-01,Carteret,North Carolina,37031.0,29,3.0
108471,2020-05-02,Carteret,North Carolina,37031.0,27,3.0
111344,2020-05-03,Carteret,North Carolina,37031.0,27,3.0
114225,2020-05-04,Carteret,North Carolina,37031.0,27,3.0
117105,2020-05-05,Carteret,North Carolina,37031.0,27,3.0
120066,2020-05-06,Carteret,North Carolina,37031.0,28,3.0
123041,2020-05-07,Carteret,North Carolina,37031.0,29,3.0
126024,2020-05-08,Carteret,North Carolina,37031.0,29,3.0
129013,2020-05-09,Carteret,North Carolina,37031.0,29,3.0
132002,2020-05-10,Carteret,North Carolina,37031.0,31,3.0
134993,2020-05-11,Carteret,North Carolina,37031.0,31,3.0
137983,2020-05-12,Carteret,North Carolina,37031.0,32,3.0
140979,2020-05-13,Carteret,North Carolina,37031.0,34,3.0
143974,2020-05-14,Carteret,North Carolina,37031.0,34,3.0
146975,2020-05-15,Carteret,North Carolina,37031.0,35,3.0
149982,2020-05-16,Carteret,North Carolina,37031.0,35,3.0
152992,2020-05-17,Carteret,North Carolina,37031.0,35,3.0
156009,2020-05-18,Carteret,North Carolina,37031.0,35,3.0
159028,2020-05-19,Carteret,North Carolina,37031.0,35,3.0
162055,2020-05-20,Carteret,North Carolina,37031.0,35,3.0
165084,2020-05-21,Carteret,North Carolina,37031.0,35,3.0
168119,2020-05-22,Carteret,North Carolina,37031.0,35,9.0
171158,2020-05-23,Carteret,North Carolina,37031.0,35,9.0
174200,2020-05-24,Carteret,North Carolina,37031.0,35,9.0
177244,2020-05-25,Carteret,North Carolina,37031.0,36,3.0
180287,2020-05-26,Carteret,North Carolina,37031.0,36,3.0
183335,2020-05-27,Carteret,North Carolina,37031.0,36,3.0
186392,2020-05-28,Carteret,North Carolina,37031.0,36,3.0
189452,2020-05-29,Carteret,North Carolina,37031.0,36,3.0
192516,2020-05-30,Carteret,North Carolina,37031.0,36,3.0
195586,2020-05-31,Carteret,North Carolina,37031.0,36,3.0
198659,2020-06-01,Carteret,North Carolina,37031.0,36,3.0
201733,2020-06-02,Carteret,North Carolina,37031.0,36,3.0
204810,2020-06-03,Carteret,North Carolina,37031.0,36,3.0
207891,2020-06-04,Carteret,North Carolina,37031.0,37,3.0
210973,2020-06-05,Carteret,North Carolina,37031.0,39,3.0
214057,2020-06-06,Carteret,North Carolina,37031.0,39,3.0
217147,2020-06-07,Carteret,North Carolina,37031.0,39,3.0
220239,2020-06-08,Carteret,North Carolina,37031.0,40,3.0
223333,2020-06-09,Carteret,North Carolina,37031.0,40,3.0
226433,2020-06-10,Carteret,North Carolina,37031.0,42,3.0
229537,2020-06-11,Carteret,North Carolina,37031.0,43,3.0
232642,2020-06-12,Carteret,North Carolina,37031.0,45,3.0
235747,2020-06-13,Carteret,North Carolina,37031.0,46,3.0
238855,2020-06-14,Carteret,North Carolina,37031.0,46,3.0
241964,2020-06-15,Carteret,North Carolina,37031.0,47,3.0
245076,2020-06-16,Carteret,North Carolina,37031.0,48,3.0
248189,2020-06-17,Carteret,North Carolina,37031.0,47,3.0
251304,2020-06-18,Carteret,North Carolina,37031.0,49,3.0
254419,2020-06-19,Carteret,North Carolina,37031.0,51,3.0
257542,2020-06-20,Carteret,North Carolina,37031.0,52,3.0
260669,2020-06-21,Carteret,North Carolina,37031.0,53,3.0
263797,2020-06-22,Carteret,North Carolina,37031.0,57,3.0
266925,2020-06-23,Carteret,North Carolina,37031.0,59,3.0
270059,2020-06-24,Carteret,North Carolina,37031.0,61,3.0
273198,2020-06-25,Carteret,North Carolina,37031.0,64,3.0
276344,2020-06-26,Carteret,North Carolina,37031.0,67,3.0
279492,2020-06-27,Carteret,North Carolina,37031.0,70,3.0
282638,2020-06-28,Carteret,North Carolina,37031.0,76,3.0
285783,2020-06-29,Carteret,North Carolina,37031.0,84,3.0
288933,2020-06-30,Carteret,North Carolina,37031.0,87,3.0
292085,2020-07-01,Carteret,North Carolina,37031.0,87,3.0
295240,2020-07-02,Carteret,North Carolina,37031.0,91,3.0
298400,2020-07-03,Carteret,North Carolina,37031.0,100,3.0
301563,2020-07-04,Carteret,North Carolina,37031.0,101,3.0
304726,2020-07-05,Carteret,North Carolina,37031.0,105,3.0
307893,2020-07-06,Carteret,North Carolina,37031.0,109,3.0
311061,2020-07-07,Carteret,North Carolina,37031.0,110,3.0
314232,2020-07-08,Carteret,North Carolina,37031.0,111,3.0
317406,2020-07-09,Carteret,North Carolina,37031.0,111,3.0
320583,2020-07-10,Carteret,North Carolina,37031.0,117,3.0
323763,2020-07-11,Carteret,North Carolina,37031.0,121,3.0
326947,2020-07-12,Carteret,North Carolina,37031.0,130,3.0
330134,2020-07-13,Carteret,North Carolina,37031.0,136,3.0
333324,2020-07-14,Carteret,North Carolina,37031.0,144,3.0
336518,2020-07-15,Carteret,North Carolina,37031.0,152,3.0
339714,2020-07-16,Carteret,North Carolina,37031.0,164,4.0
342912,2020-07-17,Carteret,North Carolina,37031.0,168,4.0
346111,2020-07-18,Carteret,North Carolina,37031.0,173,4.0
349312,2020-07-19,Carteret,North Carolina,37031.0,176,4.0
352515,2020-07-20,Carteret,North Carolina,37031.0,178,4.0
355718,2020-07-21,Carteret,North Carolina,37031.0,176,4.0
358922,2020-07-22,Carteret,North Carolina,37031.0,178,4.0
362128,2020-07-23,Carteret,North Carolina,37031.0,180,4.0
365334,2020-07-24,Carteret,North Carolina,37031.0,210,4.0
368543,2020-07-25,Carteret,North Carolina,37031.0,238,4.0
371755,2020-07-26,Carteret,North Carolina,37031.0,262,4.0
374967,2020-07-27,Carteret,North Carolina,37031.0,267,4.0
378183,2020-07-28,Carteret,North Carolina,37031.0,271,4.0
381400,2020-07-29,Carteret,North Carolina,37031.0,272,4.0
384618,2020-07-30,Carteret,North Carolina,37031.0,279,4.0
387835,2020-07-31,Carteret,North Carolina,37031.0,284,4.0
391052,2020-08-01,Carteret,North Carolina,37031.0,286,4.0
394268,2020-08-02,Carteret,North Carolina,37031.0,295,4.0
397485,2020-08-03,Carteret,North Carolina,37031.0,300,4.0
400700,2020-08-04,Carteret,North Carolina,37031.0,307,5.0
403918,2020-08-05,Carteret,North Carolina,37031.0,308,5.0
407137,2020-08-06,Carteret,North Carolina,37031.0,323,5.0
410357,2020-08-07,Carteret,North Carolina,37031.0,328,5.0
413577,2020-08-08,Carteret,North Carolina,37031.0,339,5.0
416798,2020-08-09,Carteret,North Carolina,37031.0,344,5.0
420018,2020-08-10,Carteret,North Carolina,37031.0,348,5.0
423241,2020-08-11,Carteret,North Carolina,37031.0,351,5.0
426464,2020-08-12,Carteret,North Carolina,37031.0,352,5.0
429689,2020-08-13,Carteret,North Carolina,37031.0,362,5.0
432915,2020-08-14,Carteret,North Carolina,37031.0,369,5.0
436141,2020-08-15,Carteret,North Carolina,37031.0,374,5.0
439366,2020-08-16,Carteret,North Carolina,37031.0,377,5.0
442593,2020-08-17,Carteret,North Carolina,37031.0,381,5.0
445819,2020-08-18,Carteret,North Carolina,37031.0,385,5.0
449047,2020-08-19,Carteret,North Carolina,37031.0,392,5.0
452275,2020-08-20,Carteret,North Carolina,37031.0,399,5.0
455503,2020-08-21,Carteret,North Carolina,37031.0,409,5.0
458731,2020-08-22,Carteret,North Carolina,37031.0,414,5.0
461959,2020-08-23,Carteret,North Carolina,37031.0,423,5.0
465188,2020-08-24,Carteret,North Carolina,37031.0,436,5.0
468416,2020-08-25,Carteret,North Carolina,37031.0,445,5.0
471648,2020-08-26,Carteret,North Carolina,37031.0,446,5.0
474882,2020-08-27,Carteret,North Carolina,37031.0,460,5.0
478115,2020-08-28,Carteret,North Carolina,37031.0,466,5.0
481348,2020-08-29,Carteret,North Carolina,37031.0,482,5.0
484583,2020-08-30,Carteret,North Carolina,37031.0,492,5.0
487816,2020-08-31,Carteret,North Carolina,37031.0,500,5.0
491049,2020-09-01,Carteret,North Carolina,37031.0,509,5.0
494283,2020-09-02,Carteret,North Carolina,37031.0,513,5.0
497516,2020-09-03,Carteret,North Carolina,37031.0,526,5.0
500750,2020-09-04,Carteret,North Carolina,37031.0,534,5.0
503984,2020-09-05,Carteret,North Carolina,37031.0,540,5.0
507216,2020-09-06,Carteret,North Carolina,37031.0,546,5.0
510449,2020-09-07,Carteret,North Carolina,37031.0,554,5.0
513682,2020-09-08,Carteret,North Carolina,37031.0,555,5.0
516917,2020-09-09,Carteret,North Carolina,37031.0,559,5.0
520153,2020-09-10,Carteret,North Carolina,37031.0,570,5.0
523389,2020-09-11,Carteret,North Carolina,37031.0,572,5.0
526625,2020-09-12,Carteret,North Carolina,37031.0,573,5.0
529862,2020-09-13,Carteret,North Carolina,37031.0,579,5.0
533097,2020-09-14,Carteret,North Carolina,37031.0,583,5.0
536333,2020-09-15,Carteret,North Carolina,37031.0,587,5.0
539570,2020-09-16,Carteret,North Carolina,37031.0,590,5.0
542806,2020-09-17,Carteret,North Carolina,37031.0,599,5.0
546043,2020-09-18,Carteret,North Carolina,37031.0,604,5.0
549282,2020-09-19,Carteret,North Carolina,37031.0,608,5.0
552521,2020-09-20,Carteret,North Carolina,37031.0,610,5.0
