,date,county,state,fips,cases,deaths
6957,2020-03-21,Castro,Texas,48069.0,1,0.0
8087,2020-03-22,Castro,Texas,48069.0,1,0.0
9305,2020-03-23,Castro,Texas,48069.0,1,0.0
10639,2020-03-24,Castro,Texas,48069.0,2,0.0
12123,2020-03-25,Castro,Texas,48069.0,3,0.0
13752,2020-03-26,Castro,Texas,48069.0,6,0.0
15505,2020-03-27,Castro,Texas,48069.0,7,0.0
17374,2020-03-28,Castro,Texas,48069.0,8,0.0
19324,2020-03-29,Castro,Texas,48069.0,8,0.0
21383,2020-03-30,Castro,Texas,48069.0,8,0.0
23522,2020-03-31,Castro,Texas,48069.0,8,0.0
25727,2020-04-01,Castro,Texas,48069.0,8,0.0
28007,2020-04-02,Castro,Texas,48069.0,8,0.0
30342,2020-04-03,Castro,Texas,48069.0,9,0.0
32735,2020-04-04,Castro,Texas,48069.0,10,1.0
35173,2020-04-05,Castro,Texas,48069.0,10,1.0
37649,2020-04-06,Castro,Texas,48069.0,10,1.0
40172,2020-04-07,Castro,Texas,48069.0,10,1.0
42735,2020-04-08,Castro,Texas,48069.0,10,1.0
45324,2020-04-09,Castro,Texas,48069.0,10,1.0
47942,2020-04-10,Castro,Texas,48069.0,10,1.0
50599,2020-04-11,Castro,Texas,48069.0,10,1.0
53274,2020-04-12,Castro,Texas,48069.0,11,1.0
55962,2020-04-13,Castro,Texas,48069.0,11,1.0
58666,2020-04-14,Castro,Texas,48069.0,11,1.0
61383,2020-04-15,Castro,Texas,48069.0,11,1.0
64110,2020-04-16,Castro,Texas,48069.0,11,1.0
66857,2020-04-17,Castro,Texas,48069.0,11,1.0
69617,2020-04-18,Castro,Texas,48069.0,11,1.0
72384,2020-04-19,Castro,Texas,48069.0,11,1.0
75159,2020-04-20,Castro,Texas,48069.0,11,1.0
77941,2020-04-21,Castro,Texas,48069.0,11,1.0
80732,2020-04-22,Castro,Texas,48069.0,12,1.0
83531,2020-04-23,Castro,Texas,48069.0,13,1.0
86336,2020-04-24,Castro,Texas,48069.0,13,1.0
89151,2020-04-25,Castro,Texas,48069.0,13,1.0
91968,2020-04-26,Castro,Texas,48069.0,13,1.0
94796,2020-04-27,Castro,Texas,48069.0,13,1.0
97636,2020-04-28,Castro,Texas,48069.0,13,1.0
100486,2020-04-29,Castro,Texas,48069.0,13,1.0
103339,2020-04-30,Castro,Texas,48069.0,13,1.0
106203,2020-05-01,Castro,Texas,48069.0,15,1.0
109071,2020-05-02,Castro,Texas,48069.0,15,1.0
111945,2020-05-03,Castro,Texas,48069.0,15,1.0
114827,2020-05-04,Castro,Texas,48069.0,18,1.0
117784,2020-05-05,Castro,Texas,48069.0,18,1.0
120748,2020-05-06,Castro,Texas,48069.0,20,1.0
123727,2020-05-07,Castro,Texas,48069.0,22,1.0
126710,2020-05-08,Castro,Texas,48069.0,22,1.0
129699,2020-05-09,Castro,Texas,48069.0,22,1.0
132689,2020-05-10,Castro,Texas,48069.0,23,1.0
135680,2020-05-11,Castro,Texas,48069.0,23,1.0
138670,2020-05-12,Castro,Texas,48069.0,23,1.0
141666,2020-05-13,Castro,Texas,48069.0,24,1.0
144663,2020-05-14,Castro,Texas,48069.0,25,1.0
147665,2020-05-15,Castro,Texas,48069.0,27,1.0
150673,2020-05-16,Castro,Texas,48069.0,26,1.0
153684,2020-05-17,Castro,Texas,48069.0,27,1.0
156701,2020-05-18,Castro,Texas,48069.0,27,1.0
159723,2020-05-19,Castro,Texas,48069.0,28,1.0
162750,2020-05-20,Castro,Texas,48069.0,28,1.0
165779,2020-05-21,Castro,Texas,48069.0,29,1.0
168815,2020-05-22,Castro,Texas,48069.0,29,1.0
171854,2020-05-23,Castro,Texas,48069.0,32,1.0
174897,2020-05-24,Castro,Texas,48069.0,32,1.0
177941,2020-05-25,Castro,Texas,48069.0,32,1.0
180984,2020-05-26,Castro,Texas,48069.0,32,1.0
184034,2020-05-27,Castro,Texas,48069.0,32,1.0
187091,2020-05-28,Castro,Texas,48069.0,32,1.0
190155,2020-05-29,Castro,Texas,48069.0,32,1.0
193220,2020-05-30,Castro,Texas,48069.0,33,1.0
196290,2020-05-31,Castro,Texas,48069.0,33,1.0
199363,2020-06-01,Castro,Texas,48069.0,33,1.0
202438,2020-06-02,Castro,Texas,48069.0,33,1.0
205517,2020-06-03,Castro,Texas,48069.0,33,1.0
208599,2020-06-04,Castro,Texas,48069.0,34,1.0
211682,2020-06-05,Castro,Texas,48069.0,34,1.0
214769,2020-06-06,Castro,Texas,48069.0,35,1.0
217859,2020-06-07,Castro,Texas,48069.0,35,1.0
220951,2020-06-08,Castro,Texas,48069.0,35,1.0
