,date,county,state,fips,cases,deaths
5501,2020-03-20,Catahoula,Louisiana,22025.0,1,0.0
6452,2020-03-21,Catahoula,Louisiana,22025.0,1,0.0
7527,2020-03-22,Catahoula,Louisiana,22025.0,1,1.0
8691,2020-03-23,Catahoula,Louisiana,22025.0,1,1.0
9979,2020-03-24,Catahoula,Louisiana,22025.0,1,1.0
11383,2020-03-25,Catahoula,Louisiana,22025.0,1,1.0
12958,2020-03-26,Catahoula,Louisiana,22025.0,1,1.0
14665,2020-03-27,Catahoula,Louisiana,22025.0,1,1.0
16483,2020-03-28,Catahoula,Louisiana,22025.0,1,1.0
18395,2020-03-29,Catahoula,Louisiana,22025.0,1,1.0
20411,2020-03-30,Catahoula,Louisiana,22025.0,3,1.0
22518,2020-03-31,Catahoula,Louisiana,22025.0,3,1.0
24694,2020-04-01,Catahoula,Louisiana,22025.0,3,1.0
26945,2020-04-02,Catahoula,Louisiana,22025.0,5,1.0
29262,2020-04-03,Catahoula,Louisiana,22025.0,6,1.0
31640,2020-04-04,Catahoula,Louisiana,22025.0,9,1.0
34065,2020-04-05,Catahoula,Louisiana,22025.0,9,1.0
36523,2020-04-06,Catahoula,Louisiana,22025.0,12,1.0
39031,2020-04-07,Catahoula,Louisiana,22025.0,13,1.0
41583,2020-04-08,Catahoula,Louisiana,22025.0,14,1.0
44159,2020-04-09,Catahoula,Louisiana,22025.0,17,1.0
46767,2020-04-10,Catahoula,Louisiana,22025.0,18,1.0
49408,2020-04-11,Catahoula,Louisiana,22025.0,20,1.0
52078,2020-04-12,Catahoula,Louisiana,22025.0,21,1.0
54759,2020-04-13,Catahoula,Louisiana,22025.0,21,1.0
57457,2020-04-14,Catahoula,Louisiana,22025.0,21,1.0
60165,2020-04-15,Catahoula,Louisiana,22025.0,22,1.0
62886,2020-04-16,Catahoula,Louisiana,22025.0,23,1.0
65625,2020-04-17,Catahoula,Louisiana,22025.0,23,1.0
68374,2020-04-18,Catahoula,Louisiana,22025.0,23,1.0
71137,2020-04-19,Catahoula,Louisiana,22025.0,24,1.0
73909,2020-04-20,Catahoula,Louisiana,22025.0,24,1.0
76689,2020-04-21,Catahoula,Louisiana,22025.0,24,1.0
79475,2020-04-22,Catahoula,Louisiana,22025.0,24,1.0
82271,2020-04-23,Catahoula,Louisiana,22025.0,24,2.0
85075,2020-04-24,Catahoula,Louisiana,22025.0,25,2.0
87884,2020-04-25,Catahoula,Louisiana,22025.0,25,2.0
90700,2020-04-26,Catahoula,Louisiana,22025.0,25,2.0
93521,2020-04-27,Catahoula,Louisiana,22025.0,25,2.0
96356,2020-04-28,Catahoula,Louisiana,22025.0,25,2.0
99202,2020-04-29,Catahoula,Louisiana,22025.0,35,2.0
102054,2020-04-30,Catahoula,Louisiana,22025.0,36,2.0
104915,2020-05-01,Catahoula,Louisiana,22025.0,40,2.0
107779,2020-05-02,Catahoula,Louisiana,22025.0,44,2.0
110651,2020-05-03,Catahoula,Louisiana,22025.0,45,2.0
113528,2020-05-04,Catahoula,Louisiana,22025.0,46,2.0
116410,2020-05-05,Catahoula,Louisiana,22025.0,46,3.0
119371,2020-05-06,Catahoula,Louisiana,22025.0,46,2.0
122342,2020-05-07,Catahoula,Louisiana,22025.0,46,2.0
125324,2020-05-08,Catahoula,Louisiana,22025.0,59,2.0
128311,2020-05-09,Catahoula,Louisiana,22025.0,83,2.0
131301,2020-05-10,Catahoula,Louisiana,22025.0,85,2.0
134292,2020-05-11,Catahoula,Louisiana,22025.0,85,3.0
137282,2020-05-12,Catahoula,Louisiana,22025.0,86,3.0
140276,2020-05-13,Catahoula,Louisiana,22025.0,103,3.0
143271,2020-05-14,Catahoula,Louisiana,22025.0,103,3.0
146271,2020-05-15,Catahoula,Louisiana,22025.0,103,3.0
149276,2020-05-16,Catahoula,Louisiana,22025.0,104,3.0
152287,2020-05-17,Catahoula,Louisiana,22025.0,106,3.0
155301,2020-05-18,Catahoula,Louisiana,22025.0,106,3.0
158319,2020-05-19,Catahoula,Louisiana,22025.0,106,3.0
161345,2020-05-20,Catahoula,Louisiana,22025.0,106,3.0
164374,2020-05-21,Catahoula,Louisiana,22025.0,112,3.0
167410,2020-05-22,Catahoula,Louisiana,22025.0,112,3.0
170448,2020-05-23,Catahoula,Louisiana,22025.0,112,3.0
173489,2020-05-24,Catahoula,Louisiana,22025.0,112,3.0
176533,2020-05-25,Catahoula,Louisiana,22025.0,112,3.0
179577,2020-05-26,Catahoula,Louisiana,22025.0,112,3.0
182622,2020-05-27,Catahoula,Louisiana,22025.0,112,3.0
185677,2020-05-28,Catahoula,Louisiana,22025.0,112,3.0
188735,2020-05-29,Catahoula,Louisiana,22025.0,112,3.0
191799,2020-05-30,Catahoula,Louisiana,22025.0,113,3.0
194867,2020-05-31,Catahoula,Louisiana,22025.0,113,3.0
197938,2020-06-01,Catahoula,Louisiana,22025.0,115,3.0
201010,2020-06-02,Catahoula,Louisiana,22025.0,114,3.0
204087,2020-06-03,Catahoula,Louisiana,22025.0,117,3.0
207168,2020-06-04,Catahoula,Louisiana,22025.0,119,3.0
210249,2020-06-05,Catahoula,Louisiana,22025.0,120,3.0
213334,2020-06-06,Catahoula,Louisiana,22025.0,120,3.0
216421,2020-06-07,Catahoula,Louisiana,22025.0,121,3.0
219513,2020-06-08,Catahoula,Louisiana,22025.0,121,3.0
222608,2020-06-09,Catahoula,Louisiana,22025.0,121,3.0
225704,2020-06-10,Catahoula,Louisiana,22025.0,123,3.0
228806,2020-06-11,Catahoula,Louisiana,22025.0,123,3.0
231910,2020-06-12,Catahoula,Louisiana,22025.0,124,3.0
235015,2020-06-13,Catahoula,Louisiana,22025.0,130,3.0
238122,2020-06-14,Catahoula,Louisiana,22025.0,130,3.0
241231,2020-06-15,Catahoula,Louisiana,22025.0,131,3.0
244342,2020-06-16,Catahoula,Louisiana,22025.0,162,3.0
247455,2020-06-17,Catahoula,Louisiana,22025.0,164,3.0
250567,2020-06-18,Catahoula,Louisiana,22025.0,164,3.0
253682,2020-06-19,Catahoula,Louisiana,22025.0,151,3.0
256802,2020-06-20,Catahoula,Louisiana,22025.0,152,3.0
259928,2020-06-21,Catahoula,Louisiana,22025.0,152,3.0
263057,2020-06-22,Catahoula,Louisiana,22025.0,153,3.0
266184,2020-06-23,Catahoula,Louisiana,22025.0,154,3.0
269317,2020-06-24,Catahoula,Louisiana,22025.0,154,3.0
272453,2020-06-25,Catahoula,Louisiana,22025.0,157,3.0
275596,2020-06-26,Catahoula,Louisiana,22025.0,160,3.0
278744,2020-06-27,Catahoula,Louisiana,22025.0,160,3.0
281892,2020-06-28,Catahoula,Louisiana,22025.0,188,3.0
285038,2020-06-29,Catahoula,Louisiana,22025.0,190,3.0
288187,2020-06-30,Catahoula,Louisiana,22025.0,190,3.0
291338,2020-07-01,Catahoula,Louisiana,22025.0,190,3.0
294492,2020-07-02,Catahoula,Louisiana,22025.0,192,3.0
297650,2020-07-03,Catahoula,Louisiana,22025.0,194,3.0
300812,2020-07-04,Catahoula,Louisiana,22025.0,194,3.0
303976,2020-07-05,Catahoula,Louisiana,22025.0,195,3.0
307143,2020-07-06,Catahoula,Louisiana,22025.0,198,3.0
310311,2020-07-07,Catahoula,Louisiana,22025.0,204,3.0
313481,2020-07-08,Catahoula,Louisiana,22025.0,206,3.0
316655,2020-07-09,Catahoula,Louisiana,22025.0,210,3.0
319830,2020-07-10,Catahoula,Louisiana,22025.0,211,3.0
323009,2020-07-11,Catahoula,Louisiana,22025.0,214,3.0
326192,2020-07-12,Catahoula,Louisiana,22025.0,215,3.0
329378,2020-07-13,Catahoula,Louisiana,22025.0,215,3.0
332565,2020-07-14,Catahoula,Louisiana,22025.0,217,3.0
335758,2020-07-15,Catahoula,Louisiana,22025.0,218,3.0
338954,2020-07-16,Catahoula,Louisiana,22025.0,220,3.0
342150,2020-07-17,Catahoula,Louisiana,22025.0,221,3.0
345350,2020-07-18,Catahoula,Louisiana,22025.0,221,3.0
348551,2020-07-19,Catahoula,Louisiana,22025.0,222,3.0
351751,2020-07-20,Catahoula,Louisiana,22025.0,235,3.0
