,date,county,state,fips,cases,deaths
16901,2020-03-28,Cattaraugus,New York,36009.0,1,0.0
18825,2020-03-29,Cattaraugus,New York,36009.0,4,0.0
20864,2020-03-30,Cattaraugus,New York,36009.0,6,0.0
22987,2020-03-31,Cattaraugus,New York,36009.0,6,0.0
25181,2020-04-01,Cattaraugus,New York,36009.0,7,0.0
27441,2020-04-02,Cattaraugus,New York,36009.0,8,0.0
29765,2020-04-03,Cattaraugus,New York,36009.0,8,0.0
32151,2020-04-04,Cattaraugus,New York,36009.0,8,0.0
34582,2020-04-05,Cattaraugus,New York,36009.0,10,0.0
37052,2020-04-06,Cattaraugus,New York,36009.0,15,0.0
39567,2020-04-07,Cattaraugus,New York,36009.0,13,0.0
42124,2020-04-08,Cattaraugus,New York,36009.0,15,0.0
44707,2020-04-09,Cattaraugus,New York,36009.0,17,0.0
47320,2020-04-10,Cattaraugus,New York,36009.0,18,0.0
49975,2020-04-11,Cattaraugus,New York,36009.0,19,0.0
52648,2020-04-12,Cattaraugus,New York,36009.0,28,0.0
55331,2020-04-13,Cattaraugus,New York,36009.0,28,0.0
58031,2020-04-14,Cattaraugus,New York,36009.0,32,0.0
60745,2020-04-15,Cattaraugus,New York,36009.0,32,0.0
63471,2020-04-16,Cattaraugus,New York,36009.0,32,0.0
66213,2020-04-17,Cattaraugus,New York,36009.0,34,0.0
68970,2020-04-18,Cattaraugus,New York,36009.0,34,0.0
71737,2020-04-19,Cattaraugus,New York,36009.0,34,0.0
74512,2020-04-20,Cattaraugus,New York,36009.0,34,0.0
77293,2020-04-21,Cattaraugus,New York,36009.0,35,0.0
80082,2020-04-22,Cattaraugus,New York,36009.0,37,0.0
82881,2020-04-23,Cattaraugus,New York,36009.0,37,0.0
85685,2020-04-24,Cattaraugus,New York,36009.0,39,0.0
88497,2020-04-25,Cattaraugus,New York,36009.0,45,1.0
91312,2020-04-26,Cattaraugus,New York,36009.0,45,1.0
94137,2020-04-27,Cattaraugus,New York,36009.0,45,1.0
96973,2020-04-28,Cattaraugus,New York,36009.0,45,1.0
99820,2020-04-29,Cattaraugus,New York,36009.0,47,1.0
102673,2020-04-30,Cattaraugus,New York,36009.0,47,1.0
105535,2020-05-01,Cattaraugus,New York,36009.0,49,1.0
108402,2020-05-02,Cattaraugus,New York,36009.0,50,1.0
111275,2020-05-03,Cattaraugus,New York,36009.0,53,1.0
114156,2020-05-04,Cattaraugus,New York,36009.0,53,1.0
117036,2020-05-05,Cattaraugus,New York,36009.0,53,1.0
119997,2020-05-06,Cattaraugus,New York,36009.0,54,1.0
122972,2020-05-07,Cattaraugus,New York,36009.0,59,1.0
125955,2020-05-08,Cattaraugus,New York,36009.0,59,1.0
128944,2020-05-09,Cattaraugus,New York,36009.0,60,1.0
131933,2020-05-10,Cattaraugus,New York,36009.0,60,1.0
134924,2020-05-11,Cattaraugus,New York,36009.0,61,1.0
137914,2020-05-12,Cattaraugus,New York,36009.0,61,1.0
140910,2020-05-13,Cattaraugus,New York,36009.0,61,1.0
143905,2020-05-14,Cattaraugus,New York,36009.0,64,1.0
146906,2020-05-15,Cattaraugus,New York,36009.0,64,1.0
149913,2020-05-16,Cattaraugus,New York,36009.0,65,1.0
152923,2020-05-17,Cattaraugus,New York,36009.0,65,1.0
155940,2020-05-18,Cattaraugus,New York,36009.0,67,1.0
158958,2020-05-19,Cattaraugus,New York,36009.0,69,1.0
161985,2020-05-20,Cattaraugus,New York,36009.0,70,1.0
165014,2020-05-21,Cattaraugus,New York,36009.0,71,1.0
168049,2020-05-22,Cattaraugus,New York,36009.0,74,1.0
171088,2020-05-23,Cattaraugus,New York,36009.0,78,1.0
174130,2020-05-24,Cattaraugus,New York,36009.0,78,1.0
177174,2020-05-25,Cattaraugus,New York,36009.0,81,2.0
180217,2020-05-26,Cattaraugus,New York,36009.0,81,2.0
183265,2020-05-27,Cattaraugus,New York,36009.0,82,2.0
186322,2020-05-28,Cattaraugus,New York,36009.0,85,2.0
189382,2020-05-29,Cattaraugus,New York,36009.0,86,2.0
192446,2020-05-30,Cattaraugus,New York,36009.0,87,2.0
195516,2020-05-31,Cattaraugus,New York,36009.0,88,3.0
198589,2020-06-01,Cattaraugus,New York,36009.0,89,3.0
201663,2020-06-02,Cattaraugus,New York,36009.0,89,3.0
