,date,county,state,fips,cases,deaths
1044,2020-03-10,Charlton,Georgia,13049.0,1,0.0
1216,2020-03-11,Charlton,Georgia,13049.0,1,0.0
1430,2020-03-12,Charlton,Georgia,13049.0,1,0.0
1698,2020-03-13,Charlton,Georgia,13049.0,1,0.0
2020,2020-03-14,Charlton,Georgia,13049.0,1,0.0
2404,2020-03-15,Charlton,Georgia,13049.0,1,0.0
2841,2020-03-16,Charlton,Georgia,13049.0,1,0.0
3326,2020-03-17,Charlton,Georgia,13049.0,1,0.0
3886,2020-03-18,Charlton,Georgia,13049.0,1,0.0
4556,2020-03-19,Charlton,Georgia,13049.0,1,0.0
5337,2020-03-20,Charlton,Georgia,13049.0,1,0.0
6270,2020-03-21,Charlton,Georgia,13049.0,1,0.0
7313,2020-03-22,Charlton,Georgia,13049.0,1,0.0
8461,2020-03-23,Charlton,Georgia,13049.0,1,0.0
9710,2020-03-24,Charlton,Georgia,13049.0,1,0.0
11085,2020-03-25,Charlton,Georgia,13049.0,1,0.0
12634,2020-03-26,Charlton,Georgia,13049.0,1,0.0
14305,2020-03-27,Charlton,Georgia,13049.0,1,0.0
16091,2020-03-28,Charlton,Georgia,13049.0,1,0.0
17988,2020-03-29,Charlton,Georgia,13049.0,1,0.0
19973,2020-03-30,Charlton,Georgia,13049.0,1,0.0
22052,2020-03-31,Charlton,Georgia,13049.0,1,0.0
24215,2020-04-01,Charlton,Georgia,13049.0,1,0.0
26446,2020-04-02,Charlton,Georgia,13049.0,1,0.0
28749,2020-04-03,Charlton,Georgia,13049.0,1,0.0
31109,2020-04-04,Charlton,Georgia,13049.0,1,0.0
33515,2020-04-05,Charlton,Georgia,13049.0,2,0.0
35963,2020-04-06,Charlton,Georgia,13049.0,3,0.0
38455,2020-04-07,Charlton,Georgia,13049.0,3,0.0
40999,2020-04-08,Charlton,Georgia,13049.0,3,0.0
43573,2020-04-09,Charlton,Georgia,13049.0,2,0.0
46175,2020-04-10,Charlton,Georgia,13049.0,2,0.0
48805,2020-04-11,Charlton,Georgia,13049.0,2,0.0
51466,2020-04-12,Charlton,Georgia,13049.0,3,0.0
54146,2020-04-13,Charlton,Georgia,13049.0,4,0.0
56838,2020-04-14,Charlton,Georgia,13049.0,4,0.0
59545,2020-04-15,Charlton,Georgia,13049.0,5,0.0
62265,2020-04-16,Charlton,Georgia,13049.0,5,0.0
64998,2020-04-17,Charlton,Georgia,13049.0,5,0.0
67746,2020-04-18,Charlton,Georgia,13049.0,5,0.0
70508,2020-04-19,Charlton,Georgia,13049.0,6,0.0
73277,2020-04-20,Charlton,Georgia,13049.0,6,0.0
76053,2020-04-21,Charlton,Georgia,13049.0,7,0.0
78837,2020-04-22,Charlton,Georgia,13049.0,7,0.0
81630,2020-04-23,Charlton,Georgia,13049.0,7,0.0
84430,2020-04-24,Charlton,Georgia,13049.0,7,0.0
87239,2020-04-25,Charlton,Georgia,13049.0,7,0.0
90055,2020-04-26,Charlton,Georgia,13049.0,7,0.0
92874,2020-04-27,Charlton,Georgia,13049.0,8,0.0
95706,2020-04-28,Charlton,Georgia,13049.0,9,0.0
98551,2020-04-29,Charlton,Georgia,13049.0,8,0.0
101401,2020-04-30,Charlton,Georgia,13049.0,8,0.0
104256,2020-05-01,Charlton,Georgia,13049.0,11,0.0
107121,2020-05-02,Charlton,Georgia,13049.0,11,0.0
109990,2020-05-03,Charlton,Georgia,13049.0,12,0.0
112865,2020-05-04,Charlton,Georgia,13049.0,12,0.0
115748,2020-05-05,Charlton,Georgia,13049.0,13,0.0
118708,2020-05-06,Charlton,Georgia,13049.0,13,0.0
121677,2020-05-07,Charlton,Georgia,13049.0,14,0.0
124656,2020-05-08,Charlton,Georgia,13049.0,17,0.0
127643,2020-05-09,Charlton,Georgia,13049.0,17,0.0
130634,2020-05-10,Charlton,Georgia,13049.0,17,0.0
133625,2020-05-11,Charlton,Georgia,13049.0,17,1.0
136614,2020-05-12,Charlton,Georgia,13049.0,17,1.0
139605,2020-05-13,Charlton,Georgia,13049.0,19,1.0
142601,2020-05-14,Charlton,Georgia,13049.0,20,1.0
145601,2020-05-15,Charlton,Georgia,13049.0,26,1.0
148604,2020-05-16,Charlton,Georgia,13049.0,26,1.0
151613,2020-05-17,Charlton,Georgia,13049.0,26,1.0
154625,2020-05-18,Charlton,Georgia,13049.0,26,1.0
157641,2020-05-19,Charlton,Georgia,13049.0,29,1.0
160667,2020-05-20,Charlton,Georgia,13049.0,28,1.0
163695,2020-05-21,Charlton,Georgia,13049.0,28,1.0
166728,2020-05-22,Charlton,Georgia,13049.0,28,1.0
169765,2020-05-23,Charlton,Georgia,13049.0,29,1.0
172806,2020-05-24,Charlton,Georgia,13049.0,29,1.0
175849,2020-05-25,Charlton,Georgia,13049.0,29,1.0
178893,2020-05-26,Charlton,Georgia,13049.0,30,1.0
181937,2020-05-27,Charlton,Georgia,13049.0,33,1.0
184991,2020-05-28,Charlton,Georgia,13049.0,33,1.0
