,date,county,state,fips,cases,deaths
5674,2020-03-20,Cheshire,New Hampshire,33005.0,1,0.0
6666,2020-03-21,Cheshire,New Hampshire,33005.0,1,0.0
7756,2020-03-22,Cheshire,New Hampshire,33005.0,1,0.0
8952,2020-03-23,Cheshire,New Hampshire,33005.0,1,0.0
10256,2020-03-24,Cheshire,New Hampshire,33005.0,1,0.0
11688,2020-03-25,Cheshire,New Hampshire,33005.0,1,0.0
13291,2020-03-26,Cheshire,New Hampshire,33005.0,2,0.0
15023,2020-03-27,Cheshire,New Hampshire,33005.0,2,0.0
16852,2020-03-28,Cheshire,New Hampshire,33005.0,2,0.0
18776,2020-03-29,Cheshire,New Hampshire,33005.0,3,0.0
20814,2020-03-30,Cheshire,New Hampshire,33005.0,3,0.0
22937,2020-03-31,Cheshire,New Hampshire,33005.0,4,0.0
25128,2020-04-01,Cheshire,New Hampshire,33005.0,7,0.0
27388,2020-04-02,Cheshire,New Hampshire,33005.0,8,0.0
29710,2020-04-03,Cheshire,New Hampshire,33005.0,9,0.0
32094,2020-04-04,Cheshire,New Hampshire,33005.0,10,0.0
34525,2020-04-05,Cheshire,New Hampshire,33005.0,11,0.0
36995,2020-04-06,Cheshire,New Hampshire,33005.0,13,0.0
39510,2020-04-07,Cheshire,New Hampshire,33005.0,13,1.0
42067,2020-04-08,Cheshire,New Hampshire,33005.0,14,1.0
44650,2020-04-09,Cheshire,New Hampshire,33005.0,14,2.0
47262,2020-04-10,Cheshire,New Hampshire,33005.0,17,2.0
49915,2020-04-11,Cheshire,New Hampshire,33005.0,18,2.0
52588,2020-04-12,Cheshire,New Hampshire,33005.0,19,2.0
55271,2020-04-13,Cheshire,New Hampshire,33005.0,20,2.0
57971,2020-04-14,Cheshire,New Hampshire,33005.0,21,2.0
60686,2020-04-15,Cheshire,New Hampshire,33005.0,26,2.0
63411,2020-04-16,Cheshire,New Hampshire,33005.0,26,2.0
66153,2020-04-17,Cheshire,New Hampshire,33005.0,27,2.0
68909,2020-04-18,Cheshire,New Hampshire,33005.0,28,2.0
71676,2020-04-19,Cheshire,New Hampshire,33005.0,29,2.0
74451,2020-04-20,Cheshire,New Hampshire,33005.0,30,2.0
77232,2020-04-21,Cheshire,New Hampshire,33005.0,30,2.0
80021,2020-04-22,Cheshire,New Hampshire,33005.0,33,2.0
82819,2020-04-23,Cheshire,New Hampshire,33005.0,35,2.0
85623,2020-04-24,Cheshire,New Hampshire,33005.0,35,2.0
88434,2020-04-25,Cheshire,New Hampshire,33005.0,36,2.0
91249,2020-04-26,Cheshire,New Hampshire,33005.0,36,2.0
94073,2020-04-27,Cheshire,New Hampshire,33005.0,38,2.0
96909,2020-04-28,Cheshire,New Hampshire,33005.0,40,2.0
99756,2020-04-29,Cheshire,New Hampshire,33005.0,40,2.0
102609,2020-04-30,Cheshire,New Hampshire,33005.0,40,2.0
105471,2020-05-01,Cheshire,New Hampshire,33005.0,40,2.0
108337,2020-05-02,Cheshire,New Hampshire,33005.0,40,2.0
111210,2020-05-03,Cheshire,New Hampshire,33005.0,40,2.0
114091,2020-05-04,Cheshire,New Hampshire,33005.0,40,2.0
116972,2020-05-05,Cheshire,New Hampshire,33005.0,41,2.0
119933,2020-05-06,Cheshire,New Hampshire,33005.0,41,2.0
122908,2020-05-07,Cheshire,New Hampshire,33005.0,41,2.0
125891,2020-05-08,Cheshire,New Hampshire,33005.0,43,2.0
128880,2020-05-09,Cheshire,New Hampshire,33005.0,43,2.0
131869,2020-05-10,Cheshire,New Hampshire,33005.0,43,2.0
134860,2020-05-11,Cheshire,New Hampshire,33005.0,43,2.0
137850,2020-05-12,Cheshire,New Hampshire,33005.0,44,2.0
140846,2020-05-13,Cheshire,New Hampshire,33005.0,45,2.0
143841,2020-05-14,Cheshire,New Hampshire,33005.0,45,2.0
146842,2020-05-15,Cheshire,New Hampshire,33005.0,47,2.0
149849,2020-05-16,Cheshire,New Hampshire,33005.0,47,2.0
