,date,county,state,fips,cases,deaths
72387,2020-04-19,Childress,Texas,48075.0,1,0.0
75162,2020-04-20,Childress,Texas,48075.0,1,0.0
77944,2020-04-21,Childress,Texas,48075.0,1,0.0
80735,2020-04-22,Childress,Texas,48075.0,1,0.0
83534,2020-04-23,Childress,Texas,48075.0,1,0.0
86339,2020-04-24,Childress,Texas,48075.0,1,0.0
89154,2020-04-25,Childress,Texas,48075.0,1,0.0
91971,2020-04-26,Childress,Texas,48075.0,1,0.0
94799,2020-04-27,Childress,Texas,48075.0,1,0.0
97639,2020-04-28,Childress,Texas,48075.0,1,0.0
100489,2020-04-29,Childress,Texas,48075.0,1,0.0
103342,2020-04-30,Childress,Texas,48075.0,1,0.0
106206,2020-05-01,Childress,Texas,48075.0,1,0.0
109074,2020-05-02,Childress,Texas,48075.0,1,0.0
111948,2020-05-03,Childress,Texas,48075.0,1,0.0
114830,2020-05-04,Childress,Texas,48075.0,1,0.0
117787,2020-05-05,Childress,Texas,48075.0,1,0.0
120751,2020-05-06,Childress,Texas,48075.0,1,0.0
123730,2020-05-07,Childress,Texas,48075.0,1,0.0
126713,2020-05-08,Childress,Texas,48075.0,1,0.0
129702,2020-05-09,Childress,Texas,48075.0,1,0.0
132692,2020-05-10,Childress,Texas,48075.0,2,0.0
135683,2020-05-11,Childress,Texas,48075.0,2,0.0
138673,2020-05-12,Childress,Texas,48075.0,2,0.0
141669,2020-05-13,Childress,Texas,48075.0,2,0.0
144666,2020-05-14,Childress,Texas,48075.0,2,0.0
147668,2020-05-15,Childress,Texas,48075.0,2,0.0
150676,2020-05-16,Childress,Texas,48075.0,2,0.0
153687,2020-05-17,Childress,Texas,48075.0,2,0.0
156704,2020-05-18,Childress,Texas,48075.0,2,0.0
159726,2020-05-19,Childress,Texas,48075.0,2,0.0
162753,2020-05-20,Childress,Texas,48075.0,2,0.0
165782,2020-05-21,Childress,Texas,48075.0,2,0.0
168818,2020-05-22,Childress,Texas,48075.0,2,0.0
171857,2020-05-23,Childress,Texas,48075.0,2,0.0
174900,2020-05-24,Childress,Texas,48075.0,2,0.0
177944,2020-05-25,Childress,Texas,48075.0,2,0.0
180987,2020-05-26,Childress,Texas,48075.0,2,0.0
184037,2020-05-27,Childress,Texas,48075.0,2,0.0
187094,2020-05-28,Childress,Texas,48075.0,2,0.0
190158,2020-05-29,Childress,Texas,48075.0,2,0.0
193223,2020-05-30,Childress,Texas,48075.0,2,0.0
196293,2020-05-31,Childress,Texas,48075.0,2,0.0
199366,2020-06-01,Childress,Texas,48075.0,2,0.0
202441,2020-06-02,Childress,Texas,48075.0,2,0.0
205520,2020-06-03,Childress,Texas,48075.0,2,0.0
208602,2020-06-04,Childress,Texas,48075.0,2,0.0
211685,2020-06-05,Childress,Texas,48075.0,2,0.0
214772,2020-06-06,Childress,Texas,48075.0,2,0.0
217862,2020-06-07,Childress,Texas,48075.0,2,0.0
220954,2020-06-08,Childress,Texas,48075.0,2,0.0
224049,2020-06-09,Childress,Texas,48075.0,4,0.0
227149,2020-06-10,Childress,Texas,48075.0,6,0.0
230253,2020-06-11,Childress,Texas,48075.0,6,0.0
233357,2020-06-12,Childress,Texas,48075.0,6,0.0
236463,2020-06-13,Childress,Texas,48075.0,6,0.0
239571,2020-06-14,Childress,Texas,48075.0,6,0.0
242681,2020-06-15,Childress,Texas,48075.0,6,0.0
245793,2020-06-16,Childress,Texas,48075.0,6,0.0
248906,2020-06-17,Childress,Texas,48075.0,6,0.0
252021,2020-06-18,Childress,Texas,48075.0,6,0.0
255136,2020-06-19,Childress,Texas,48075.0,6,0.0
258262,2020-06-20,Childress,Texas,48075.0,6,0.0
261389,2020-06-21,Childress,Texas,48075.0,6,0.0
264517,2020-06-22,Childress,Texas,48075.0,6,0.0
267645,2020-06-23,Childress,Texas,48075.0,6,0.0
270779,2020-06-24,Childress,Texas,48075.0,7,0.0
273918,2020-06-25,Childress,Texas,48075.0,7,0.0
277065,2020-06-26,Childress,Texas,48075.0,8,0.0
280213,2020-06-27,Childress,Texas,48075.0,7,0.0
283359,2020-06-28,Childress,Texas,48075.0,7,0.0
286505,2020-06-29,Childress,Texas,48075.0,7,0.0
289655,2020-06-30,Childress,Texas,48075.0,7,0.0
292808,2020-07-01,Childress,Texas,48075.0,7,0.0
295963,2020-07-02,Childress,Texas,48075.0,7,0.0
299123,2020-07-03,Childress,Texas,48075.0,7,0.0
302287,2020-07-04,Childress,Texas,48075.0,7,0.0
305451,2020-07-05,Childress,Texas,48075.0,7,0.0
308619,2020-07-06,Childress,Texas,48075.0,7,0.0
311788,2020-07-07,Childress,Texas,48075.0,7,0.0
314962,2020-07-08,Childress,Texas,48075.0,7,0.0
318135,2020-07-09,Childress,Texas,48075.0,7,0.0
321313,2020-07-10,Childress,Texas,48075.0,7,0.0
324494,2020-07-11,Childress,Texas,48075.0,7,0.0
327679,2020-07-12,Childress,Texas,48075.0,7,0.0
330865,2020-07-13,Childress,Texas,48075.0,7,0.0
334056,2020-07-14,Childress,Texas,48075.0,7,0.0
337251,2020-07-15,Childress,Texas,48075.0,7,0.0
340447,2020-07-16,Childress,Texas,48075.0,8,0.0
343646,2020-07-17,Childress,Texas,48075.0,7,0.0
346846,2020-07-18,Childress,Texas,48075.0,9,0.0
350046,2020-07-19,Childress,Texas,48075.0,9,0.0
353248,2020-07-20,Childress,Texas,48075.0,9,0.0
356451,2020-07-21,Childress,Texas,48075.0,9,0.0
359656,2020-07-22,Childress,Texas,48075.0,14,0.0
362863,2020-07-23,Childress,Texas,48075.0,14,0.0
366069,2020-07-24,Childress,Texas,48075.0,16,0.0
369278,2020-07-25,Childress,Texas,48075.0,20,0.0
372490,2020-07-26,Childress,Texas,48075.0,20,0.0
375703,2020-07-27,Childress,Texas,48075.0,20,0.0
378919,2020-07-28,Childress,Texas,48075.0,27,0.0
382136,2020-07-29,Childress,Texas,48075.0,28,0.0
385354,2020-07-30,Childress,Texas,48075.0,33,0.0
388571,2020-07-31,Childress,Texas,48075.0,33,0.0
391788,2020-08-01,Childress,Texas,48075.0,34,0.0
395004,2020-08-02,Childress,Texas,48075.0,34,0.0
