,date,county,state,fips,cases,deaths
10136,2020-03-24,Choctaw,Mississippi,28019.0,1,0.0
11556,2020-03-25,Choctaw,Mississippi,28019.0,3,0.0
12376,2020-03-26,Choctaw,Alabama,1023.0,1,0.0
13148,2020-03-26,Choctaw,Mississippi,28019.0,4,0.0
14034,2020-03-27,Choctaw,Alabama,1023.0,1,0.0
14864,2020-03-27,Choctaw,Mississippi,28019.0,4,0.0
15261,2020-03-27,Choctaw,Oklahoma,40023.0,1,0.0
15812,2020-03-28,Choctaw,Alabama,1023.0,1,0.0
16686,2020-03-28,Choctaw,Mississippi,28019.0,4,0.0
17106,2020-03-28,Choctaw,Oklahoma,40023.0,1,0.0
17695,2020-03-29,Choctaw,Alabama,1023.0,1,0.0
18607,2020-03-29,Choctaw,Mississippi,28019.0,5,0.0
19040,2020-03-29,Choctaw,Oklahoma,40023.0,1,0.0
19665,2020-03-30,Choctaw,Alabama,1023.0,2,0.0
20631,2020-03-30,Choctaw,Mississippi,28019.0,6,0.0
21088,2020-03-30,Choctaw,Oklahoma,40023.0,1,0.0
21737,2020-03-31,Choctaw,Alabama,1023.0,3,0.0
22748,2020-03-31,Choctaw,Mississippi,28019.0,6,0.0
23221,2020-03-31,Choctaw,Oklahoma,40023.0,1,0.0
23890,2020-04-01,Choctaw,Alabama,1023.0,4,0.0
24931,2020-04-01,Choctaw,Mississippi,28019.0,7,0.0
25417,2020-04-01,Choctaw,Oklahoma,40023.0,1,0.0
26111,2020-04-02,Choctaw,Alabama,1023.0,4,0.0
27185,2020-04-02,Choctaw,Mississippi,28019.0,7,0.0
27687,2020-04-02,Choctaw,Oklahoma,40023.0,1,0.0
28407,2020-04-03,Choctaw,Alabama,1023.0,4,0.0
29504,2020-04-03,Choctaw,Mississippi,28019.0,7,0.0
30016,2020-04-03,Choctaw,Oklahoma,40023.0,1,0.0
30764,2020-04-04,Choctaw,Alabama,1023.0,4,0.0
31884,2020-04-04,Choctaw,Mississippi,28019.0,8,0.0
32405,2020-04-04,Choctaw,Oklahoma,40023.0,2,0.0
33168,2020-04-05,Choctaw,Alabama,1023.0,5,0.0
34311,2020-04-05,Choctaw,Mississippi,28019.0,8,1.0
34839,2020-04-05,Choctaw,Oklahoma,40023.0,2,0.0
35607,2020-04-06,Choctaw,Alabama,1023.0,6,0.0
36773,2020-04-06,Choctaw,Mississippi,28019.0,8,1.0
37312,2020-04-06,Choctaw,Oklahoma,40023.0,2,0.0
