,date,county,state,fips,cases,deaths
55260,2020-04-13,Churchill,Nevada,32001.0,1,0.0
57959,2020-04-14,Churchill,Nevada,32001.0,1,0.0
60674,2020-04-15,Churchill,Nevada,32001.0,1,0.0
63399,2020-04-16,Churchill,Nevada,32001.0,1,0.0
66141,2020-04-17,Churchill,Nevada,32001.0,3,0.0
68896,2020-04-18,Churchill,Nevada,32001.0,3,0.0
71664,2020-04-19,Churchill,Nevada,32001.0,3,0.0
74438,2020-04-20,Churchill,Nevada,32001.0,3,1.0
77218,2020-04-21,Churchill,Nevada,32001.0,3,1.0
80007,2020-04-22,Churchill,Nevada,32001.0,3,1.0
82805,2020-04-23,Churchill,Nevada,32001.0,3,1.0
85609,2020-04-24,Churchill,Nevada,32001.0,3,1.0
88420,2020-04-25,Churchill,Nevada,32001.0,3,1.0
91236,2020-04-26,Churchill,Nevada,32001.0,3,1.0
94059,2020-04-27,Churchill,Nevada,32001.0,3,1.0
96895,2020-04-28,Churchill,Nevada,32001.0,3,1.0
99742,2020-04-29,Churchill,Nevada,32001.0,3,1.0
102595,2020-04-30,Churchill,Nevada,32001.0,3,1.0
105457,2020-05-01,Churchill,Nevada,32001.0,3,1.0
108323,2020-05-02,Churchill,Nevada,32001.0,3,1.0
111196,2020-05-03,Churchill,Nevada,32001.0,3,1.0
114077,2020-05-04,Churchill,Nevada,32001.0,3,1.0
116958,2020-05-05,Churchill,Nevada,32001.0,5,1.0
119919,2020-05-06,Churchill,Nevada,32001.0,5,1.0
122894,2020-05-07,Churchill,Nevada,32001.0,5,1.0
125876,2020-05-08,Churchill,Nevada,32001.0,5,1.0
128865,2020-05-09,Churchill,Nevada,32001.0,5,1.0
131855,2020-05-10,Churchill,Nevada,32001.0,5,1.0
134845,2020-05-11,Churchill,Nevada,32001.0,5,1.0
137835,2020-05-12,Churchill,Nevada,32001.0,6,1.0
140831,2020-05-13,Churchill,Nevada,32001.0,6,1.0
143826,2020-05-14,Churchill,Nevada,32001.0,6,1.0
146827,2020-05-15,Churchill,Nevada,32001.0,6,1.0
149834,2020-05-16,Churchill,Nevada,32001.0,6,1.0
152845,2020-05-17,Churchill,Nevada,32001.0,6,1.0
155859,2020-05-18,Churchill,Nevada,32001.0,7,1.0
158877,2020-05-19,Churchill,Nevada,32001.0,7,1.0
161903,2020-05-20,Churchill,Nevada,32001.0,7,1.0
164932,2020-05-21,Churchill,Nevada,32001.0,7,1.0
167968,2020-05-22,Churchill,Nevada,32001.0,7,1.0
171007,2020-05-23,Churchill,Nevada,32001.0,7,1.0
174050,2020-05-24,Churchill,Nevada,32001.0,12,1.0
177093,2020-05-25,Churchill,Nevada,32001.0,12,1.0
180137,2020-05-26,Churchill,Nevada,32001.0,7,1.0
183185,2020-05-27,Churchill,Nevada,32001.0,7,1.0
