date,county,state,fips,cases,deaths
2020-03-15,Clarke,Georgia,13059.0,2,0.0
2020-03-16,Clarke,Georgia,13059.0,3,0.0
2020-03-17,Clarke,Georgia,13059.0,3,0.0
2020-03-18,Clarke,Georgia,13059.0,4,0.0
2020-03-19,Clarke,Georgia,13059.0,7,0.0
2020-03-20,Clarke,Georgia,13059.0,9,0.0
2020-03-21,Clarke,Georgia,13059.0,9,0.0
2020-03-22,Clarke,Georgia,13059.0,10,0.0
2020-03-23,Clarke,Georgia,13059.0,14,0.0
2020-03-24,Clarke,Georgia,13059.0,17,0.0
2020-03-25,Clarke,Georgia,13059.0,21,0.0
2020-03-26,Clarke,Georgia,13059.0,29,0.0
2020-03-27,Clarke,Georgia,13059.0,34,2.0
2020-03-28,Clarke,Georgia,13059.0,35,2.0
2020-03-28,Clarke,Mississippi,28023.0,1,0.0
2020-03-29,Clarke,Georgia,13059.0,35,2.0
2020-03-29,Clarke,Mississippi,28023.0,1,0.0
2020-03-30,Clarke,Georgia,13059.0,47,5.0
2020-03-30,Clarke,Mississippi,28023.0,1,0.0
2020-03-31,Clarke,Georgia,13059.0,51,5.0
2020-03-31,Clarke,Mississippi,28023.0,4,0.0
2020-03-31,Clarke,Virginia,51043.0,1,0.0
2020-04-01,Clarke,Alabama,1025.0,2,0.0
2020-04-01,Clarke,Georgia,13059.0,54,7.0
2020-04-01,Clarke,Mississippi,28023.0,5,0.0
2020-04-01,Clarke,Virginia,51043.0,1,0.0
2020-04-02,Clarke,Alabama,1025.0,2,0.0
2020-04-02,Clarke,Georgia,13059.0,55,7.0
2020-04-02,Clarke,Mississippi,28023.0,4,0.0
2020-04-02,Clarke,Virginia,51043.0,1,0.0
2020-04-03,Clarke,Alabama,1025.0,3,0.0
2020-04-03,Clarke,Georgia,13059.0,59,8.0
2020-04-03,Clarke,Mississippi,28023.0,4,0.0
2020-04-03,Clarke,Virginia,51043.0,2,0.0
2020-04-04,Clarke,Alabama,1025.0,7,0.0
2020-04-04,Clarke,Georgia,13059.0,62,8.0
2020-04-04,Clarke,Mississippi,28023.0,5,0.0
2020-04-04,Clarke,Virginia,51043.0,2,0.0
2020-04-05,Clarke,Alabama,1025.0,9,0.0
2020-04-05,Clarke,Georgia,13059.0,62,8.0
2020-04-05,Clarke,Iowa,19039.0,1,0.0
2020-04-05,Clarke,Mississippi,28023.0,5,0.0
2020-04-05,Clarke,Virginia,51043.0,2,0.0
2020-04-06,Clarke,Alabama,1025.0,9,0.0
2020-04-06,Clarke,Georgia,13059.0,72,8.0
2020-04-06,Clarke,Iowa,19039.0,1,0.0
2020-04-06,Clarke,Mississippi,28023.0,8,0.0
2020-04-06,Clarke,Virginia,51043.0,2,0.0
2020-04-07,Clarke,Alabama,1025.0,10,0.0
2020-04-07,Clarke,Georgia,13059.0,78,9.0
2020-04-07,Clarke,Iowa,19039.0,1,0.0
2020-04-07,Clarke,Mississippi,28023.0,10,0.0
2020-04-07,Clarke,Virginia,51043.0,2,0.0
2020-04-08,Clarke,Alabama,1025.0,10,0.0
2020-04-08,Clarke,Georgia,13059.0,81,9.0
2020-04-08,Clarke,Iowa,19039.0,1,0.0
