date,county,state,fips,cases,deaths
2020-03-24,Clatsop,Oregon,41007.0,1,0.0
2020-03-25,Clatsop,Oregon,41007.0,1,0.0
2020-03-26,Clatsop,Oregon,41007.0,2,0.0
2020-03-27,Clatsop,Oregon,41007.0,2,0.0
2020-03-28,Clatsop,Oregon,41007.0,3,0.0
2020-03-29,Clatsop,Oregon,41007.0,3,0.0
2020-03-30,Clatsop,Oregon,41007.0,3,0.0
2020-03-31,Clatsop,Oregon,41007.0,3,0.0
2020-04-01,Clatsop,Oregon,41007.0,3,0.0
2020-04-02,Clatsop,Oregon,41007.0,3,0.0
2020-04-03,Clatsop,Oregon,41007.0,4,0.0
2020-04-04,Clatsop,Oregon,41007.0,4,0.0
2020-04-05,Clatsop,Oregon,41007.0,4,0.0
2020-04-06,Clatsop,Oregon,41007.0,4,0.0
2020-04-07,Clatsop,Oregon,41007.0,5,0.0
2020-04-08,Clatsop,Oregon,41007.0,5,0.0
2020-04-09,Clatsop,Oregon,41007.0,5,0.0
2020-04-10,Clatsop,Oregon,41007.0,6,0.0
2020-04-11,Clatsop,Oregon,41007.0,6,0.0
2020-04-12,Clatsop,Oregon,41007.0,6,0.0
2020-04-13,Clatsop,Oregon,41007.0,6,0.0
2020-04-14,Clatsop,Oregon,41007.0,6,0.0
2020-04-15,Clatsop,Oregon,41007.0,6,0.0
2020-04-16,Clatsop,Oregon,41007.0,6,0.0
2020-04-17,Clatsop,Oregon,41007.0,6,0.0
2020-04-18,Clatsop,Oregon,41007.0,6,0.0
2020-04-19,Clatsop,Oregon,41007.0,6,0.0
2020-04-20,Clatsop,Oregon,41007.0,6,0.0
2020-04-21,Clatsop,Oregon,41007.0,6,0.0
2020-04-22,Clatsop,Oregon,41007.0,6,0.0
2020-04-23,Clatsop,Oregon,41007.0,6,0.0
2020-04-24,Clatsop,Oregon,41007.0,6,0.0
2020-04-25,Clatsop,Oregon,41007.0,6,0.0
2020-04-26,Clatsop,Oregon,41007.0,6,0.0
2020-04-27,Clatsop,Oregon,41007.0,6,0.0
2020-04-28,Clatsop,Oregon,41007.0,6,0.0
2020-04-29,Clatsop,Oregon,41007.0,6,0.0
2020-04-30,Clatsop,Oregon,41007.0,6,0.0
2020-05-01,Clatsop,Oregon,41007.0,7,0.0
2020-05-02,Clatsop,Oregon,41007.0,7,0.0
2020-05-03,Clatsop,Oregon,41007.0,7,0.0
2020-05-04,Clatsop,Oregon,41007.0,8,0.0
2020-05-05,Clatsop,Oregon,41007.0,17,0.0
2020-05-06,Clatsop,Oregon,41007.0,17,0.0
2020-05-07,Clatsop,Oregon,41007.0,18,0.0
2020-05-08,Clatsop,Oregon,41007.0,27,0.0
2020-05-09,Clatsop,Oregon,41007.0,28,0.0
2020-05-10,Clatsop,Oregon,41007.0,29,0.0
2020-05-11,Clatsop,Oregon,41007.0,33,0.0
2020-05-12,Clatsop,Oregon,41007.0,34,0.0
2020-05-13,Clatsop,Oregon,41007.0,37,0.0
2020-05-14,Clatsop,Oregon,41007.0,36,0.0
2020-05-15,Clatsop,Oregon,41007.0,36,0.0
2020-05-16,Clatsop,Oregon,41007.0,37,0.0
2020-05-17,Clatsop,Oregon,41007.0,37,0.0
2020-05-18,Clatsop,Oregon,41007.0,38,0.0
2020-05-19,Clatsop,Oregon,41007.0,38,0.0
2020-05-20,Clatsop,Oregon,41007.0,42,0.0
2020-05-21,Clatsop,Oregon,41007.0,42,0.0
2020-05-22,Clatsop,Oregon,41007.0,44,0.0
2020-05-23,Clatsop,Oregon,41007.0,45,0.0
2020-05-24,Clatsop,Oregon,41007.0,45,0.0
2020-05-25,Clatsop,Oregon,41007.0,45,0.0
2020-05-26,Clatsop,Oregon,41007.0,45,0.0
2020-05-27,Clatsop,Oregon,41007.0,45,0.0
2020-05-28,Clatsop,Oregon,41007.0,45,0.0
2020-05-29,Clatsop,Oregon,41007.0,45,0.0
2020-05-30,Clatsop,Oregon,41007.0,45,0.0
2020-05-31,Clatsop,Oregon,41007.0,45,0.0
2020-06-01,Clatsop,Oregon,41007.0,45,0.0
2020-06-02,Clatsop,Oregon,41007.0,45,0.0
2020-06-03,Clatsop,Oregon,41007.0,45,0.0
2020-06-04,Clatsop,Oregon,41007.0,45,0.0
2020-06-05,Clatsop,Oregon,41007.0,45,0.0
2020-06-06,Clatsop,Oregon,41007.0,45,0.0
2020-06-07,Clatsop,Oregon,41007.0,45,0.0
2020-06-08,Clatsop,Oregon,41007.0,45,0.0
2020-06-09,Clatsop,Oregon,41007.0,45,0.0
2020-06-10,Clatsop,Oregon,41007.0,45,0.0
2020-06-11,Clatsop,Oregon,41007.0,46,0.0
2020-06-12,Clatsop,Oregon,41007.0,46,0.0
2020-06-13,Clatsop,Oregon,41007.0,46,0.0
2020-06-14,Clatsop,Oregon,41007.0,46,0.0
2020-06-15,Clatsop,Oregon,41007.0,46,0.0
2020-06-16,Clatsop,Oregon,41007.0,46,0.0
2020-06-17,Clatsop,Oregon,41007.0,46,0.0
2020-06-18,Clatsop,Oregon,41007.0,46,0.0
2020-06-19,Clatsop,Oregon,41007.0,46,0.0
2020-06-20,Clatsop,Oregon,41007.0,46,0.0
2020-06-21,Clatsop,Oregon,41007.0,46,0.0
2020-06-22,Clatsop,Oregon,41007.0,46,0.0
2020-06-23,Clatsop,Oregon,41007.0,46,0.0
2020-06-24,Clatsop,Oregon,41007.0,47,0.0
2020-06-25,Clatsop,Oregon,41007.0,48,0.0
2020-06-26,Clatsop,Oregon,41007.0,48,0.0
2020-06-27,Clatsop,Oregon,41007.0,48,0.0
2020-06-28,Clatsop,Oregon,41007.0,49,0.0
2020-06-29,Clatsop,Oregon,41007.0,49,0.0
2020-06-30,Clatsop,Oregon,41007.0,49,0.0
2020-07-01,Clatsop,Oregon,41007.0,49,0.0
2020-07-02,Clatsop,Oregon,41007.0,49,0.0
2020-07-03,Clatsop,Oregon,41007.0,49,0.0
2020-07-04,Clatsop,Oregon,41007.0,51,0.0
2020-07-05,Clatsop,Oregon,41007.0,51,0.0
2020-07-06,Clatsop,Oregon,41007.0,54,0.0
2020-07-07,Clatsop,Oregon,41007.0,54,0.0
2020-07-08,Clatsop,Oregon,41007.0,55,0.0
2020-07-09,Clatsop,Oregon,41007.0,55,0.0
2020-07-10,Clatsop,Oregon,41007.0,55,0.0
2020-07-11,Clatsop,Oregon,41007.0,55,0.0
2020-07-12,Clatsop,Oregon,41007.0,55,0.0
2020-07-13,Clatsop,Oregon,41007.0,55,0.0
2020-07-14,Clatsop,Oregon,41007.0,56,0.0
2020-07-15,Clatsop,Oregon,41007.0,56,0.0
2020-07-16,Clatsop,Oregon,41007.0,58,0.0
2020-07-17,Clatsop,Oregon,41007.0,59,0.0
2020-07-18,Clatsop,Oregon,41007.0,62,0.0
2020-07-19,Clatsop,Oregon,41007.0,62,0.0
