,date,county,state,fips,cases,deaths
1658,2020-03-13,Clear Creek,Colorado,8019.0,1,0.0
1977,2020-03-14,Clear Creek,Colorado,8019.0,1,0.0
2358,2020-03-15,Clear Creek,Colorado,8019.0,1,0.0
2793,2020-03-16,Clear Creek,Colorado,8019.0,1,0.0
3275,2020-03-17,Clear Creek,Colorado,8019.0,2,0.0
3829,2020-03-18,Clear Creek,Colorado,8019.0,2,0.0
4489,2020-03-19,Clear Creek,Colorado,8019.0,2,0.0
5265,2020-03-20,Clear Creek,Colorado,8019.0,2,0.0
6189,2020-03-21,Clear Creek,Colorado,8019.0,3,0.0
7224,2020-03-22,Clear Creek,Colorado,8019.0,3,0.0
8367,2020-03-23,Clear Creek,Colorado,8019.0,3,0.0
9609,2020-03-24,Clear Creek,Colorado,8019.0,3,0.0
10982,2020-03-25,Clear Creek,Colorado,8019.0,3,0.0
12527,2020-03-26,Clear Creek,Colorado,8019.0,3,0.0
14194,2020-03-27,Clear Creek,Colorado,8019.0,3,0.0
15977,2020-03-28,Clear Creek,Colorado,8019.0,3,0.0
17867,2020-03-29,Clear Creek,Colorado,8019.0,3,0.0
19845,2020-03-30,Clear Creek,Colorado,8019.0,3,0.0
21920,2020-03-31,Clear Creek,Colorado,8019.0,4,0.0
24079,2020-04-01,Clear Creek,Colorado,8019.0,6,0.0
26308,2020-04-02,Clear Creek,Colorado,8019.0,6,0.0
28608,2020-04-03,Clear Creek,Colorado,8019.0,6,0.0
30965,2020-04-04,Clear Creek,Colorado,8019.0,6,0.0
33371,2020-04-05,Clear Creek,Colorado,8019.0,6,0.0
35816,2020-04-06,Clear Creek,Colorado,8019.0,6,0.0
38306,2020-04-07,Clear Creek,Colorado,8019.0,7,0.0
40849,2020-04-08,Clear Creek,Colorado,8019.0,7,0.0
43421,2020-04-09,Clear Creek,Colorado,8019.0,10,0.0
46021,2020-04-10,Clear Creek,Colorado,8019.0,11,0.0
48651,2020-04-11,Clear Creek,Colorado,8019.0,11,0.0
51313,2020-04-12,Clear Creek,Colorado,8019.0,11,0.0
53992,2020-04-13,Clear Creek,Colorado,8019.0,11,0.0
56684,2020-04-14,Clear Creek,Colorado,8019.0,11,0.0
59392,2020-04-15,Clear Creek,Colorado,8019.0,11,0.0
62111,2020-04-16,Clear Creek,Colorado,8019.0,11,0.0
64844,2020-04-17,Clear Creek,Colorado,8019.0,11,0.0
67592,2020-04-18,Clear Creek,Colorado,8019.0,11,0.0
70354,2020-04-19,Clear Creek,Colorado,8019.0,11,0.0
73123,2020-04-20,Clear Creek,Colorado,8019.0,11,0.0
75899,2020-04-21,Clear Creek,Colorado,8019.0,11,1.0
78683,2020-04-22,Clear Creek,Colorado,8019.0,11,1.0
81477,2020-04-23,Clear Creek,Colorado,8019.0,12,1.0
84277,2020-04-24,Clear Creek,Colorado,8019.0,13,1.0
87085,2020-04-25,Clear Creek,Colorado,8019.0,13,1.0
89902,2020-04-26,Clear Creek,Colorado,8019.0,13,1.0
92720,2020-04-27,Clear Creek,Colorado,8019.0,13,1.0
95552,2020-04-28,Clear Creek,Colorado,8019.0,13,1.0
98397,2020-04-29,Clear Creek,Colorado,8019.0,13,1.0
101247,2020-04-30,Clear Creek,Colorado,8019.0,13,1.0
104102,2020-05-01,Clear Creek,Colorado,8019.0,13,1.0
106967,2020-05-02,Clear Creek,Colorado,8019.0,13,1.0
