date,county,state,fips,cases,deaths
2020-03-15,Clinton,Illinois,17027.0,1,0.0
2020-03-16,Clinton,Illinois,17027.0,1,0.0
2020-03-17,Clinton,Illinois,17027.0,2,0.0
2020-03-17,Clinton,New York,36019.0,1,0.0
2020-03-18,Clinton,Illinois,17027.0,3,0.0
2020-03-18,Clinton,New York,36019.0,1,0.0
2020-03-19,Clinton,Illinois,17027.0,3,0.0
2020-03-19,Clinton,Michigan,26037.0,1,0.0
2020-03-19,Clinton,New York,36019.0,1,0.0
2020-03-20,Clinton,Illinois,17027.0,3,0.0
2020-03-20,Clinton,Michigan,26037.0,1,0.0
2020-03-20,Clinton,New York,36019.0,2,0.0
2020-03-21,Clinton,Illinois,17027.0,3,0.0
2020-03-21,Clinton,Michigan,26037.0,2,0.0
2020-03-21,Clinton,New York,36019.0,4,0.0
2020-03-22,Clinton,Illinois,17027.0,3,0.0
2020-03-22,Clinton,Michigan,26037.0,2,0.0
2020-03-22,Clinton,New York,36019.0,4,0.0
2020-03-22,Clinton,Ohio,39027.0,1,0.0
2020-03-23,Clinton,Illinois,17027.0,3,0.0
2020-03-23,Clinton,Michigan,26037.0,2,0.0
2020-03-23,Clinton,Missouri,29049.0,1,0.0
2020-03-23,Clinton,New York,36019.0,6,0.0
2020-03-23,Clinton,Ohio,39027.0,1,0.0
2020-03-24,Clinton,Illinois,17027.0,3,0.0
2020-03-24,Clinton,Michigan,26037.0,5,0.0
2020-03-24,Clinton,Missouri,29049.0,1,0.0
2020-03-24,Clinton,New York,36019.0,8,0.0
2020-03-24,Clinton,Ohio,39027.0,1,0.0
2020-03-25,Clinton,Illinois,17027.0,4,0.0
2020-03-25,Clinton,Michigan,26037.0,6,0.0
2020-03-25,Clinton,Missouri,29049.0,1,0.0
2020-03-25,Clinton,New York,36019.0,10,0.0
2020-03-25,Clinton,Ohio,39027.0,2,0.0
2020-03-26,Clinton,Illinois,17027.0,5,0.0
2020-03-26,Clinton,Michigan,26037.0,7,0.0
2020-03-26,Clinton,Missouri,29049.0,1,0.0
2020-03-26,Clinton,New York,36019.0,11,0.0
2020-03-26,Clinton,Ohio,39027.0,2,0.0
2020-03-27,Clinton,Illinois,17027.0,5,0.0
2020-03-27,Clinton,Indiana,18023.0,1,0.0
2020-03-27,Clinton,Iowa,19045.0,1,0.0
2020-03-27,Clinton,Michigan,26037.0,8,0.0
2020-03-27,Clinton,Missouri,29049.0,1,0.0
2020-03-27,Clinton,New York,36019.0,11,0.0
2020-03-27,Clinton,Ohio,39027.0,2,0.0
2020-03-28,Clinton,Illinois,17027.0,5,0.0
2020-03-28,Clinton,Indiana,18023.0,1,0.0
2020-03-28,Clinton,Iowa,19045.0,1,0.0
2020-03-28,Clinton,Michigan,26037.0,13,0.0
2020-03-28,Clinton,Missouri,29049.0,1,0.0
2020-03-28,Clinton,New York,36019.0,12,0.0
2020-03-28,Clinton,Ohio,39027.0,3,0.0
2020-03-29,Clinton,Illinois,17027.0,6,0.0
2020-03-29,Clinton,Indiana,18023.0,1,0.0
2020-03-29,Clinton,Iowa,19045.0,1,0.0
2020-03-29,Clinton,Michigan,26037.0,14,0.0
2020-03-29,Clinton,Missouri,29049.0,1,0.0
2020-03-29,Clinton,New York,36019.0,13,0.0
2020-03-29,Clinton,Ohio,39027.0,3,0.0
2020-03-30,Clinton,Illinois,17027.0,6,0.0
2020-03-30,Clinton,Indiana,18023.0,1,0.0
2020-03-30,Clinton,Iowa,19045.0,2,0.0
2020-03-30,Clinton,Michigan,26037.0,19,0.0
2020-03-30,Clinton,Missouri,29049.0,4,0.0
2020-03-30,Clinton,New York,36019.0,17,0.0
2020-03-30,Clinton,Ohio,39027.0,3,0.0
2020-03-31,Clinton,Illinois,17027.0,7,0.0
2020-03-31,Clinton,Indiana,18023.0,1,0.0
2020-03-31,Clinton,Iowa,19045.0,5,0.0
2020-03-31,Clinton,Michigan,26037.0,24,0.0
2020-03-31,Clinton,Missouri,29049.0,4,0.0
2020-03-31,Clinton,New York,36019.0,21,0.0
2020-03-31,Clinton,Ohio,39027.0,3,0.0
2020-04-01,Clinton,Illinois,17027.0,8,0.0
2020-04-01,Clinton,Indiana,18023.0,1,0.0
2020-04-01,Clinton,Iowa,19045.0,6,0.0
2020-04-01,Clinton,Michigan,26037.0,33,0.0
2020-04-01,Clinton,Missouri,29049.0,5,0.0
2020-04-01,Clinton,New York,36019.0,25,0.0
2020-04-01,Clinton,Ohio,39027.0,4,0.0
2020-04-02,Clinton,Illinois,17027.0,8,0.0
2020-04-02,Clinton,Indiana,18023.0,1,0.0
2020-04-02,Clinton,Iowa,19045.0,9,0.0
2020-04-02,Clinton,Michigan,26037.0,43,1.0
2020-04-02,Clinton,Missouri,29049.0,6,0.0
2020-04-02,Clinton,New York,36019.0,25,0.0
2020-04-02,Clinton,Ohio,39027.0,5,0.0
2020-04-03,Clinton,Illinois,17027.0,8,0.0
2020-04-03,Clinton,Indiana,18023.0,3,0.0
2020-04-03,Clinton,Iowa,19045.0,15,0.0
2020-04-03,Clinton,Michigan,26037.0,49,1.0
2020-04-03,Clinton,Missouri,29049.0,8,0.0
2020-04-03,Clinton,New York,36019.0,25,0.0
2020-04-03,Clinton,Ohio,39027.0,7,0.0
2020-04-03,Clinton,Pennsylvania,42035.0,1,0.0
2020-04-04,Clinton,Illinois,17027.0,10,0.0
2020-04-04,Clinton,Indiana,18023.0,3,0.0
2020-04-04,Clinton,Iowa,19045.0,15,0.0
2020-04-04,Clinton,Kentucky,21053.0,1,0.0
2020-04-04,Clinton,Michigan,26037.0,54,1.0
2020-04-04,Clinton,Missouri,29049.0,7,0.0
2020-04-04,Clinton,New York,36019.0,31,0.0
2020-04-04,Clinton,Ohio,39027.0,7,0.0
2020-04-04,Clinton,Pennsylvania,42035.0,1,0.0
2020-04-05,Clinton,Illinois,17027.0,10,0.0
2020-04-05,Clinton,Indiana,18023.0,4,0.0
2020-04-05,Clinton,Iowa,19045.0,16,0.0
2020-04-05,Clinton,Kentucky,21053.0,1,0.0
2020-04-05,Clinton,Michigan,26037.0,55,1.0
2020-04-05,Clinton,Missouri,29049.0,7,0.0
2020-04-05,Clinton,New York,36019.0,33,0.0
2020-04-05,Clinton,Ohio,39027.0,8,0.0
2020-04-05,Clinton,Pennsylvania,42035.0,1,0.0
2020-04-06,Clinton,Illinois,17027.0,11,0.0
2020-04-06,Clinton,Indiana,18023.0,4,0.0
2020-04-06,Clinton,Iowa,19045.0,17,0.0
2020-04-06,Clinton,Kentucky,21053.0,1,0.0
2020-04-06,Clinton,Michigan,26037.0,56,1.0
2020-04-06,Clinton,Missouri,29049.0,8,0.0
2020-04-06,Clinton,New York,36019.0,36,0.0
