,date,county,state,fips,cases,deaths
691,2020-03-07,Cobb,Georgia,13067.0,1,0.0
788,2020-03-08,Cobb,Georgia,13067.0,3,0.0
905,2020-03-09,Cobb,Georgia,13067.0,4,0.0
1046,2020-03-10,Cobb,Georgia,13067.0,7,0.0
1218,2020-03-11,Cobb,Georgia,13067.0,8,0.0
1432,2020-03-12,Cobb,Georgia,13067.0,8,1.0
1700,2020-03-13,Cobb,Georgia,13067.0,8,1.0
2022,2020-03-14,Cobb,Georgia,13067.0,15,1.0
2408,2020-03-15,Cobb,Georgia,13067.0,19,1.0
2845,2020-03-16,Cobb,Georgia,13067.0,22,1.0
3330,2020-03-17,Cobb,Georgia,13067.0,25,1.0
3890,2020-03-18,Cobb,Georgia,13067.0,29,1.0
4560,2020-03-19,Cobb,Georgia,13067.0,38,1.0
5342,2020-03-20,Cobb,Georgia,13067.0,51,2.0
6275,2020-03-21,Cobb,Georgia,13067.0,56,5.0
7320,2020-03-22,Cobb,Georgia,13067.0,67,5.0
8468,2020-03-23,Cobb,Georgia,13067.0,79,5.0
9717,2020-03-24,Cobb,Georgia,13067.0,90,5.0
11092,2020-03-25,Cobb,Georgia,13067.0,109,5.0
12641,2020-03-26,Cobb,Georgia,13067.0,119,5.0
14313,2020-03-27,Cobb,Georgia,13067.0,163,5.0
16099,2020-03-28,Cobb,Georgia,13067.0,185,9.0
17996,2020-03-29,Cobb,Georgia,13067.0,228,9.0
19982,2020-03-30,Cobb,Georgia,13067.0,250,11.0
22061,2020-03-31,Cobb,Georgia,13067.0,287,13.0
24224,2020-04-01,Cobb,Georgia,13067.0,304,15.0
26455,2020-04-02,Cobb,Georgia,13067.0,341,17.0
28758,2020-04-03,Cobb,Georgia,13067.0,422,20.0
31118,2020-04-04,Cobb,Georgia,13067.0,453,23.0
33524,2020-04-05,Cobb,Georgia,13067.0,474,24.0
35972,2020-04-06,Cobb,Georgia,13067.0,517,26.0
38464,2020-04-07,Cobb,Georgia,13067.0,566,29.0
41008,2020-04-08,Cobb,Georgia,13067.0,608,29.0
43582,2020-04-09,Cobb,Georgia,13067.0,653,32.0
46184,2020-04-10,Cobb,Georgia,13067.0,681,33.0
48814,2020-04-11,Cobb,Georgia,13067.0,705,32.0
51475,2020-04-12,Cobb,Georgia,13067.0,728,35.0
54155,2020-04-13,Cobb,Georgia,13067.0,816,36.0
56847,2020-04-14,Cobb,Georgia,13067.0,895,41.0
59554,2020-04-15,Cobb,Georgia,13067.0,950,44.0
62274,2020-04-16,Cobb,Georgia,13067.0,1014,49.0
65007,2020-04-17,Cobb,Georgia,13067.0,1085,51.0
67755,2020-04-18,Cobb,Georgia,13067.0,1104,51.0
70517,2020-04-19,Cobb,Georgia,13067.0,1148,54.0
73286,2020-04-20,Cobb,Georgia,13067.0,1196,56.0
76062,2020-04-21,Cobb,Georgia,13067.0,1230,60.0
78846,2020-04-22,Cobb,Georgia,13067.0,1272,63.0
81639,2020-04-23,Cobb,Georgia,13067.0,1326,66.0
84439,2020-04-24,Cobb,Georgia,13067.0,1368,72.0
87248,2020-04-25,Cobb,Georgia,13067.0,1395,74.0
90064,2020-04-26,Cobb,Georgia,13067.0,1428,75.0
92883,2020-04-27,Cobb,Georgia,13067.0,1483,81.0
95715,2020-04-28,Cobb,Georgia,13067.0,1539,81.0
98560,2020-04-29,Cobb,Georgia,13067.0,1581,88.0
101410,2020-04-30,Cobb,Georgia,13067.0,1621,94.0
104265,2020-05-01,Cobb,Georgia,13067.0,1679,96.0
107130,2020-05-02,Cobb,Georgia,13067.0,1749,96.0
109999,2020-05-03,Cobb,Georgia,13067.0,1768,97.0
112874,2020-05-04,Cobb,Georgia,13067.0,1839,101.0
115757,2020-05-05,Cobb,Georgia,13067.0,1887,102.0
118717,2020-05-06,Cobb,Georgia,13067.0,1998,107.0
121686,2020-05-07,Cobb,Georgia,13067.0,2024,108.0
124665,2020-05-08,Cobb,Georgia,13067.0,2072,114.0
127652,2020-05-09,Cobb,Georgia,13067.0,2128,116.0
130643,2020-05-10,Cobb,Georgia,13067.0,2175,117.0
133634,2020-05-11,Cobb,Georgia,13067.0,2186,118.0
136623,2020-05-12,Cobb,Georgia,13067.0,2253,124.0
139614,2020-05-13,Cobb,Georgia,13067.0,2280,127.0
142610,2020-05-14,Cobb,Georgia,13067.0,2363,129.0
145610,2020-05-15,Cobb,Georgia,13067.0,2395,132.0
148613,2020-05-16,Cobb,Georgia,13067.0,2407,132.0
151622,2020-05-17,Cobb,Georgia,13067.0,2406,132.0
154634,2020-05-18,Cobb,Georgia,13067.0,2429,133.0
157650,2020-05-19,Cobb,Georgia,13067.0,2503,135.0
160676,2020-05-20,Cobb,Georgia,13067.0,2584,135.0
163704,2020-05-21,Cobb,Georgia,13067.0,2625,138.0
166737,2020-05-22,Cobb,Georgia,13067.0,2655,141.0
169774,2020-05-23,Cobb,Georgia,13067.0,2661,141.0
172815,2020-05-24,Cobb,Georgia,13067.0,2702,142.0
175858,2020-05-25,Cobb,Georgia,13067.0,2795,146.0
178902,2020-05-26,Cobb,Georgia,13067.0,2854,150.0
181946,2020-05-27,Cobb,Georgia,13067.0,2907,157.0
185000,2020-05-28,Cobb,Georgia,13067.0,2948,168.0
188056,2020-05-29,Cobb,Georgia,13067.0,2987,170.0
191121,2020-05-30,Cobb,Georgia,13067.0,3009,171.0
194188,2020-05-31,Cobb,Georgia,13067.0,3027,175.0
197258,2020-06-01,Cobb,Georgia,13067.0,3052,183.0
200331,2020-06-02,Cobb,Georgia,13067.0,3056,183.0
203407,2020-06-03,Cobb,Georgia,13067.0,3097,186.0
206487,2020-06-04,Cobb,Georgia,13067.0,3165,190.0
209568,2020-06-05,Cobb,Georgia,13067.0,3223,194.0
212653,2020-06-06,Cobb,Georgia,13067.0,3242,193.0
215740,2020-06-07,Cobb,Georgia,13067.0,3249,193.0
218831,2020-06-08,Cobb,Georgia,13067.0,3298,196.0
221926,2020-06-09,Cobb,Georgia,13067.0,3337,203.0
225021,2020-06-10,Cobb,Georgia,13067.0,3370,210.0
228123,2020-06-11,Cobb,Georgia,13067.0,3471,214.0
231226,2020-06-12,Cobb,Georgia,13067.0,3522,215.0
234332,2020-06-13,Cobb,Georgia,13067.0,3557,215.0
237439,2020-06-14,Cobb,Georgia,13067.0,3581,216.0
240547,2020-06-15,Cobb,Georgia,13067.0,3618,217.0
243658,2020-06-16,Cobb,Georgia,13067.0,3679,218.0
246771,2020-06-17,Cobb,Georgia,13067.0,3712,222.0
249883,2020-06-18,Cobb,Georgia,13067.0,3751,224.0
252998,2020-06-19,Cobb,Georgia,13067.0,3807,229.0
256117,2020-06-20,Cobb,Georgia,13067.0,3841,229.0
259244,2020-06-21,Cobb,Georgia,13067.0,3893,230.0
262371,2020-06-22,Cobb,Georgia,13067.0,3969,229.0
265499,2020-06-23,Cobb,Georgia,13067.0,4134,234.0
268629,2020-06-24,Cobb,Georgia,13067.0,4269,236.0
271765,2020-06-25,Cobb,Georgia,13067.0,4347,237.0
274905,2020-06-26,Cobb,Georgia,13067.0,4433,238.0
278053,2020-06-27,Cobb,Georgia,13067.0,4526,239.0
281200,2020-06-28,Cobb,Georgia,13067.0,4607,240.0
284346,2020-06-29,Cobb,Georgia,13067.0,4630,240.0
287492,2020-06-30,Cobb,Georgia,13067.0,4877,243.0
290643,2020-07-01,Cobb,Georgia,13067.0,5081,245.0
293797,2020-07-02,Cobb,Georgia,13067.0,5301,245.0
296953,2020-07-03,Cobb,Georgia,13067.0,5507,244.0
300115,2020-07-04,Cobb,Georgia,13067.0,5679,245.0
303279,2020-07-05,Cobb,Georgia,13067.0,5758,246.0
306443,2020-07-06,Cobb,Georgia,13067.0,5857,246.0
309611,2020-07-07,Cobb,Georgia,13067.0,6082,247.0
312781,2020-07-08,Cobb,Georgia,13067.0,6255,248.0
315956,2020-07-09,Cobb,Georgia,13067.0,6369,248.0
319129,2020-07-10,Cobb,Georgia,13067.0,6708,250.0
322308,2020-07-11,Cobb,Georgia,13067.0,6940,253.0
325489,2020-07-12,Cobb,Georgia,13067.0,7049,254.0
328675,2020-07-13,Cobb,Georgia,13067.0,7235,256.0
331862,2020-07-14,Cobb,Georgia,13067.0,7388,256.0
335055,2020-07-15,Cobb,Georgia,13067.0,7571,256.0
338250,2020-07-16,Cobb,Georgia,13067.0,7713,258.0
341447,2020-07-17,Cobb,Georgia,13067.0,7972,260.0
344646,2020-07-18,Cobb,Georgia,13067.0,8223,263.0
347846,2020-07-19,Cobb,Georgia,13067.0,8370,264.0
351047,2020-07-20,Cobb,Georgia,13067.0,8510,264.0
354249,2020-07-21,Cobb,Georgia,13067.0,8759,267.0
357452,2020-07-22,Cobb,Georgia,13067.0,8966,274.0
360657,2020-07-23,Cobb,Georgia,13067.0,9380,276.0
363864,2020-07-24,Cobb,Georgia,13067.0,9717,282.0
367071,2020-07-25,Cobb,Georgia,13067.0,10009,287.0
370281,2020-07-26,Cobb,Georgia,13067.0,10120,287.0
373493,2020-07-27,Cobb,Georgia,13067.0,10240,288.0
376707,2020-07-28,Cobb,Georgia,13067.0,10453,292.0
379924,2020-07-29,Cobb,Georgia,13067.0,10653,297.0
383141,2020-07-30,Cobb,Georgia,13067.0,10920,297.0
386359,2020-07-31,Cobb,Georgia,13067.0,11206,297.0
389576,2020-08-01,Cobb,Georgia,13067.0,11436,298.0
392793,2020-08-02,Cobb,Georgia,13067.0,11690,298.0
396009,2020-08-03,Cobb,Georgia,13067.0,11844,298.0
399225,2020-08-04,Cobb,Georgia,13067.0,12135,304.0
402441,2020-08-05,Cobb,Georgia,13067.0,12489,310.0
405659,2020-08-06,Cobb,Georgia,13067.0,12718,313.0
408879,2020-08-07,Cobb,Georgia,13067.0,13049,317.0
412098,2020-08-08,Cobb,Georgia,13067.0,13336,319.0
415318,2020-08-09,Cobb,Georgia,13067.0,13564,319.0
418539,2020-08-10,Cobb,Georgia,13067.0,13729,320.0
421760,2020-08-11,Cobb,Georgia,13067.0,14006,323.0
424981,2020-08-12,Cobb,Georgia,13067.0,14279,326.0
428205,2020-08-13,Cobb,Georgia,13067.0,14463,332.0
431433,2020-08-14,Cobb,Georgia,13067.0,14690,334.0
434658,2020-08-15,Cobb,Georgia,13067.0,14826,338.0
437884,2020-08-16,Cobb,Georgia,13067.0,14893,339.0
441110,2020-08-17,Cobb,Georgia,13067.0,14962,340.0
444336,2020-08-18,Cobb,Georgia,13067.0,15086,349.0
447563,2020-08-19,Cobb,Georgia,13067.0,15247,352.0
450791,2020-08-20,Cobb,Georgia,13067.0,15449,354.0
454019,2020-08-21,Cobb,Georgia,13067.0,15687,358.0
457247,2020-08-22,Cobb,Georgia,13067.0,15816,368.0
460474,2020-08-23,Cobb,Georgia,13067.0,15931,369.0
463703,2020-08-24,Cobb,Georgia,13067.0,16055,370.0
466932,2020-08-25,Cobb,Georgia,13067.0,16144,373.0
470161,2020-08-26,Cobb,Georgia,13067.0,16369,381.0
473393,2020-08-27,Cobb,Georgia,13067.0,16536,381.0
476626,2020-08-28,Cobb,Georgia,13067.0,16630,387.0
479859,2020-08-29,Cobb,Georgia,13067.0,16840,390.0
483093,2020-08-30,Cobb,Georgia,13067.0,16896,391.0
486328,2020-08-31,Cobb,Georgia,13067.0,16966,391.0
489561,2020-09-01,Cobb,Georgia,13067.0,17097,395.0
492794,2020-09-02,Cobb,Georgia,13067.0,17210,395.0
496028,2020-09-03,Cobb,Georgia,13067.0,17375,397.0
499261,2020-09-04,Cobb,Georgia,13067.0,17479,401.0
502495,2020-09-05,Cobb,Georgia,13067.0,17595,401.0
505729,2020-09-06,Cobb,Georgia,13067.0,17734,404.0
508961,2020-09-07,Cobb,Georgia,13067.0,17792,404.0
512194,2020-09-08,Cobb,Georgia,13067.0,17850,405.0
515427,2020-09-09,Cobb,Georgia,13067.0,18005,406.0
518662,2020-09-10,Cobb,Georgia,13067.0,18155,409.0
521899,2020-09-11,Cobb,Georgia,13067.0,18255,409.0
525135,2020-09-12,Cobb,Georgia,13067.0,18433,410.0
528371,2020-09-13,Cobb,Georgia,13067.0,18495,413.0
531608,2020-09-14,Cobb,Georgia,13067.0,18550,413.0
534843,2020-09-15,Cobb,Georgia,13067.0,18601,414.0
538079,2020-09-16,Cobb,Georgia,13067.0,18719,415.0
541316,2020-09-17,Cobb,Georgia,13067.0,18839,416.0
544552,2020-09-18,Cobb,Georgia,13067.0,18941,419.0
547790,2020-09-19,Cobb,Georgia,13067.0,19000,421.0
551029,2020-09-20,Cobb,Georgia,13067.0,19041,421.0
554268,2020-09-21,Cobb,Georgia,13067.0,19092,421.0
557505,2020-09-22,Cobb,Georgia,13067.0,19174,421.0
560741,2020-09-23,Cobb,Georgia,13067.0,19283,422.0
563981,2020-09-24,Cobb,Georgia,13067.0,19354,423.0
567221,2020-09-25,Cobb,Georgia,13067.0,19430,425.0
570463,2020-09-26,Cobb,Georgia,13067.0,19513,426.0
573705,2020-09-27,Cobb,Georgia,13067.0,19551,426.0
576948,2020-09-28,Cobb,Georgia,13067.0,19576,426.0
580189,2020-09-29,Cobb,Georgia,13067.0,19634,427.0
583428,2020-09-30,Cobb,Georgia,13067.0,19740,427.0
586668,2020-10-01,Cobb,Georgia,13067.0,19829,427.0
589909,2020-10-02,Cobb,Georgia,13067.0,19872,429.0
593149,2020-10-03,Cobb,Georgia,13067.0,19968,429.0
596391,2020-10-04,Cobb,Georgia,13067.0,20010,429.0
599634,2020-10-05,Cobb,Georgia,13067.0,21540,431.0
602877,2020-10-06,Cobb,Georgia,13067.0,21606,435.0
606119,2020-10-07,Cobb,Georgia,13067.0,21710,436.0
609362,2020-10-08,Cobb,Georgia,13067.0,21780,437.0
612604,2020-10-09,Cobb,Georgia,13067.0,21853,437.0
615845,2020-10-10,Cobb,Georgia,13067.0,21925,439.0
619087,2020-10-11,Cobb,Georgia,13067.0,22031,442.0
622330,2020-10-12,Cobb,Georgia,13067.0,22299,443.0
625573,2020-10-13,Cobb,Georgia,13067.0,22368,442.0
628816,2020-10-14,Cobb,Georgia,13067.0,22527,442.0
632060,2020-10-15,Cobb,Georgia,13067.0,22613,444.0
635306,2020-10-16,Cobb,Georgia,13067.0,22730,446.0
638551,2020-10-17,Cobb,Georgia,13067.0,22807,447.0
641798,2020-10-18,Cobb,Georgia,13067.0,22847,447.0
645046,2020-10-19,Cobb,Georgia,13067.0,22865,448.0
648291,2020-10-20,Cobb,Georgia,13067.0,22924,448.0
651535,2020-10-21,Cobb,Georgia,13067.0,23036,449.0
654780,2020-10-22,Cobb,Georgia,13067.0,23122,449.0
658025,2020-10-23,Cobb,Georgia,13067.0,23232,452.0
661269,2020-10-24,Cobb,Georgia,13067.0,23345,454.0
664513,2020-10-25,Cobb,Georgia,13067.0,23419,454.0
667758,2020-10-26,Cobb,Georgia,13067.0,23727,454.0
