,date,county,state,fips,cases,deaths
3494,2020-03-17,Cole,Missouri,29051.0,1,0.0
4083,2020-03-18,Cole,Missouri,29051.0,2,0.0
4802,2020-03-19,Cole,Missouri,29051.0,2,0.0
5636,2020-03-20,Cole,Missouri,29051.0,3,0.0
6624,2020-03-21,Cole,Missouri,29051.0,3,0.0
7713,2020-03-22,Cole,Missouri,29051.0,3,0.0
8901,2020-03-23,Cole,Missouri,29051.0,5,0.0
10200,2020-03-24,Cole,Missouri,29051.0,5,0.0
11621,2020-03-25,Cole,Missouri,29051.0,6,0.0
13219,2020-03-26,Cole,Missouri,29051.0,8,0.0
14944,2020-03-27,Cole,Missouri,29051.0,10,0.0
16768,2020-03-28,Cole,Missouri,29051.0,17,0.0
18690,2020-03-29,Cole,Missouri,29051.0,17,0.0
20715,2020-03-30,Cole,Missouri,29051.0,25,0.0
22833,2020-03-31,Cole,Missouri,29051.0,23,0.0
25019,2020-04-01,Cole,Missouri,29051.0,24,0.0
27274,2020-04-02,Cole,Missouri,29051.0,25,0.0
29594,2020-04-03,Cole,Missouri,29051.0,26,1.0
31974,2020-04-04,Cole,Missouri,29051.0,28,1.0
34402,2020-04-05,Cole,Missouri,29051.0,30,1.0
36865,2020-04-06,Cole,Missouri,29051.0,30,1.0
39376,2020-04-07,Cole,Missouri,29051.0,32,1.0
41930,2020-04-08,Cole,Missouri,29051.0,35,1.0
44507,2020-04-09,Cole,Missouri,29051.0,35,1.0
47116,2020-04-10,Cole,Missouri,29051.0,35,1.0
49763,2020-04-11,Cole,Missouri,29051.0,36,1.0
52436,2020-04-12,Cole,Missouri,29051.0,36,1.0
55118,2020-04-13,Cole,Missouri,29051.0,37,1.0
57816,2020-04-14,Cole,Missouri,29051.0,38,1.0
60527,2020-04-15,Cole,Missouri,29051.0,41,1.0
63249,2020-04-16,Cole,Missouri,29051.0,41,1.0
65989,2020-04-17,Cole,Missouri,29051.0,42,1.0
68741,2020-04-18,Cole,Missouri,29051.0,44,1.0
71508,2020-04-19,Cole,Missouri,29051.0,46,1.0
74281,2020-04-20,Cole,Missouri,29051.0,46,1.0
77062,2020-04-21,Cole,Missouri,29051.0,46,1.0
79848,2020-04-22,Cole,Missouri,29051.0,45,1.0
82644,2020-04-23,Cole,Missouri,29051.0,47,1.0
85448,2020-04-24,Cole,Missouri,29051.0,49,1.0
88258,2020-04-25,Cole,Missouri,29051.0,50,1.0
91074,2020-04-26,Cole,Missouri,29051.0,50,1.0
93895,2020-04-27,Cole,Missouri,29051.0,50,1.0
96731,2020-04-28,Cole,Missouri,29051.0,50,1.0
99577,2020-04-29,Cole,Missouri,29051.0,50,1.0
102429,2020-04-30,Cole,Missouri,29051.0,51,1.0
105290,2020-05-01,Cole,Missouri,29051.0,51,1.0
108155,2020-05-02,Cole,Missouri,29051.0,53,1.0
111026,2020-05-03,Cole,Missouri,29051.0,54,1.0
113905,2020-05-04,Cole,Missouri,29051.0,54,1.0
116787,2020-05-05,Cole,Missouri,29051.0,52,1.0
119747,2020-05-06,Cole,Missouri,29051.0,53,1.0
122721,2020-05-07,Cole,Missouri,29051.0,55,1.0
125703,2020-05-08,Cole,Missouri,29051.0,54,1.0
128690,2020-05-09,Cole,Missouri,29051.0,54,1.0
131680,2020-05-10,Cole,Missouri,29051.0,56,1.0
134671,2020-05-11,Cole,Missouri,29051.0,55,1.0
137661,2020-05-12,Cole,Missouri,29051.0,55,1.0
140655,2020-05-13,Cole,Missouri,29051.0,55,1.0
143650,2020-05-14,Cole,Missouri,29051.0,55,1.0
146650,2020-05-15,Cole,Missouri,29051.0,55,1.0
149655,2020-05-16,Cole,Missouri,29051.0,55,1.0
152666,2020-05-17,Cole,Missouri,29051.0,55,1.0
155680,2020-05-18,Cole,Missouri,29051.0,56,1.0
158698,2020-05-19,Cole,Missouri,29051.0,55,1.0
161724,2020-05-20,Cole,Missouri,29051.0,55,1.0
164753,2020-05-21,Cole,Missouri,29051.0,55,1.0
167789,2020-05-22,Cole,Missouri,29051.0,58,1.0
170827,2020-05-23,Cole,Missouri,29051.0,59,1.0
173869,2020-05-24,Cole,Missouri,29051.0,59,1.0
176912,2020-05-25,Cole,Missouri,29051.0,60,1.0
179956,2020-05-26,Cole,Missouri,29051.0,60,1.0
183002,2020-05-27,Cole,Missouri,29051.0,60,1.0
186058,2020-05-28,Cole,Missouri,29051.0,60,1.0
189116,2020-05-29,Cole,Missouri,29051.0,60,1.0
192180,2020-05-30,Cole,Missouri,29051.0,60,1.0
195248,2020-05-31,Cole,Missouri,29051.0,60,1.0
198319,2020-06-01,Cole,Missouri,29051.0,61,1.0
201392,2020-06-02,Cole,Missouri,29051.0,60,1.0
204469,2020-06-03,Cole,Missouri,29051.0,60,1.0
207550,2020-06-04,Cole,Missouri,29051.0,60,1.0
210631,2020-06-05,Cole,Missouri,29051.0,57,1.0
213715,2020-06-06,Cole,Missouri,29051.0,57,1.0
216803,2020-06-07,Cole,Missouri,29051.0,57,1.0
219895,2020-06-08,Cole,Missouri,29051.0,57,1.0
222990,2020-06-09,Cole,Missouri,29051.0,57,1.0
226088,2020-06-10,Cole,Missouri,29051.0,57,1.0
