date,county,state,fips,cases,deaths
2020-04-10,Colonial Heights city,Virginia,51570.0,4,0.0
2020-04-11,Colonial Heights city,Virginia,51570.0,6,0.0
2020-04-12,Colonial Heights city,Virginia,51570.0,6,0.0
2020-04-13,Colonial Heights city,Virginia,51570.0,10,0.0
2020-04-14,Colonial Heights city,Virginia,51570.0,16,0.0
2020-04-15,Colonial Heights city,Virginia,51570.0,17,0.0
2020-04-16,Colonial Heights city,Virginia,51570.0,18,0.0
2020-04-17,Colonial Heights city,Virginia,51570.0,19,0.0
2020-04-18,Colonial Heights city,Virginia,51570.0,23,0.0
2020-04-19,Colonial Heights city,Virginia,51570.0,23,0.0
2020-04-20,Colonial Heights city,Virginia,51570.0,26,0.0
2020-04-21,Colonial Heights city,Virginia,51570.0,36,2.0
2020-04-22,Colonial Heights city,Virginia,51570.0,37,2.0
2020-04-23,Colonial Heights city,Virginia,51570.0,41,2.0
2020-04-24,Colonial Heights city,Virginia,51570.0,41,3.0
2020-04-25,Colonial Heights city,Virginia,51570.0,43,3.0
2020-04-26,Colonial Heights city,Virginia,51570.0,45,3.0
2020-04-27,Colonial Heights city,Virginia,51570.0,45,3.0
2020-04-28,Colonial Heights city,Virginia,51570.0,47,4.0
2020-04-29,Colonial Heights city,Virginia,51570.0,49,4.0
2020-04-30,Colonial Heights city,Virginia,51570.0,54,5.0
2020-05-01,Colonial Heights city,Virginia,51570.0,54,5.0
2020-05-02,Colonial Heights city,Virginia,51570.0,57,5.0
2020-05-03,Colonial Heights city,Virginia,51570.0,57,6.0
2020-05-04,Colonial Heights city,Virginia,51570.0,57,6.0
2020-05-05,Colonial Heights city,Virginia,51570.0,58,6.0
2020-05-06,Colonial Heights city,Virginia,51570.0,58,6.0
2020-05-07,Colonial Heights city,Virginia,51570.0,64,6.0
2020-05-08,Colonial Heights city,Virginia,51570.0,65,6.0
2020-05-09,Colonial Heights city,Virginia,51570.0,65,6.0
2020-05-10,Colonial Heights city,Virginia,51570.0,66,6.0
2020-05-11,Colonial Heights city,Virginia,51570.0,66,6.0
2020-05-12,Colonial Heights city,Virginia,51570.0,67,6.0
2020-05-13,Colonial Heights city,Virginia,51570.0,71,7.0
2020-05-14,Colonial Heights city,Virginia,51570.0,73,7.0
2020-05-15,Colonial Heights city,Virginia,51570.0,74,7.0
2020-05-16,Colonial Heights city,Virginia,51570.0,76,7.0
2020-05-17,Colonial Heights city,Virginia,51570.0,76,7.0
2020-05-18,Colonial Heights city,Virginia,51570.0,76,7.0
2020-05-19,Colonial Heights city,Virginia,51570.0,77,7.0
2020-05-20,Colonial Heights city,Virginia,51570.0,80,7.0
2020-05-21,Colonial Heights city,Virginia,51570.0,82,7.0
2020-05-22,Colonial Heights city,Virginia,51570.0,83,8.0
2020-05-23,Colonial Heights city,Virginia,51570.0,83,8.0
2020-05-24,Colonial Heights city,Virginia,51570.0,83,8.0
2020-05-25,Colonial Heights city,Virginia,51570.0,83,8.0
2020-05-26,Colonial Heights city,Virginia,51570.0,85,10.0
2020-05-27,Colonial Heights city,Virginia,51570.0,85,10.0
2020-05-28,Colonial Heights city,Virginia,51570.0,86,15.0
2020-05-29,Colonial Heights city,Virginia,51570.0,86,17.0
2020-05-30,Colonial Heights city,Virginia,51570.0,91,17.0
2020-05-31,Colonial Heights city,Virginia,51570.0,95,17.0
2020-06-01,Colonial Heights city,Virginia,51570.0,96,17.0
2020-06-02,Colonial Heights city,Virginia,51570.0,96,17.0
2020-06-03,Colonial Heights city,Virginia,51570.0,96,17.0
2020-06-04,Colonial Heights city,Virginia,51570.0,97,17.0
2020-06-05,Colonial Heights city,Virginia,51570.0,97,17.0
2020-06-06,Colonial Heights city,Virginia,51570.0,97,17.0
2020-06-07,Colonial Heights city,Virginia,51570.0,98,17.0
2020-06-08,Colonial Heights city,Virginia,51570.0,101,17.0
2020-06-09,Colonial Heights city,Virginia,51570.0,104,17.0
2020-06-10,Colonial Heights city,Virginia,51570.0,106,17.0
2020-06-11,Colonial Heights city,Virginia,51570.0,106,17.0
2020-06-12,Colonial Heights city,Virginia,51570.0,111,17.0
