date,county,state,fips,cases,deaths
2020-03-29,Columbus,North Carolina,37047.0,1,0.0
2020-03-30,Columbus,North Carolina,37047.0,2,0.0
2020-03-31,Columbus,North Carolina,37047.0,2,0.0
2020-04-01,Columbus,North Carolina,37047.0,2,0.0
2020-04-02,Columbus,North Carolina,37047.0,2,0.0
2020-04-03,Columbus,North Carolina,37047.0,2,0.0
2020-04-04,Columbus,North Carolina,37047.0,4,0.0
2020-04-05,Columbus,North Carolina,37047.0,5,0.0
2020-04-06,Columbus,North Carolina,37047.0,12,1.0
2020-04-07,Columbus,North Carolina,37047.0,13,1.0
2020-04-08,Columbus,North Carolina,37047.0,14,1.0
2020-04-09,Columbus,North Carolina,37047.0,16,1.0
2020-04-10,Columbus,North Carolina,37047.0,20,1.0
2020-04-11,Columbus,North Carolina,37047.0,31,1.0
2020-04-12,Columbus,North Carolina,37047.0,31,1.0
2020-04-13,Columbus,North Carolina,37047.0,37,1.0
2020-04-14,Columbus,North Carolina,37047.0,37,1.0
2020-04-15,Columbus,North Carolina,37047.0,37,1.0
2020-04-16,Columbus,North Carolina,37047.0,41,1.0
2020-04-17,Columbus,North Carolina,37047.0,50,2.0
2020-04-18,Columbus,North Carolina,37047.0,51,2.0
2020-04-19,Columbus,North Carolina,37047.0,57,3.0
2020-04-20,Columbus,North Carolina,37047.0,59,3.0
2020-04-21,Columbus,North Carolina,37047.0,61,3.0
2020-04-22,Columbus,North Carolina,37047.0,66,4.0
2020-04-23,Columbus,North Carolina,37047.0,74,5.0
2020-04-24,Columbus,North Carolina,37047.0,80,5.0
2020-04-25,Columbus,North Carolina,37047.0,87,6.0
2020-04-26,Columbus,North Carolina,37047.0,90,7.0
2020-04-27,Columbus,North Carolina,37047.0,90,8.0
2020-04-28,Columbus,North Carolina,37047.0,94,8.0
2020-04-29,Columbus,North Carolina,37047.0,102,8.0
2020-04-30,Columbus,North Carolina,37047.0,139,9.0
2020-05-01,Columbus,North Carolina,37047.0,149,10.0
2020-05-02,Columbus,North Carolina,37047.0,164,10.0
2020-05-03,Columbus,North Carolina,37047.0,166,10.0
2020-05-04,Columbus,North Carolina,37047.0,167,11.0
2020-05-05,Columbus,North Carolina,37047.0,167,11.0
2020-05-06,Columbus,North Carolina,37047.0,175,11.0
2020-05-07,Columbus,North Carolina,37047.0,184,11.0
2020-05-08,Columbus,North Carolina,37047.0,186,13.0
2020-05-09,Columbus,North Carolina,37047.0,196,13.0
2020-05-10,Columbus,North Carolina,37047.0,200,14.0
2020-05-11,Columbus,North Carolina,37047.0,205,14.0
2020-05-12,Columbus,North Carolina,37047.0,212,16.0
2020-05-13,Columbus,North Carolina,37047.0,216,17.0
