,date,county,state,fips,cases,deaths
11622,2020-03-25,Cooper,Missouri,29053.0,1,0.0
13220,2020-03-26,Cooper,Missouri,29053.0,1,0.0
14945,2020-03-27,Cooper,Missouri,29053.0,1,0.0
16769,2020-03-28,Cooper,Missouri,29053.0,1,0.0
18691,2020-03-29,Cooper,Missouri,29053.0,1,0.0
20716,2020-03-30,Cooper,Missouri,29053.0,1,0.0
22834,2020-03-31,Cooper,Missouri,29053.0,2,0.0
25020,2020-04-01,Cooper,Missouri,29053.0,2,0.0
27275,2020-04-02,Cooper,Missouri,29053.0,2,0.0
29595,2020-04-03,Cooper,Missouri,29053.0,2,0.0
31975,2020-04-04,Cooper,Missouri,29053.0,2,0.0
34403,2020-04-05,Cooper,Missouri,29053.0,2,0.0
36866,2020-04-06,Cooper,Missouri,29053.0,2,0.0
39377,2020-04-07,Cooper,Missouri,29053.0,2,0.0
41931,2020-04-08,Cooper,Missouri,29053.0,2,0.0
44508,2020-04-09,Cooper,Missouri,29053.0,3,0.0
47117,2020-04-10,Cooper,Missouri,29053.0,3,0.0
49764,2020-04-11,Cooper,Missouri,29053.0,4,0.0
52437,2020-04-12,Cooper,Missouri,29053.0,4,0.0
55119,2020-04-13,Cooper,Missouri,29053.0,4,0.0
57817,2020-04-14,Cooper,Missouri,29053.0,4,0.0
60528,2020-04-15,Cooper,Missouri,29053.0,4,0.0
63250,2020-04-16,Cooper,Missouri,29053.0,4,0.0
65990,2020-04-17,Cooper,Missouri,29053.0,4,0.0
68742,2020-04-18,Cooper,Missouri,29053.0,4,0.0
71509,2020-04-19,Cooper,Missouri,29053.0,4,0.0
74282,2020-04-20,Cooper,Missouri,29053.0,4,0.0
77063,2020-04-21,Cooper,Missouri,29053.0,5,0.0
79849,2020-04-22,Cooper,Missouri,29053.0,5,0.0
82645,2020-04-23,Cooper,Missouri,29053.0,5,0.0
85449,2020-04-24,Cooper,Missouri,29053.0,7,0.0
88259,2020-04-25,Cooper,Missouri,29053.0,7,0.0
91075,2020-04-26,Cooper,Missouri,29053.0,7,0.0
93896,2020-04-27,Cooper,Missouri,29053.0,7,0.0
96732,2020-04-28,Cooper,Missouri,29053.0,7,0.0
99578,2020-04-29,Cooper,Missouri,29053.0,7,0.0
102430,2020-04-30,Cooper,Missouri,29053.0,7,0.0
105291,2020-05-01,Cooper,Missouri,29053.0,9,0.0
108156,2020-05-02,Cooper,Missouri,29053.0,9,0.0
111027,2020-05-03,Cooper,Missouri,29053.0,9,0.0
113906,2020-05-04,Cooper,Missouri,29053.0,9,0.0
116788,2020-05-05,Cooper,Missouri,29053.0,9,0.0
119748,2020-05-06,Cooper,Missouri,29053.0,9,0.0
122722,2020-05-07,Cooper,Missouri,29053.0,9,0.0
125704,2020-05-08,Cooper,Missouri,29053.0,9,0.0
128691,2020-05-09,Cooper,Missouri,29053.0,9,0.0
131681,2020-05-10,Cooper,Missouri,29053.0,9,0.0
134672,2020-05-11,Cooper,Missouri,29053.0,9,0.0
137662,2020-05-12,Cooper,Missouri,29053.0,9,0.0
140656,2020-05-13,Cooper,Missouri,29053.0,9,0.0
143651,2020-05-14,Cooper,Missouri,29053.0,9,0.0
146651,2020-05-15,Cooper,Missouri,29053.0,9,0.0
149656,2020-05-16,Cooper,Missouri,29053.0,9,0.0
152667,2020-05-17,Cooper,Missouri,29053.0,9,0.0
155681,2020-05-18,Cooper,Missouri,29053.0,9,0.0
158699,2020-05-19,Cooper,Missouri,29053.0,9,0.0
161725,2020-05-20,Cooper,Missouri,29053.0,9,0.0
164754,2020-05-21,Cooper,Missouri,29053.0,9,0.0
167790,2020-05-22,Cooper,Missouri,29053.0,9,0.0
170828,2020-05-23,Cooper,Missouri,29053.0,9,0.0
173870,2020-05-24,Cooper,Missouri,29053.0,9,0.0
176913,2020-05-25,Cooper,Missouri,29053.0,9,0.0
179957,2020-05-26,Cooper,Missouri,29053.0,9,0.0
183003,2020-05-27,Cooper,Missouri,29053.0,9,0.0
186059,2020-05-28,Cooper,Missouri,29053.0,9,0.0
189117,2020-05-29,Cooper,Missouri,29053.0,9,0.0
192181,2020-05-30,Cooper,Missouri,29053.0,9,0.0
195249,2020-05-31,Cooper,Missouri,29053.0,9,0.0
198320,2020-06-01,Cooper,Missouri,29053.0,9,0.0
201393,2020-06-02,Cooper,Missouri,29053.0,9,0.0
204470,2020-06-03,Cooper,Missouri,29053.0,9,0.0
207551,2020-06-04,Cooper,Missouri,29053.0,9,0.0
210632,2020-06-05,Cooper,Missouri,29053.0,9,0.0
213716,2020-06-06,Cooper,Missouri,29053.0,9,0.0
216804,2020-06-07,Cooper,Missouri,29053.0,9,0.0
219896,2020-06-08,Cooper,Missouri,29053.0,9,0.0
222991,2020-06-09,Cooper,Missouri,29053.0,9,0.0
226089,2020-06-10,Cooper,Missouri,29053.0,9,0.0
229192,2020-06-11,Cooper,Missouri,29053.0,9,0.0
232296,2020-06-12,Cooper,Missouri,29053.0,9,0.0
235402,2020-06-13,Cooper,Missouri,29053.0,9,0.0
238509,2020-06-14,Cooper,Missouri,29053.0,9,0.0
241618,2020-06-15,Cooper,Missouri,29053.0,9,0.0
244729,2020-06-16,Cooper,Missouri,29053.0,9,0.0
247842,2020-06-17,Cooper,Missouri,29053.0,11,0.0
250955,2020-06-18,Cooper,Missouri,29053.0,12,0.0
254070,2020-06-19,Cooper,Missouri,29053.0,12,0.0
257190,2020-06-20,Cooper,Missouri,29053.0,12,0.0
260316,2020-06-21,Cooper,Missouri,29053.0,12,0.0
263444,2020-06-22,Cooper,Missouri,29053.0,13,0.0
266570,2020-06-23,Cooper,Missouri,29053.0,13,0.0
269703,2020-06-24,Cooper,Missouri,29053.0,13,0.0
272841,2020-06-25,Cooper,Missouri,29053.0,14,0.0
275984,2020-06-26,Cooper,Missouri,29053.0,14,0.0
279132,2020-06-27,Cooper,Missouri,29053.0,14,0.0
282280,2020-06-28,Cooper,Missouri,29053.0,14,0.0
285425,2020-06-29,Cooper,Missouri,29053.0,14,0.0
288575,2020-06-30,Cooper,Missouri,29053.0,14,0.0
291726,2020-07-01,Cooper,Missouri,29053.0,14,0.0
294880,2020-07-02,Cooper,Missouri,29053.0,16,0.0
298038,2020-07-03,Cooper,Missouri,29053.0,20,0.0
301201,2020-07-04,Cooper,Missouri,29053.0,20,0.0
304365,2020-07-05,Cooper,Missouri,29053.0,20,0.0
307532,2020-07-06,Cooper,Missouri,29053.0,20,0.0
310700,2020-07-07,Cooper,Missouri,29053.0,23,0.0
313870,2020-07-08,Cooper,Missouri,29053.0,23,0.0
317044,2020-07-09,Cooper,Missouri,29053.0,25,0.0
320219,2020-07-10,Cooper,Missouri,29053.0,28,0.0
323398,2020-07-11,Cooper,Missouri,29053.0,28,0.0
326581,2020-07-12,Cooper,Missouri,29053.0,28,0.0
329767,2020-07-13,Cooper,Missouri,29053.0,28,0.0
332954,2020-07-14,Cooper,Missouri,29053.0,30,0.0
336147,2020-07-15,Cooper,Missouri,29053.0,32,0.0
339343,2020-07-16,Cooper,Missouri,29053.0,32,0.0
342539,2020-07-17,Cooper,Missouri,29053.0,32,0.0
345739,2020-07-18,Cooper,Missouri,29053.0,33,0.0
348940,2020-07-19,Cooper,Missouri,29053.0,33,0.0
352140,2020-07-20,Cooper,Missouri,29053.0,35,0.0
355342,2020-07-21,Cooper,Missouri,29053.0,34,0.0
358545,2020-07-22,Cooper,Missouri,29053.0,38,0.0
361750,2020-07-23,Cooper,Missouri,29053.0,38,0.0
364957,2020-07-24,Cooper,Missouri,29053.0,42,0.0
368165,2020-07-25,Cooper,Missouri,29053.0,43,0.0
371376,2020-07-26,Cooper,Missouri,29053.0,50,0.0
374588,2020-07-27,Cooper,Missouri,29053.0,57,0.0
377803,2020-07-28,Cooper,Missouri,29053.0,65,0.0
381020,2020-07-29,Cooper,Missouri,29053.0,73,0.0
384236,2020-07-30,Cooper,Missouri,29053.0,77,0.0
387454,2020-07-31,Cooper,Missouri,29053.0,86,0.0
390671,2020-08-01,Cooper,Missouri,29053.0,91,0.0
393888,2020-08-02,Cooper,Missouri,29053.0,94,0.0
397104,2020-08-03,Cooper,Missouri,29053.0,98,0.0
400318,2020-08-04,Cooper,Missouri,29053.0,103,0.0
