,date,county,state,fips,cases,deaths
29711,2020-04-03,Coos,New Hampshire,33007.0,1,0.0
32095,2020-04-04,Coos,New Hampshire,33007.0,1,0.0
34526,2020-04-05,Coos,New Hampshire,33007.0,1,0.0
36996,2020-04-06,Coos,New Hampshire,33007.0,1,0.0
39511,2020-04-07,Coos,New Hampshire,33007.0,1,0.0
42068,2020-04-08,Coos,New Hampshire,33007.0,1,0.0
44651,2020-04-09,Coos,New Hampshire,33007.0,1,0.0
47263,2020-04-10,Coos,New Hampshire,33007.0,2,0.0
49916,2020-04-11,Coos,New Hampshire,33007.0,2,0.0
50305,2020-04-11,Coos,Oregon,41011.0,1,0.0
52589,2020-04-12,Coos,New Hampshire,33007.0,2,0.0
52978,2020-04-12,Coos,Oregon,41011.0,1,0.0
55272,2020-04-13,Coos,New Hampshire,33007.0,2,0.0
55663,2020-04-13,Coos,Oregon,41011.0,1,0.0
57972,2020-04-14,Coos,New Hampshire,33007.0,2,0.0
58365,2020-04-14,Coos,Oregon,41011.0,1,0.0
60687,2020-04-15,Coos,New Hampshire,33007.0,2,0.0
61080,2020-04-15,Coos,Oregon,41011.0,1,0.0
63412,2020-04-16,Coos,New Hampshire,33007.0,2,0.0
63806,2020-04-16,Coos,Oregon,41011.0,1,0.0
66154,2020-04-17,Coos,New Hampshire,33007.0,2,0.0
66552,2020-04-17,Coos,Oregon,41011.0,1,0.0
68910,2020-04-18,Coos,New Hampshire,33007.0,2,0.0
69310,2020-04-18,Coos,Oregon,41011.0,1,0.0
71677,2020-04-19,Coos,New Hampshire,33007.0,2,0.0
72077,2020-04-19,Coos,Oregon,41011.0,1,0.0
74452,2020-04-20,Coos,New Hampshire,33007.0,2,0.0
74852,2020-04-20,Coos,Oregon,41011.0,1,0.0
77233,2020-04-21,Coos,New Hampshire,33007.0,2,0.0
77634,2020-04-21,Coos,Oregon,41011.0,2,0.0
80022,2020-04-22,Coos,New Hampshire,33007.0,2,0.0
80424,2020-04-22,Coos,Oregon,41011.0,3,0.0
82820,2020-04-23,Coos,New Hampshire,33007.0,2,0.0
83223,2020-04-23,Coos,Oregon,41011.0,4,0.0
85624,2020-04-24,Coos,New Hampshire,33007.0,2,0.0
86027,2020-04-24,Coos,Oregon,41011.0,4,0.0
88435,2020-04-25,Coos,New Hampshire,33007.0,2,0.0
88841,2020-04-25,Coos,Oregon,41011.0,8,0.0
91250,2020-04-26,Coos,New Hampshire,33007.0,2,0.0
91657,2020-04-26,Coos,Oregon,41011.0,12,0.0
94074,2020-04-27,Coos,New Hampshire,33007.0,2,0.0
94484,2020-04-27,Coos,Oregon,41011.0,14,0.0
96910,2020-04-28,Coos,New Hampshire,33007.0,2,0.0
97322,2020-04-28,Coos,Oregon,41011.0,15,0.0
99757,2020-04-29,Coos,New Hampshire,33007.0,2,0.0
100171,2020-04-29,Coos,Oregon,41011.0,15,0.0
102610,2020-04-30,Coos,New Hampshire,33007.0,2,0.0
103024,2020-04-30,Coos,Oregon,41011.0,20,0.0
105472,2020-05-01,Coos,New Hampshire,33007.0,2,0.0
105887,2020-05-01,Coos,Oregon,41011.0,21,0.0
108338,2020-05-02,Coos,New Hampshire,33007.0,2,0.0
108754,2020-05-02,Coos,Oregon,41011.0,21,0.0
111211,2020-05-03,Coos,New Hampshire,33007.0,2,0.0
111628,2020-05-03,Coos,Oregon,41011.0,25,0.0
114092,2020-05-04,Coos,New Hampshire,33007.0,2,0.0
114510,2020-05-04,Coos,Oregon,41011.0,27,0.0
116973,2020-05-05,Coos,New Hampshire,33007.0,2,0.0
117391,2020-05-05,Coos,Oregon,41011.0,28,0.0
119934,2020-05-06,Coos,New Hampshire,33007.0,2,0.0
120353,2020-05-06,Coos,Oregon,41011.0,28,0.0
122909,2020-05-07,Coos,New Hampshire,33007.0,2,0.0
123330,2020-05-07,Coos,Oregon,41011.0,29,0.0
125892,2020-05-08,Coos,New Hampshire,33007.0,2,0.0
126313,2020-05-08,Coos,Oregon,41011.0,29,0.0
128881,2020-05-09,Coos,New Hampshire,33007.0,2,0.0
129302,2020-05-09,Coos,Oregon,41011.0,30,0.0
131870,2020-05-10,Coos,New Hampshire,33007.0,2,0.0
132291,2020-05-10,Coos,Oregon,41011.0,30,0.0
134861,2020-05-11,Coos,New Hampshire,33007.0,2,0.0
135282,2020-05-11,Coos,Oregon,41011.0,30,0.0
137851,2020-05-12,Coos,New Hampshire,33007.0,2,0.0
138272,2020-05-12,Coos,Oregon,41011.0,30,0.0
140847,2020-05-13,Coos,New Hampshire,33007.0,2,0.0
141268,2020-05-13,Coos,Oregon,41011.0,30,0.0
143842,2020-05-14,Coos,New Hampshire,33007.0,2,0.0
144264,2020-05-14,Coos,Oregon,41011.0,30,0.0
146843,2020-05-15,Coos,New Hampshire,33007.0,4,0.0
147265,2020-05-15,Coos,Oregon,41011.0,30,0.0
149850,2020-05-16,Coos,New Hampshire,33007.0,4,0.0
150272,2020-05-16,Coos,Oregon,41011.0,30,0.0
152860,2020-05-17,Coos,New Hampshire,33007.0,4,0.0
153283,2020-05-17,Coos,Oregon,41011.0,30,0.0
155876,2020-05-18,Coos,New Hampshire,33007.0,4,0.0
156300,2020-05-18,Coos,Oregon,41011.0,30,0.0
158894,2020-05-19,Coos,New Hampshire,33007.0,4,0.0
159321,2020-05-19,Coos,Oregon,41011.0,30,0.0
161920,2020-05-20,Coos,New Hampshire,33007.0,4,0.0
162348,2020-05-20,Coos,Oregon,41011.0,30,0.0
164949,2020-05-21,Coos,New Hampshire,33007.0,4,0.0
165377,2020-05-21,Coos,Oregon,41011.0,31,0.0
167985,2020-05-22,Coos,New Hampshire,33007.0,4,0.0
168413,2020-05-22,Coos,Oregon,41011.0,31,0.0
171024,2020-05-23,Coos,New Hampshire,33007.0,4,0.0
171452,2020-05-23,Coos,Oregon,41011.0,31,0.0
174066,2020-05-24,Coos,New Hampshire,33007.0,4,0.0
174494,2020-05-24,Coos,Oregon,41011.0,31,0.0
177109,2020-05-25,Coos,New Hampshire,33007.0,4,0.0
177538,2020-05-25,Coos,Oregon,41011.0,31,0.0
180153,2020-05-26,Coos,New Hampshire,33007.0,5,0.0
180581,2020-05-26,Coos,Oregon,41011.0,31,0.0
183201,2020-05-27,Coos,New Hampshire,33007.0,5,0.0
183630,2020-05-27,Coos,Oregon,41011.0,31,0.0
186258,2020-05-28,Coos,New Hampshire,33007.0,5,0.0
186687,2020-05-28,Coos,Oregon,41011.0,31,0.0
189318,2020-05-29,Coos,New Hampshire,33007.0,5,0.0
189748,2020-05-29,Coos,Oregon,41011.0,31,0.0
192382,2020-05-30,Coos,New Hampshire,33007.0,5,0.0
192813,2020-05-30,Coos,Oregon,41011.0,31,0.0
195452,2020-05-31,Coos,New Hampshire,33007.0,5,0.0
195882,2020-05-31,Coos,Oregon,41011.0,31,0.0
198525,2020-06-01,Coos,New Hampshire,33007.0,5,0.0
198955,2020-06-01,Coos,Oregon,41011.0,31,0.0
201599,2020-06-02,Coos,New Hampshire,33007.0,5,0.0
202030,2020-06-02,Coos,Oregon,41011.0,31,0.0
204676,2020-06-03,Coos,New Hampshire,33007.0,5,0.0
205107,2020-06-03,Coos,Oregon,41011.0,31,0.0
207757,2020-06-04,Coos,New Hampshire,33007.0,5,0.0
208188,2020-06-04,Coos,Oregon,41011.0,32,0.0
210839,2020-06-05,Coos,New Hampshire,33007.0,5,0.0
211270,2020-06-05,Coos,Oregon,41011.0,32,0.0
213923,2020-06-06,Coos,New Hampshire,33007.0,5,0.0
214356,2020-06-06,Coos,Oregon,41011.0,32,0.0
217012,2020-06-07,Coos,New Hampshire,33007.0,5,0.0
217446,2020-06-07,Coos,Oregon,41011.0,32,0.0
220104,2020-06-08,Coos,New Hampshire,33007.0,6,0.0
220538,2020-06-08,Coos,Oregon,41011.0,32,0.0
223199,2020-06-09,Coos,New Hampshire,33007.0,6,0.0
223633,2020-06-09,Coos,Oregon,41011.0,32,0.0
226299,2020-06-10,Coos,New Hampshire,33007.0,6,0.0
226733,2020-06-10,Coos,Oregon,41011.0,32,0.0
229403,2020-06-11,Coos,New Hampshire,33007.0,6,0.0
229837,2020-06-11,Coos,Oregon,41011.0,32,0.0
232508,2020-06-12,Coos,New Hampshire,33007.0,6,0.0
232942,2020-06-12,Coos,Oregon,41011.0,32,0.0
235613,2020-06-13,Coos,New Hampshire,33007.0,6,0.0
236047,2020-06-13,Coos,Oregon,41011.0,32,0.0
238720,2020-06-14,Coos,New Hampshire,33007.0,6,0.0
239155,2020-06-14,Coos,Oregon,41011.0,32,0.0
241830,2020-06-15,Coos,New Hampshire,33007.0,6,0.0
242264,2020-06-15,Coos,Oregon,41011.0,32,0.0
244942,2020-06-16,Coos,New Hampshire,33007.0,6,0.0
245376,2020-06-16,Coos,Oregon,41011.0,32,0.0
248055,2020-06-17,Coos,New Hampshire,33007.0,6,0.0
248489,2020-06-17,Coos,Oregon,41011.0,32,0.0
251170,2020-06-18,Coos,New Hampshire,33007.0,6,0.0
251604,2020-06-18,Coos,Oregon,41011.0,32,0.0
254285,2020-06-19,Coos,New Hampshire,33007.0,6,0.0
254719,2020-06-19,Coos,Oregon,41011.0,33,0.0
257408,2020-06-20,Coos,New Hampshire,33007.0,6,0.0
257845,2020-06-20,Coos,Oregon,41011.0,33,0.0
260534,2020-06-21,Coos,New Hampshire,33007.0,6,0.0
260972,2020-06-21,Coos,Oregon,41011.0,36,0.0
263663,2020-06-22,Coos,New Hampshire,33007.0,6,0.0
264100,2020-06-22,Coos,Oregon,41011.0,36,0.0
266790,2020-06-23,Coos,New Hampshire,33007.0,6,0.0
267228,2020-06-23,Coos,Oregon,41011.0,37,0.0
269925,2020-06-24,Coos,New Hampshire,33007.0,6,0.0
270362,2020-06-24,Coos,Oregon,41011.0,37,0.0
273064,2020-06-25,Coos,New Hampshire,33007.0,6,0.0
273501,2020-06-25,Coos,Oregon,41011.0,39,0.0
276209,2020-06-26,Coos,New Hampshire,33007.0,6,0.0
276648,2020-06-26,Coos,Oregon,41011.0,39,0.0
279357,2020-06-27,Coos,New Hampshire,33007.0,6,0.0
279796,2020-06-27,Coos,Oregon,41011.0,40,0.0
282504,2020-06-28,Coos,New Hampshire,33007.0,6,0.0
282942,2020-06-28,Coos,Oregon,41011.0,40,0.0
285649,2020-06-29,Coos,New Hampshire,33007.0,6,0.0
286087,2020-06-29,Coos,Oregon,41011.0,40,0.0
288799,2020-06-30,Coos,New Hampshire,33007.0,7,0.0
289238,2020-06-30,Coos,Oregon,41011.0,41,0.0
291951,2020-07-01,Coos,New Hampshire,33007.0,7,0.0
292390,2020-07-01,Coos,Oregon,41011.0,41,0.0
295106,2020-07-02,Coos,New Hampshire,33007.0,7,0.0
295546,2020-07-02,Coos,Oregon,41011.0,41,0.0
298266,2020-07-03,Coos,New Hampshire,33007.0,7,0.0
298705,2020-07-03,Coos,Oregon,41011.0,42,0.0
301429,2020-07-04,Coos,New Hampshire,33007.0,7,0.0
301868,2020-07-04,Coos,Oregon,41011.0,42,0.0
304592,2020-07-05,Coos,New Hampshire,33007.0,7,0.0
305031,2020-07-05,Coos,Oregon,41011.0,42,0.0
307759,2020-07-06,Coos,New Hampshire,33007.0,9,0.0
308198,2020-07-06,Coos,Oregon,41011.0,42,0.0
310927,2020-07-07,Coos,New Hampshire,33007.0,9,0.0
311367,2020-07-07,Coos,Oregon,41011.0,46,0.0
314098,2020-07-08,Coos,New Hampshire,33007.0,9,0.0
314539,2020-07-08,Coos,Oregon,41011.0,48,0.0
317272,2020-07-09,Coos,New Hampshire,33007.0,9,0.0
317712,2020-07-09,Coos,Oregon,41011.0,52,0.0
320448,2020-07-10,Coos,New Hampshire,33007.0,9,0.0
320890,2020-07-10,Coos,Oregon,41011.0,52,0.0
323628,2020-07-11,Coos,New Hampshire,33007.0,11,0.0
324070,2020-07-11,Coos,Oregon,41011.0,54,0.0
326812,2020-07-12,Coos,New Hampshire,33007.0,11,0.0
327255,2020-07-12,Coos,Oregon,41011.0,53,0.0
329999,2020-07-13,Coos,New Hampshire,33007.0,11,0.0
330441,2020-07-13,Coos,Oregon,41011.0,54,0.0
333190,2020-07-14,Coos,New Hampshire,33007.0,11,0.0
333633,2020-07-14,Coos,Oregon,41011.0,55,0.0
336384,2020-07-15,Coos,New Hampshire,33007.0,11,0.0
336827,2020-07-15,Coos,Oregon,41011.0,58,0.0
339580,2020-07-16,Coos,New Hampshire,33007.0,11,0.0
340024,2020-07-16,Coos,Oregon,41011.0,60,0.0
342778,2020-07-17,Coos,New Hampshire,33007.0,11,0.0
343222,2020-07-17,Coos,Oregon,41011.0,64,0.0
345977,2020-07-18,Coos,New Hampshire,33007.0,13,0.0
346422,2020-07-18,Coos,Oregon,41011.0,67,0.0
349178,2020-07-19,Coos,New Hampshire,33007.0,13,0.0
349622,2020-07-19,Coos,Oregon,41011.0,69,0.0
352381,2020-07-20,Coos,New Hampshire,33007.0,13,0.0
352825,2020-07-20,Coos,Oregon,41011.0,69,0.0
355584,2020-07-21,Coos,New Hampshire,33007.0,14,0.0
356028,2020-07-21,Coos,Oregon,41011.0,70,0.0
358788,2020-07-22,Coos,New Hampshire,33007.0,14,0.0
359232,2020-07-22,Coos,Oregon,41011.0,73,0.0
361994,2020-07-23,Coos,New Hampshire,33007.0,14,0.0
362438,2020-07-23,Coos,Oregon,41011.0,76,0.0
365200,2020-07-24,Coos,New Hampshire,33007.0,16,0.0
365644,2020-07-24,Coos,Oregon,41011.0,76,0.0
368409,2020-07-25,Coos,New Hampshire,33007.0,16,0.0
368853,2020-07-25,Coos,Oregon,41011.0,79,0.0
371621,2020-07-26,Coos,New Hampshire,33007.0,16,0.0
372065,2020-07-26,Coos,Oregon,41011.0,80,0.0
374833,2020-07-27,Coos,New Hampshire,33007.0,16,0.0
