date,county,state,fips,cases,deaths
2020-03-13,Copiah,Mississippi,28029.0,1,0.0
2020-03-14,Copiah,Mississippi,28029.0,1,0.0
2020-03-15,Copiah,Mississippi,28029.0,2,0.0
2020-03-16,Copiah,Mississippi,28029.0,2,0.0
2020-03-17,Copiah,Mississippi,28029.0,2,0.0
2020-03-18,Copiah,Mississippi,28029.0,2,0.0
2020-03-19,Copiah,Mississippi,28029.0,2,0.0
2020-03-20,Copiah,Mississippi,28029.0,2,0.0
2020-03-21,Copiah,Mississippi,28029.0,2,0.0
2020-03-22,Copiah,Mississippi,28029.0,4,0.0
2020-03-23,Copiah,Mississippi,28029.0,4,0.0
2020-03-24,Copiah,Mississippi,28029.0,5,0.0
2020-03-25,Copiah,Mississippi,28029.0,6,0.0
2020-03-26,Copiah,Mississippi,28029.0,8,0.0
2020-03-27,Copiah,Mississippi,28029.0,8,0.0
2020-03-28,Copiah,Mississippi,28029.0,8,0.0
2020-03-29,Copiah,Mississippi,28029.0,8,0.0
2020-03-30,Copiah,Mississippi,28029.0,8,0.0
2020-03-31,Copiah,Mississippi,28029.0,9,0.0
2020-04-01,Copiah,Mississippi,28029.0,9,0.0
2020-04-02,Copiah,Mississippi,28029.0,10,0.0
2020-04-03,Copiah,Mississippi,28029.0,11,0.0
2020-04-04,Copiah,Mississippi,28029.0,12,0.0
2020-04-05,Copiah,Mississippi,28029.0,16,0.0
2020-04-06,Copiah,Mississippi,28029.0,16,0.0
2020-04-07,Copiah,Mississippi,28029.0,17,0.0
2020-04-08,Copiah,Mississippi,28029.0,19,0.0
2020-04-09,Copiah,Mississippi,28029.0,27,0.0
2020-04-10,Copiah,Mississippi,28029.0,30,0.0
2020-04-11,Copiah,Mississippi,28029.0,28,0.0
2020-04-12,Copiah,Mississippi,28029.0,31,0.0
2020-04-13,Copiah,Mississippi,28029.0,31,0.0
2020-04-14,Copiah,Mississippi,28029.0,31,0.0
2020-04-15,Copiah,Mississippi,28029.0,35,0.0
2020-04-16,Copiah,Mississippi,28029.0,39,1.0
2020-04-17,Copiah,Mississippi,28029.0,40,1.0
2020-04-18,Copiah,Mississippi,28029.0,41,1.0
2020-04-19,Copiah,Mississippi,28029.0,46,1.0
2020-04-20,Copiah,Mississippi,28029.0,46,1.0
2020-04-21,Copiah,Mississippi,28029.0,51,1.0
2020-04-22,Copiah,Mississippi,28029.0,52,1.0
2020-04-23,Copiah,Mississippi,28029.0,59,1.0
2020-04-24,Copiah,Mississippi,28029.0,65,1.0
2020-04-25,Copiah,Mississippi,28029.0,68,1.0
2020-04-26,Copiah,Mississippi,28029.0,71,1.0
2020-04-27,Copiah,Mississippi,28029.0,79,1.0
2020-04-28,Copiah,Mississippi,28029.0,83,1.0
2020-04-29,Copiah,Mississippi,28029.0,88,1.0
2020-04-30,Copiah,Mississippi,28029.0,96,1.0
2020-05-01,Copiah,Mississippi,28029.0,108,1.0
2020-05-02,Copiah,Mississippi,28029.0,114,1.0
2020-05-03,Copiah,Mississippi,28029.0,116,1.0
2020-05-04,Copiah,Mississippi,28029.0,124,1.0
2020-05-05,Copiah,Mississippi,28029.0,126,1.0
2020-05-06,Copiah,Mississippi,28029.0,137,1.0
2020-05-07,Copiah,Mississippi,28029.0,141,1.0
2020-05-08,Copiah,Mississippi,28029.0,152,2.0
2020-05-09,Copiah,Mississippi,28029.0,157,1.0
2020-05-10,Copiah,Mississippi,28029.0,162,1.0
2020-05-11,Copiah,Mississippi,28029.0,163,1.0
2020-05-12,Copiah,Mississippi,28029.0,165,1.0
2020-05-13,Copiah,Mississippi,28029.0,170,1.0
2020-05-14,Copiah,Mississippi,28029.0,191,1.0
