,date,county,state,fips,cases,deaths
18564,2020-03-29,Cottonwood,Minnesota,27033.0,1,0.0
20584,2020-03-30,Cottonwood,Minnesota,27033.0,1,0.0
22698,2020-03-31,Cottonwood,Minnesota,27033.0,2,0.0
24878,2020-04-01,Cottonwood,Minnesota,27033.0,3,0.0
27131,2020-04-02,Cottonwood,Minnesota,27033.0,5,0.0
29450,2020-04-03,Cottonwood,Minnesota,27033.0,5,0.0
31828,2020-04-04,Cottonwood,Minnesota,27033.0,5,0.0
34253,2020-04-05,Cottonwood,Minnesota,27033.0,5,0.0
36713,2020-04-06,Cottonwood,Minnesota,27033.0,5,0.0
39222,2020-04-07,Cottonwood,Minnesota,27033.0,5,0.0
41775,2020-04-08,Cottonwood,Minnesota,27033.0,5,0.0
44351,2020-04-09,Cottonwood,Minnesota,27033.0,5,0.0
46960,2020-04-10,Cottonwood,Minnesota,27033.0,5,0.0
49605,2020-04-11,Cottonwood,Minnesota,27033.0,5,0.0
52275,2020-04-12,Cottonwood,Minnesota,27033.0,6,0.0
54957,2020-04-13,Cottonwood,Minnesota,27033.0,6,0.0
57655,2020-04-14,Cottonwood,Minnesota,27033.0,6,0.0
60365,2020-04-15,Cottonwood,Minnesota,27033.0,6,0.0
63087,2020-04-16,Cottonwood,Minnesota,27033.0,6,0.0
65826,2020-04-17,Cottonwood,Minnesota,27033.0,6,0.0
68577,2020-04-18,Cottonwood,Minnesota,27033.0,6,0.0
71341,2020-04-19,Cottonwood,Minnesota,27033.0,6,0.0
74114,2020-04-20,Cottonwood,Minnesota,27033.0,6,0.0
76894,2020-04-21,Cottonwood,Minnesota,27033.0,6,0.0
79679,2020-04-22,Cottonwood,Minnesota,27033.0,6,0.0
82475,2020-04-23,Cottonwood,Minnesota,27033.0,6,0.0
85279,2020-04-24,Cottonwood,Minnesota,27033.0,6,0.0
88089,2020-04-25,Cottonwood,Minnesota,27033.0,6,0.0
90905,2020-04-26,Cottonwood,Minnesota,27033.0,6,0.0
93726,2020-04-27,Cottonwood,Minnesota,27033.0,9,0.0
96561,2020-04-28,Cottonwood,Minnesota,27033.0,11,0.0
99407,2020-04-29,Cottonwood,Minnesota,27033.0,20,0.0
102259,2020-04-30,Cottonwood,Minnesota,27033.0,20,0.0
105119,2020-05-01,Cottonwood,Minnesota,27033.0,23,0.0
107983,2020-05-02,Cottonwood,Minnesota,27033.0,27,0.0
110854,2020-05-03,Cottonwood,Minnesota,27033.0,28,0.0
113733,2020-05-04,Cottonwood,Minnesota,27033.0,37,0.0
116614,2020-05-05,Cottonwood,Minnesota,27033.0,41,0.0
119574,2020-05-06,Cottonwood,Minnesota,27033.0,42,0.0
122547,2020-05-07,Cottonwood,Minnesota,27033.0,43,0.0
125529,2020-05-08,Cottonwood,Minnesota,27033.0,43,0.0
128516,2020-05-09,Cottonwood,Minnesota,27033.0,45,0.0
131506,2020-05-10,Cottonwood,Minnesota,27033.0,46,0.0
134497,2020-05-11,Cottonwood,Minnesota,27033.0,47,0.0
137487,2020-05-12,Cottonwood,Minnesota,27033.0,47,0.0
140481,2020-05-13,Cottonwood,Minnesota,27033.0,47,0.0
143476,2020-05-14,Cottonwood,Minnesota,27033.0,51,0.0
146476,2020-05-15,Cottonwood,Minnesota,27033.0,52,0.0
149481,2020-05-16,Cottonwood,Minnesota,27033.0,54,0.0
152492,2020-05-17,Cottonwood,Minnesota,27033.0,56,0.0
155506,2020-05-18,Cottonwood,Minnesota,27033.0,58,0.0
158524,2020-05-19,Cottonwood,Minnesota,27033.0,59,0.0
161550,2020-05-20,Cottonwood,Minnesota,27033.0,59,0.0
164579,2020-05-21,Cottonwood,Minnesota,27033.0,59,0.0
167615,2020-05-22,Cottonwood,Minnesota,27033.0,61,0.0
170652,2020-05-23,Cottonwood,Minnesota,27033.0,62,0.0
173694,2020-05-24,Cottonwood,Minnesota,27033.0,62,0.0
176737,2020-05-25,Cottonwood,Minnesota,27033.0,64,0.0
179781,2020-05-26,Cottonwood,Minnesota,27033.0,65,0.0
182827,2020-05-27,Cottonwood,Minnesota,27033.0,65,0.0
185882,2020-05-28,Cottonwood,Minnesota,27033.0,69,0.0
188940,2020-05-29,Cottonwood,Minnesota,27033.0,69,0.0
192004,2020-05-30,Cottonwood,Minnesota,27033.0,70,0.0
195072,2020-05-31,Cottonwood,Minnesota,27033.0,75,0.0
198143,2020-06-01,Cottonwood,Minnesota,27033.0,76,0.0
201216,2020-06-02,Cottonwood,Minnesota,27033.0,76,0.0
204293,2020-06-03,Cottonwood,Minnesota,27033.0,77,0.0
207374,2020-06-04,Cottonwood,Minnesota,27033.0,79,0.0
210455,2020-06-05,Cottonwood,Minnesota,27033.0,82,0.0
213539,2020-06-06,Cottonwood,Minnesota,27033.0,86,0.0
216627,2020-06-07,Cottonwood,Minnesota,27033.0,90,0.0
219719,2020-06-08,Cottonwood,Minnesota,27033.0,92,0.0
222814,2020-06-09,Cottonwood,Minnesota,27033.0,94,0.0
225912,2020-06-10,Cottonwood,Minnesota,27033.0,94,0.0
229014,2020-06-11,Cottonwood,Minnesota,27033.0,96,0.0
232118,2020-06-12,Cottonwood,Minnesota,27033.0,101,0.0
235224,2020-06-13,Cottonwood,Minnesota,27033.0,104,0.0
238331,2020-06-14,Cottonwood,Minnesota,27033.0,106,0.0
241440,2020-06-15,Cottonwood,Minnesota,27033.0,110,0.0
244551,2020-06-16,Cottonwood,Minnesota,27033.0,111,0.0
247664,2020-06-17,Cottonwood,Minnesota,27033.0,115,0.0
250776,2020-06-18,Cottonwood,Minnesota,27033.0,115,0.0
253891,2020-06-19,Cottonwood,Minnesota,27033.0,118,0.0
257011,2020-06-20,Cottonwood,Minnesota,27033.0,121,0.0
260137,2020-06-21,Cottonwood,Minnesota,27033.0,121,0.0
263266,2020-06-22,Cottonwood,Minnesota,27033.0,123,0.0
266392,2020-06-23,Cottonwood,Minnesota,27033.0,125,0.0
269525,2020-06-24,Cottonwood,Minnesota,27033.0,126,0.0
272662,2020-06-25,Cottonwood,Minnesota,27033.0,127,0.0
275805,2020-06-26,Cottonwood,Minnesota,27033.0,130,0.0
278953,2020-06-27,Cottonwood,Minnesota,27033.0,131,0.0
282101,2020-06-28,Cottonwood,Minnesota,27033.0,131,0.0
285246,2020-06-29,Cottonwood,Minnesota,27033.0,132,0.0
288396,2020-06-30,Cottonwood,Minnesota,27033.0,133,0.0
291547,2020-07-01,Cottonwood,Minnesota,27033.0,134,0.0
294701,2020-07-02,Cottonwood,Minnesota,27033.0,134,0.0
297859,2020-07-03,Cottonwood,Minnesota,27033.0,134,0.0
301022,2020-07-04,Cottonwood,Minnesota,27033.0,134,0.0
304186,2020-07-05,Cottonwood,Minnesota,27033.0,136,0.0
307353,2020-07-06,Cottonwood,Minnesota,27033.0,136,0.0
310521,2020-07-07,Cottonwood,Minnesota,27033.0,136,0.0
313691,2020-07-08,Cottonwood,Minnesota,27033.0,137,0.0
316865,2020-07-09,Cottonwood,Minnesota,27033.0,138,0.0
320040,2020-07-10,Cottonwood,Minnesota,27033.0,138,0.0
323219,2020-07-11,Cottonwood,Minnesota,27033.0,142,0.0
326402,2020-07-12,Cottonwood,Minnesota,27033.0,141,0.0
329588,2020-07-13,Cottonwood,Minnesota,27033.0,142,0.0
332775,2020-07-14,Cottonwood,Minnesota,27033.0,142,0.0
335968,2020-07-15,Cottonwood,Minnesota,27033.0,144,0.0
339164,2020-07-16,Cottonwood,Minnesota,27033.0,146,0.0
342360,2020-07-17,Cottonwood,Minnesota,27033.0,146,0.0
345560,2020-07-18,Cottonwood,Minnesota,27033.0,146,0.0
348761,2020-07-19,Cottonwood,Minnesota,27033.0,147,0.0
351961,2020-07-20,Cottonwood,Minnesota,27033.0,148,0.0
355163,2020-07-21,Cottonwood,Minnesota,27033.0,150,0.0
358366,2020-07-22,Cottonwood,Minnesota,27033.0,150,0.0
361571,2020-07-23,Cottonwood,Minnesota,27033.0,153,0.0
364778,2020-07-24,Cottonwood,Minnesota,27033.0,155,0.0
367985,2020-07-25,Cottonwood,Minnesota,27033.0,158,0.0
371195,2020-07-26,Cottonwood,Minnesota,27033.0,159,0.0
374407,2020-07-27,Cottonwood,Minnesota,27033.0,159,0.0
377622,2020-07-28,Cottonwood,Minnesota,27033.0,159,0.0
380839,2020-07-29,Cottonwood,Minnesota,27033.0,162,0.0
384056,2020-07-30,Cottonwood,Minnesota,27033.0,165,0.0
387274,2020-07-31,Cottonwood,Minnesota,27033.0,167,0.0
390491,2020-08-01,Cottonwood,Minnesota,27033.0,170,0.0
393708,2020-08-02,Cottonwood,Minnesota,27033.0,171,0.0
396924,2020-08-03,Cottonwood,Minnesota,27033.0,171,0.0
400138,2020-08-04,Cottonwood,Minnesota,27033.0,173,0.0
403355,2020-08-05,Cottonwood,Minnesota,27033.0,173,0.0
406573,2020-08-06,Cottonwood,Minnesota,27033.0,175,0.0
409793,2020-08-07,Cottonwood,Minnesota,27033.0,176,0.0
413013,2020-08-08,Cottonwood,Minnesota,27033.0,177,0.0
416233,2020-08-09,Cottonwood,Minnesota,27033.0,178,0.0
419454,2020-08-10,Cottonwood,Minnesota,27033.0,178,0.0
422676,2020-08-11,Cottonwood,Minnesota,27033.0,178,0.0
425898,2020-08-12,Cottonwood,Minnesota,27033.0,177,0.0
429122,2020-08-13,Cottonwood,Minnesota,27033.0,178,0.0
432349,2020-08-14,Cottonwood,Minnesota,27033.0,180,0.0
435575,2020-08-15,Cottonwood,Minnesota,27033.0,180,0.0
438800,2020-08-16,Cottonwood,Minnesota,27033.0,182,0.0
442027,2020-08-17,Cottonwood,Minnesota,27033.0,187,0.0
445253,2020-08-18,Cottonwood,Minnesota,27033.0,188,0.0
448479,2020-08-19,Cottonwood,Minnesota,27033.0,188,0.0
451707,2020-08-20,Cottonwood,Minnesota,27033.0,193,0.0
454935,2020-08-21,Cottonwood,Minnesota,27033.0,194,0.0
458163,2020-08-22,Cottonwood,Minnesota,27033.0,194,0.0
461390,2020-08-23,Cottonwood,Minnesota,27033.0,194,0.0
464621,2020-08-24,Cottonwood,Minnesota,27033.0,194,0.0
467850,2020-08-25,Cottonwood,Minnesota,27033.0,195,0.0
471080,2020-08-26,Cottonwood,Minnesota,27033.0,195,0.0
474312,2020-08-27,Cottonwood,Minnesota,27033.0,196,0.0
477545,2020-08-28,Cottonwood,Minnesota,27033.0,197,0.0
480777,2020-08-29,Cottonwood,Minnesota,27033.0,197,0.0
484012,2020-08-30,Cottonwood,Minnesota,27033.0,200,0.0
487246,2020-08-31,Cottonwood,Minnesota,27033.0,203,0.0
490479,2020-09-01,Cottonwood,Minnesota,27033.0,204,0.0
493713,2020-09-02,Cottonwood,Minnesota,27033.0,202,0.0
496946,2020-09-03,Cottonwood,Minnesota,27033.0,202,0.0
500180,2020-09-04,Cottonwood,Minnesota,27033.0,202,0.0
503414,2020-09-05,Cottonwood,Minnesota,27033.0,203,0.0
506647,2020-09-06,Cottonwood,Minnesota,27033.0,204,0.0
509880,2020-09-07,Cottonwood,Minnesota,27033.0,204,0.0
513112,2020-09-08,Cottonwood,Minnesota,27033.0,206,0.0
516346,2020-09-09,Cottonwood,Minnesota,27033.0,208,0.0
519581,2020-09-10,Cottonwood,Minnesota,27033.0,208,0.0
522818,2020-09-11,Cottonwood,Minnesota,27033.0,208,0.0
526054,2020-09-12,Cottonwood,Minnesota,27033.0,208,0.0
529290,2020-09-13,Cottonwood,Minnesota,27033.0,209,0.0
532526,2020-09-14,Cottonwood,Minnesota,27033.0,210,0.0
535761,2020-09-15,Cottonwood,Minnesota,27033.0,211,0.0
538998,2020-09-16,Cottonwood,Minnesota,27033.0,211,0.0
542234,2020-09-17,Cottonwood,Minnesota,27033.0,213,0.0
545471,2020-09-18,Cottonwood,Minnesota,27033.0,214,0.0
548709,2020-09-19,Cottonwood,Minnesota,27033.0,216,0.0
551948,2020-09-20,Cottonwood,Minnesota,27033.0,219,0.0
555186,2020-09-21,Cottonwood,Minnesota,27033.0,219,0.0
558423,2020-09-22,Cottonwood,Minnesota,27033.0,219,0.0
561660,2020-09-23,Cottonwood,Minnesota,27033.0,219,0.0
564900,2020-09-24,Cottonwood,Minnesota,27033.0,224,0.0
568140,2020-09-25,Cottonwood,Minnesota,27033.0,224,0.0
571382,2020-09-26,Cottonwood,Minnesota,27033.0,225,0.0
574625,2020-09-27,Cottonwood,Minnesota,27033.0,227,0.0
577866,2020-09-28,Cottonwood,Minnesota,27033.0,228,0.0
581107,2020-09-29,Cottonwood,Minnesota,27033.0,229,0.0
584348,2020-09-30,Cottonwood,Minnesota,27033.0,229,0.0
587588,2020-10-01,Cottonwood,Minnesota,27033.0,230,0.0
590829,2020-10-02,Cottonwood,Minnesota,27033.0,232,0.0
594070,2020-10-03,Cottonwood,Minnesota,27033.0,235,0.0
597311,2020-10-04,Cottonwood,Minnesota,27033.0,239,0.0
600554,2020-10-05,Cottonwood,Minnesota,27033.0,240,0.0
603796,2020-10-06,Cottonwood,Minnesota,27033.0,241,0.0
607039,2020-10-07,Cottonwood,Minnesota,27033.0,242,0.0
610281,2020-10-08,Cottonwood,Minnesota,27033.0,243,0.0
613523,2020-10-09,Cottonwood,Minnesota,27033.0,244,0.0
616764,2020-10-10,Cottonwood,Minnesota,27033.0,244,0.0
620006,2020-10-11,Cottonwood,Minnesota,27033.0,249,0.0
623249,2020-10-12,Cottonwood,Minnesota,27033.0,249,0.0
626491,2020-10-13,Cottonwood,Minnesota,27033.0,252,0.0
629735,2020-10-14,Cottonwood,Minnesota,27033.0,251,0.0
632980,2020-10-15,Cottonwood,Minnesota,27033.0,253,0.0
636226,2020-10-16,Cottonwood,Minnesota,27033.0,253,0.0
639472,2020-10-17,Cottonwood,Minnesota,27033.0,259,0.0
642719,2020-10-18,Cottonwood,Minnesota,27033.0,261,0.0
645966,2020-10-19,Cottonwood,Minnesota,27033.0,262,0.0
649210,2020-10-20,Cottonwood,Minnesota,27033.0,264,0.0
652455,2020-10-21,Cottonwood,Minnesota,27033.0,264,0.0
655700,2020-10-22,Cottonwood,Minnesota,27033.0,265,0.0
658945,2020-10-23,Cottonwood,Minnesota,27033.0,272,0.0
662189,2020-10-24,Cottonwood,Minnesota,27033.0,276,0.0
665434,2020-10-25,Cottonwood,Minnesota,27033.0,280,0.0
668678,2020-10-26,Cottonwood,Minnesota,27033.0,282,0.0
671920,2020-10-27,Cottonwood,Minnesota,27033.0,286,0.0
675163,2020-10-28,Cottonwood,Minnesota,27033.0,290,0.0
678405,2020-10-29,Cottonwood,Minnesota,27033.0,295,0.0
681649,2020-10-30,Cottonwood,Minnesota,27033.0,299,0.0
684892,2020-10-31,Cottonwood,Minnesota,27033.0,306,0.0
688136,2020-11-01,Cottonwood,Minnesota,27033.0,318,0.0
691381,2020-11-02,Cottonwood,Minnesota,27033.0,321,0.0
694623,2020-11-03,Cottonwood,Minnesota,27033.0,329,0.0
697866,2020-11-04,Cottonwood,Minnesota,27033.0,332,0.0
701110,2020-11-05,Cottonwood,Minnesota,27033.0,340,0.0
704352,2020-11-06,Cottonwood,Minnesota,27033.0,344,0.0
707595,2020-11-07,Cottonwood,Minnesota,27033.0,365,0.0
