,date,county,state,fips,cases,deaths
26823,2020-04-02,Cowley,Kansas,20035.0,1,0.0
29137,2020-04-03,Cowley,Kansas,20035.0,1,0.0
31509,2020-04-04,Cowley,Kansas,20035.0,1,0.0
33922,2020-04-05,Cowley,Kansas,20035.0,1,0.0
36379,2020-04-06,Cowley,Kansas,20035.0,1,0.0
38881,2020-04-07,Cowley,Kansas,20035.0,1,0.0
41428,2020-04-08,Cowley,Kansas,20035.0,1,0.0
44004,2020-04-09,Cowley,Kansas,20035.0,2,1.0
46611,2020-04-10,Cowley,Kansas,20035.0,2,1.0
49245,2020-04-11,Cowley,Kansas,20035.0,2,1.0
51909,2020-04-12,Cowley,Kansas,20035.0,2,1.0
54591,2020-04-13,Cowley,Kansas,20035.0,2,1.0
57284,2020-04-14,Cowley,Kansas,20035.0,1,1.0
59992,2020-04-15,Cowley,Kansas,20035.0,1,1.0
62713,2020-04-16,Cowley,Kansas,20035.0,1,1.0
65449,2020-04-17,Cowley,Kansas,20035.0,1,1.0
68198,2020-04-18,Cowley,Kansas,20035.0,1,1.0
70959,2020-04-19,Cowley,Kansas,20035.0,1,1.0
73730,2020-04-20,Cowley,Kansas,20035.0,1,1.0
76510,2020-04-21,Cowley,Kansas,20035.0,1,1.0
79294,2020-04-22,Cowley,Kansas,20035.0,1,1.0
82087,2020-04-23,Cowley,Kansas,20035.0,1,1.0
84888,2020-04-24,Cowley,Kansas,20035.0,1,1.0
87697,2020-04-25,Cowley,Kansas,20035.0,1,1.0
90513,2020-04-26,Cowley,Kansas,20035.0,2,1.0
93334,2020-04-27,Cowley,Kansas,20035.0,3,1.0
96166,2020-04-28,Cowley,Kansas,20035.0,3,1.0
99012,2020-04-29,Cowley,Kansas,20035.0,3,1.0
101863,2020-04-30,Cowley,Kansas,20035.0,3,1.0
104723,2020-05-01,Cowley,Kansas,20035.0,3,1.0
107588,2020-05-02,Cowley,Kansas,20035.0,3,1.0
110459,2020-05-03,Cowley,Kansas,20035.0,3,1.0
113335,2020-05-04,Cowley,Kansas,20035.0,3,1.0
116217,2020-05-05,Cowley,Kansas,20035.0,3,1.0
119178,2020-05-06,Cowley,Kansas,20035.0,3,1.0
122148,2020-05-07,Cowley,Kansas,20035.0,3,1.0
125130,2020-05-08,Cowley,Kansas,20035.0,3,1.0
128118,2020-05-09,Cowley,Kansas,20035.0,3,1.0
131108,2020-05-10,Cowley,Kansas,20035.0,3,1.0
134099,2020-05-11,Cowley,Kansas,20035.0,3,1.0
137089,2020-05-12,Cowley,Kansas,20035.0,3,1.0
140082,2020-05-13,Cowley,Kansas,20035.0,3,1.0
143078,2020-05-14,Cowley,Kansas,20035.0,3,1.0
146078,2020-05-15,Cowley,Kansas,20035.0,3,1.0
149082,2020-05-16,Cowley,Kansas,20035.0,5,1.0
152093,2020-05-17,Cowley,Kansas,20035.0,5,1.0
155105,2020-05-18,Cowley,Kansas,20035.0,5,1.0
158122,2020-05-19,Cowley,Kansas,20035.0,4,1.0
161147,2020-05-20,Cowley,Kansas,20035.0,4,1.0
164176,2020-05-21,Cowley,Kansas,20035.0,4,1.0
167209,2020-05-22,Cowley,Kansas,20035.0,4,1.0
170247,2020-05-23,Cowley,Kansas,20035.0,4,1.0
173288,2020-05-24,Cowley,Kansas,20035.0,4,1.0
176332,2020-05-25,Cowley,Kansas,20035.0,4,1.0
179376,2020-05-26,Cowley,Kansas,20035.0,4,1.0
182421,2020-05-27,Cowley,Kansas,20035.0,4,1.0
185475,2020-05-28,Cowley,Kansas,20035.0,4,1.0
188533,2020-05-29,Cowley,Kansas,20035.0,5,1.0
191597,2020-05-30,Cowley,Kansas,20035.0,5,1.0
194665,2020-05-31,Cowley,Kansas,20035.0,5,1.0
197735,2020-06-01,Cowley,Kansas,20035.0,10,1.0
200807,2020-06-02,Cowley,Kansas,20035.0,10,1.0
203883,2020-06-03,Cowley,Kansas,20035.0,15,1.0
206964,2020-06-04,Cowley,Kansas,20035.0,15,1.0
210045,2020-06-05,Cowley,Kansas,20035.0,17,1.0
213130,2020-06-06,Cowley,Kansas,20035.0,17,1.0
216217,2020-06-07,Cowley,Kansas,20035.0,17,1.0
219309,2020-06-08,Cowley,Kansas,20035.0,26,1.0
222404,2020-06-09,Cowley,Kansas,20035.0,26,1.0
225499,2020-06-10,Cowley,Kansas,20035.0,27,1.0
228601,2020-06-11,Cowley,Kansas,20035.0,27,1.0
231704,2020-06-12,Cowley,Kansas,20035.0,39,1.0
234810,2020-06-13,Cowley,Kansas,20035.0,39,1.0
237917,2020-06-14,Cowley,Kansas,20035.0,39,1.0
241026,2020-06-15,Cowley,Kansas,20035.0,41,1.0
244137,2020-06-16,Cowley,Kansas,20035.0,41,1.0
247250,2020-06-17,Cowley,Kansas,20035.0,45,1.0
250362,2020-06-18,Cowley,Kansas,20035.0,45,1.0
253477,2020-06-19,Cowley,Kansas,20035.0,52,1.0
256597,2020-06-20,Cowley,Kansas,20035.0,52,1.0
259723,2020-06-21,Cowley,Kansas,20035.0,52,1.0
262850,2020-06-22,Cowley,Kansas,20035.0,59,1.0
265978,2020-06-23,Cowley,Kansas,20035.0,59,1.0
269108,2020-06-24,Cowley,Kansas,20035.0,61,1.0
272245,2020-06-25,Cowley,Kansas,20035.0,61,1.0
275387,2020-06-26,Cowley,Kansas,20035.0,66,1.0
278535,2020-06-27,Cowley,Kansas,20035.0,66,1.0
281683,2020-06-28,Cowley,Kansas,20035.0,66,1.0
284828,2020-06-29,Cowley,Kansas,20035.0,70,1.0
287977,2020-06-30,Cowley,Kansas,20035.0,70,1.0
291127,2020-07-01,Cowley,Kansas,20035.0,71,1.0
294281,2020-07-02,Cowley,Kansas,20035.0,71,1.0
297439,2020-07-03,Cowley,Kansas,20035.0,73,1.0
300601,2020-07-04,Cowley,Kansas,20035.0,73,1.0
303765,2020-07-05,Cowley,Kansas,20035.0,73,1.0
306930,2020-07-06,Cowley,Kansas,20035.0,76,1.0
310098,2020-07-07,Cowley,Kansas,20035.0,76,1.0
313268,2020-07-08,Cowley,Kansas,20035.0,77,1.0
316442,2020-07-09,Cowley,Kansas,20035.0,77,1.0
319615,2020-07-10,Cowley,Kansas,20035.0,79,1.0
322794,2020-07-11,Cowley,Kansas,20035.0,79,1.0
325975,2020-07-12,Cowley,Kansas,20035.0,83,1.0
329161,2020-07-13,Cowley,Kansas,20035.0,88,1.0
332348,2020-07-14,Cowley,Kansas,20035.0,88,1.0
335541,2020-07-15,Cowley,Kansas,20035.0,90,1.0
338737,2020-07-16,Cowley,Kansas,20035.0,90,1.0
341933,2020-07-17,Cowley,Kansas,20035.0,97,1.0
345133,2020-07-18,Cowley,Kansas,20035.0,97,1.0
348334,2020-07-19,Cowley,Kansas,20035.0,97,1.0
351534,2020-07-20,Cowley,Kansas,20035.0,118,1.0
354736,2020-07-21,Cowley,Kansas,20035.0,118,2.0
357938,2020-07-22,Cowley,Kansas,20035.0,118,2.0
361143,2020-07-23,Cowley,Kansas,20035.0,124,2.0
364350,2020-07-24,Cowley,Kansas,20035.0,128,2.0
367557,2020-07-25,Cowley,Kansas,20035.0,128,2.0
370767,2020-07-26,Cowley,Kansas,20035.0,128,2.0
373979,2020-07-27,Cowley,Kansas,20035.0,140,2.0
377194,2020-07-28,Cowley,Kansas,20035.0,140,2.0
380411,2020-07-29,Cowley,Kansas,20035.0,146,2.0
383628,2020-07-30,Cowley,Kansas,20035.0,146,2.0
386846,2020-07-31,Cowley,Kansas,20035.0,151,2.0
390063,2020-08-01,Cowley,Kansas,20035.0,151,2.0
393280,2020-08-02,Cowley,Kansas,20035.0,151,2.0
396496,2020-08-03,Cowley,Kansas,20035.0,158,2.0
399711,2020-08-04,Cowley,Kansas,20035.0,160,2.0
402928,2020-08-05,Cowley,Kansas,20035.0,160,2.0
406146,2020-08-06,Cowley,Kansas,20035.0,160,2.0
409365,2020-08-07,Cowley,Kansas,20035.0,165,2.0
412585,2020-08-08,Cowley,Kansas,20035.0,165,2.0
415805,2020-08-09,Cowley,Kansas,20035.0,165,2.0
419026,2020-08-10,Cowley,Kansas,20035.0,173,2.0
422249,2020-08-11,Cowley,Kansas,20035.0,174,2.0
425470,2020-08-12,Cowley,Kansas,20035.0,178,2.0
428694,2020-08-13,Cowley,Kansas,20035.0,178,2.0
431922,2020-08-14,Cowley,Kansas,20035.0,182,2.0
435147,2020-08-15,Cowley,Kansas,20035.0,182,2.0
438372,2020-08-16,Cowley,Kansas,20035.0,182,2.0
441599,2020-08-17,Cowley,Kansas,20035.0,198,2.0
444825,2020-08-18,Cowley,Kansas,20035.0,198,2.0
448052,2020-08-19,Cowley,Kansas,20035.0,203,2.0
451280,2020-08-20,Cowley,Kansas,20035.0,203,2.0
454508,2020-08-21,Cowley,Kansas,20035.0,222,3.0
457736,2020-08-22,Cowley,Kansas,20035.0,222,3.0
460963,2020-08-23,Cowley,Kansas,20035.0,222,3.0
464192,2020-08-24,Cowley,Kansas,20035.0,240,3.0
467421,2020-08-25,Cowley,Kansas,20035.0,240,3.0
470650,2020-08-26,Cowley,Kansas,20035.0,247,3.0
473882,2020-08-27,Cowley,Kansas,20035.0,247,3.0
477115,2020-08-28,Cowley,Kansas,20035.0,249,3.0
