date,county,state,fips,cases,deaths
2020-03-19,Crittenden,Arkansas,5035.0,1,0.0
2020-03-20,Crittenden,Arkansas,5035.0,1,0.0
2020-03-21,Crittenden,Arkansas,5035.0,1,0.0
2020-03-22,Crittenden,Arkansas,5035.0,1,0.0
2020-03-23,Crittenden,Arkansas,5035.0,1,0.0
2020-03-24,Crittenden,Arkansas,5035.0,3,0.0
2020-03-25,Crittenden,Arkansas,5035.0,7,0.0
2020-03-26,Crittenden,Arkansas,5035.0,7,0.0
2020-03-27,Crittenden,Arkansas,5035.0,12,0.0
2020-03-28,Crittenden,Arkansas,5035.0,15,0.0
2020-03-29,Crittenden,Arkansas,5035.0,17,0.0
2020-03-30,Crittenden,Arkansas,5035.0,17,0.0
2020-03-31,Crittenden,Arkansas,5035.0,29,0.0
2020-04-01,Crittenden,Arkansas,5035.0,31,0.0
2020-04-02,Crittenden,Arkansas,5035.0,32,0.0
2020-04-02,Crittenden,Kentucky,21055.0,1,0.0
2020-04-03,Crittenden,Arkansas,5035.0,43,0.0
2020-04-03,Crittenden,Kentucky,21055.0,1,0.0
2020-04-04,Crittenden,Arkansas,5035.0,44,0.0
2020-04-04,Crittenden,Kentucky,21055.0,1,0.0
2020-04-05,Crittenden,Arkansas,5035.0,53,0.0
2020-04-05,Crittenden,Kentucky,21055.0,1,0.0
2020-04-06,Crittenden,Arkansas,5035.0,58,1.0
2020-04-06,Crittenden,Kentucky,21055.0,1,0.0
2020-04-07,Crittenden,Arkansas,5035.0,61,1.0
2020-04-07,Crittenden,Kentucky,21055.0,2,0.0
2020-04-08,Crittenden,Arkansas,5035.0,65,1.0
2020-04-08,Crittenden,Kentucky,21055.0,3,0.0
2020-04-09,Crittenden,Arkansas,5035.0,77,2.0
2020-04-09,Crittenden,Kentucky,21055.0,3,0.0
2020-04-10,Crittenden,Arkansas,5035.0,89,2.0
2020-04-10,Crittenden,Kentucky,21055.0,3,0.0
2020-04-11,Crittenden,Arkansas,5035.0,89,2.0
2020-04-11,Crittenden,Kentucky,21055.0,3,0.0
2020-04-12,Crittenden,Arkansas,5035.0,93,2.0
2020-04-12,Crittenden,Kentucky,21055.0,3,0.0
2020-04-13,Crittenden,Arkansas,5035.0,115,2.0
2020-04-13,Crittenden,Kentucky,21055.0,3,0.0
2020-04-14,Crittenden,Arkansas,5035.0,116,2.0
2020-04-14,Crittenden,Kentucky,21055.0,3,0.0
2020-04-15,Crittenden,Arkansas,5035.0,122,2.0
2020-04-15,Crittenden,Kentucky,21055.0,3,0.0
2020-04-16,Crittenden,Arkansas,5035.0,122,4.0
2020-04-16,Crittenden,Kentucky,21055.0,3,0.0
2020-04-17,Crittenden,Arkansas,5035.0,127,4.0
2020-04-17,Crittenden,Kentucky,21055.0,3,0.0
2020-04-18,Crittenden,Arkansas,5035.0,138,4.0
2020-04-18,Crittenden,Kentucky,21055.0,3,0.0
2020-04-19,Crittenden,Arkansas,5035.0,139,4.0
2020-04-19,Crittenden,Kentucky,21055.0,3,0.0
2020-04-20,Crittenden,Arkansas,5035.0,142,5.0
2020-04-20,Crittenden,Kentucky,21055.0,3,1.0
2020-04-21,Crittenden,Arkansas,5035.0,147,5.0
2020-04-21,Crittenden,Kentucky,21055.0,3,1.0
2020-04-22,Crittenden,Arkansas,5035.0,147,5.0
2020-04-22,Crittenden,Kentucky,21055.0,3,1.0
2020-04-23,Crittenden,Arkansas,5035.0,156,5.0
2020-04-23,Crittenden,Kentucky,21055.0,3,1.0
2020-04-24,Crittenden,Arkansas,5035.0,167,5.0
2020-04-24,Crittenden,Kentucky,21055.0,3,1.0
2020-04-25,Crittenden,Arkansas,5035.0,169,5.0
2020-04-25,Crittenden,Kentucky,21055.0,3,1.0
2020-04-26,Crittenden,Arkansas,5035.0,171,5.0
2020-04-26,Crittenden,Kentucky,21055.0,3,1.0
2020-04-27,Crittenden,Arkansas,5035.0,174,5.0
2020-04-27,Crittenden,Kentucky,21055.0,3,1.0
2020-04-28,Crittenden,Arkansas,5035.0,177,5.0
2020-04-28,Crittenden,Kentucky,21055.0,4,1.0
2020-04-29,Crittenden,Arkansas,5035.0,181,5.0
2020-04-29,Crittenden,Kentucky,21055.0,4,1.0
2020-04-30,Crittenden,Arkansas,5035.0,187,5.0
2020-04-30,Crittenden,Kentucky,21055.0,4,1.0
2020-05-01,Crittenden,Arkansas,5035.0,188,5.0
2020-05-01,Crittenden,Kentucky,21055.0,4,1.0
2020-05-02,Crittenden,Arkansas,5035.0,193,5.0
2020-05-02,Crittenden,Kentucky,21055.0,4,1.0
2020-05-03,Crittenden,Arkansas,5035.0,197,5.0
2020-05-03,Crittenden,Kentucky,21055.0,4,1.0
2020-05-04,Crittenden,Arkansas,5035.0,196,7.0
2020-05-04,Crittenden,Kentucky,21055.0,4,1.0
2020-05-05,Crittenden,Arkansas,5035.0,197,7.0
2020-05-05,Crittenden,Kentucky,21055.0,4,1.0
2020-05-06,Crittenden,Arkansas,5035.0,202,7.0
2020-05-06,Crittenden,Kentucky,21055.0,4,1.0
2020-05-07,Crittenden,Arkansas,5035.0,203,7.0
2020-05-07,Crittenden,Kentucky,21055.0,4,1.0
2020-05-08,Crittenden,Arkansas,5035.0,205,7.0
2020-05-08,Crittenden,Kentucky,21055.0,4,1.0
2020-05-09,Crittenden,Arkansas,5035.0,205,7.0
2020-05-09,Crittenden,Kentucky,21055.0,4,1.0
2020-05-10,Crittenden,Arkansas,5035.0,210,7.0
2020-05-10,Crittenden,Kentucky,21055.0,4,1.0
2020-05-11,Crittenden,Arkansas,5035.0,210,7.0
2020-05-11,Crittenden,Kentucky,21055.0,4,1.0
2020-05-12,Crittenden,Arkansas,5035.0,212,7.0
2020-05-12,Crittenden,Kentucky,21055.0,4,1.0
2020-05-13,Crittenden,Arkansas,5035.0,216,7.0
2020-05-13,Crittenden,Kentucky,21055.0,4,1.0
2020-05-14,Crittenden,Arkansas,5035.0,219,7.0
2020-05-14,Crittenden,Kentucky,21055.0,4,1.0
2020-05-15,Crittenden,Arkansas,5035.0,229,7.0
2020-05-15,Crittenden,Kentucky,21055.0,4,1.0
2020-05-16,Crittenden,Arkansas,5035.0,230,7.0
2020-05-16,Crittenden,Kentucky,21055.0,4,1.0
2020-05-17,Crittenden,Arkansas,5035.0,234,7.0
2020-05-17,Crittenden,Kentucky,21055.0,4,1.0
2020-05-18,Crittenden,Arkansas,5035.0,237,7.0
2020-05-18,Crittenden,Kentucky,21055.0,4,1.0
2020-05-19,Crittenden,Arkansas,5035.0,241,7.0
2020-05-19,Crittenden,Kentucky,21055.0,4,1.0
2020-05-20,Crittenden,Arkansas,5035.0,250,8.0
2020-05-20,Crittenden,Kentucky,21055.0,4,1.0
2020-05-21,Crittenden,Arkansas,5035.0,267,8.0
2020-05-21,Crittenden,Kentucky,21055.0,4,1.0
2020-05-22,Crittenden,Arkansas,5035.0,276,8.0
2020-05-22,Crittenden,Kentucky,21055.0,5,1.0
2020-05-23,Crittenden,Arkansas,5035.0,280,9.0
2020-05-23,Crittenden,Kentucky,21055.0,5,1.0
2020-05-24,Crittenden,Arkansas,5035.0,285,9.0
2020-05-24,Crittenden,Kentucky,21055.0,5,1.0
2020-05-25,Crittenden,Arkansas,5035.0,293,9.0
2020-05-25,Crittenden,Kentucky,21055.0,5,1.0
2020-05-26,Crittenden,Arkansas,5035.0,297,9.0
2020-05-26,Crittenden,Kentucky,21055.0,5,1.0
2020-05-27,Crittenden,Arkansas,5035.0,301,9.0
2020-05-27,Crittenden,Kentucky,21055.0,5,1.0
2020-05-28,Crittenden,Arkansas,5035.0,318,9.0
2020-05-28,Crittenden,Kentucky,21055.0,5,1.0
2020-05-29,Crittenden,Arkansas,5035.0,341,9.0
2020-05-29,Crittenden,Kentucky,21055.0,6,1.0
2020-05-30,Crittenden,Arkansas,5035.0,367,9.0
2020-05-30,Crittenden,Kentucky,21055.0,6,1.0
2020-05-31,Crittenden,Arkansas,5035.0,380,9.0
2020-05-31,Crittenden,Kentucky,21055.0,6,1.0
2020-06-01,Crittenden,Arkansas,5035.0,386,9.0
2020-06-01,Crittenden,Kentucky,21055.0,6,1.0
2020-06-02,Crittenden,Arkansas,5035.0,395,9.0
2020-06-02,Crittenden,Kentucky,21055.0,7,1.0
2020-06-03,Crittenden,Arkansas,5035.0,413,9.0
2020-06-03,Crittenden,Kentucky,21055.0,7,1.0
2020-06-04,Crittenden,Arkansas,5035.0,426,9.0
2020-06-04,Crittenden,Kentucky,21055.0,7,1.0
2020-06-05,Crittenden,Arkansas,5035.0,436,9.0
2020-06-05,Crittenden,Kentucky,21055.0,7,1.0
