date,county,state,fips,cases,deaths
2020-03-24,Curry,New Mexico,35009.0,1,0.0
2020-03-25,Curry,New Mexico,35009.0,1,0.0
2020-03-26,Curry,New Mexico,35009.0,1,0.0
2020-03-27,Curry,New Mexico,35009.0,1,0.0
2020-03-28,Curry,New Mexico,35009.0,1,0.0
2020-03-29,Curry,New Mexico,35009.0,3,0.0
2020-03-30,Curry,New Mexico,35009.0,3,0.0
2020-03-31,Curry,New Mexico,35009.0,3,0.0
2020-04-01,Curry,New Mexico,35009.0,5,0.0
2020-04-02,Curry,New Mexico,35009.0,6,0.0
2020-04-03,Curry,New Mexico,35009.0,6,0.0
2020-04-04,Curry,New Mexico,35009.0,6,0.0
2020-04-05,Curry,New Mexico,35009.0,6,0.0
2020-04-06,Curry,New Mexico,35009.0,6,0.0
2020-04-06,Curry,Oregon,41015.0,2,0.0
2020-04-07,Curry,New Mexico,35009.0,8,0.0
2020-04-07,Curry,Oregon,41015.0,2,0.0
2020-04-08,Curry,New Mexico,35009.0,8,0.0
2020-04-08,Curry,Oregon,41015.0,2,0.0
2020-04-09,Curry,New Mexico,35009.0,9,0.0
2020-04-09,Curry,Oregon,41015.0,3,0.0
2020-04-10,Curry,New Mexico,35009.0,9,0.0
2020-04-10,Curry,Oregon,41015.0,3,0.0
2020-04-11,Curry,New Mexico,35009.0,9,0.0
2020-04-11,Curry,Oregon,41015.0,3,0.0
2020-04-12,Curry,New Mexico,35009.0,10,0.0
2020-04-12,Curry,Oregon,41015.0,3,0.0
2020-04-13,Curry,New Mexico,35009.0,10,0.0
2020-04-13,Curry,Oregon,41015.0,3,0.0
2020-04-14,Curry,New Mexico,35009.0,10,0.0
2020-04-14,Curry,Oregon,41015.0,3,0.0
2020-04-15,Curry,New Mexico,35009.0,10,0.0
2020-04-15,Curry,Oregon,41015.0,3,0.0
2020-04-16,Curry,New Mexico,35009.0,10,0.0
2020-04-16,Curry,Oregon,41015.0,3,0.0
2020-04-17,Curry,New Mexico,35009.0,10,0.0
2020-04-17,Curry,Oregon,41015.0,3,0.0
2020-04-18,Curry,New Mexico,35009.0,10,0.0
2020-04-18,Curry,Oregon,41015.0,4,0.0
2020-04-19,Curry,New Mexico,35009.0,10,0.0
2020-04-19,Curry,Oregon,41015.0,4,0.0
2020-04-20,Curry,New Mexico,35009.0,10,0.0
2020-04-20,Curry,Oregon,41015.0,4,0.0
2020-04-21,Curry,New Mexico,35009.0,10,0.0
2020-04-21,Curry,Oregon,41015.0,4,0.0
2020-04-22,Curry,New Mexico,35009.0,10,0.0
2020-04-22,Curry,Oregon,41015.0,4,0.0
2020-04-23,Curry,New Mexico,35009.0,10,0.0
2020-04-23,Curry,Oregon,41015.0,4,0.0
2020-04-24,Curry,New Mexico,35009.0,10,0.0
2020-04-24,Curry,Oregon,41015.0,4,0.0
2020-04-25,Curry,New Mexico,35009.0,11,0.0
2020-04-25,Curry,Oregon,41015.0,4,0.0
2020-04-26,Curry,New Mexico,35009.0,13,0.0
2020-04-26,Curry,Oregon,41015.0,4,0.0
2020-04-27,Curry,New Mexico,35009.0,12,0.0
2020-04-27,Curry,Oregon,41015.0,4,0.0
2020-04-28,Curry,New Mexico,35009.0,13,0.0
2020-04-28,Curry,Oregon,41015.0,4,0.0
2020-04-29,Curry,New Mexico,35009.0,13,0.0
2020-04-29,Curry,Oregon,41015.0,4,0.0
2020-04-30,Curry,New Mexico,35009.0,17,0.0
2020-04-30,Curry,Oregon,41015.0,4,0.0
2020-05-01,Curry,New Mexico,35009.0,17,0.0
2020-05-01,Curry,Oregon,41015.0,4,0.0
2020-05-02,Curry,New Mexico,35009.0,18,0.0
2020-05-02,Curry,Oregon,41015.0,4,0.0
2020-05-03,Curry,New Mexico,35009.0,18,0.0
2020-05-03,Curry,Oregon,41015.0,4,0.0
2020-05-04,Curry,New Mexico,35009.0,19,0.0
2020-05-04,Curry,Oregon,41015.0,4,0.0
2020-05-05,Curry,New Mexico,35009.0,20,0.0
2020-05-05,Curry,Oregon,41015.0,4,0.0
2020-05-06,Curry,New Mexico,35009.0,23,0.0
2020-05-06,Curry,Oregon,41015.0,4,0.0
2020-05-07,Curry,New Mexico,35009.0,26,0.0
