date,county,state,fips,cases,deaths
2020-03-10,Dallas,Texas,48113.0,2,0.0
2020-03-11,Dallas,Texas,48113.0,3,0.0
2020-03-12,Dallas,Texas,48113.0,8,0.0
2020-03-13,Dallas,Texas,48113.0,9,0.0
2020-03-14,Dallas,Iowa,19049.0,1,0.0
2020-03-14,Dallas,Texas,48113.0,11,0.0
2020-03-15,Dallas,Iowa,19049.0,1,0.0
2020-03-15,Dallas,Texas,48113.0,14,0.0
2020-03-16,Dallas,Iowa,19049.0,1,0.0
2020-03-16,Dallas,Texas,48113.0,14,0.0
2020-03-17,Dallas,Iowa,19049.0,3,0.0
2020-03-17,Dallas,Texas,48113.0,23,0.0
2020-03-18,Dallas,Iowa,19049.0,5,0.0
2020-03-18,Dallas,Texas,48113.0,34,0.0
2020-03-19,Dallas,Iowa,19049.0,5,0.0
2020-03-19,Dallas,Texas,48113.0,56,1.0
2020-03-20,Dallas,Iowa,19049.0,5,0.0
2020-03-20,Dallas,Texas,48113.0,74,1.0
2020-03-21,Dallas,Iowa,19049.0,5,0.0
2020-03-21,Dallas,Texas,48113.0,95,1.0
2020-03-22,Dallas,Iowa,19049.0,6,0.0
2020-03-22,Dallas,Texas,48113.0,132,2.0
2020-03-23,Dallas,Iowa,19049.0,6,0.0
2020-03-23,Dallas,Texas,48113.0,159,2.0
2020-03-24,Dallas,Iowa,19049.0,7,0.0
2020-03-24,Dallas,Texas,48113.0,169,5.0
2020-03-25,Dallas,Alabama,1047.0,2,0.0
2020-03-25,Dallas,Iowa,19049.0,7,0.0
2020-03-25,Dallas,Texas,48113.0,169,6.0
2020-03-26,Dallas,Alabama,1047.0,2,0.0
2020-03-26,Dallas,Iowa,19049.0,7,0.0
2020-03-26,Dallas,Texas,48113.0,303,7.0
2020-03-27,Dallas,Alabama,1047.0,2,0.0
2020-03-27,Dallas,Iowa,19049.0,9,0.0
2020-03-27,Dallas,Texas,48113.0,367,7.0
2020-03-28,Dallas,Alabama,1047.0,2,0.0
2020-03-28,Dallas,Iowa,19049.0,15,0.0
2020-03-28,Dallas,Texas,48113.0,439,9.0
2020-03-29,Dallas,Alabama,1047.0,2,0.0
2020-03-29,Dallas,Iowa,19049.0,17,0.0
