,date,county,state,fips,cases,deaths
78,2020-02-05,Dane,Wisconsin,55025.0,1,0.0
87,2020-02-06,Dane,Wisconsin,55025.0,1,0.0
96,2020-02-07,Dane,Wisconsin,55025.0,1,0.0
105,2020-02-08,Dane,Wisconsin,55025.0,1,0.0
114,2020-02-09,Dane,Wisconsin,55025.0,1,0.0
124,2020-02-10,Dane,Wisconsin,55025.0,1,0.0
134,2020-02-11,Dane,Wisconsin,55025.0,1,0.0
145,2020-02-12,Dane,Wisconsin,55025.0,1,0.0
156,2020-02-13,Dane,Wisconsin,55025.0,1,0.0
167,2020-02-14,Dane,Wisconsin,55025.0,1,0.0
178,2020-02-15,Dane,Wisconsin,55025.0,1,0.0
189,2020-02-16,Dane,Wisconsin,55025.0,1,0.0
201,2020-02-17,Dane,Wisconsin,55025.0,1,0.0
213,2020-02-18,Dane,Wisconsin,55025.0,1,0.0
225,2020-02-19,Dane,Wisconsin,55025.0,1,0.0
238,2020-02-20,Dane,Wisconsin,55025.0,1,0.0
252,2020-02-21,Dane,Wisconsin,55025.0,1,0.0
266,2020-02-22,Dane,Wisconsin,55025.0,1,0.0
280,2020-02-23,Dane,Wisconsin,55025.0,1,0.0
296,2020-02-24,Dane,Wisconsin,55025.0,1,0.0
313,2020-02-25,Dane,Wisconsin,55025.0,1,0.0
333,2020-02-26,Dane,Wisconsin,55025.0,1,0.0
353,2020-02-27,Dane,Wisconsin,55025.0,1,0.0
375,2020-02-28,Dane,Wisconsin,55025.0,1,0.0
397,2020-02-29,Dane,Wisconsin,55025.0,1,0.0
424,2020-03-01,Dane,Wisconsin,55025.0,1,0.0
457,2020-03-02,Dane,Wisconsin,55025.0,1,0.0
492,2020-03-03,Dane,Wisconsin,55025.0,1,0.0
531,2020-03-04,Dane,Wisconsin,55025.0,1,0.0
580,2020-03-05,Dane,Wisconsin,55025.0,1,0.0
654,2020-03-06,Dane,Wisconsin,55025.0,1,0.0
749,2020-03-07,Dane,Wisconsin,55025.0,1,0.0
862,2020-03-08,Dane,Wisconsin,55025.0,1,0.0
993,2020-03-09,Dane,Wisconsin,55025.0,1,0.0
1158,2020-03-10,Dane,Wisconsin,55025.0,2,0.0
1359,2020-03-11,Dane,Wisconsin,55025.0,2,0.0
1614,2020-03-12,Dane,Wisconsin,55025.0,4,0.0
1925,2020-03-13,Dane,Wisconsin,55025.0,5,0.0
2299,2020-03-14,Dane,Wisconsin,55025.0,6,0.0
2728,2020-03-15,Dane,Wisconsin,55025.0,6,0.0
3202,2020-03-16,Dane,Wisconsin,55025.0,10,0.0
3745,2020-03-17,Dane,Wisconsin,55025.0,19,0.0
4382,2020-03-18,Dane,Wisconsin,55025.0,23,0.0
5144,2020-03-19,Dane,Wisconsin,55025.0,27,0.0
6051,2020-03-20,Dane,Wisconsin,55025.0,32,0.0
7084,2020-03-21,Dane,Wisconsin,55025.0,49,0.0
8222,2020-03-22,Dane,Wisconsin,55025.0,61,0.0
9447,2020-03-23,Dane,Wisconsin,55025.0,61,0.0
10801,2020-03-24,Dane,Wisconsin,55025.0,72,0.0
12328,2020-03-25,Dane,Wisconsin,55025.0,88,1.0
13982,2020-03-26,Dane,Wisconsin,55025.0,114,1.0
15754,2020-03-27,Dane,Wisconsin,55025.0,158,1.0
17634,2020-03-28,Dane,Wisconsin,55025.0,158,1.0
19603,2020-03-29,Dane,Wisconsin,55025.0,179,1.0
21672,2020-03-30,Dane,Wisconsin,55025.0,183,2.0
23824,2020-03-31,Dane,Wisconsin,55025.0,194,2.0
26044,2020-04-01,Dane,Wisconsin,55025.0,215,2.0
28337,2020-04-02,Dane,Wisconsin,55025.0,228,3.0
30692,2020-04-03,Dane,Wisconsin,55025.0,244,4.0
33093,2020-04-04,Dane,Wisconsin,55025.0,253,8.0
35531,2020-04-05,Dane,Wisconsin,55025.0,269,8.0
38017,2020-04-06,Dane,Wisconsin,55025.0,278,9.0
40558,2020-04-07,Dane,Wisconsin,55025.0,289,11.0
43130,2020-04-08,Dane,Wisconsin,55025.0,302,11.0
45727,2020-04-09,Dane,Wisconsin,55025.0,307,11.0
48355,2020-04-10,Dane,Wisconsin,55025.0,313,12.0
51015,2020-04-11,Dane,Wisconsin,55025.0,327,12.0
53692,2020-04-12,Dane,Wisconsin,55025.0,334,12.0
56382,2020-04-13,Dane,Wisconsin,55025.0,340,12.0
59089,2020-04-14,Dane,Wisconsin,55025.0,344,13.0
61808,2020-04-15,Dane,Wisconsin,55025.0,351,15.0
64541,2020-04-16,Dane,Wisconsin,55025.0,352,16.0
67289,2020-04-17,Dane,Wisconsin,55025.0,351,16.0
70051,2020-04-18,Dane,Wisconsin,55025.0,358,17.0
72820,2020-04-19,Dane,Wisconsin,55025.0,361,20.0
75596,2020-04-20,Dane,Wisconsin,55025.0,364,20.0
78379,2020-04-21,Dane,Wisconsin,55025.0,381,20.0
81172,2020-04-22,Dane,Wisconsin,55025.0,386,20.0
83973,2020-04-23,Dane,Wisconsin,55025.0,387,21.0
86780,2020-04-24,Dane,Wisconsin,55025.0,395,21.0
89596,2020-04-25,Dane,Wisconsin,55025.0,401,21.0
92414,2020-04-26,Dane,Wisconsin,55025.0,405,21.0
95244,2020-04-27,Dane,Wisconsin,55025.0,412,21.0
98089,2020-04-28,Dane,Wisconsin,55025.0,417,22.0
100939,2020-04-29,Dane,Wisconsin,55025.0,424,22.0
103794,2020-04-30,Dane,Wisconsin,55025.0,428,22.0
106658,2020-05-01,Dane,Wisconsin,55025.0,430,23.0
109527,2020-05-02,Dane,Wisconsin,55025.0,433,22.0
112402,2020-05-03,Dane,Wisconsin,55025.0,436,22.0
115285,2020-05-04,Dane,Wisconsin,55025.0,441,22.0
118244,2020-05-05,Dane,Wisconsin,55025.0,443,22.0
121209,2020-05-06,Dane,Wisconsin,55025.0,445,22.0
124189,2020-05-07,Dane,Wisconsin,55025.0,447,22.0
127174,2020-05-08,Dane,Wisconsin,55025.0,455,22.0
130164,2020-05-09,Dane,Wisconsin,55025.0,465,22.0
133154,2020-05-10,Dane,Wisconsin,55025.0,472,22.0
136144,2020-05-11,Dane,Wisconsin,55025.0,474,22.0
139135,2020-05-12,Dane,Wisconsin,55025.0,483,22.0
142131,2020-05-13,Dane,Wisconsin,55025.0,491,22.0
145129,2020-05-14,Dane,Wisconsin,55025.0,499,22.0
148132,2020-05-15,Dane,Wisconsin,55025.0,517,25.0
151141,2020-05-16,Dane,Wisconsin,55025.0,523,25.0
154153,2020-05-17,Dane,Wisconsin,55025.0,537,25.0
157169,2020-05-18,Dane,Wisconsin,55025.0,538,25.0
160193,2020-05-19,Dane,Wisconsin,55025.0,548,25.0
163221,2020-05-20,Dane,Wisconsin,55025.0,566,26.0
166250,2020-05-21,Dane,Wisconsin,55025.0,583,26.0
169286,2020-05-22,Dane,Wisconsin,55025.0,590,26.0
172327,2020-05-23,Dane,Wisconsin,55025.0,597,26.0
175370,2020-05-24,Dane,Wisconsin,55025.0,601,26.0
178415,2020-05-25,Dane,Wisconsin,55025.0,615,26.0
181459,2020-05-26,Dane,Wisconsin,55025.0,630,26.0
184510,2020-05-27,Dane,Wisconsin,55025.0,655,27.0
187567,2020-05-28,Dane,Wisconsin,55025.0,686,27.0
190631,2020-05-29,Dane,Wisconsin,55025.0,713,28.0
193697,2020-05-30,Dane,Wisconsin,55025.0,728,29.0
196767,2020-05-31,Dane,Wisconsin,55025.0,733,29.0
199840,2020-06-01,Dane,Wisconsin,55025.0,737,29.0
202916,2020-06-02,Dane,Wisconsin,55025.0,759,29.0
205995,2020-06-03,Dane,Wisconsin,55025.0,775,29.0
209077,2020-06-04,Dane,Wisconsin,55025.0,791,29.0
212162,2020-06-05,Dane,Wisconsin,55025.0,804,29.0
215249,2020-06-06,Dane,Wisconsin,55025.0,824,29.0
218339,2020-06-07,Dane,Wisconsin,55025.0,844,29.0
221431,2020-06-08,Dane,Wisconsin,55025.0,856,29.0
224527,2020-06-09,Dane,Wisconsin,55025.0,871,30.0
227627,2020-06-10,Dane,Wisconsin,55025.0,884,31.0
230731,2020-06-11,Dane,Wisconsin,55025.0,913,31.0
