date,county,state,fips,cases,deaths
2020-03-17,Darke,Ohio,39037.0,1,0.0
2020-03-18,Darke,Ohio,39037.0,1,0.0
2020-03-19,Darke,Ohio,39037.0,1,0.0
2020-03-20,Darke,Ohio,39037.0,1,0.0
2020-03-21,Darke,Ohio,39037.0,1,0.0
2020-03-22,Darke,Ohio,39037.0,1,0.0
2020-03-23,Darke,Ohio,39037.0,1,0.0
2020-03-24,Darke,Ohio,39037.0,1,0.0
2020-03-25,Darke,Ohio,39037.0,1,0.0
2020-03-26,Darke,Ohio,39037.0,1,0.0
2020-03-27,Darke,Ohio,39037.0,1,0.0
2020-03-28,Darke,Ohio,39037.0,1,0.0
2020-03-29,Darke,Ohio,39037.0,3,0.0
2020-03-30,Darke,Ohio,39037.0,12,0.0
2020-03-31,Darke,Ohio,39037.0,13,1.0
2020-04-01,Darke,Ohio,39037.0,22,1.0
2020-04-02,Darke,Ohio,39037.0,22,1.0
2020-04-03,Darke,Ohio,39037.0,26,1.0
2020-04-04,Darke,Ohio,39037.0,28,2.0
2020-04-05,Darke,Ohio,39037.0,32,4.0
2020-04-06,Darke,Ohio,39037.0,32,6.0
2020-04-07,Darke,Ohio,39037.0,34,6.0
2020-04-08,Darke,Ohio,39037.0,38,7.0
2020-04-09,Darke,Ohio,39037.0,40,7.0
2020-04-10,Darke,Ohio,39037.0,40,7.0
2020-04-11,Darke,Ohio,39037.0,42,8.0
2020-04-12,Darke,Ohio,39037.0,45,8.0
2020-04-13,Darke,Ohio,39037.0,49,9.0
2020-04-14,Darke,Ohio,39037.0,50,10.0
2020-04-15,Darke,Ohio,39037.0,52,10.0
2020-04-16,Darke,Ohio,39037.0,55,10.0
2020-04-17,Darke,Ohio,39037.0,55,10.0
2020-04-18,Darke,Ohio,39037.0,55,10.0
2020-04-19,Darke,Ohio,39037.0,56,10.0
2020-04-20,Darke,Ohio,39037.0,57,11.0
2020-04-21,Darke,Ohio,39037.0,58,11.0
2020-04-22,Darke,Ohio,39037.0,62,11.0
2020-04-23,Darke,Ohio,39037.0,62,12.0
2020-04-24,Darke,Ohio,39037.0,74,12.0
2020-04-25,Darke,Ohio,39037.0,75,12.0
2020-04-26,Darke,Ohio,39037.0,75,13.0
2020-04-27,Darke,Ohio,39037.0,75,13.0
2020-04-28,Darke,Ohio,39037.0,75,13.0
2020-04-29,Darke,Ohio,39037.0,76,14.0
2020-04-30,Darke,Ohio,39037.0,76,14.0
2020-05-01,Darke,Ohio,39037.0,76,14.0
2020-05-02,Darke,Ohio,39037.0,76,14.0
2020-05-03,Darke,Ohio,39037.0,77,14.0
2020-05-04,Darke,Ohio,39037.0,77,14.0
2020-05-05,Darke,Ohio,39037.0,77,14.0
2020-05-06,Darke,Ohio,39037.0,79,14.0
