date,county,state,fips,cases,deaths
2020-03-24,Decatur,Indiana,18031.0,6,0.0
2020-03-25,Decatur,Georgia,13087.0,1,0.0
2020-03-25,Decatur,Indiana,18031.0,7,0.0
2020-03-26,Decatur,Georgia,13087.0,2,0.0
2020-03-26,Decatur,Indiana,18031.0,13,0.0
2020-03-27,Decatur,Georgia,13087.0,3,0.0
2020-03-27,Decatur,Indiana,18031.0,26,0.0
2020-03-28,Decatur,Georgia,13087.0,4,0.0
2020-03-28,Decatur,Indiana,18031.0,30,0.0
2020-03-29,Decatur,Georgia,13087.0,4,0.0
2020-03-29,Decatur,Indiana,18031.0,40,0.0
2020-03-30,Decatur,Georgia,13087.0,6,0.0
2020-03-30,Decatur,Indiana,18031.0,42,0.0
2020-03-31,Decatur,Georgia,13087.0,8,0.0
2020-03-31,Decatur,Indiana,18031.0,47,1.0
2020-04-01,Decatur,Georgia,13087.0,8,0.0
2020-04-01,Decatur,Indiana,18031.0,49,2.0
2020-04-02,Decatur,Georgia,13087.0,10,0.0
2020-04-02,Decatur,Indiana,18031.0,60,4.0
2020-04-03,Decatur,Georgia,13087.0,16,0.0
2020-04-03,Decatur,Indiana,18031.0,71,5.0
2020-04-04,Decatur,Georgia,13087.0,16,0.0
2020-04-04,Decatur,Indiana,18031.0,80,5.0
2020-04-05,Decatur,Georgia,13087.0,17,0.0
2020-04-05,Decatur,Indiana,18031.0,81,5.0
2020-04-06,Decatur,Georgia,13087.0,13,0.0
2020-04-06,Decatur,Indiana,18031.0,91,6.0
2020-04-07,Decatur,Georgia,13087.0,21,0.0
2020-04-07,Decatur,Indiana,18031.0,92,8.0
2020-04-08,Decatur,Georgia,13087.0,22,0.0
2020-04-08,Decatur,Indiana,18031.0,101,8.0
2020-04-08,Decatur,Tennessee,47039.0,1,0.0
2020-04-09,Decatur,Georgia,13087.0,25,0.0
2020-04-09,Decatur,Indiana,18031.0,109,8.0
2020-04-09,Decatur,Tennessee,47039.0,1,0.0
2020-04-10,Decatur,Georgia,13087.0,27,0.0
2020-04-10,Decatur,Indiana,18031.0,120,10.0
2020-04-10,Decatur,Tennessee,47039.0,1,0.0
2020-04-11,Decatur,Georgia,13087.0,28,0.0
2020-04-11,Decatur,Indiana,18031.0,125,12.0
2020-04-11,Decatur,Tennessee,47039.0,1,0.0
2020-04-12,Decatur,Georgia,13087.0,29,0.0
2020-04-12,Decatur,Indiana,18031.0,129,12.0
2020-04-12,Decatur,Tennessee,47039.0,1,0.0
2020-04-13,Decatur,Georgia,13087.0,39,0.0
2020-04-13,Decatur,Indiana,18031.0,131,12.0
2020-04-13,Decatur,Tennessee,47039.0,3,0.0
2020-04-14,Decatur,Georgia,13087.0,46,0.0
2020-04-14,Decatur,Indiana,18031.0,156,13.0
2020-04-14,Decatur,Tennessee,47039.0,3,0.0
2020-04-15,Decatur,Georgia,13087.0,51,0.0
2020-04-15,Decatur,Indiana,18031.0,158,16.0
2020-04-15,Decatur,Tennessee,47039.0,3,0.0
2020-04-16,Decatur,Georgia,13087.0,55,0.0
2020-04-16,Decatur,Indiana,18031.0,163,17.0
2020-04-16,Decatur,Tennessee,47039.0,3,0.0
2020-04-17,Decatur,Georgia,13087.0,55,0.0
2020-04-17,Decatur,Indiana,18031.0,168,20.0
2020-04-17,Decatur,Tennessee,47039.0,5,0.0
2020-04-18,Decatur,Georgia,13087.0,55,0.0
2020-04-18,Decatur,Indiana,18031.0,169,20.0
2020-04-18,Decatur,Tennessee,47039.0,5,0.0
2020-04-19,Decatur,Georgia,13087.0,62,1.0
2020-04-19,Decatur,Indiana,18031.0,171,21.0
2020-04-19,Decatur,Tennessee,47039.0,5,0.0
2020-04-20,Decatur,Georgia,13087.0,60,1.0
2020-04-20,Decatur,Indiana,18031.0,171,21.0
2020-04-20,Decatur,Tennessee,47039.0,5,0.0
2020-04-21,Decatur,Georgia,13087.0,53,1.0
2020-04-21,Decatur,Indiana,18031.0,174,23.0
2020-04-21,Decatur,Tennessee,47039.0,5,0.0
2020-04-22,Decatur,Georgia,13087.0,50,1.0
2020-04-22,Decatur,Indiana,18031.0,181,24.0
2020-04-22,Decatur,Tennessee,47039.0,5,0.0
2020-04-23,Decatur,Georgia,13087.0,61,1.0
