,date,county,state,fips,cases,deaths
6793,2020-03-21,Defiance,Ohio,39039.0,2,0.0
7901,2020-03-22,Defiance,Ohio,39039.0,2,0.0
9104,2020-03-23,Defiance,Ohio,39039.0,2,0.0
10418,2020-03-24,Defiance,Ohio,39039.0,2,0.0
11865,2020-03-25,Defiance,Ohio,39039.0,2,0.0
13472,2020-03-26,Defiance,Ohio,39039.0,2,0.0
15209,2020-03-27,Defiance,Ohio,39039.0,5,0.0
17051,2020-03-28,Defiance,Ohio,39039.0,5,0.0
18985,2020-03-29,Defiance,Ohio,39039.0,5,0.0
21029,2020-03-30,Defiance,Ohio,39039.0,5,0.0
23161,2020-03-31,Defiance,Ohio,39039.0,5,0.0
25356,2020-04-01,Defiance,Ohio,39039.0,6,0.0
27622,2020-04-02,Defiance,Ohio,39039.0,6,0.0
29951,2020-04-03,Defiance,Ohio,39039.0,6,0.0
32340,2020-04-04,Defiance,Ohio,39039.0,7,0.0
34773,2020-04-05,Defiance,Ohio,39039.0,7,0.0
37242,2020-04-06,Defiance,Ohio,39039.0,8,0.0
39759,2020-04-07,Defiance,Ohio,39039.0,9,0.0
42317,2020-04-08,Defiance,Ohio,39039.0,10,0.0
44902,2020-04-09,Defiance,Ohio,39039.0,10,0.0
47517,2020-04-10,Defiance,Ohio,39039.0,11,0.0
50172,2020-04-11,Defiance,Ohio,39039.0,11,0.0
52845,2020-04-12,Defiance,Ohio,39039.0,11,0.0
55529,2020-04-13,Defiance,Ohio,39039.0,12,0.0
58230,2020-04-14,Defiance,Ohio,39039.0,12,0.0
60944,2020-04-15,Defiance,Ohio,39039.0,12,0.0
63670,2020-04-16,Defiance,Ohio,39039.0,12,0.0
66413,2020-04-17,Defiance,Ohio,39039.0,13,0.0
69170,2020-04-18,Defiance,Ohio,39039.0,13,0.0
71937,2020-04-19,Defiance,Ohio,39039.0,14,0.0
74712,2020-04-20,Defiance,Ohio,39039.0,15,0.0
77493,2020-04-21,Defiance,Ohio,39039.0,15,0.0
80283,2020-04-22,Defiance,Ohio,39039.0,17,0.0
83082,2020-04-23,Defiance,Ohio,39039.0,17,1.0
85886,2020-04-24,Defiance,Ohio,39039.0,18,1.0
88700,2020-04-25,Defiance,Ohio,39039.0,19,1.0
91516,2020-04-26,Defiance,Ohio,39039.0,19,1.0
94342,2020-04-27,Defiance,Ohio,39039.0,19,1.0
97179,2020-04-28,Defiance,Ohio,39039.0,20,1.0
100028,2020-04-29,Defiance,Ohio,39039.0,20,1.0
102881,2020-04-30,Defiance,Ohio,39039.0,20,1.0
105744,2020-05-01,Defiance,Ohio,39039.0,20,1.0
108611,2020-05-02,Defiance,Ohio,39039.0,20,1.0
111485,2020-05-03,Defiance,Ohio,39039.0,20,1.0
114366,2020-05-04,Defiance,Ohio,39039.0,20,1.0
117247,2020-05-05,Defiance,Ohio,39039.0,21,1.0
120208,2020-05-06,Defiance,Ohio,39039.0,21,1.0
123185,2020-05-07,Defiance,Ohio,39039.0,21,1.0
126168,2020-05-08,Defiance,Ohio,39039.0,21,1.0
129157,2020-05-09,Defiance,Ohio,39039.0,26,1.0
132146,2020-05-10,Defiance,Ohio,39039.0,26,1.0
135137,2020-05-11,Defiance,Ohio,39039.0,26,1.0
138127,2020-05-12,Defiance,Ohio,39039.0,26,1.0
141123,2020-05-13,Defiance,Ohio,39039.0,26,1.0
144118,2020-05-14,Defiance,Ohio,39039.0,26,1.0
147119,2020-05-15,Defiance,Ohio,39039.0,26,1.0
150126,2020-05-16,Defiance,Ohio,39039.0,26,1.0
153137,2020-05-17,Defiance,Ohio,39039.0,26,1.0
156154,2020-05-18,Defiance,Ohio,39039.0,27,1.0
159174,2020-05-19,Defiance,Ohio,39039.0,28,1.0
162201,2020-05-20,Defiance,Ohio,39039.0,30,1.0
165230,2020-05-21,Defiance,Ohio,39039.0,30,2.0
168266,2020-05-22,Defiance,Ohio,39039.0,32,2.0
171305,2020-05-23,Defiance,Ohio,39039.0,32,2.0
174347,2020-05-24,Defiance,Ohio,39039.0,32,2.0
177391,2020-05-25,Defiance,Ohio,39039.0,32,2.0
180434,2020-05-26,Defiance,Ohio,39039.0,32,2.0
183483,2020-05-27,Defiance,Ohio,39039.0,33,2.0
186540,2020-05-28,Defiance,Ohio,39039.0,33,2.0
189600,2020-05-29,Defiance,Ohio,39039.0,33,2.0
192664,2020-05-30,Defiance,Ohio,39039.0,33,2.0
195734,2020-05-31,Defiance,Ohio,39039.0,34,2.0
198807,2020-06-01,Defiance,Ohio,39039.0,34,2.0
201882,2020-06-02,Defiance,Ohio,39039.0,34,2.0
204959,2020-06-03,Defiance,Ohio,39039.0,34,2.0
208040,2020-06-04,Defiance,Ohio,39039.0,34,2.0
211122,2020-06-05,Defiance,Ohio,39039.0,34,2.0
214208,2020-06-06,Defiance,Ohio,39039.0,35,2.0
217298,2020-06-07,Defiance,Ohio,39039.0,36,2.0
220390,2020-06-08,Defiance,Ohio,39039.0,37,2.0
223485,2020-06-09,Defiance,Ohio,39039.0,38,2.0
226585,2020-06-10,Defiance,Ohio,39039.0,39,2.0
229689,2020-06-11,Defiance,Ohio,39039.0,40,2.0
232794,2020-06-12,Defiance,Ohio,39039.0,40,2.0
235899,2020-06-13,Defiance,Ohio,39039.0,40,2.0
239007,2020-06-14,Defiance,Ohio,39039.0,40,2.0
242116,2020-06-15,Defiance,Ohio,39039.0,40,2.0
245228,2020-06-16,Defiance,Ohio,39039.0,40,2.0
248341,2020-06-17,Defiance,Ohio,39039.0,40,2.0
251456,2020-06-18,Defiance,Ohio,39039.0,40,2.0
254571,2020-06-19,Defiance,Ohio,39039.0,40,2.0
257696,2020-06-20,Defiance,Ohio,39039.0,42,2.0
260823,2020-06-21,Defiance,Ohio,39039.0,42,2.0
263951,2020-06-22,Defiance,Ohio,39039.0,42,2.0
267079,2020-06-23,Defiance,Ohio,39039.0,43,3.0
270213,2020-06-24,Defiance,Ohio,39039.0,43,3.0
273352,2020-06-25,Defiance,Ohio,39039.0,43,3.0
276499,2020-06-26,Defiance,Ohio,39039.0,43,3.0
279647,2020-06-27,Defiance,Ohio,39039.0,44,3.0
282793,2020-06-28,Defiance,Ohio,39039.0,45,3.0
285938,2020-06-29,Defiance,Ohio,39039.0,45,3.0
289088,2020-06-30,Defiance,Ohio,39039.0,45,3.0
292240,2020-07-01,Defiance,Ohio,39039.0,48,3.0
295395,2020-07-02,Defiance,Ohio,39039.0,48,3.0
298555,2020-07-03,Defiance,Ohio,39039.0,49,3.0
301718,2020-07-04,Defiance,Ohio,39039.0,50,3.0
304881,2020-07-05,Defiance,Ohio,39039.0,50,3.0
308048,2020-07-06,Defiance,Ohio,39039.0,51,3.0
311217,2020-07-07,Defiance,Ohio,39039.0,51,3.0
314389,2020-07-08,Defiance,Ohio,39039.0,53,3.0
317562,2020-07-09,Defiance,Ohio,39039.0,54,3.0
320739,2020-07-10,Defiance,Ohio,39039.0,53,3.0
323919,2020-07-11,Defiance,Ohio,39039.0,53,3.0
327104,2020-07-12,Defiance,Ohio,39039.0,54,3.0
330291,2020-07-13,Defiance,Ohio,39039.0,55,3.0
333483,2020-07-14,Defiance,Ohio,39039.0,56,3.0
336677,2020-07-15,Defiance,Ohio,39039.0,58,3.0
339873,2020-07-16,Defiance,Ohio,39039.0,62,3.0
343071,2020-07-17,Defiance,Ohio,39039.0,68,3.0
346270,2020-07-18,Defiance,Ohio,39039.0,72,3.0
349471,2020-07-19,Defiance,Ohio,39039.0,75,3.0
352674,2020-07-20,Defiance,Ohio,39039.0,77,3.0
355877,2020-07-21,Defiance,Ohio,39039.0,80,4.0
359081,2020-07-22,Defiance,Ohio,39039.0,88,4.0
362287,2020-07-23,Defiance,Ohio,39039.0,96,4.0
365493,2020-07-24,Defiance,Ohio,39039.0,102,4.0
368702,2020-07-25,Defiance,Ohio,39039.0,106,4.0
371914,2020-07-26,Defiance,Ohio,39039.0,110,4.0
375126,2020-07-27,Defiance,Ohio,39039.0,115,4.0
378343,2020-07-28,Defiance,Ohio,39039.0,118,4.0
381560,2020-07-29,Defiance,Ohio,39039.0,120,4.0
384778,2020-07-30,Defiance,Ohio,39039.0,124,4.0
387995,2020-07-31,Defiance,Ohio,39039.0,127,4.0
391212,2020-08-01,Defiance,Ohio,39039.0,129,4.0
394428,2020-08-02,Defiance,Ohio,39039.0,129,4.0
397645,2020-08-03,Defiance,Ohio,39039.0,129,4.0
400860,2020-08-04,Defiance,Ohio,39039.0,132,4.0
404078,2020-08-05,Defiance,Ohio,39039.0,133,4.0
407297,2020-08-06,Defiance,Ohio,39039.0,133,4.0
410517,2020-08-07,Defiance,Ohio,39039.0,139,4.0
413737,2020-08-08,Defiance,Ohio,39039.0,142,4.0
416958,2020-08-09,Defiance,Ohio,39039.0,144,4.0
420178,2020-08-10,Defiance,Ohio,39039.0,148,4.0
423401,2020-08-11,Defiance,Ohio,39039.0,150,4.0
426624,2020-08-12,Defiance,Ohio,39039.0,154,4.0
429849,2020-08-13,Defiance,Ohio,39039.0,155,4.0
433075,2020-08-14,Defiance,Ohio,39039.0,157,4.0
436301,2020-08-15,Defiance,Ohio,39039.0,164,4.0
439526,2020-08-16,Defiance,Ohio,39039.0,169,4.0
442753,2020-08-17,Defiance,Ohio,39039.0,172,4.0
445979,2020-08-18,Defiance,Ohio,39039.0,178,4.0
449207,2020-08-19,Defiance,Ohio,39039.0,180,4.0
452435,2020-08-20,Defiance,Ohio,39039.0,184,4.0
455663,2020-08-21,Defiance,Ohio,39039.0,184,4.0
458891,2020-08-22,Defiance,Ohio,39039.0,188,4.0
462119,2020-08-23,Defiance,Ohio,39039.0,188,4.0
465348,2020-08-24,Defiance,Ohio,39039.0,191,5.0
468576,2020-08-25,Defiance,Ohio,39039.0,192,5.0
471808,2020-08-26,Defiance,Ohio,39039.0,196,5.0
475042,2020-08-27,Defiance,Ohio,39039.0,202,5.0
478275,2020-08-28,Defiance,Ohio,39039.0,203,5.0
481509,2020-08-29,Defiance,Ohio,39039.0,207,5.0
484744,2020-08-30,Defiance,Ohio,39039.0,209,5.0
487977,2020-08-31,Defiance,Ohio,39039.0,210,6.0
491210,2020-09-01,Defiance,Ohio,39039.0,213,7.0
494444,2020-09-02,Defiance,Ohio,39039.0,212,7.0
497677,2020-09-03,Defiance,Ohio,39039.0,215,7.0
500911,2020-09-04,Defiance,Ohio,39039.0,223,7.0
504145,2020-09-05,Defiance,Ohio,39039.0,227,7.0
507377,2020-09-06,Defiance,Ohio,39039.0,233,7.0
510610,2020-09-07,Defiance,Ohio,39039.0,233,7.0
