,date,county,state,fips,cases,deaths
26255,2020-04-02,Del Norte,California,6015.0,1,0.0
28554,2020-04-03,Del Norte,California,6015.0,1,0.0
30912,2020-04-04,Del Norte,California,6015.0,2,0.0
33318,2020-04-05,Del Norte,California,6015.0,2,0.0
35762,2020-04-06,Del Norte,California,6015.0,2,0.0
38251,2020-04-07,Del Norte,California,6015.0,2,0.0
40795,2020-04-08,Del Norte,California,6015.0,2,0.0
43367,2020-04-09,Del Norte,California,6015.0,2,0.0
45967,2020-04-10,Del Norte,California,6015.0,2,0.0
48597,2020-04-11,Del Norte,California,6015.0,2,0.0
51259,2020-04-12,Del Norte,California,6015.0,2,0.0
53938,2020-04-13,Del Norte,California,6015.0,2,0.0
56630,2020-04-14,Del Norte,California,6015.0,2,0.0
59338,2020-04-15,Del Norte,California,6015.0,2,0.0
62057,2020-04-16,Del Norte,California,6015.0,2,0.0
64790,2020-04-17,Del Norte,California,6015.0,2,0.0
67538,2020-04-18,Del Norte,California,6015.0,2,0.0
70300,2020-04-19,Del Norte,California,6015.0,2,0.0
73069,2020-04-20,Del Norte,California,6015.0,2,0.0
75845,2020-04-21,Del Norte,California,6015.0,2,0.0
78629,2020-04-22,Del Norte,California,6015.0,2,0.0
81423,2020-04-23,Del Norte,California,6015.0,2,0.0
84223,2020-04-24,Del Norte,California,6015.0,2,0.0
87031,2020-04-25,Del Norte,California,6015.0,2,0.0
89848,2020-04-26,Del Norte,California,6015.0,3,0.0
92666,2020-04-27,Del Norte,California,6015.0,3,0.0
95497,2020-04-28,Del Norte,California,6015.0,3,0.0
98342,2020-04-29,Del Norte,California,6015.0,3,0.0
101192,2020-04-30,Del Norte,California,6015.0,3,0.0
104047,2020-05-01,Del Norte,California,6015.0,3,0.0
106912,2020-05-02,Del Norte,California,6015.0,3,0.0
109781,2020-05-03,Del Norte,California,6015.0,3,0.0
112656,2020-05-04,Del Norte,California,6015.0,3,0.0
115539,2020-05-05,Del Norte,California,6015.0,3,0.0
118498,2020-05-06,Del Norte,California,6015.0,3,0.0
121465,2020-05-07,Del Norte,California,6015.0,3,0.0
124445,2020-05-08,Del Norte,California,6015.0,3,0.0
127430,2020-05-09,Del Norte,California,6015.0,3,0.0
130420,2020-05-10,Del Norte,California,6015.0,3,0.0
133410,2020-05-11,Del Norte,California,6015.0,3,0.0
136400,2020-05-12,Del Norte,California,6015.0,3,0.0
139391,2020-05-13,Del Norte,California,6015.0,4,0.0
142387,2020-05-14,Del Norte,California,6015.0,4,0.0
145386,2020-05-15,Del Norte,California,6015.0,4,0.0
148390,2020-05-16,Del Norte,California,6015.0,5,0.0
151399,2020-05-17,Del Norte,California,6015.0,8,0.0
154411,2020-05-18,Del Norte,California,6015.0,8,0.0
157427,2020-05-19,Del Norte,California,6015.0,14,0.0
160453,2020-05-20,Del Norte,California,6015.0,15,0.0
163481,2020-05-21,Del Norte,California,6015.0,20,0.0
166513,2020-05-22,Del Norte,California,6015.0,23,0.0
169549,2020-05-23,Del Norte,California,6015.0,23,0.0
172590,2020-05-24,Del Norte,California,6015.0,23,0.0
175634,2020-05-25,Del Norte,California,6015.0,37,0.0
178678,2020-05-26,Del Norte,California,6015.0,40,0.0
181722,2020-05-27,Del Norte,California,6015.0,43,0.0
184776,2020-05-28,Del Norte,California,6015.0,44,0.0
187832,2020-05-29,Del Norte,California,6015.0,45,0.0
190897,2020-05-30,Del Norte,California,6015.0,45,0.0
193964,2020-05-31,Del Norte,California,6015.0,45,0.0
197034,2020-06-01,Del Norte,California,6015.0,46,0.0
200107,2020-06-02,Del Norte,California,6015.0,47,0.0
203183,2020-06-03,Del Norte,California,6015.0,47,0.0
206263,2020-06-04,Del Norte,California,6015.0,47,0.0
209344,2020-06-05,Del Norte,California,6015.0,47,0.0
212429,2020-06-06,Del Norte,California,6015.0,47,0.0
215516,2020-06-07,Del Norte,California,6015.0,47,0.0
218607,2020-06-08,Del Norte,California,6015.0,47,0.0
221702,2020-06-09,Del Norte,California,6015.0,47,0.0
224797,2020-06-10,Del Norte,California,6015.0,47,0.0
227899,2020-06-11,Del Norte,California,6015.0,47,0.0
231002,2020-06-12,Del Norte,California,6015.0,47,0.0
234108,2020-06-13,Del Norte,California,6015.0,47,0.0
237215,2020-06-14,Del Norte,California,6015.0,47,0.0
240323,2020-06-15,Del Norte,California,6015.0,47,0.0
243434,2020-06-16,Del Norte,California,6015.0,48,0.0
