,date,county,state,fips,cases,deaths
599,2020-03-06,Denver,Colorado,8031.0,2,0.0
677,2020-03-07,Denver,Colorado,8031.0,2,0.0
772,2020-03-08,Denver,Colorado,8031.0,2,0.0
888,2020-03-09,Denver,Colorado,8031.0,3,0.0
1022,2020-03-10,Denver,Colorado,8031.0,4,0.0
1189,2020-03-11,Denver,Colorado,8031.0,6,0.0
1397,2020-03-12,Denver,Colorado,8031.0,9,0.0
1659,2020-03-13,Denver,Colorado,8031.0,17,0.0
1978,2020-03-14,Denver,Colorado,8031.0,23,0.0
2359,2020-03-15,Denver,Colorado,8031.0,28,0.0
2794,2020-03-16,Denver,Colorado,8031.0,28,0.0
3276,2020-03-17,Denver,Colorado,8031.0,41,0.0
3830,2020-03-18,Denver,Colorado,8031.0,45,0.0
4491,2020-03-19,Denver,Colorado,8031.0,61,0.0
5267,2020-03-20,Denver,Colorado,8031.0,79,0.0
6191,2020-03-21,Denver,Colorado,8031.0,98,0.0
7226,2020-03-22,Denver,Colorado,8031.0,125,0.0
8369,2020-03-23,Denver,Colorado,8031.0,148,0.0
9612,2020-03-24,Denver,Colorado,8031.0,176,0.0
10985,2020-03-25,Denver,Colorado,8031.0,214,3.0
12530,2020-03-26,Denver,Colorado,8031.0,262,3.0
14198,2020-03-27,Denver,Colorado,8031.0,312,3.0
15981,2020-03-28,Denver,Colorado,8031.0,367,5.0
17871,2020-03-29,Denver,Colorado,8031.0,408,5.0
19849,2020-03-30,Denver,Colorado,8031.0,465,6.0
21924,2020-03-31,Denver,Colorado,8031.0,539,7.0
24083,2020-04-01,Denver,Colorado,8031.0,586,8.0
26313,2020-04-02,Denver,Colorado,8031.0,643,11.0
28613,2020-04-03,Denver,Colorado,8031.0,716,14.0
30970,2020-04-04,Denver,Colorado,8031.0,769,14.0
33376,2020-04-05,Denver,Colorado,8031.0,825,16.0
35821,2020-04-06,Denver,Colorado,8031.0,847,15.0
38311,2020-04-07,Denver,Colorado,8031.0,884,31.0
40854,2020-04-08,Denver,Colorado,8031.0,927,33.0
43426,2020-04-09,Denver,Colorado,8031.0,1031,38.0
46026,2020-04-10,Denver,Colorado,8031.0,1113,42.0
48656,2020-04-11,Denver,Colorado,8031.0,1182,46.0
51318,2020-04-12,Denver,Colorado,8031.0,1247,46.0
53997,2020-04-13,Denver,Colorado,8031.0,1346,51.0
56689,2020-04-14,Denver,Colorado,8031.0,1402,56.0
59397,2020-04-15,Denver,Colorado,8031.0,1468,61.0
62116,2020-04-16,Denver,Colorado,8031.0,1549,63.0
64849,2020-04-17,Denver,Colorado,8031.0,1636,66.0
67597,2020-04-18,Denver,Colorado,8031.0,1723,74.0
70359,2020-04-19,Denver,Colorado,8031.0,1784,75.0
73128,2020-04-20,Denver,Colorado,8031.0,1880,83.0
75904,2020-04-21,Denver,Colorado,8031.0,2004,91.0
78688,2020-04-22,Denver,Colorado,8031.0,2071,96.0
81482,2020-04-23,Denver,Colorado,8031.0,2172,98.0
84282,2020-04-24,Denver,Colorado,8031.0,2385,128.0
87090,2020-04-25,Denver,Colorado,8031.0,2487,132.0
89907,2020-04-26,Denver,Colorado,8031.0,2583,132.0
92725,2020-04-27,Denver,Colorado,8031.0,2682,135.0
95557,2020-04-28,Denver,Colorado,8031.0,2791,145.0
98402,2020-04-29,Denver,Colorado,8031.0,2890,150.0
101252,2020-04-30,Denver,Colorado,8031.0,3001,154.0
