,date,county,state,fips,cases,deaths
2754,2020-03-16,Desha,Arkansas,5041.0,1,0.0
3234,2020-03-17,Desha,Arkansas,5041.0,1,0.0
3785,2020-03-18,Desha,Arkansas,5041.0,1,0.0
4435,2020-03-19,Desha,Arkansas,5041.0,1,0.0
5207,2020-03-20,Desha,Arkansas,5041.0,1,0.0
6126,2020-03-21,Desha,Arkansas,5041.0,1,0.0
7160,2020-03-22,Desha,Arkansas,5041.0,1,0.0
8303,2020-03-23,Desha,Arkansas,5041.0,1,0.0
9536,2020-03-24,Desha,Arkansas,5041.0,2,0.0
10906,2020-03-25,Desha,Arkansas,5041.0,2,0.0
12448,2020-03-26,Desha,Arkansas,5041.0,2,0.0
14112,2020-03-27,Desha,Arkansas,5041.0,2,0.0
15892,2020-03-28,Desha,Arkansas,5041.0,2,0.0
17778,2020-03-29,Desha,Arkansas,5041.0,2,0.0
19752,2020-03-30,Desha,Arkansas,5041.0,2,0.0
21824,2020-03-31,Desha,Arkansas,5041.0,2,0.0
23981,2020-04-01,Desha,Arkansas,5041.0,2,0.0
26205,2020-04-02,Desha,Arkansas,5041.0,2,0.0
28502,2020-04-03,Desha,Arkansas,5041.0,4,0.0
30860,2020-04-04,Desha,Arkansas,5041.0,4,0.0
33264,2020-04-05,Desha,Arkansas,5041.0,5,0.0
35705,2020-04-06,Desha,Arkansas,5041.0,5,0.0
38194,2020-04-07,Desha,Arkansas,5041.0,5,0.0
40737,2020-04-08,Desha,Arkansas,5041.0,5,0.0
43309,2020-04-09,Desha,Arkansas,5041.0,5,0.0
45908,2020-04-10,Desha,Arkansas,5041.0,6,0.0
48538,2020-04-11,Desha,Arkansas,5041.0,6,0.0
51200,2020-04-12,Desha,Arkansas,5041.0,6,0.0
53878,2020-04-13,Desha,Arkansas,5041.0,6,0.0
56570,2020-04-14,Desha,Arkansas,5041.0,6,0.0
59278,2020-04-15,Desha,Arkansas,5041.0,6,0.0
61997,2020-04-16,Desha,Arkansas,5041.0,6,0.0
64730,2020-04-17,Desha,Arkansas,5041.0,6,0.0
67478,2020-04-18,Desha,Arkansas,5041.0,7,0.0
70240,2020-04-19,Desha,Arkansas,5041.0,7,0.0
73009,2020-04-20,Desha,Arkansas,5041.0,7,0.0
75785,2020-04-21,Desha,Arkansas,5041.0,8,0.0
78569,2020-04-22,Desha,Arkansas,5041.0,9,0.0
81362,2020-04-23,Desha,Arkansas,5041.0,14,0.0
