,date,county,state,fips,cases,deaths
246072,2020-06-16,Dickenson,Virginia,51051.0,1,0.0
249184,2020-06-17,Dickenson,Virginia,51051.0,1,0.0
252299,2020-06-18,Dickenson,Virginia,51051.0,1,0.0
255418,2020-06-19,Dickenson,Virginia,51051.0,1,0.0
258545,2020-06-20,Dickenson,Virginia,51051.0,1,0.0
261672,2020-06-21,Dickenson,Virginia,51051.0,1,0.0
264801,2020-06-22,Dickenson,Virginia,51051.0,1,0.0
267930,2020-06-23,Dickenson,Virginia,51051.0,1,0.0
271064,2020-06-24,Dickenson,Virginia,51051.0,1,0.0
274204,2020-06-25,Dickenson,Virginia,51051.0,1,0.0
277352,2020-06-26,Dickenson,Virginia,51051.0,1,0.0
280500,2020-06-27,Dickenson,Virginia,51051.0,3,0.0
283646,2020-06-28,Dickenson,Virginia,51051.0,3,0.0
286792,2020-06-29,Dickenson,Virginia,51051.0,4,0.0
289942,2020-06-30,Dickenson,Virginia,51051.0,4,0.0
293095,2020-07-01,Dickenson,Virginia,51051.0,4,0.0
296250,2020-07-02,Dickenson,Virginia,51051.0,5,0.0
299412,2020-07-03,Dickenson,Virginia,51051.0,5,0.0
302576,2020-07-04,Dickenson,Virginia,51051.0,5,0.0
305740,2020-07-05,Dickenson,Virginia,51051.0,5,0.0
308908,2020-07-06,Dickenson,Virginia,51051.0,5,0.0
312077,2020-07-07,Dickenson,Virginia,51051.0,5,0.0
315252,2020-07-08,Dickenson,Virginia,51051.0,5,0.0
318425,2020-07-09,Dickenson,Virginia,51051.0,5,0.0
321604,2020-07-10,Dickenson,Virginia,51051.0,5,0.0
324785,2020-07-11,Dickenson,Virginia,51051.0,5,0.0
327970,2020-07-12,Dickenson,Virginia,51051.0,6,0.0
331156,2020-07-13,Dickenson,Virginia,51051.0,6,0.0
334349,2020-07-14,Dickenson,Virginia,51051.0,6,0.0
337544,2020-07-15,Dickenson,Virginia,51051.0,7,0.0
340740,2020-07-16,Dickenson,Virginia,51051.0,8,0.0
343939,2020-07-17,Dickenson,Virginia,51051.0,9,0.0
347139,2020-07-18,Dickenson,Virginia,51051.0,9,0.0
350340,2020-07-19,Dickenson,Virginia,51051.0,10,0.0
353542,2020-07-20,Dickenson,Virginia,51051.0,10,0.0
356745,2020-07-21,Dickenson,Virginia,51051.0,10,0.0
359950,2020-07-22,Dickenson,Virginia,51051.0,10,0.0
363156,2020-07-23,Dickenson,Virginia,51051.0,11,0.0
366362,2020-07-24,Dickenson,Virginia,51051.0,12,0.0
369571,2020-07-25,Dickenson,Virginia,51051.0,12,0.0
372783,2020-07-26,Dickenson,Virginia,51051.0,13,0.0
375997,2020-07-27,Dickenson,Virginia,51051.0,16,0.0
379213,2020-07-28,Dickenson,Virginia,51051.0,16,0.0
382430,2020-07-29,Dickenson,Virginia,51051.0,18,0.0
385648,2020-07-30,Dickenson,Virginia,51051.0,21,0.0
